"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_berlin_library_id_value","field_berlin_library_id_format"
"node","book",0,1954,1954,"und",0,"Ez 6310<a>",NULL
"node","book",0,1956,1956,"und",0,"Jf 7655 MF",NULL
"node","book",0,1958,1958,"und",0,"Mv 8283",NULL
"node","book",0,1960,1960,"und",0,"Ez 740",NULL
"node","book",0,1963,1963,"und",0,"Nh 4984",NULL
"node","book",0,1967,1967,"und",0,"De 4838",NULL
"node","book",0,1969,1969,"und",0,"X 2161",NULL
"node","book",0,1976,1976,"und",0,"8\" Bibl. Diez 129",NULL
"node","book",0,1988,1988,"und",0,"Bm 160",NULL
"node","book",0,1992,1992,"und",0,"Fd 4764",NULL
"node","book",0,1994,1994,"und",0,"17 A 12633",NULL
"node","book",0,2004,2004,"und",0,"Ym 5721",NULL
"node","book",0,2011,2011,"und",0,"Au 12131",NULL
"node","book",0,2023,2023,"und",0,"SBBPK: 168190",NULL
"node","book",0,2026,2026,"und",0,"Ay 21180",NULL
"node","book",0,2028,2028,"und",0,"Bo 9830",NULL
"node","book",0,2029,2029,"und",0,"Rb 3080",NULL
"node","book",0,2071,2071,"und",0,"Ay16198",NULL
"node","book",0,2174,2174,"und",0,"Ez 10270",NULL
