"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_book_type_general_notes_value","field_book_type_general_notes_format"
"node","book",0,1980,1980,"und",0,"Übersetzung einer Predigt auf Jiddisch","filtered_html"
"node","book",0,1987,1987,"und",0,"זהו תרגום לגרמנית של ספר שיצא על ידי בישנטל ליפמן משה בעברית, כתודה של עם ישראל לנפוליון - על פי המצויין בהקדמת המתרגם בסוף הספר.","filtered_html"
"node","book",0,2044,2044,"und",0,"הערה בתחילת הספר, הכתובה בגרמנית וכן בגרמנית באותיות עבריות:

Den eingang ausgenommen, gehört gegenwärtige Cantate fast ganz dem ungenannten Korahiten, der dieses schöne Epithalamium in sehr früher Zeit, wahrscheinlich zu den Zeiten Salomo's sang, und welches in die Psalmen (Ps. 45) aufgenommen ist. Die Hauptzüge dieses vortreflichen Gedichts sing geblieben. Hie und da ein kleiner Zusatz, dann und wann eine kleine Wiederholung; einige Veränderung die die Gelegenheit, oder die Sitten des Abendlands, durchaus erfordeten; und Abtheilungen, welche auch in dem Original vorhanden, nur nicht bestimmt angezeigt sind, ist alles was man sich erlaubt hat. Das Lob des Doppelpaars, ist aus einem andern hebräischen lyrischen Gedichte entlehnt, und also auch antic. Durch modernen Putz hat man die liebliche Einfalt nicht zerstören mögen.","filtered_html"
"node","book",0,2118,2118,"und",0,"הטקסט מוצג כעיבוד של שני ספרים קודמים מאת מחברים לא יהודים: הצרפתי רסין והאיטלקי מטסטסיו. פרנקו מנדס בהקדמתו מציין פגמים בתוכן סיפוריהם (לא ייתכן כי מעשה מתואר התרחש בשבועות - \"לא הוכרח יהוידע לקרוא בבריתו לירושלים הבנויה חמשה ראשי האבות ... הלא שמה עלה עלו ג\"פ בשנה...\"; \"הגלו אזן עתליה בחלומותם למען סכל עצות יהוידע ויהושבעת וסודותם. פנו מקום לעבור לעתליה פנימה לעזרת ישראל הנקדשים בקדושתם אשר לא תבאנה בו נשים או טמאים בטומאתם...\"). כדבריו: \"תוכם אכלתי וזרקתי קליפתם\". בניגוד לאותם מחברים, אשר בדו חלק מהסיפורים, הוא מדגיש את נאמנותו למקורות הקדומים: \"ללא סרתי מארח הנביאים ונביאותם. אחור לא נסוגתי מדרשות רז\"ל וקבלתם. לא אמרתי דבר שאינו בחק האפשרי כהמה בתנומותם\".","filtered_html"
"node","book",0,2124,2124,"und",0,"ככל הנראה ספר זה חובר על ידי סטנוב, למרות שהוא מציג אותו כספר מתורגם (כיוון שהדבר לא נבדק עדיין ואין מחקרים המצביעים על כך באופן ברור, לא ציינתי זאת בחלון \"סוג הטקסט\").","filtered_html"
"node","book",0,2127,2127,"und",0,"ספר זה מורכב רובו ככולו ממכתבים שכתבו רבני איטליה בעקבות פרשת \"דברי שלום ואמת\", בתוספת הערותיו של וייזל.","filtered_html"
"node","book",0,2141,2141,"und",0,"אף כי החיבור הוא של המחבר, כפי שהוא מציין בעמוד השער, הוא אסף חומרים מספרים שונים והוסיף משלו.","filtered_html"
"node","book",0,2142,2142,"und",0,"בחלקו הראשון של הספר, מתמצת ומתרגם פרידלענדר את דברי מנדלסון מתוך פעדאן. בחלקו השני, מביא את דבריו מתוך אגרת שכתב לצבי הירש ליבשיץ במסגרת התכתבותם, כתשובה לשאלה בדבר קשר הנפש עם הגוף.","filtered_html"
"node","book",0,2154,2154,"und",0,"הספר כולל תפילות שחוברו במיוחד לכבוד חנוכת בית הכנסת החדש באמסטרדם, ולצדן תרגומן להולנדית. 
כמו כן, הספר כולל פרקי תהילים.","filtered_html"
"node","book",0,2177,2177,"und",0,"קיים דמיון ברור (ומוצהר ע\"י המחבר עצמו) בין ספרו לבין הספר \"כתר מלכות\" לשלמה בן גבירול. לדברי זהר, שערכה השוואה בין שני החיבורים, ישנו דמיון רב בסגנון ובמבנה, אך גל הבדלים המשקפים אימוץ של רעיונות התקופה ע\"י בוכנר. \"ביצירתו של בוכנר בולט קו ציורי בתיאורי הנוף האנושי, החי והצומח, דבר שאינו מצוי ביצירה של רשב\"ג. דרך פניתו של בוכנר אל האדם כבחיר היצורים קרובה ביותר אל תפיסתם האסתטית של בני דורו ומבטאת את השקפת עולמו האנתרופוצנטרית, החובקת את כל יצירתו ודוחקת את מקומה של השקפת העולם התיאוצנטרית המובהקת המצויה ביצירותיהם של משוררי ימי הביניים, וביצירתו של רשב\"ג בכלל זה.\" (זהר, עמ' 54).","filtered_html"
