"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_censorship_value","field_censorship_format"
"node","book",0,1961,1961,"und",0,"Avec Approbation & Privilége du Roi, & de la Société Royale de Metz","filtered_html"
"node","book",0,2046,2046,"und",0,"Bewilligung der K. und K. Zensur","filtered_html"
"node","book",0,2052,2052,"und",0,"כפי שמוזכר בספר, הטקסט צונזר לפני הדפוס","filtered_html"
"node","book",0,2105,2105,"und",0,"יש אישור של הצנזור:

W.B.A. de Steinwehr","filtered_html"
"node","book",0,2106,2106,"und",0,"חותמת הצנזורה מופיעה על גבי שער הספר","filtered_html"
"node","book",0,2143,2143,"und",0,"בעמוד השער:
Vidi C. Fischer
Pragae 3. Octobris 1808","filtered_html"
"node","book",0,2264,2264,"und",0,"<p class=\"rteleft\" dir=\"rtl\">הצנזור - הרץ הומברג? ראו שדה \"הערות\". יש לבדוק שוב על גבי הספר.</p>
","filtered_html"
"node","book",0,2293,2293,"und",0,"מאחורי עמוד השער, אישור מאת קארל פישר, הצנזור.","filtered_html"
"node","book",0,2321,2321,"und",0,"אישור הצנזור,
Carolus Fischer","filtered_html"
"node","book",0,2357,2357,"und",0,"על גבי עמוד השער רשום:
Carlous Fischer
Caes. Regius Censor, Revisor & Translatior in Hebraicis.","filtered_html"
"node","book",0,2367,2367,"und",0,"בעמוד השער","filtered_html"
"node","book",0,2416,2416,"und",0,"חותמת הצנזורה מופיעה בעמוד השער","filtered_html"
"node","book",0,2432,2432,"und",0,"ראו עמ' [4-5]","filtered_html"
"node","book",0,2477,2477,"und",0,"Yes","filtered_html"
