"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_diagrams_book_pages_value","field_diagrams_book_pages_format"
"node","book",0,1964,1964,"und",0,"עמ' [7] ו-[8]",NULL
"node","book",0,1978,1978,"und",0,"3",NULL
"node","book",0,1979,1979,"und",0,"1",NULL
"node","book",0,1981,1981,"und",0,"ציור בעמ' 1.",NULL
"node","book",0,1982,1982,"und",0,"שער+354",NULL
"node","book",0,1990,1990,"und",0,"2",NULL
"node","book",0,1995,1995,"und",0,"ישנם כמה איורים, לעיתים חוזרים, בראש הטקסט",NULL
"node","book",0,1997,1997,"und",0,"2",NULL
"node","book",0,2003,2003,"und",0,"1,2,4",NULL
"node","book",0,2011,2011,"und",0,"1",NULL
"node","book",0,2046,2046,"und",0,"1",NULL
"node","book",0,2066,2066,"und",0,"3, 4, 5, 12,28, 48",NULL
"node","book",0,2068,2068,"und",0,"5, 51",NULL
"node","book",0,2078,2078,"und",0,"ט', יד', טו', טז'",NULL
"node","book",0,2079,2079,"und",0,"[5], א, לא, מט",NULL
"node","book",0,2091,2091,"und",0,"עיטורים בעמודי השער ולצידים קטע טקסט מספר משלי, ושני העמודים האחרונים עיטור של כפות ידים (פרופס)",NULL
"node","book",0,2097,2097,"und",0,"עמ' [1]",NULL
"node","book",0,2129,2129,"und",0,"עיטורים: דך [2], דף 16",NULL
"node","book",0,2145,2145,"und",0,"עיטור בעמוד השער הראשי של הספר",NULL
"node","book",0,2146,2146,"und",0,"עיטור בעמוד השער הראשי של הספר",NULL
"node","book",0,2147,2147,"und",0,"עיטור בעמוד השער הראשי של הספר",NULL
"node","book",0,2148,2148,"und",0,"עיטור בעמוד השער הראשי של הספר",NULL
"node","book",0,2154,2154,"und",0,"עמוד השער",NULL
"node","book",0,2156,2156,"und",0,"מו",NULL
"node","book",0,2159,2159,"und",0,"דף יח' (איור קטן). ארבעת העמודים אחרונים כוללים שרטוטים גיאומטריים.",NULL
"node","book",0,2161,2161,"und",0,"1",NULL
"node","book",0,2168,2168,"und",0,"עיטורים בעמ' [1] ובעמוד האחרון",NULL
"node","book",0,2169,2169,"und",0,"טז/ב",NULL
"node","book",0,2174,2174,"und",0,"1",NULL
"node","book",0,2189,2189,"und",0,"1, 147",NULL
"node","book",0,2190,2190,"und",0,"1/א, 17/ב",NULL
"node","book",0,2191,2191,"und",0,"עמוד השער",NULL
"node","book",0,2213,2213,"und",0,"למשל: צב, צד",NULL
"node","book",0,2222,2222,"und",0,"עיטור: בעמוד השער הראשון",NULL
"node","book",0,2223,2223,"und",0,"עיטורים: בעמוד השער הראשון, ובעמוד [2] שבראש הספר",NULL
"node","book",0,2228,2228,"und",0,"עיטור בשער הראשון",NULL
"node","book",0,2229,2229,"und",0,"עיטור: בעמוד השער הראשון",NULL
"node","book",0,2234,2234,"und",0,"אחרי דף י, פ",NULL
"node","book",0,2240,2240,"und",0,"עמוד שער + עמוד אחרון",NULL
"node","book",0,2241,2241,"und",0,"עמ' [19]",NULL
"node","book",0,2246,2246,"und",0,"עמ' ו'",NULL
"node","book",0,2252,2252,"und",0,"עמוד שער",NULL
"node","book",0,2255,2255,"und",0,"[1], כד', עו'",NULL
"node","book",0,2260,2260,"und",0,"איור של קמרה אוסקורה (דף כא')",NULL
"node","book",0,2268,2268,"und",0,"דף ה'",NULL
"node","book",0,2276,2276,"und",0,"עיטור (עמוד אחרון)",NULL
"node","book",0,2287,2287,"und",0,"עמ' אחרון",NULL
"node","book",0,2303,2303,"und",0,"עמ' השער",NULL
"node","book",0,2307,2307,"und",0,"עמוד שער, ועמוד אחרון בספר",NULL
"node","book",0,2311,2311,"und",0,"דפים נפתחים המוצמדים לעמ' יז', סב' כוללים שרטוטים",NULL
"node","book",0,2317,2317,"und",0,"מאחורי עמוד השער",NULL
"node","book",0,2319,2319,"und",0,"עיטור בסוף הספר, סימן של משפחת המדפיסים פרופס.",NULL
"node","book",0,2328,2328,"und",0,"עמוד שער פנימי",NULL
"node","book",0,2329,2329,"und",0,"עמוד שער פנימי",NULL
"node","book",0,2337,2337,"und",0,"עמ' [6]; עמ' אחרון",NULL
"node","book",0,2339,2339,"und",0,"עיטור: עמ' [13],  ועמוד אחרון. איור של לוח שחמט: עמ' [22]",NULL
"node","book",0,2340,2340,"und",0,"עמ' ב', בצד ימין למטה: עיטור",NULL
"node","book",0,2341,2341,"und",0,"עמ [א']: עיטור בראש הספר",NULL
"node","book",0,2345,2345,"und",0,"דפים מצורפים בסוף הספר",NULL
"node","book",0,2357,2357,"und",0,"עיטורים: עמ' [9]; דף נו'",NULL
"node","book",0,2358,2358,"und",0,"עיטור מסגרת בעמוד השער",NULL
"node","book",0,2361,2361,"und",0,"עמוד השער, עמ' פז ב', עמ' [פט] א'.",NULL
"node","book",0,2367,2367,"und",0,"שלושה עמודי שרטוטים מודבקים בסוף הספר  אחרי דף לב' [עמ' 1] קישוט 2 עמודים אחרונים של הספר ללא מיספור - שירטוטים גיאומטריים ולאחריו",NULL
"node","book",0,2374,2374,"und",0,"יז'",NULL
"node","book",0,2376,2376,"und",0,"דפים ב', ה', ז', ח', ט', י',  יא', טו', טז', יז', יח', כ', כא', כד', כה', כו', כז',  כט', לב', לג'.",NULL
"node","book",0,2381,2381,"und",0,"עיטורים: דפים [4], [6], [8], [11] לבדוק שוב??",NULL
"node","book",0,2383,2383,"und",0,"שער, [9]",NULL
"node","book",0,2393,2393,"und",0,"איור של התפשטות האור, דף לח'",NULL
"node","book",0,2404,2404,"und",0,"עמוד השער",NULL
"node","book",0,2408,2408,"und",0,"עיטורים מופיעים בעמ' [2], [21] ו-[35]",NULL
"node","book",0,2420,2420,"und",0,"בספחם בסוף",NULL
"node","book",0,2422,2422,"und",0,"בסוף הספר מופיעים 5 עמודי שרטוטים, של צורות גיאומטריות, זוויות, וסכמות של ניסויים, אליהם יש הפניות מן הטקסט,",NULL
"node","book",0,2425,2425,"und",0,"[3], [15]",NULL
"node","book",0,2433,2433,"und",0,"עיטור בעמ' [7]",NULL
"node","book",0,2436,2436,"und",0,"בעמודי השער ובעמודים [1], [2], [7] ו-[8] מופיעים עיטורים",NULL
"node","book",0,2440,2440,"und",0,"מופיעים עיטורים בעמ' [1] ו-[2]",NULL
"node","book",0,2442,2442,"und",0,"2",NULL
"node","book",0,2446,2446,"und",0,"עמ' [1], עמ'",NULL
"node","book",0,2447,2447,"und",0,"עיטורים בעמ' [2-1], [6-5]",NULL
"node","book",0,2448,2448,"und",0,"עיטור בראש העמ' [2], [3].",NULL
"node","book",0,2453,2453,"und",0,"עמ' א, יא (צד ב), מ (צד ב)",NULL
"node","book",0,2454,2454,"und",0,"עמ' א/1, נו/2",NULL
"node","book",0,2455,2455,"und",0,"עמ' א/א",NULL
"node","book",0,2456,2456,"und",0,"עמ' א/1",NULL
"node","book",0,2457,2457,"und",0,"עמ' א/1",NULL
"node","book",0,2463,2463,"und",0,"2",NULL
"node","book",0,2467,2467,"und",0,"מצידם השני של שלושת עמודי השער; דף 4 (השני); דף 6 (השני);  דף 7 (הראשון); 8 (הראשון); 9 (הראשון); דף אחרון",NULL
"node","book",0,2469,2469,"und",0,"עיטורים: עמ' 1, 5, 8",NULL
"node","book",0,2473,2473,"und",0,"איור של משה מנדלסון בעמוד השער, ועיטור בעמ' קכז'",NULL
"node","book",0,2478,2478,"und",0,"עמ' [5] - בראש ההקדמה עיטורים מופיעים בראש חלקי הספר:  \"מבוא\" (עמ' ב'); חלק שני (דף לג'); חלק חמישי (דף קלד'). עמ' אחרון בספר (אחרי רו', ללא מספור)",NULL
