"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_edition_references_value","field_edition_references_format"
"node","edition",0,2514,2514,"und",0,"DJKJLH",NULL
"node","edition",0,2515,2515,"und",0,"DJKJLH",NULL
"node","edition",0,2516,2516,"und",0,"DJKJLH",NULL
"node","edition",0,2517,2517,"und",0,"DJKJLH",NULL
"node","edition",0,2552,2552,"und",0,"IUL",NULL
"node","edition",0,2553,2553,"und",0,"IUL",NULL
"node","edition",0,2554,2554,"und",0,"IUL",NULL
"node","edition",0,2555,2555,"und",0,"IUL",NULL
"node","edition",0,2556,2556,"und",0,"IUL",NULL
"node","edition",0,2557,2557,"und",0,"IUL",NULL
"node","edition",0,2558,2558,"und",0,"IUL",NULL
"node","edition",0,2559,2559,"und",0,"IUL",NULL
"node","edition",0,2560,2560,"und",0,"IUL",NULL
"node","edition",0,2561,2561,"und",0,"IUL",NULL
"node","edition",0,2562,2562,"und",0,"IUL",NULL
"node","edition",0,2563,2563,"und",0,"IUL",NULL
"node","edition",0,2564,2564,"und",0,"בית עקד ספרים",NULL
"node","edition",0,2565,2565,"und",0,"בית עקד ספרים",NULL
"node","edition",0,2566,2566,"und",0,"בית עקד ספרים",NULL
"node","edition",0,2567,2567,"und",0,"בית עקד ספרים",NULL
"node","edition",0,2570,2570,"und",0,"בית עקד ספרים",NULL
"node","edition",0,2575,2575,"und",0,"בית עקד ספרים",NULL
"node","edition",0,2578,2578,"und",0,"וינוגרד",NULL
"node","edition",0,2580,2580,"und",0,"וינוגרד",NULL
"node","edition",0,2581,2581,"und",0,"וינוגרד",NULL
"node","edition",0,2582,2582,"und",0,"IUL",NULL
"node","edition",0,2583,2583,"und",0,"IUL",NULL
"node","edition",0,2587,2587,"und",0,"IUL",NULL
"node","edition",0,2588,2588,"und",0,"IUL",NULL
"node","edition",0,2589,2589,"und",0,"IUL",NULL
"node","edition",0,2590,2590,"und",0,"IUL",NULL
"node","edition",0,2591,2591,"und",0,"IUL",NULL
"node","edition",0,2592,2592,"und",0,"IUL",NULL
"node","edition",0,2593,2593,"und",0,"IUL",NULL
"node","edition",0,2594,2594,"und",0,"IUL",NULL
"node","edition",0,2595,2595,"und",0,"IUL",NULL
"node","edition",0,2596,2596,"und",0,"IUL",NULL
"node","edition",0,2597,2597,"und",0,"IUL",NULL
"node","edition",0,2598,2598,"und",0,"וינוגרד",NULL
"node","edition",0,2599,2599,"und",0,"IUL",NULL
"node","edition",0,2600,2600,"und",0,"וינוגרד",NULL
"node","edition",0,2601,2601,"und",0,"וינוגרד",NULL
"node","edition",0,2602,2602,"und",0,"וינוגרד",NULL
"node","edition",0,2603,2603,"und",0,"וינוגרד",NULL
"node","edition",0,2604,2604,"und",0,"וינוגרד",NULL
"node","edition",0,2605,2605,"und",0,"וינוגרד",NULL
"node","edition",0,2606,2606,"und",0,"וינוגרד",NULL
"node","edition",0,2607,2607,"und",0,"וינוגרד",NULL
"node","edition",0,2608,2608,"und",0,"וינוגרד",NULL
"node","edition",0,2609,2609,"und",0,"IUL",NULL
"node","edition",0,2610,2610,"und",0,"ורסס, המחזה מלוכת שאול, עמ' 61.
(השוו: שקד, מבוא, עמ' 7. שקד גורס כי היו \"שלוש-עשרה (או שמונה) מהדורות עבריות\".)",NULL
"node","edition",0,2611,2611,"und",0,"ורסס, המחזה מלוכת שאול, עמ' 61.
(השוו: שקד, מבוא, עמ' 7. שקד גורס כי היו \"שלוש-עשרה (או שמונה) מהדורות עבריות\".)",NULL
"node","edition",0,2612,2612,"und",0,"ורסס, המחזה מלוכת שאול, עמ' 61.
(השוו: שקד, מבוא, עמ' 7. שקד גורס כי היו \"שלוש-עשרה (או שמונה) מהדורות עבריות\".)",NULL
"node","edition",0,2613,2613,"und",0,"ורסס, המחזה מלוכת שאול, עמ' 61.
(השוו: שקד, מבוא, עמ' 7. שקד גורס כי היו \"שלוש-עשרה (או שמונה) מהדורות עבריות\".)",NULL
"node","edition",0,2614,2614,"und",0,"ורסס, המחזה מלוכת שאול, עמ' 61.
(השוו: שקד, מבוא, עמ' 7. שקד גורס כי היו \"שלוש-עשרה (או שמונה) מהדורות עבריות\".)",NULL
"node","edition",0,2615,2615,"und",0,"ורסס, המחזה מלוכת שאול, עמ' 61.
(השוו: שקד, מבוא, עמ' 7. שקד גורס כי היו \"שלוש-עשרה (או שמונה) מהדורות עבריות\".)",NULL
"node","edition",0,2616,2616,"und",0,"ורסס, המחזה מלוכת שאול, עמ' 61.
(השוו: שקד, מבוא, עמ' 7. שקד גורס כי היו \"שלוש-עשרה (או שמונה) מהדורות עבריות\".)",NULL
"node","edition",0,2617,2617,"und",0,"ורסס, המחזה מלוכת שאול, עמ' 61.
(השוו: שקד, מבוא, עמ' 7. שקד גורס כי היו \"שלוש-עשרה (או שמונה) מהדורות עבריות\".)",NULL
"node","edition",0,2618,2618,"und",0,"קלוזנר, וינוגרד",NULL
"node","edition",0,2619,2619,"und",0,"קלוזנר, וינוגרד",NULL
"node","edition",0,2620,2620,"und",0,"קלוזנר, וינוגרד",NULL
"node","edition",0,2621,2621,"und",0,"קלוזנר, וינוגרד",NULL
"node","edition",0,2622,2622,"und",0,"קלוזנר, וינוגרד",NULL
"node","edition",0,2623,2623,"und",0,"קלוזנר, וינוגרד",NULL
"node","edition",0,2624,2624,"und",0,"קלוזנר, וינוגרד",NULL
"node","edition",0,2625,2625,"und",0,"IUL",NULL
"node","edition",0,2626,2626,"und",0,"IUL",NULL
"node","edition",0,2627,2627,"und",0,"IUL",NULL
"node","edition",0,2628,2628,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2629,2629,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2630,2630,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2631,2631,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2632,2632,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2633,2633,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2634,2634,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2635,2635,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2636,2636,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2637,2637,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2638,2638,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2639,2639,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2640,2640,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2641,2641,"und",0,"יודלוב, אוצר ההגדות",NULL
"node","edition",0,2642,2642,"und",0,"יודלוב, אוצר ההגדות",NULL
