"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_full_title_value","field_full_title_format"
"node","book",0,1952,1952,"und",0,"Abhandlung von der Freiheit des Menschen",NULL
"node","book",0,1953,1953,"und",0,"Actenstücke zur Geschichte der Erhebung der Juden zu Bürgern der Republik Batavien",NULL
"node","book",0,1954,1954,"und",0,"Akten-Stücke die Reform der Jüdischen Kolonieen in den Preußischen Staaten betreffend",NULL
"node","book",0,1955,1955,"und",0,"An das Breslauer Publikum: ein Wort des Friedens zur Beseitigung des über die von Herrn Pastor Hermes am 2. Weihnachtsfeiertage gehaltene Predigt ausgebrochenen Streits",NULL
"node","book",0,1956,1956,"und",0,"An die Herausgeber des hebräischen Sammlers über die frühe Beerdigung der Juden",NULL
"node","book",0,1958,1958,"und",0,"Anfangsgründe der Newtonischen Philosophie von Dr. Pemberton. Aus dem Englischen mit Anmerkungen und einer Vorrede von Salomon Maimon. Erster Theil mit vier Kupfertafeln",NULL
"node","book",0,1959,1959,"und",0,"Answer to Mr. Joshua Van Oven’s letters on the present state of the Jewish poor in London: in which some of his hasty mistakes are rectified, with a word to P. Colquhoun, Esq. on the subject of the Jews as treated in his Police of the Metropolis, with an Introductory Letter setting in a conspicuous view some of the Jewish Bye Laws as observed at present, and an exact copy of the bill now before Parliament for bettering the state of the indigent Jews. By L. Alexander",NULL
"node","book",0,1960,1960,"und",0,"Apologie der Menschenrechte oder philosophisch kritische Beleuchtung der Schrift: Ueber die physische und moralische Verfassung der heutigen Juden",NULL
"node","book",0,1961,1961,"und",0,"Apologie des juifs en réponse à la question: Est-il des moyens de rendre les Juifs plus heureux & plus utiles en France? Ouvrage couronné par la Société Royale des Arts & des Sciences de Metz. Par M. Zalkind-Hourwitz, Juif Polonois",NULL
"node","book",0,1962,1962,"und",0,"Appel à la justice des nations et des rois: ou Adresse d'un Citoyen français au Congrès qui devait avoir lieu à Lunéville, au nom de tous les habitans [sic] de l'Europe que professent la réligion juive par Michel Berr, membr. de la societ. de l'emulat. de Nancy",NULL
"node","book",0,1963,1963,"und",0,"Aufsätze verschiedenen Inhalts",NULL
"node","book",0,1964,1964,"und",0,"Balsam für die Wunde: Ein Gespräch zwischen einem? Preußischen Patrioten und dem Knöchler über des Ableben Seiner Majestät Friedrich Wilhelm II König von Preußen und der Thronfolge Seines würdisten und mächtigsten Sohnes
Friedrich Wilhelm III von Rabbi Levi Wohl Sohn des Ober=Rabbiners in Groß=Glogau

צרי ליגון, היגון, על מות אדוננו ... פריריך וילהעלים השני",NULL
"node","book",0,1965,1965,"und",0,"Beleuchtung der in den gegenwärtig bei dem Geheimen Ober-Tribunale schwebenden Fränkel-Marcuseschen Erbrechtsprozess einschlagenden jüdischen Rechte: Von einem Sachverständigen",NULL
"node","book",0,1966,1966,"und",0,"Bemerkungen über die bürgerliche Verbesserung der Juden: veranlaßt, bei der Frage: Soll der Jude Soldat werden?",NULL
"node","book",0,1967,1967,"und",0,"Betrachtungen in Hinsicht der Jüdischen Nation: Ob für oder wider dieselbe? sey der Prüfung eines jeden Lesers anheimgestellt. Dem Herrn Assessor Friedländer zugeeignet",NULL
"node","book",0,1968,1968,"und",0,"Beweis, dass heut zu Tage in den k. k. Staaten die Juden zu Kriegsdiensten eben sowohl verpflictet sind, als die Christen",NULL
"node","book",0,1969,1969,"und",0,"Beyträge zur Kritik des Geschmacks",NULL
"node","book",0,1970,1970,"und",0,"Bildnisse jetztlebender Berliner Gelehrten mit Ihren Selbstbiographieen",NULL
"node","book",0,1971,1971,"und",0,"Bne-Zion: Ein religiös-moralisches Lehrbuch für die Jugend israelitischer Nation",NULL
"node","book",0,1972,1972,"und",0,"Cantique adresse a Napoleon le Grand, empereur des Francois et roi d'Italie, par Moïse Milliaud, Député de département de Vaucluse à l’Assemblée des Citoyens françois professant le culte de Moïse

מזמור שיר לנפולאון הגדול הקיסר",NULL
"node","book",0,1973,1973,"und",0,"Cantique des cantiques: avec la paraphrase Chaldaique et traite D'aboth, ou des Peres de la doctrine... traduits de l'hebreu, du Chaldaique & du rabbinique... par Mardochee venture",NULL
"node","book",0,1974,1974,"und",0,"Der Judenfreund. Oder auserlesene Anekdoten, Schwänke und Einfälle von den Kindern Israels",NULL
"node","book",0,1975,1975,"und",0,"Der Messias oder Reform der Juden in religiöser und moralischer Hinsicht: philosophisch und theologisch erläutert",NULL
"node","book",0,1976,1976,"und",0,"Der Prediger: Aus dem Hebräischen von David Friedländer. Nebst einer vorangeschickten Abhandlung: Ueber den besten Gebrauch der h. Schrift, in pädagogischer Rücksicht",NULL
"node","book",0,1977,1977,"und",0,"Der Pseudo-Haman oder Widerlegung der Schrift wider die Juden",NULL
"node","book",0,1978,1978,"und",0,"Der erste Mensch: eine Erzählung. Meinem Eleven Joseph Meyer Friedländer am Tage Seiner Einsegnung gewidmet",NULL
"node","book",0,1979,1979,"und",0,"Die Juden Oder Die nothwendige Reformation der Juden in der Republik Polen: Aus dem Polnischen eines unbenanten Verfassers übersetzt und mit einigen Anmerkungen vermehrt von Elias Ackord, der Arzneygelahrtheit Doctor und Accoucheur",NULL
"node","book",0,1980,1980,"und",0,"Die Kuhpockenimpfung: Eine Predigt von Rabbi Benedikt Jeitteles",NULL
"node","book",0,1981,1981,"und",0,"Die Moseide in achtzehn Gesängen: Uebersetzt nach dem hebräischen Original von Hartwig Wessely, mit teutschen Anmerkungen des Verfassers. Erstes Heft",NULL
"node","book",0,1982,1982,"und",0,"Die Psalmen. Uebersetzt von Moses Mendelssohn",NULL
"node","book",0,1983,1983,"und",0,"Discorso pronunziato nella grande sinagoga di Parigi, all'occasione dell'apertura del gran Sanhedrim: Tradotto in francese dal signor Furtado",NULL
"node","book",0,1984,1984,"und",0,"Discours du Sr. Isaac Berr, Fabricant de tabac, Membre du Conseil municipal de Nancy, Département de la Meurthe, Député à l’Assemblée des Français professant la religion juive, convoquée par décret impérial du 30 mai dernier",NULL
"node","book",0,1985,1985,"und",0,"Discours prononcé dans la Synagogue de Cassel, le 15 Novembre 1810, anniversaire de la naissance de S. M. le Roi de Westphalie: Trad. De l’allemand par C. D.",NULL
"node","book",0,1986,1986,"und",0,"Discours prononcé par M.r Israel Jacobson ... lors de la dédicace du Temple de Jacob à Seesen: Traduit de l'allemand par C. D.",NULL
"node","book",0,1987,1987,"und",0,"Ein Psalm an Bonaparte: nachdem ihn Jehova von seinen Feinden und Meuchelmördern errettet hatte, aus dem Hebraeischen des B. Lippmann Moses übersetzt von Gottfried Jakob Schaller",NULL
"node","book",0,1988,1988,"und",0,"Ein Wort zu seiner Zeit, die neuern Ansichten des Pentateuchs betreffend: Zur Ankündigung der, den 15ten und 16ten April zu haltenden, öffentlichen Prüfung sämtlicher Classen der Königlichen Wilhelms-Schule, von I. M. Neumann, Oberlehrer und erstem Inspektor gedachter Lehranstalt, Mitglied der schlesischen Gesellschaft für vaterländische Kultur",NULL
"node","book",0,1989,1989,"und",0,"Einheitsgedichte: eine Übersetzung aus dem Hebräischen, verfaßt von Isaak Alexander, Rabiner in Regensburg",NULL
"node","book",0,1990,1990,"und",0,"Einige jüdische Familienscenen, bey Erblickung des Patents über die Freyheiten, welche die Juden in den kaiserlichen Staaten erhalten haben: von einem jüdischen Jünglinge, namens Arenhof",NULL
"node","book",0,1991,1991,"und",0,"Elementarunterricht in der Religion aus der Natur und der heiligen Geschichte",NULL
"node","book",0,1992,1992,"und",0,"Entwurf einer Geschichte der Armen und Armenanstalten: nebst einer Nachricht von dem jetzigen Zustande der Pariser Armenanstalten und Hospitäler insbesondere im November 1803",NULL
"node","book",0,1993,1993,"und",0,"Etwas zum Schutz des angegriffenen Gebrauchs der ebräischen Sprache bei den Gebeten der Juden in den Königlich Preußischen Staaten",NULL
"node","book",0,1994,1994,"und",0,"Etwas zur Charackteristick der Juden",NULL
