"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_gregorian_year_value
"node","book",0,1952,1952,"und",0,1789
"node","book",0,1954,1954,"und",0,1793
"node","book",0,1956,1956,"und",0,1787
"node","book",0,1960,1960,"und",0,1793
"node","book",0,1966,1966,"und",0,1788
"node","book",0,1968,1968,"und",0,1788
"node","book",0,1970,1970,"und",0,1806
"node","book",0,1971,1971,"und",0,1812
"node","book",0,1976,1976,"und",0,1788
"node","book",0,1978,1978,"und",0,1787
"node","book",0,1979,1979,"und",0,1786
"node","book",0,1988,1988,"und",0,1812
"node","book",0,1989,1989,"und",0,1788
"node","book",0,1994,1994,"und",0,1793
"node","book",0,1996,1996,"und",0,1799
"node","book",0,1997,1997,"und",0,1786
"node","book",0,1998,1998,"und",0,1806
"node","book",0,1999,1999,"und",0,1808
"node","book",0,2003,2003,"und",0,1787
"node","book",0,2004,2004,"und",0,1792
"node","book",0,2006,2006,"und",0,1811
"node","book",0,2011,2011,"und",0,1806
"node","book",0,2012,2012,"und",0,1803
"node","book",0,2013,2013,"und",0,1788
"node","book",0,2022,2022,"und",0,1792
"node","book",0,2025,2025,"und",0,1776
"node","book",0,2026,2026,"und",0,1804
"node","book",0,2027,2027,"und",0,1809
"node","book",0,2028,2028,"und",0,1808
"node","book",0,2029,2029,"und",0,1808
"node","book",0,2032,2032,"und",0,1809
"node","book",0,2042,2042,"und",0,1812
"node","book",0,2043,2043,"und",0,1811
"node","book",0,2046,2046,"und",0,1782
"node","book",0,2049,2049,"und",0,1789
"node","book",0,2050,2050,"und",0,1787
"node","book",0,2054,2054,"und",0,1805
"node","book",0,2056,2056,"und",0,1786
"node","book",0,2058,2058,"und",0,1812
"node","book",0,2061,2061,"und",0,1798
"node","book",0,2062,2062,"und",0,1812
"node","book",0,2065,2065,"und",0,1783
"node","book",0,2066,2066,"und",0,1775
"node","book",0,2068,2068,"und",0,1779
"node","book",0,2069,2069,"und",0,1782
"node","book",0,2070,2070,"und",0,1804
"node","book",0,2071,2071,"und",0,1804
"node","book",0,2072,2072,"und",0,1806
"node","book",0,2073,2073,"und",0,1797
"node","book",0,2074,2074,"und",0,1790
"node","book",0,2075,2075,"und",0,1776
"node","book",0,2076,2076,"und",0,1790
"node","book",0,2077,2077,"und",0,1794
"node","book",0,2078,2078,"und",0,1772
"node","book",0,2079,2079,"und",0,1793
"node","book",0,2086,2086,"und",0,1812
"node","book",0,2094,2094,"und",0,1766
"node","book",0,2100,2100,"und",0,1802
"node","book",0,2107,2107,"und",0,1802
"node","book",0,2108,2108,"und",0,1806
"node","book",0,2109,2109,"und",0,1790
"node","book",0,2110,2110,"und",0,1801
"node","book",0,2116,2116,"und",0,1786
"node","book",0,2121,2121,"und",0,1812
"node","book",0,2122,2122,"und",0,1790
"node","book",0,2126,2126,"und",0,1782
"node","book",0,2127,2127,"und",0,1784
"node","book",0,2128,2128,"und",0,1785
"node","book",0,2129,2129,"und",0,1763
"node","book",0,2131,2131,"und",0,1812
"node","book",0,2135,2135,"und",0,1809
"node","book",0,2136,2136,"und",0,1810
"node","book",0,2143,2143,"und",0,1808
"node","book",0,2144,2144,"und",0,1788
"node","book",0,2150,2150,"und",0,1791
"node","book",0,2151,2151,"und",0,1809
"node","book",0,2153,2153,"und",0,1767
"node","book",0,2154,2154,"und",0,1797
"node","book",0,2156,2156,"und",0,1809
"node","book",0,2161,2161,"und",0,1788
"node","book",0,2162,2162,"und",0,1797
"node","book",0,2165,2165,"und",0,1798
"node","book",0,2166,2166,"und",0,1809
"node","book",0,2169,2169,"und",0,1788
"node","book",0,2171,2171,"und",0,1786
"node","book",0,2174,2174,"und",0,1802
"node","book",0,2176,2176,"und",0,1801
"node","book",0,2179,2179,"und",0,1796
"node","book",0,2191,2191,"und",0,1797
"node","book",0,2192,2192,"und",0,1771
"node","book",0,2200,2200,"und",0,1788
"node","book",0,2202,2202,"und",0,1802
"node","book",0,2208,2208,"und",0,1797
"node","book",0,2214,2214,"und",0,1795
"node","book",0,2215,2215,"und",0,1795
"node","book",0,2222,2222,"und",0,1805
"node","book",0,2223,2223,"und",0,1803
"node","book",0,2224,2224,"und",0,1800
"node","book",0,2225,2225,"und",0,1800
"node","book",0,2226,2226,"und",0,1800
"node","book",0,2227,2227,"und",0,1800
"node","book",0,2228,2228,"und",0,1800
"node","book",0,2229,2229,"und",0,1805
"node","book",0,2230,2230,"und",0,1807
"node","book",0,2231,2231,"und",0,1789
"node","book",0,2234,2234,"und",0,1794
"node","book",0,2241,2241,"und",0,1807
"node","book",0,2242,2242,"und",0,1792
"node","book",0,2243,2243,"und",0,1799
"node","book",0,2245,2245,"und",0,1789
"node","book",0,2246,2246,"und",0,1792
"node","book",0,2247,2247,"und",0,1793
"node","book",0,2250,2250,"und",0,1785
"node","book",0,2252,2252,"und",0,1785
"node","book",0,2254,2254,"und",0,1766
"node","book",0,2255,2255,"und",0,1797
"node","book",0,2264,2264,"und",0,1789
"node","book",0,2265,2265,"und",0,1794
"node","book",0,2267,2267,"und",0,1783
"node","book",0,2268,2268,"und",0,1767
"node","book",0,2272,2272,"und",0,1767
"node","book",0,2274,2274,"und",0,1779
"node","book",0,2277,2277,"und",0,1798
"node","book",0,2288,2288,"und",0,1790
"node","book",0,2290,2290,"und",0,1787
"node","book",0,2291,2291,"und",0,1787
"node","book",0,2293,2293,"und",0,1794
"node","book",0,2295,2295,"und",0,1785
"node","book",0,2296,2296,"und",0,1786
"node","book",0,2297,2297,"und",0,1785
"node","book",0,2298,2298,"und",0,1790
"node","book",0,2299,2299,"und",0,1791
"node","book",0,2300,2300,"und",0,1797
"node","book",0,2303,2303,"und",0,1798
"node","book",0,2314,2314,"und",0,1784
"node","book",0,2322,2322,"und",0,1789
"node","book",0,2333,2333,"und",0,1806
"node","book",0,2334,2334,"und",0,1807
"node","book",0,2336,2336,"und",0,1805
"node","book",0,2337,2337,"und",0,1788
"node","book",0,2342,2342,"und",0,1809
"node","book",0,2343,2343,"und",0,1789
"node","book",0,2345,2345,"und",0,1786
"node","book",0,2356,2356,"und",0,1777
"node","book",0,2361,2361,"und",0,1805
"node","book",0,2363,2363,"und",0,1796
"node","book",0,2365,2365,"und",0,1794
"node","book",0,2366,2366,"und",0,1793
"node","book",0,2370,2370,"und",0,1766
"node","book",0,2376,2376,"und",0,1756
"node","book",0,2378,2378,"und",0,1777
"node","book",0,2383,2383,"und",0,1778
"node","book",0,2384,2384,"und",0,1794
"node","book",0,2385,2385,"und",0,1793
"node","book",0,2389,2389,"und",0,1799
"node","book",0,2395,2395,"und",0,1787
"node","book",0,2399,2399,"und",0,1808
"node","book",0,2402,2402,"und",0,1805
"node","book",0,2404,2404,"und",0,1802
"node","book",0,2408,2408,"und",0,1790
"node","book",0,2419,2419,"und",0,1784
"node","book",0,2420,2420,"und",0,1775
"node","book",0,2425,2425,"und",0,1792
"node","book",0,2428,2428,"und",0,1805
"node","book",0,2431,2431,"und",0,1800
"node","book",0,2437,2437,"und",0,1798
"node","book",0,2442,2442,"und",0,1788
"node","book",0,2446,2446,"und",0,1763
"node","book",0,2449,2449,"und",0,1796
"node","book",0,2450,2450,"und",0,1762
"node","book",0,2453,2453,"und",0,1789
"node","book",0,2454,2454,"und",0,1790
"node","book",0,2459,2459,"und",0,1807
"node","book",0,2463,2463,"und",0,1782
"node","book",0,2464,2464,"und",0,1811
"node","book",0,2466,2466,"und",0,1786
"node","book",0,2467,2467,"und",0,1807
"node","book",0,2469,2469,"und",0,1780
