"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_hebrew_year_of_publication_value","field_hebrew_year_of_publication_format"
"node","book",0,1952,1952,"und",0,"תקמט",NULL
"node","book",0,1954,1954,"und",0,"תקנד",NULL
"node","book",0,1960,1960,"und",0,"תקנד",NULL
"node","book",0,1963,1963,"und",0,"תקסא",NULL
"node","book",0,1966,1966,"und",0,"תקמח",NULL
"node","book",0,1968,1968,"und",0,"תקמט",NULL
"node","book",0,1970,1970,"und",0,"תקסז",NULL
"node","book",0,1976,1976,"und",0,"תקמט",NULL
"node","book",0,1978,1978,"und",0,"תקמז",NULL
"node","book",0,1988,1988,"und",0,"תקעג",NULL
"node","book",0,1989,1989,"und",0,"תקמט",NULL
"node","book",0,1994,1994,"und",0,"תקנד",NULL
"node","book",0,1997,1997,"und",0,"תקמז",NULL
"node","book",0,2003,2003,"und",0,"תקמז",NULL
"node","book",0,2004,2004,"und",0,"תקמג",NULL
"node","book",0,2006,2006,"und",0,"תקעא",NULL
"node","book",0,2007,2007,"und",0,"תקעא",NULL
"node","book",0,2011,2011,"und",0,"תקסז",NULL
"node","book",0,2013,2013,"und",0,"תקמט",NULL
"node","book",0,2022,2022,"und",0,"תקנג",NULL
"node","book",0,2025,2025,"und",0,"תקלו",NULL
"node","book",0,2028,2028,"und",0,"תקסח",NULL
"node","book",0,2029,2029,"und",0,"תקסט",NULL
"node","book",0,2032,2032,"und",0,"תקע",NULL
"node","book",0,2042,2042,"und",0,"תקעג",NULL
"node","book",0,2043,2043,"und",0,"תקעב",NULL
"node","book",0,2044,2044,"und",0,"תקנד",NULL
"node","book",0,2046,2046,"und",0,"תקמג",NULL
"node","book",0,2049,2049,"und",0,"תקנ",NULL
"node","book",0,2050,2050,"und",0,"תקמח",NULL
"node","book",0,2055,2055,"und",0,"תקע",NULL
"node","book",0,2056,2056,"und",0,"תקמו",NULL
"node","book",0,2066,2066,"und",0,"תקלו",NULL
"node","book",0,2068,2068,"und",0,"תקמ",NULL
"node","book",0,2075,2075,"und",0,"תקלו",NULL
"node","book",0,2081,2081,"und",0,"תקמ",NULL
"node","book",0,2089,2089,"und",0,"תקמג",NULL
"node","book",0,2100,2100,"und",0,"תקסח",NULL
"node","book",0,2112,2112,"und",0,"תקמט",NULL
"node","book",0,2113,2113,"und",0,"תקמז",NULL
"node","book",0,2114,2114,"und",0,"תקסה",NULL
"node","book",0,2115,2115,"und",0,"תקסא",NULL
"node","book",0,2116,2116,"und",0,"תקמו",NULL
"node","book",0,2118,2118,"und",0,"תקל",NULL
"node","book",0,2121,2121,"und",0,"תקעב",NULL
"node","book",0,2122,2122,"und",0,"תקנ",NULL
"node","book",0,2126,2126,"und",0,"תקמב",NULL
"node","book",0,2129,2129,"und",0,"תקכג",NULL
"node","book",0,2133,2133,"und",0,"תקסו",NULL
"node","book",0,2134,2134,"und",0,"תקסד",NULL
"node","book",0,2145,2145,"und",0,"תקנ",NULL
"node","book",0,2147,2147,"und",0,"תקנא",NULL
"node","book",0,2148,2148,"und",0,"תקנא",NULL
"node","book",0,2150,2150,"und",0,"תקנא",NULL
"node","book",0,2151,2151,"und",0,"תקע",NULL
"node","book",0,2153,2153,"und",0,"תקכז",NULL
"node","book",0,2154,2154,"und",0,"תקנז",NULL
"node","book",0,2158,2158,"und",0,"תקלז",NULL
"node","book",0,2159,2159,"und",0,"תקנד",NULL
"node","book",0,2161,2161,"und",0,"תקמח",NULL
"node","book",0,2162,2162,"und",0,"תקנו",NULL
"node","book",0,2165,2165,"und",0,"תקנח",NULL
"node","book",0,2170,2170,"und",0,"תקמט",NULL
"node","book",0,2173,2173,"und",0,"תקעא",NULL
"node","book",0,2175,2175,"und",0,"תקנה",NULL
"node","book",0,2191,2191,"und",0,"תקנז",NULL
"node","book",0,2198,2198,"und",0,"תקסו",NULL
"node","book",0,2209,2209,"und",0,"תקסח",NULL
"node","book",0,2210,2210,"und",0,"תקע",NULL
"node","book",0,2213,2213,"und",0,"תקנא",NULL
"node","book",0,2215,2215,"und",0,"תקנו",NULL
"node","book",0,2222,2222,"und",0,"תקסה",NULL
"node","book",0,2223,2223,"und",0,"תקסג",NULL
"node","book",0,2224,2224,"und",0,"תקס",NULL
"node","book",0,2225,2225,"und",0,"תקס",NULL
"node","book",0,2226,2226,"und",0,"תקס",NULL
"node","book",0,2227,2227,"und",0,"תקס",NULL
"node","book",0,2228,2228,"und",0,"תקס",NULL
"node","book",0,2229,2229,"und",0,"תקסה",NULL
"node","book",0,2242,2242,"und",0,"תקנב",NULL
"node","book",0,2243,2243,"und",0,"תקנט",NULL
"node","book",0,2262,2262,"und",0,"תקנט",NULL
"node","book",0,2266,2266,"und",0,"תקמג",NULL
"node","book",0,2268,2268,"und",0,"תקכז",NULL
"node","book",0,2271,2271,"und",0,"תקעח",NULL
"node","book",0,2274,2274,"und",0,"תקלט",NULL
"node","book",0,2281,2281,"und",0,"תקנח",NULL
"node","book",0,2282,2282,"und",0,"תקנה",NULL
"node","book",0,2286,2286,"und",0,"תקנ",NULL
"node","book",0,2288,2288,"und",0,"תקנ",NULL
"node","book",0,2292,2292,"und",0,"תקמה",NULL
"node","book",0,2293,2293,"und",0,"תקנה",NULL
"node","book",0,2297,2297,"und",0,"תקנא",NULL
"node","book",0,2311,2311,"und",0,"תקלז",NULL
"node","book",0,2312,2312,"und",0,"תקנז",NULL
"node","book",0,2314,2314,"und",0,"תקמד",NULL
"node","book",0,2318,2318,"und",0,"תקל",NULL
"node","book",0,2320,2320,"und",0,"תקכה",NULL
"node","book",0,2323,2323,"und",0,"תקנג",NULL
"node","book",0,2328,2328,"und",0,"תקנב",NULL
"node","book",0,2329,2329,"und",0,"תקנג",NULL
"node","book",0,2331,2331,"und",0,"תקסז",NULL
"node","book",0,2332,2332,"und",0,"תקסז",NULL
"node","book",0,2334,2334,"und",0,"תקסח",NULL
"node","book",0,2335,2335,"und",0,"תקסח",NULL
"node","book",0,2338,2338,"und",0,"תקסח",NULL
"node","book",0,2340,2340,"und",0,"תקכט",NULL
"node","book",0,2341,2341,"und",0,"תקסח",NULL
"node","book",0,2345,2345,"und",0,"תקמו",NULL
"node","book",0,2353,2353,"und",0,"תקמג",NULL
"node","book",0,2356,2356,"und",0,"תקלז",NULL
"node","book",0,2361,2361,"und",0,"תקסה",NULL
"node","book",0,2362,2362,"und",0,"תקכה",NULL
"node","book",0,2366,2366,"und",0,"תקנג",NULL
"node","book",0,2367,2367,"und",0,"תקמה",NULL
"node","book",0,2374,2374,"und",0,"תקמד",NULL
"node","book",0,2375,2375,"und",0,"תקנו",NULL
"node","book",0,2376,2376,"und",0,"תקט\"ז",NULL
"node","book",0,2378,2378,"und",0,"תקלז",NULL
"node","book",0,2381,2381,"und",0,"תקמה",NULL
"node","book",0,2394,2394,"und",0,"תקמו",NULL
"node","book",0,2401,2401,"und",0,"תקסא",NULL
"node","book",0,2404,2404,"und",0,"תקסב",NULL
"node","book",0,2406,2406,"und",0,"תקסד",NULL
"node","book",0,2416,2416,"und",0,"תקסא",NULL
"node","book",0,2417,2417,"und",0,"תקעב",NULL
"node","book",0,2418,2418,"und",0,"תקעב",NULL
"node","book",0,2419,2419,"und",0,"תקמד",NULL
"node","book",0,2421,2421,"und",0,"תקמט",NULL
"node","book",0,2422,2422,"und",0,"תקע",NULL
"node","book",0,2430,2430,"und",0,"תקסא",NULL
"node","book",0,2431,2431,"und",0,"תקס",NULL
"node","book",0,2433,2433,"und",0,"תקכז",NULL
"node","book",0,2435,2435,"und",0,"תקסח",NULL
"node","book",0,2436,2436,"und",0,"תקמז",NULL
"node","book",0,2440,2440,"und",0,"תקנט",NULL
"node","book",0,2442,2442,"und",0,"תקמח",NULL
"node","book",0,2448,2448,"und",0,"תקמב",NULL
"node","book",0,2450,2450,"und",0,"תקכג",NULL
"node","book",0,2452,2452,"und",0,"תקנ",NULL
"node","book",0,2453,2453,"und",0,"תקמט",NULL
"node","book",0,2462,2462,"und",0,"תקעא",NULL
"node","book",0,2463,2463,"und",0,"תקמב",NULL
"node","book",0,2464,2464,"und",0,"תקעא",NULL
"node","book",0,2466,2466,"und",0,"תקמז",NULL
"node","book",0,2468,2468,"und",0,"תקסו",NULL
"node","book",0,2469,2469,"und",0,"תקמ",NULL
"node","book",0,2470,2470,"und",0,"תקעג",NULL
"node","book",0,2473,2473,"und",0,"תקמט",NULL
"node","book",0,2474,2474,"und",0,"תקסז",NULL
"node","book",0,2475,2475,"und",0,"תקסז",NULL
"node","book",0,2476,2476,"und",0,"תקסז",NULL
"node","book",0,2479,2479,"und",0,"תקסו",NULL
