"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_link_to_digital_book_url","field_link_to_digital_book_title","field_link_to_digital_book_attributes"
"node","book",0,1952,1952,"und",0,"http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10039703-9",NULL,"a:0:{}"
"node","book",0,1953,1953,"und",0,"http://reader.digitale-sammlungen.de/resolve/display/bsb10570202.html",NULL,"a:0:{}"
"node","book",0,1954,1954,"und",0,"http://sammlungen.ub.uni-frankfurt.de/urn/urn:nbn:de:hebis:30-180012126007",NULL,"a:0:{}"
"node","book",0,1962,1962,"und",0,"http://sammlungen.ub.uni-frankfurt.de/urn/urn:nbn:de:hebis:30-180011459005",NULL,"a:0:{}"
"node","book",0,1975,1975,"und",0,"http://sammlungen.ub.uni-frankfurt.de/urn/urn:nbn:de:hebis:30-180010629003",NULL,"a:0:{}"
"node","book",0,1982,1982,"und",0,"http://db.saur.de/DLO/saveUrl.jsf?type=fullcitation&value=4310",NULL,"a:0:{}"
"node","book",0,1999,1999,"und",0,"http://sammlungen.ub.uni-frankfurt.de/urn/urn:nbn:de:hebis:30-180013698004",NULL,"a:0:{}"
"node","book",0,2001,2001,"und",0,"http://sammlungen.ub.uni-frankfurt.de/freimann/urn/urn:nbn:de:hebis:30:1-117517",NULL,"a:0:{}"
"node","book",0,2004,2004,"und",0,"http://db.saur.de/DLO/saveUrl.jsf?type=fullcitation&value=42f7",NULL,"a:0:{}"
"node","book",0,2009,2009,"und",0,"http://sammlungen.ub.uni-frankfurt.de/freimann/content/titleinfo/674220",NULL,"a:0:{}"
"node","book",0,2010,2010,"und",0,"http://sammlungen.ub.uni-frankfurt.de/urn/urn:nbn:de:hebis:30-180013792001",NULL,"a:0:{}"
"node","book",0,2012,2012,"und",0,"http://sammlungen.ub.uni-frankfurt.de/urn/urn:nbn:de:hebis:30-180011664008",NULL,"a:0:{}"
"node","book",0,2016,2016,"und",0,"http://sammlungen.ub.uni-frankfurt.de/urn/urn:nbn:de:hebis:30-180011239003",NULL,"a:0:{}"
"node","book",0,2020,2020,"und",0,"http://reader.digitale-sammlungen.de/resolve/display/bsb10477114.html",NULL,"a:0:{}"
"node","book",0,2023,2023,"und",0,"http://daten.digitale-sammlungen.de/~db/bsb00003672/images/index.html?id=00003672&fip=85.250.69.179&no=30&seite=1",NULL,"a:0:{}"
"node","book",0,2033,2033,"und",0,"http://babel.hathitrust.org/cgi/pt?id=hvd.hw5nsi;view=1up;seq=9",NULL,"a:0:{}"
"node","book",0,2034,2034,"und",0,"http://babel.hathitrust.org/cgi/pt?id=hvd.hw5nsj;view=1up;seq=7",NULL,"a:0:{}"
"node","book",0,2047,2047,"und",0,"http://resolver.sub.uni-goettingen.de/purl?PPN312359306",NULL,"a:0:{}"
"node","book",0,2048,2048,"und",0,"http://resolver.sub.uni-goettingen.de/purl?PPN31235939X",NULL,"a:0:{}"
"node","book",0,2049,2049,"und",0,"http://sammlungen.ub.uni-frankfurt.de/urn/urn:nbn:de:hebis:30-180010667005",NULL,"a:0:{}"
"node","book",0,2052,2052,"und",0,"http://judaica-frankfurt.de/urn/urn:nbn:de:hebis:30-180011987001",NULL,"a:0:{}"
"node","book",0,2056,2056,"und",0,"http://digital.slub-dresden.de/werkansicht/dlf/16103/1/cache.off",NULL,"a:0:{}"
"node","book",0,2057,2057,"und",0,"http://reader.digitale-sammlungen.de/resolve/display/bsb10915444.html",NULL,"a:0:{}"
"node","book",0,2059,2059,"und",0,"http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb11009429-1",NULL,"a:0:{}"
"node","book",0,2061,2061,"und",0,"http://sammlungen.ub.uni-frankfurt.de/freimann/content/titleinfo/284",NULL,"a:0:{}"
"node","book",0,2062,2062,"und",0,"http://sammlungen.ub.uni-frankfurt.de/urn/urn:nbn:de:hebis:30-180012065009",NULL,"a:0:{}"
"node","book",0,2066,2066,"und",0,"http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10042571-6",NULL,"a:0:{}"
"node","book",0,2073,2073,"und",0,"http://sammlungen.ub.uni-frankfurt.de/urn/urn:nbn:de:hebis:30-180011244006",NULL,"a:0:{}"
"node","book",0,2075,2075,"und",0,"http://www.hebrewbooks.org/22495",NULL,"a:0:{}"
"node","book",0,2086,2086,"und",0,"http://babel.hathitrust.org/cgi/pt?id=nnc1.50217803;page=root;view=image;size=100;seq=6",NULL,"a:0:{}"
"node","book",0,2105,2105,"und",0,"http://reader.digitale-sammlungen.de/resolve/display/bsb10240857.html",NULL,"a:0:{}"
"node","book",0,2130,2130,"und",0,"http://www.hebrewbooks.org/19699?",NULL,"a:0:{}"
"node","book",0,2133,2133,"und",0,"http://sammlungen.ub.uni-frankfurt.de/id/4690770",NULL,"a:0:{}"
"node","book",0,2135,2135,"und",0,"http://sammlungen.ub.uni-frankfurt.de/freimann/content/titleinfo/417828",NULL,"a:0:{}"
"node","book",0,2137,2137,"und",0,"http://web.nli.org.il/sites/nli/Hebrew/library/Pages/BookReader.aspx?pid=404249",NULL,"a:0:{}"
"node","book",0,2138,2138,"und",0,"http://sammlungen.ub.uni-frankfurt.de/jd/content/titleinfo/1785725",NULL,"a:0:{}"
"node","book",0,2152,2152,"und",0,"http://reader.digitale-sammlungen.de/de/fs1/object/display/bsb10621076_00002.html",NULL,"a:0:{}"
"node","book",0,2161,2161,"und",0,"http://sammlungen.ub.uni-frankfurt.de/jd/urn/urn:nbn:de:hebis:30:2-1144",NULL,"a:0:{}"
"node","book",0,2169,2169,"und",0,"http://www.hebrewbooks.org/23700",NULL,"a:0:{}"
"node","book",0,2181,2181,"und",0,"http://sammlungen.ub.uni-frankfurt.de/jd/content/titleinfo/1735452",NULL,"a:0:{}"
"node","book",0,2184,2184,"und",0,"http://sammlungen.ub.uni-frankfurt.de/jd/content/titleinfo/1755077",NULL,"a:0:{}"
"node","book",0,2185,2185,"und",0,"http://reader.digitale-sammlungen.de/resolve/display/bsb10995025.html",NULL,"a:0:{}"
"node","book",0,2189,2189,"und",0,"http://sammlungen.ub.uni-frankfurt.de/jd/content/titleinfo/1728910",NULL,"a:0:{}"
"node","book",0,2198,2198,"und",0,"http://sammlungen.ub.uni-frankfurt.de/judaicaffm/content/pageview/4690821",NULL,"a:0:{}"
"node","book",0,2209,2209,"und",0,"http://sammlungen.ub.uni-frankfurt.de/freimann/content/titleinfo/1072257",NULL,"a:0:{}"
"node","book",0,2210,2210,"und",0,"http://sammlungen.ub.uni-frankfurt.de/freimann/content/titleinfo/1073081",NULL,"a:0:{}"
"node","book",0,2213,2213,"und",0,"http://www.hebrewbooks.org/23744",NULL,"a:0:{}"
"node","book",0,2214,2214,"und",0,"http://www.hebrewbooks.org/23744",NULL,"a:0:{}"
"node","book",0,2215,2215,"und",0,"http://www.hebrewbooks.org/23744",NULL,"a:0:{}"
"node","book",0,2224,2224,"und",0,"http://sammlungen.ub.uni-frankfurt.de/jd/content/titleinfo/1714824",NULL,"a:0:{}"
"node","book",0,2226,2226,"und",0,"http://sammlungen.ub.uni-frankfurt.de/jd/content/titleinfo/1715067",NULL,"a:0:{}"
"node","book",0,2261,2261,"und",0,"http://www.hebrewbooks.org/44611",NULL,"a:0:{}"
