"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_main_textual_models_tid
"node","book",0,1952,1952,"und",0,377
"node","book",0,1952,1952,"und",1,378
"node","book",0,1953,1953,"und",0,336
"node","book",0,1954,1954,"und",0,359
"node","book",0,1956,1956,"und",0,359
"node","book",0,1960,1960,"und",0,359
"node","book",0,1962,1962,"und",0,341
"node","book",0,1963,1963,"und",0,377
"node","book",0,1963,1963,"und",1,378
"node","book",0,1964,1964,"und",0,347
"node","book",0,1964,1964,"und",1,351
"node","book",0,1964,1964,"und",2,357
"node","book",0,1966,1966,"und",0,359
"node","book",0,1971,1971,"und",0,330
"node","book",0,1971,1971,"und",1,387
"node","book",0,1974,1974,"und",0,359
"node","book",0,1975,1975,"und",0,342
"node","book",0,1976,1976,"und",0,324
"node","book",0,1977,1977,"und",0,359
"node","book",0,1979,1979,"und",0,341
"node","book",0,1980,1980,"und",0,337
"node","book",0,1980,1980,"und",1,385
"node","book",0,1981,1981,"und",0,351
"node","book",0,1981,1981,"und",1,352
"node","book",0,1982,1982,"und",0,325
"node","book",0,1987,1987,"und",0,351
"node","book",0,1988,1988,"und",0,377
"node","book",0,1988,1988,"und",1,378
"node","book",0,1989,1989,"und",0,351
"node","book",0,1989,1989,"und",1,352
"node","book",0,1991,1991,"und",0,330
"node","book",0,1994,1994,"und",0,359
"node","book",0,1995,1995,"und",0,351
"node","book",0,1995,1995,"und",1,355
"node","book",0,1996,1996,"und",0,351
"node","book",0,1996,1996,"und",1,358
"node","book",0,1999,1999,"und",0,377
"node","book",0,2000,2000,"und",0,336
"node","book",0,2002,2002,"und",0,335
"node","book",0,2003,2003,"und",0,351
"node","book",0,2003,2003,"und",1,355
"node","book",0,2004,2004,"und",0,351
"node","book",0,2007,2007,"und",0,387
"node","book",0,2007,2007,"und",1,389
"node","book",0,2009,2009,"und",0,341
"node","book",0,2010,2010,"und",0,359
"node","book",0,2011,2011,"und",0,343
"node","book",0,2011,2011,"und",1,345
"node","book",0,2012,2012,"und",0,336
"node","book",0,2013,2013,"und",0,359
"node","book",0,2017,2017,"und",0,387
"node","book",0,2017,2017,"und",1,389
"node","book",0,2018,2018,"und",0,332
"node","book",0,2018,2018,"und",1,334
"node","book",0,2022,2022,"und",0,377
"node","book",0,2022,2022,"und",1,378
"node","book",0,2023,2023,"und",0,336
"node","book",0,2023,2023,"und",1,337
"node","book",0,2025,2025,"und",0,351
"node","book",0,2025,2025,"und",1,353
"node","book",0,2026,2026,"und",0,375
"node","book",0,2027,2027,"und",0,351
"node","book",0,2027,2027,"und",1,352
"node","book",0,2027,2027,"und",2,355
"node","book",0,2028,2028,"und",0,387
"node","book",0,2029,2029,"und",0,377
"node","book",0,2029,2029,"und",1,378
"node","book",0,2031,2031,"und",0,351
"node","book",0,2032,2032,"und",0,385
"node","book",0,2039,2039,"und",0,385
"node","book",0,2040,2040,"und",0,385
"node","book",0,2041,2041,"und",0,341
"node","book",0,2044,2044,"und",0,351
"node","book",0,2047,2047,"und",0,343
"node","book",0,2047,2047,"und",1,344
"node","book",0,2048,2048,"und",0,343
"node","book",0,2048,2048,"und",1,344
"node","book",0,2049,2049,"und",0,341
"node","book",0,2052,2052,"und",0,331
"node","book",0,2053,2053,"und",0,336
"node","book",0,2054,2054,"und",0,341
"node","book",0,2055,2055,"und",0,351
"node","book",0,2055,2055,"und",1,353
"node","book",0,2057,2057,"und",0,345
"node","book",0,2058,2058,"und",0,378
"node","book",0,2060,2060,"und",0,341
"node","book",0,2061,2061,"und",0,359
"node","book",0,2062,2062,"und",0,341
"node","book",0,2063,2063,"und",0,341
"node","book",0,2064,2064,"und",0,336
"node","book",0,2067,2067,"und",0,336
"node","book",0,2070,2070,"und",0,387
"node","book",0,2070,2070,"und",1,389
"node","book",0,2071,2071,"und",0,375
"node","book",0,2072,2072,"und",0,341
"node","book",0,2073,2073,"und",0,380
"node","book",0,2073,2073,"und",1,381
"node","book",0,2074,2074,"und",0,387
"node","book",0,2074,2074,"und",1,389
"node","book",0,2075,2075,"und",0,351
"node","book",0,2075,2075,"und",1,353
"node","book",0,2077,2077,"und",0,332
"node","book",0,2077,2077,"und",1,334
"node","book",0,2078,2078,"und",0,320
"node","book",0,2078,2078,"und",1,321
"node","book",0,2079,2079,"und",0,377
"node","book",0,2080,2080,"und",0,336
"node","book",0,2081,2081,"und",0,332
"node","book",0,2083,2083,"und",0,336
"node","book",0,2083,2083,"und",1,338
"node","book",0,2083,2083,"und",2,339
"node","book",0,2084,2084,"und",0,336
"node","book",0,2084,2084,"und",1,338
"node","book",0,2084,2084,"und",2,339
"node","book",0,2085,2085,"und",0,336
"node","book",0,2085,2085,"und",1,338
"node","book",0,2085,2085,"und",2,339
"node","book",0,2086,2086,"und",0,338
"node","book",0,2089,2089,"und",0,336
"node","book",0,2091,2091,"und",0,328
"node","book",0,2091,2091,"und",1,366
"node","book",0,2091,2091,"und",2,370
"node","book",0,2091,2091,"und",3,372
"node","book",0,2098,2098,"und",0,366
"node","book",0,2098,2098,"und",1,370
"node","book",0,2098,2098,"und",2,385
"node","book",0,2101,2101,"und",0,375
"node","book",0,2105,2105,"und",0,336
"node","book",0,2106,2106,"und",0,336
"node","book",0,2107,2107,"und",0,351
"node","book",0,2107,2107,"und",1,387
"node","book",0,2107,2107,"und",2,389
"node","book",0,2108,2108,"und",0,387
"node","book",0,2108,2108,"und",1,389
"node","book",0,2109,2109,"und",0,336
"node","book",0,2109,2109,"und",1,366
"node","book",0,2110,2110,"und",0,351
"node","book",0,2110,2110,"und",1,357
"node","book",0,2112,2112,"und",0,332
"node","book",0,2113,2113,"und",0,328
"node","book",0,2114,2114,"und",0,325
"node","book",0,2114,2114,"und",1,347
"node","book",0,2115,2115,"und",0,336
"node","book",0,2119,2119,"und",0,336
"node","book",0,2123,2123,"und",0,331
"node","book",0,2123,2123,"und",1,386
"node","book",0,2124,2124,"und",0,331
"node","book",0,2124,2124,"und",1,386
"node","book",0,2129,2129,"und",0,385
"node","book",0,2130,2130,"und",0,342
"node","book",0,2131,2131,"und",0,336
"node","book",0,2131,2131,"und",1,351
"node","book",0,2133,2133,"und",0,320
"node","book",0,2133,2133,"und",1,336
"node","book",0,2135,2135,"und",0,330
"node","book",0,2135,2135,"und",1,387
"node","book",0,2136,2136,"und",0,330
"node","book",0,2136,2136,"und",1,387
"node","book",0,2138,2138,"und",0,338
"node","book",0,2138,2138,"und",1,339
"node","book",0,2139,2139,"und",0,387
"node","book",0,2139,2139,"und",1,389
"node","book",0,2141,2141,"und",0,387
"node","book",0,2142,2142,"und",0,336
"node","book",0,2143,2143,"und",0,338
"node","book",0,2143,2143,"und",1,339
"node","book",0,2144,2144,"und",0,366
"node","book",0,2144,2144,"und",1,370
"node","book",0,2145,2145,"und",0,324
"node","book",0,2145,2145,"und",1,366
"node","book",0,2146,2146,"und",0,324
"node","book",0,2146,2146,"und",1,366
"node","book",0,2147,2147,"und",0,324
"node","book",0,2147,2147,"und",1,366
"node","book",0,2148,2148,"und",0,324
"node","book",0,2148,2148,"und",1,366
"node","book",0,2154,2154,"und",0,351
"node","book",0,2154,2154,"und",1,354
"node","book",0,2154,2154,"und",2,366
"node","book",0,2154,2154,"und",3,370
"node","book",0,2154,2154,"und",4,372
"node","book",0,2155,2155,"und",0,336
"node","book",0,2155,2155,"und",1,342
"node","book",0,2156,2156,"und",0,343
"node","book",0,2156,2156,"und",1,345
"node","book",0,2157,2157,"und",0,336
"node","book",0,2158,2158,"und",0,366
"node","book",0,2158,2158,"und",1,368
"node","book",0,2162,2162,"und",0,332
"node","book",0,2162,2162,"und",1,334
"node","book",0,2162,2162,"und",2,351
"node","book",0,2164,2164,"und",0,332
"node","book",0,2164,2164,"und",1,342
"node","book",0,2164,2164,"und",2,390
"node","book",0,2165,2165,"und",0,324
"node","book",0,2168,2168,"und",0,351
"node","book",0,2168,2168,"und",1,355
"node","book",0,2168,2168,"und",2,366
"node","book",0,2168,2168,"und",3,370
"node","book",0,2168,2168,"und",4,372
"node","book",0,2169,2169,"und",0,324
"node","book",0,2170,2170,"und",0,347
"node","book",0,2171,2171,"und",0,320
"node","book",0,2171,2171,"und",1,321
"node","book",0,2171,2171,"und",2,323
"node","book",0,2171,2171,"und",3,347
"node","book",0,2172,2172,"und",0,336
"node","book",0,2172,2172,"und",1,387
"node","book",0,2173,2173,"und",0,336
"node","book",0,2173,2173,"und",1,387
"node","book",0,2174,2174,"und",0,387
"node","book",0,2174,2174,"und",1,389
"node","book",0,2175,2175,"und",0,336
"node","book",0,2176,2176,"und",0,351
"node","book",0,2176,2176,"und",1,355
"node","book",0,2177,2177,"und",0,351
"node","book",0,2178,2178,"und",0,359
"node","book",0,2179,2179,"und",0,336
"node","book",0,2180,2180,"und",0,380
"node","book",0,2180,2180,"und",1,383
"node","book",0,2181,2181,"und",0,338
"node","book",0,2182,2182,"und",0,380
"node","book",0,2182,2182,"und",1,381
"node","book",0,2182,2182,"und",2,383
"node","book",0,2183,2183,"und",0,380
"node","book",0,2183,2183,"und",1,382
"node","book",0,2183,2183,"und",2,383
"node","book",0,2187,2187,"und",0,351
"node","book",0,2187,2187,"und",1,355
"node","book",0,2189,2189,"und",0,343
"node","book",0,2189,2189,"und",1,345
"node","book",0,2190,2190,"und",0,387
"node","book",0,2192,2192,"und",0,336
"node","book",0,2193,2193,"und",0,377
"node","book",0,2194,2194,"und",0,336
"node","book",0,2195,2195,"und",0,336
"node","book",0,2196,2196,"und",0,336
"node","book",0,2198,2198,"und",0,336
"node","book",0,2199,2199,"und",0,342
"node","book",0,2200,2200,"und",0,366
"node","book",0,2202,2202,"und",0,323
"node","book",0,2203,2203,"und",0,324
"node","book",0,2206,2206,"und",0,338
"node","book",0,2206,2206,"und",1,339
"node","book",0,2207,2207,"und",0,338
"node","book",0,2207,2207,"und",1,339
"node","book",0,2208,2208,"und",0,366
"node","book",0,2208,2208,"und",1,370
"node","book",0,2209,2209,"und",0,330
"node","book",0,2209,2209,"und",1,360
"node","book",0,2209,2209,"und",2,387
"node","book",0,2209,2209,"und",3,388
"node","book",0,2209,2209,"und",4,389
"node","book",0,2210,2210,"und",0,387
"node","book",0,2211,2211,"und",0,387
"node","book",0,2211,2211,"und",1,389
"node","book",0,2212,2212,"und",0,359
"node","book",0,2217,2217,"und",0,351
"node","book",0,2217,2217,"und",1,355
"node","book",0,2217,2217,"und",2,366
"node","book",0,2217,2217,"und",3,370
"node","book",0,2217,2217,"und",4,372
"node","book",0,2218,2218,"und",0,351
"node","book",0,2218,2218,"und",1,358
"node","book",0,2219,2219,"und",0,351
"node","book",0,2219,2219,"und",1,357
"node","book",0,2219,2219,"und",2,386
"node","book",0,2220,2220,"und",0,342
"node","book",0,2221,2221,"und",0,351
"node","book",0,2222,2222,"und",0,324
"node","book",0,2222,2222,"und",1,366
"node","book",0,2222,2222,"und",2,370
"node","book",0,2223,2223,"und",0,324
"node","book",0,2223,2223,"und",1,366
"node","book",0,2223,2223,"und",2,370
"node","book",0,2224,2224,"und",0,324
"node","book",0,2224,2224,"und",1,366
"node","book",0,2224,2224,"und",2,370
"node","book",0,2225,2225,"und",0,324
"node","book",0,2225,2225,"und",1,366
"node","book",0,2225,2225,"und",2,370
"node","book",0,2226,2226,"und",0,324
"node","book",0,2226,2226,"und",1,366
"node","book",0,2226,2226,"und",2,370
"node","book",0,2227,2227,"und",0,324
