"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_occasional_words_languages_tid
"node","book",0,1953,1953,"und",0,418
"node","book",0,1958,1958,"und",0,418
"node","book",0,1960,1960,"und",0,439
"node","book",0,1960,1960,"und",1,416
"node","book",0,1963,1963,"und",0,448
"node","book",0,1963,1963,"und",1,416
"node","book",0,1966,1966,"und",0,416
"node","book",0,1969,1969,"und",0,418
"node","book",0,1969,1969,"und",1,416
"node","book",0,1970,1970,"und",0,418
"node","book",0,1974,1974,"und",0,416
"node","book",0,1976,1976,"und",0,439
"node","book",0,1980,1980,"und",0,439
"node","book",0,1981,1981,"und",0,439
"node","book",0,1988,1988,"und",0,439
"node","book",0,1994,1994,"und",0,418
"node","book",0,1997,1997,"und",0,439
"node","book",0,1998,1998,"und",0,418
"node","book",0,1999,1999,"und",0,439
"node","book",0,2000,2000,"und",0,418
"node","book",0,2000,2000,"und",1,439
"node","book",0,2001,2001,"und",0,418
"node","book",0,2002,2002,"und",0,519
"node","book",0,2008,2008,"und",0,439
"node","book",0,2010,2010,"und",0,418
"node","book",0,2010,2010,"und",1,439
"node","book",0,2013,2013,"und",0,418
"node","book",0,2013,2013,"und",1,439
"node","book",0,2013,2013,"und",2,416
"node","book",0,2017,2017,"und",0,439
"node","book",0,2022,2022,"und",0,418
"node","book",0,2022,2022,"und",1,439
"node","book",0,2023,2023,"und",0,418
"node","book",0,2028,2028,"und",0,495
"node","book",0,2028,2028,"und",1,418
"node","book",0,2028,2028,"und",2,439
"node","book",0,2031,2031,"und",0,436
"node","book",0,2042,2042,"und",0,418
"node","book",0,2044,2044,"und",0,519
"node","book",0,2048,2048,"und",0,416
"node","book",0,2058,2058,"und",0,418
"node","book",0,2058,2058,"und",1,439
"node","book",0,2072,2072,"und",0,439
"node","book",0,2073,2073,"und",0,495
"node","book",0,2073,2073,"und",1,418
"node","book",0,2073,2073,"und",2,439
"node","book",0,2074,2074,"und",0,415
"node","book",0,2077,2077,"und",0,415
"node","book",0,2079,2079,"und",0,519
"node","book",0,2080,2080,"und",0,598
"node","book",0,2083,2083,"und",0,519
"node","book",0,2084,2084,"und",0,519
"node","book",0,2085,2085,"und",0,519
"node","book",0,2089,2089,"und",0,519
"node","book",0,2099,2099,"und",0,598
"node","book",0,2105,2105,"und",0,519
"node","book",0,2105,2105,"und",1,418
"node","book",0,2106,2106,"und",0,436
"node","book",0,2106,2106,"und",1,519
"node","book",0,2106,2106,"und",2,416
"node","book",0,2107,2107,"und",0,519
"node","book",0,2108,2108,"und",0,519
"node","book",0,2110,2110,"und",0,415
"node","book",0,2114,2114,"und",0,415
"node","book",0,2115,2115,"und",0,519
"node","book",0,2116,2116,"und",0,439
"node","book",0,2124,2124,"und",0,519
"node","book",0,2125,2125,"und",0,519
"node","book",0,2126,2126,"und",0,519
"node","book",0,2127,2127,"und",0,598
"node","book",0,2128,2128,"und",0,598
"node","book",0,2128,2128,"und",1,519
"node","book",0,2135,2135,"und",0,439
"node","book",0,2136,2136,"und",0,418
"node","book",0,2136,2136,"und",1,439
"node","book",0,2139,2139,"und",0,439
"node","book",0,2142,2142,"und",0,418
"node","book",0,2150,2150,"und",0,448
"node","book",0,2154,2154,"und",0,519
"node","book",0,2156,2156,"und",0,415
"node","book",0,2156,2156,"und",1,519
"node","book",0,2158,2158,"und",0,519
"node","book",0,2159,2159,"und",0,519
"node","book",0,2161,2161,"und",0,439
"node","book",0,2167,2167,"und",0,519
"node","book",0,2169,2169,"und",0,415
"node","book",0,2169,2169,"und",1,606
"node","book",0,2169,2169,"und",2,418
"node","book",0,2169,2169,"und",3,655
"node","book",0,2171,2171,"und",0,519
"node","book",0,2172,2172,"und",0,519
"node","book",0,2173,2173,"und",0,519
"node","book",0,2174,2174,"und",0,439
"node","book",0,2175,2175,"und",0,439
"node","book",0,2178,2178,"und",0,519
"node","book",0,2179,2179,"und",0,519
"node","book",0,2181,2181,"und",0,519
"node","book",0,2190,2190,"und",0,519
"node","book",0,2191,2191,"und",0,519
"node","book",0,2192,2192,"und",0,519
"node","book",0,2192,2192,"und",1,418
"node","book",0,2194,2194,"und",0,415
"node","book",0,2195,2195,"und",0,519
"node","book",0,2198,2198,"und",0,415
"node","book",0,2206,2206,"und",0,415
"node","book",0,2211,2211,"und",0,436
"node","book",0,2213,2213,"und",0,519
"node","book",0,2214,2214,"und",0,519
"node","book",0,2215,2215,"und",0,519
"node","book",0,2221,2221,"und",0,436
"node","book",0,2222,2222,"und",0,415
"node","book",0,2223,2223,"und",0,415
"node","book",0,2224,2224,"und",0,415
"node","book",0,2225,2225,"und",0,415
"node","book",0,2226,2226,"und",0,415
"node","book",0,2227,2227,"und",0,415
"node","book",0,2228,2228,"und",0,415
"node","book",0,2229,2229,"und",0,415
"node","book",0,2231,2231,"und",0,415
"node","book",0,2233,2233,"und",0,448
"node","book",0,2234,2234,"und",0,519
"node","book",0,2241,2241,"und",0,519
"node","book",0,2242,2242,"und",0,655
"node","book",0,2245,2245,"und",0,519
"node","book",0,2250,2250,"und",0,415
"node","book",0,2254,2254,"und",0,418
"node","book",0,2256,2256,"und",0,418
"node","book",0,2258,2258,"und",0,415
"node","book",0,2263,2263,"und",0,519
"node","book",0,2264,2264,"und",0,415
"node","book",0,2267,2267,"und",0,519
"node","book",0,2270,2270,"und",0,415
"node","book",0,2270,2270,"und",1,606
"node","book",0,2270,2270,"und",2,416
"node","book",0,2271,2271,"und",0,655
"node","book",0,2271,2271,"und",1,416
"node","book",0,2274,2274,"und",0,418
"node","book",0,2275,2275,"und",0,598
"node","book",0,2275,2275,"und",1,416
"node","book",0,2276,2276,"und",0,415
"node","book",0,2276,2276,"und",1,519
"node","book",0,2277,2277,"und",0,415
"node","book",0,2277,2277,"und",1,519
"node","book",0,2280,2280,"und",0,415
"node","book",0,2282,2282,"und",0,415
"node","book",0,2283,2283,"und",0,519
"node","book",0,2285,2285,"und",0,415
"node","book",0,2286,2286,"und",0,418
"node","book",0,2287,2287,"und",0,519
"node","book",0,2291,2291,"und",0,415
"node","book",0,2299,2299,"und",0,519
"node","book",0,2304,2304,"und",0,415
"node","book",0,2309,2309,"und",0,598
"node","book",0,2311,2311,"und",0,415
"node","book",0,2312,2312,"und",0,519
"node","book",0,2312,2312,"und",1,418
"node","book",0,2325,2325,"und",0,598
"node","book",0,2338,2338,"und",0,519
"node","book",0,2342,2342,"und",0,418
"node","book",0,2344,2344,"und",0,519
"node","book",0,2345,2345,"und",0,415
"node","book",0,2345,2345,"und",1,418
"node","book",0,2353,2353,"und",0,592
"node","book",0,2354,2354,"und",0,598
"node","book",0,2354,2354,"und",1,519
"node","book",0,2354,2354,"und",2,418
"node","book",0,2357,2357,"und",0,415
"node","book",0,2357,2357,"und",1,519
"node","book",0,2359,2359,"und",0,598
"node","book",0,2365,2365,"und",0,519
"node","book",0,2369,2369,"und",0,598
"node","book",0,2371,2371,"und",0,519
"node","book",0,2371,2371,"und",1,592
"node","book",0,2372,2372,"und",0,418
"node","book",0,2374,2374,"und",0,436
"node","book",0,2374,2374,"und",1,519
"node","book",0,2378,2378,"und",0,418
"node","book",0,2380,2380,"und",0,415
"node","book",0,2383,2383,"und",0,519
"node","book",0,2384,2384,"und",0,439
"node","book",0,2385,2385,"und",0,598
"node","book",0,2387,2387,"und",0,436
"node","book",0,2387,2387,"und",1,418
"node","book",0,2388,2388,"und",0,598
"node","book",0,2391,2391,"und",0,598
"node","book",0,2395,2395,"und",0,519
"node","book",0,2397,2397,"und",0,415
"node","book",0,2399,2399,"und",0,519
"node","book",0,2400,2400,"und",0,415
"node","book",0,2406,2406,"und",0,415
"node","book",0,2406,2406,"und",1,439
"node","book",0,2414,2414,"und",0,439
"node","book",0,2416,2416,"und",0,415
"node","book",0,2416,2416,"und",1,519
"node","book",0,2417,2417,"und",0,418
"node","book",0,2418,2418,"und",0,418
"node","book",0,2419,2419,"und",0,415
