"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_original_author_value","field_original_author_format"
"node","book",0,1958,1958,"und",0,"Dr. Pemberton",NULL
"node","book",0,1963,1963,"und",0,"Massias, Nicolas de",NULL
"node","book",0,1998,1998,"und",0,"Napoleon",NULL
"node","book",0,2166,2166,"und",0,"רמב\"ם",NULL
"node","book",0,2194,2194,"und",0,"ראו \"אצבע\" כללית ללשונית זו.",NULL
"node","book",0,2231,2231,"und",0,"Herz, Markus",NULL
"node","book",0,2241,2241,"und",0,"\"החכם קאמפא\", הקדמה, עמ' [6]",NULL
"node","book",0,2303,2303,"und",0,"רמבם",NULL
"node","book",0,2352,2352,"und",0,"ידעיה הפניני בדרשי",NULL
"node","book",0,2365,2365,"und",0,"טיסאט",NULL
"node","book",0,2395,2395,"und",0,"משה מנדלסון",NULL
"node","book",0,2421,2421,"und",0,"Georg Christian Raff",NULL
