"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_other_volumes_value","field_other_volumes_format"
"node","book",0,1970,1970,"und",0,"Erste Sammlung, Dritte Sammlung","filtered_html"
"node","book",0,2077,2077,"und",0,"\"המשך מאגרות החכם...\": נכלל בתוך \"חותם תכנית\"","filtered_html"
"node","book",0,2083,2083,"und",0,"אוצר השרשים חלק ב'; אוצר החלקים חלק ג'","filtered_html"
"node","book",0,2084,2084,"und",0,"אוצר החלקים חלק א'; אוצר החלקים חלק ג'","filtered_html"
"node","book",0,2085,2085,"und",0,"אוצר החלקים חלק א'; אוצר החלקים חלק ב'","filtered_html"
"node","book",0,2107,2107,"und",0,"למודי המישרים","filtered_html"
"node","book",0,2108,2108,"und",0,"מסלת הלמוד","filtered_html"
"node","book",0,2116,2116,"und",0,"תפילות ישראל","filtered_html"
"node","book",0,2119,2119,"und",0,"גן נעול - הבית השני","filtered_html"
"node","book",0,2120,2120,"und",0,"גן נעול - חלק א'","filtered_html"
"node","book",0,2123,2123,"und",0,"דברי ריבות - חלק ב'","filtered_html"
"node","book",0,2124,2124,"und",0,"דברי ריבות - חלק א'","filtered_html"
"node","book",0,2125,2125,"und",0,"רב טוב לבית ישראל; עין משפט; רחובות","filtered_html"
"node","book",0,2127,2127,"und",0,"דברי שלום ואמת; רב טוב לבית ישראל; רחובות","filtered_html"
"node","book",0,2128,2128,"und",0,"דברי שלום ואמת; רב טוב לבית ישראל; עין משפט","filtered_html"
"node","book",0,2136,2136,"und",0,"[...]. Erstes Bändchen.","filtered_html"
"node","book",0,2145,2145,"und",0,"צווייטי אבליפרונג; דריטי אבליפרונג; פירטי אבליפרונג","filtered_html"
"node","book",0,2146,2146,"und",0,"ערשטי אבליפרונג; דריטי אבליפרונג; פירטי אבליפרונג","filtered_html"
"node","book",0,2147,2147,"und",0,"ערשטי אבליפרונג; צווייטי אבליפרונג; פירטי אבליפרונג","filtered_html"
"node","book",0,2148,2148,"und",0,"ערשטי אבליפרונג; צווייטי אבליפרונג;  דריטי אבליפרונג","filtered_html"
"node","book",0,2209,2209,"und",0,"מודע לבני בינה...
Zweiter Theil","filtered_html"
"node","book",0,2210,2210,"und",0,"מודע לבני בינה...
Erster Theil","filtered_html"
"node","book",0,2245,2245,"und",0,"משלי אסף - חלק ב', ברלין תקנ\"ב; משלי אסף - חלק ג' (זמירות אסף) תקנ\"ג","filtered_html"
"node","book",0,2246,2246,"und",0,"משלי אסף  - חלק א'; משלי אסף - חלק ג': זמירות אסף","filtered_html"
"node","book",0,2268,2268,"und",0,"ספר מליץ יושר","filtered_html"
"node","book",0,2269,2269,"und",0,"ספר דברי יושר","filtered_html"
"node","book",0,2286,2286,"und",0,"חלק שני מן ספר המדות לאריסטוטליס","filtered_html"
"node","book",0,2288,2288,"und",0,"חלק ראשון מן ספר המדות לאריסטוטליס","filtered_html"
"node","book",0,2290,2290,"und",0,"חלק שני מספר השרשים המכונה דברים אחדים","filtered_html"
"node","book",0,2291,2291,"und",0,"חלק ראשון מספר השרשים המכונה שפת אמת","filtered_html"
"node","book",0,2295,2295,"und",0,"ספר זמירות ישראל","filtered_html"
"node","book",0,2296,2296,"und",0,"חלק ראשון, חלק שלישי, חלק רביעי, ---","filtered_html"
"node","book",0,2298,2298,"und",0,"חלק ראשון, חלק שני, חלק שלישי, --","filtered_html"
"node","book",0,2299,2299,"und",0,"חלק ראשון, חלק שני, חלק שלישי, חלק רביעי","filtered_html"
"node","book",0,2326,2326,"und",0,"מלכים ב'","filtered_html"
"node","book",0,2327,2327,"und",0,"מלכים א","filtered_html"
"node","book",0,2328,2328,"und",0,"כרך ט' לא נרשם בתכנה בנפרד מכיוון שזו מהדורה חדשה של ספר משלי עם תרגום וביאור מאת אייכל, שיצא קודם לכן בנפרד.","filtered_html"
"node","book",0,2341,2341,"und",0,"ספר מעשי יהוה - חלק ב'

ספר מעשי יהוה - חלק ג': מספר מוסר ומצות י\"י הנהוגים. לקוטים מתורת משה ונוסדים על חקי הטבע ונשענם על משפט השכל. אלטונה, תקע\"ג.","filtered_html"
"node","book",0,2342,2342,"und",0,"ספר מעשי יהוה - חלק א'

ספר מעשי יהוה - חלק ג': מספר מוסר ומצות י\"י הנהוגים. לקוטים מתורת משה ונוסדים על חקי הטבע ונשענם על משפט השכל. אלטונה, תקע\"ג.","filtered_html"
"node","book",0,2356,2356,"und",0,"ספר תפארת אדם: חלק ב' ספר תפארת אדם","filtered_html"
"node","book",0,2378,2378,"und",0,"ספר עמודי השמים","filtered_html"
"node","book",0,2387,2387,"und",0,"בינה לעיתים; צוף נובלות","filtered_html"
"node","book",0,2388,2388,"und",0,"מלחמות ה'; צוף נובלות","filtered_html"
"node","book",0,2389,2389,"und",0,"מלחמות ה'; בינה לעיתים","filtered_html"
"node","book",0,2390,2390,"und",0,"מלחמות ה'; בינה לעתים; צוף נובלות","filtered_html"
"node","book",0,2417,2417,"und",0,"קורות שנות קדם - חלק ב","filtered_html"
"node","book",0,2418,2418,"und",0,"קורות שנות קדם - חלק א': מחברת ראשונה, ספר ראשון","filtered_html"
"node","book",0,2421,2421,"und",0,"ראשית למודים - חלק ב'","filtered_html"
"node","book",0,2422,2422,"und",0,"ראשית למודים - חלק א","filtered_html"
"node","book",0,2453,2453,"und",0,"שירי תפארת... מחברת שניה/שלישית/רביעית/חמישית/ ___","filtered_html"
"node","book",0,2474,2474,"und",0,"תורת לשון עברית - חלק ב; תורת לשון עברית - חלק ג","filtered_html"
"node","book",0,2475,2475,"und",0,"תורת לשון עברית - חלק א; תורת לשון עברית - חלק ג","filtered_html"
"node","book",0,2476,2476,"und",0,"תורת לשון עברית - חלק א; תורת לשון עברית - חלק ב","filtered_html"
