"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_pages_number_value","field_pages_number_format"
"node","book",0,1952,1952,"und",0,"[6], 80",NULL
"node","book",0,1953,1953,"und",0,"104",NULL
"node","book",0,1954,1954,"und",0,"188, [2]",NULL
"node","book",0,1956,1956,"und",0,"35",NULL
"node","book",0,1958,1958,"und",0,"XVI, 224",NULL
"node","book",0,1959,1959,"und",0,"44, 8 ע' כולל שער",NULL
"node","book",0,1960,1960,"und",0,"XXXVI, 220",NULL
"node","book",0,1961,1961,"und",0,"90 עמ', [4], כולל עמ' שער",NULL
"node","book",0,1962,1962,"und",0,"72 S.",NULL
"node","book",0,1963,1963,"und",0,"224,[8]",NULL
"node","book",0,1964,1964,"und",0,"[35] עמ'",NULL
"node","book",0,1965,1965,"und",0,"64",NULL
"node","book",0,1966,1966,"und",0,"88",NULL
"node","book",0,1967,1967,"und",0,"163",NULL
"node","book",0,1969,1969,"und",0,"[4], 286 S.",NULL
"node","book",0,1970,1970,"und",0,"93",NULL
"node","book",0,1971,1971,"und",0,"[8], 182",NULL
"node","book",0,1972,1972,"und",0,"13 או 18 ע'",NULL
"node","book",0,1973,1973,"und",0,"127 ע'",NULL
"node","book",0,1974,1974,"und",0,"180 S.",NULL
"node","book",0,1975,1975,"und",0,"96",NULL
"node","book",0,1976,1976,"und",0,"131",NULL
"node","book",0,1977,1977,"und",0,"38",NULL
"node","book",0,1978,1978,"und",0,"7",NULL
"node","book",0,1979,1979,"und",0,"48",NULL
"node","book",0,1980,1980,"und",0,"47 S.",NULL
"node","book",0,1981,1981,"und",0,"XL, 115, [5] ע' כולל שער",NULL
"node","book",0,1982,1982,"und",0,"XII, 354",NULL
"node","book",0,1983,1983,"und",0,"23 ע'",NULL
"node","book",0,1984,1984,"und",0,"8 S.",NULL
"node","book",0,1985,1985,"und",0,"14 S.",NULL
"node","book",0,1986,1986,"und",0,"15",NULL
"node","book",0,1987,1987,"und",0,"10-4 עמ' (יש טעות בספר, וצ\"ל 9-4),  [2] עמ'",NULL
"node","book",0,1988,1988,"und",0,"27, [2]",NULL
"node","book",0,1990,1990,"und",0,"16",NULL
"node","book",0,1991,1991,"und",0,"211",NULL
"node","book",0,1992,1992,"und",0,"120, Tabelle",NULL
"node","book",0,1993,1993,"und",0,"32 ע' כולל שער",NULL
"node","book",0,1994,1994,"und",0,"66",NULL
"node","book",0,1995,1995,"und",0,"[7] ע' (על פי קטלוג הלאומית העברית)",NULL
"node","book",0,1996,1996,"und",0,"[8], 8 ע' כולל עמודי שער",NULL
"node","book",0,1997,1997,"und",0,"[4], XXIV, [15], 478, [5]",NULL
"node","book",0,1998,1998,"und",0,"472, 144 S.",NULL
"node","book",0,1999,1999,"und",0,"XXVII, [1], 312",NULL
"node","book",0,2000,2000,"und",0,"55 ע' + עמ' שער",NULL
"node","book",0,2001,2001,"und",0,"[2], 212 ע'",NULL
"node","book",0,2002,2002,"und",0,"[8], viii,  14, [1] ע' כולל שער",NULL
"node","book",0,2003,2003,"und",0,"4",NULL
"node","book",0,2004,2004,"und",0,"272",NULL
"node","book",0,2006,2006,"und",0,"8 S.",NULL
"node","book",0,2008,2008,"und",0,"xxiv, 95 ע'",NULL
"node","book",0,2009,2009,"und",0,"93, 141",NULL
"node","book",0,2010,2010,"und",0,"[6], 133 ע'",NULL
"node","book",0,2011,2011,"und",0,"64",NULL
"node","book",0,2012,2012,"und",0,"53",NULL
"node","book",0,2013,2013,"und",0,"103",NULL
"node","book",0,2014,2014,"und",0,"[26], 183 p.",NULL
"node","book",0,2015,2015,"und",0,"[3] ע'",NULL
"node","book",0,2016,2016,"und",0,"47 S.",NULL
"node","book",0,2017,2017,"und",0,"46",NULL
"node","book",0,2018,2018,"und",0,"7, 36 עמ'",NULL
"node","book",0,2019,2019,"und",0,"2 עמ'",NULL
"node","book",0,2020,2020,"und",0,"19 ע'",NULL
"node","book",0,2022,2022,"und",0,"[7], 246",NULL
"node","book",0,2023,2023,"und",0,"7 BI., 330 S., XL S.",NULL
"node","book",0,2024,2024,"und",0,"47 ע'",NULL
"node","book",0,2025,2025,"und",0,"[7] ע'",NULL
"node","book",0,2026,2026,"und",0,"102",NULL
"node","book",0,2027,2027,"und",0,"8 [2] 8",NULL
"node","book",0,2028,2028,"und",0,"32 p",NULL
"node","book",0,2029,2029,"und",0,"[4], XII, 140",NULL
"node","book",0,2030,2030,"und",0,"[7] ע'",NULL
"node","book",0,2031,2031,"und",0,"68 ע' כולל שער",NULL
"node","book",0,2032,2032,"und",0,"ח ד', 16 ע'  כולל שער",NULL
"node","book",0,2033,2033,"und",0,"[3], xxiv,  570 ע'",NULL
"node","book",0,2034,2034,"und",0,"[3], 752 ע'",NULL
"node","book",0,2035,2035,"und",0,"[3], 676 ע'",NULL
"node","book",0,2036,2036,"und",0,"[3], 532 ע'",NULL
"node","book",0,2039,2039,"und",0,"15",NULL
"node","book",0,2040,2040,"und",0,"16",NULL
"node","book",0,2041,2041,"und",0,"3-8 עמ'",NULL
"node","book",0,2042,2042,"und",0,"32",NULL
"node","book",0,2043,2043,"und",0,"13",NULL
"node","book",0,2044,2044,"und",0,"15 ע' כולל שער",NULL
"node","book",0,2045,2045,"und",0,"30 ע'",NULL
"node","book",0,2046,2046,"und",0,"62",NULL
"node","book",0,2047,2047,"und",0,"[5] + 292 p",NULL
"node","book",0,2048,2048,"und",0,"[11], 284 p.",NULL
"node","book",0,2049,2049,"und",0,"134",NULL
"node","book",0,2050,2050,"und",0,"23",NULL
"node","book",0,2051,2051,"und",0,"10 ע'",NULL
"node","book",0,2052,2052,"und",0,"86",NULL
"node","book",0,2053,2053,"und",0,"28 S.",NULL
"node","book",0,2054,2054,"und",0,"18",NULL
"node","book",0,2055,2055,"und",0,"[13] עמ'",NULL
"node","book",0,2056,2056,"und",0,"63",NULL
"node","book",0,2057,2057,"und",0,"99",NULL
"node","book",0,2058,2058,"und",0,"51",NULL
"node","book",0,2059,2059,"und",0,"30 ע' כולל שער",NULL
"node","book",0,2060,2060,"und",0,"52",NULL
"node","book",0,2061,2061,"und",0,"viii p, 119 p",NULL
"node","book",0,2062,2062,"und",0,"48",NULL
"node","book",0,2063,2063,"und",0,"31",NULL
"node","book",0,2064,2064,"und",0,"55",NULL
"node","book",0,2066,2066,"und",0,"48",NULL
"node","book",0,2067,2067,"und",0,"95",NULL
"node","book",0,2068,2068,"und",0,"51",NULL
"node","book",0,2069,2069,"und",0,"42 ע'",NULL
"node","book",0,2070,2070,"und",0,"VI, 256",NULL
"node","book",0,2071,2071,"und",0,"32",NULL
"node","book",0,2072,2072,"und",0,"92",NULL
"node","book",0,2073,2073,"und",0,"264, [2]",NULL
"node","book",0,2074,2074,"und",0,"[12] ע', 83 ע'",NULL
"node","book",0,2075,2075,"und",0,"[4] ד'",NULL
"node","book",0,2076,2076,"und",0,"[6 ע'] א-כד ד'",NULL
"node","book",0,2077,2077,"und",0,"[5], כ, [2] ד'",NULL
"node","book",0,2079,2079,"und",0,"[14] ע', צו ד', [4] ע'",NULL
"node","book",0,2080,2080,"und",0,"מ ד', [1] עמ'",NULL
"node","book",0,2081,2081,"und",0,"כ' דפים, [1] עמ'",NULL
"node","book",0,2082,2082,"und",0,"סד ד'",NULL
"node","book",0,2083,2083,"und",0,"קפא' דפים, [1] עמ'",NULL
"node","book",0,2084,2084,"und",0,"רע דפים",NULL
"node","book",0,2085,2085,"und",0,"קכ' דפים",NULL
"node","book",0,2088,2088,"und",0,"8 ד' (Bibliography of the Hebrew Book)",NULL
"node","book",0,2089,2089,"und",0,"47",NULL
"node","book",0,2090,2090,"und",0,"56 ד' ;  8 (לפי הלאומית העברית)",NULL
"node","book",0,2091,2091,"und",0,"[26] עמודים",NULL
"node","book",0,2092,2092,"und",0,"[2] ד'",NULL
"node","book",0,2093,2093,"und",0,"[3] ע' (על פי העברית הלאומית)",NULL
"node","book",0,2094,2094,"und",0,"xi ע', [1] ע', 87 ע'",NULL
"node","book",0,2095,2095,"und",0,"[1] ע'",NULL
"node","book",0,2096,2096,"und",0,"דף (נדפס על צד אחד) (על פי העברית הלאומית)",NULL
"node","book",0,2097,2097,"und",0,"[2], 13 ע' כולל שער",NULL
"node","book",0,2098,2098,"und",0,"[17], 47 ע'",NULL
"node","book",0,2099,2099,"und",0,"[4] עמ'",NULL
"node","book",0,2100,2100,"und",0,"[23], 489, [3]",NULL
"node","book",0,2101,2101,"und",0,"8 ע'",NULL
"node","book",0,2102,2102,"und",0,"[4] ע' (לפי העברית הלאומית)",NULL
"node","book",0,2103,2103,"und",0,"47 ד', 3 ד' (איורים)",NULL
"node","book",0,2104,2104,"und",0,"[6] ד'",NULL
"node","book",0,2105,2105,"und",0,"[3], לו ד'",NULL
"node","book",0,2106,2106,"und",0,"כד ד', [1] עמ'",NULL
"node","book",0,2107,2107,"und",0,"[4 עמ'] 60 ד' [1 עמ']",NULL
"node","book",0,2108,2108,"und",0,"[6 עמ'] 160 עמ'",NULL
"node","book",0,2109,2109,"und",0,"[1] ד', 79 עמודה, [1] ע', 74 עמודה :  איורים",NULL
"node","book",0,2110,2110,"und",0,"[2] א-סד ד' [1]",NULL
"node","book",0,2111,2111,"und",0,"[28], 295, [10] S.",NULL
"node","book",0,2112,2112,"und",0,"כ' דפים, [1] עמ'",NULL
"node","book",0,2113,2113,"und",0,"[2] ד'",NULL
"node","book",0,2114,2114,"und",0,"ל' דפים, [1]",NULL
"node","book",0,2115,2115,"und",0,"[1] עמ', טו ד' [1] עמ'",NULL
"node","book",0,2116,2116,"und",0,"[13] ע', קעב ד', מט ד', [4] ע'",NULL
"node","book",0,2117,2117,"und",0,"[12] ד' כולל עמוד שער",NULL
"node","book",0,2118,2118,"und",0,"[3], לז, [1] ד'",NULL
"node","book",0,2119,2119,"und",0,"[4], כא, קא, [1] ד' כולל שער",NULL
"node","book",0,2120,2120,"und",0,"טז, קנב ד' כולל שער",NULL
"node","book",0,2121,2121,"und",0,"ד'-יח' עמ'; 16-4 עמ'.",NULL
"node","book",0,2122,2122,"und",0,"[1]",NULL
"node","book",0,2123,2123,"und",0,"מח' דף, [1] עמ'",NULL
"node","book",0,2124,2124,"und",0,"סח' דפים, [1] עמ'",NULL
"node","book",0,2125,2125,"und",0,"[34] ע'",NULL
"node","book",0,2126,2126,"und",0,"טז ד'",NULL
"node","book",0,2127,2127,"und",0,"מח ד'",NULL
"node","book",0,2128,2128,"und",0,"עו ד'",NULL
"node","book",0,2129,2129,"und",0,"16 ד'",NULL
"node","book",0,2130,2130,"und",0,"[2] ד, 113, [1] ע' כולל שער",NULL
"node","book",0,2133,2133,"und",0,"כד' ד', [1] עמ'",NULL
"node","book",0,2134,2134,"und",0,"VI עמ', 82 עמ'",NULL
"node","book",0,2135,2135,"und",0,"[6], LVIII, [6], 198",NULL
"node","book",0,2136,2136,"und",0,"[3], 264",NULL
"node","book",0,2137,2137,"und",0,"[14], צו ד'",NULL
"node","book",0,2138,2138,"und",0,"36 ד'",NULL
"node","book",0,2139,2139,"und",0,"47 עמ', [1] עמ' (+דפי איורים??)",NULL
"node","book",0,2140,2140,"und",0,"45 ד', [1] עמ'",NULL
"node","book",0,2141,2141,"und",0,"[12] ע' כולל שער",NULL
"node","book",0,2142,2142,"und",0,"[5], טו ד'",NULL
"node","book",0,2143,2143,"und",0,"[7] דף",NULL
"node","book",0,2144,2144,"und",0,"[5] עמ', 9 עמ'",NULL
"node","book",0,2145,2145,"und",0,"[2] עמ', פט', [1]",NULL
"node","book",0,2146,2146,"und",0,"[2] עמ', ע' דפים, [1]",NULL
"node","book",0,2147,2147,"und",0,"[2] עמ', סב דפים, [3] עמ'",NULL
"node","book",0,2148,2148,"und",0,"[2] עמ', עט דפים, [3], [7]",NULL
"node","book",0,2149,2149,"und",0,"11 עמ'",NULL
"node","book",0,2150,2150,"und",0,"[3], [81] ע'",NULL
"node","book",0,2151,2151,"und",0,"[11] ע'",NULL
"node","book",0,2152,2152,"und",0,"46 ע'",NULL
"node","book",0,2153,2153,"und",0,"[9] ד'",NULL
"node","book",0,2154,2154,"und",0,"[19] ע'",NULL
"node","book",0,2155,2155,"und",0,"מה' ד' , [1] עמ'",NULL
"node","book",0,2156,2156,"und",0,"[6], פה, [2] ע'",NULL
"node","book",0,2158,2158,"und",0,"[2], לה, א, [3] ד'",NULL
"node","book",0,2159,2159,"und",0,"כח'  ד' [1 עמ']",NULL
"node","book",0,2161,2161,"und",0,"36",NULL
"node","book",0,2162,2162,"und",0,"[4], לה ד'",NULL
"node","book",0,2164,2164,"und",0,"ט'-יא' , [1] (המשך המיספור של ספר כתר מלכות)",NULL
"node","book",0,2165,2165,"und",0,"[9], קכה, [1] ד'",NULL
"node","book",0,2166,2166,"und",0,"[6] ע', פג ד'",NULL
"node","book",0,2167,2167,"und",0,"3, לו ד'",NULL
"node","book",0,2168,2168,"und",0,"[8] עמ'",NULL
"node","book",0,2170,2170,"und",0,"[27] עמ',  מג' דפים, [1]",NULL
"node","book",0,2171,2171,"und",0,"[82] עמ'[82] עמ'",NULL
"node","book",0,2172,2172,"und",0,"יג, [2], קכב ד' כולל שער",NULL
"node","book",0,2173,2173,"und",0,"ה, [2], נז ד' כולל שער",NULL
"node","book",0,2174,2174,"und",0,"XVI, 299",NULL
"node","book",0,2175,2175,"und",0,"[19] עמ', פט' עמ'",NULL
