"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_preface_title_value","field_preface_title_format"
"node","preface",0,5373,5373,"und",0,"Einleitung","filtered_html"
"node","preface",0,5374,5374,"und",0,"Einleitung","filtered_html"
"node","preface",0,5375,5375,"und",0,"Vorrede","filtered_html"
"node","preface",0,5376,5376,"und",0,"Vorrede","filtered_html"
"node","preface",0,5377,5377,"und",0,"Preface","filtered_html"
"node","preface",0,5378,5378,"und",0,"Preface","filtered_html"
"node","preface",0,5379,5379,"und",0,"Vorrede","filtered_html"
"node","preface",0,5380,5380,"und",0,"Vorrede","filtered_html"
"node","preface",0,5381,5381,"und",0,"Vorrede","filtered_html"
"node","preface",0,5382,5382,"und",0,"Vorrede","filtered_html"
"node","preface",0,5383,5383,"und",0,"Vorrede des Verfassers zur teutschen Ausgabe der Moseide,Vorrede nach dem Hebräischen","filtered_html"
"node","preface",0,5384,5384,"und",0,"Vorbericht","filtered_html"
"node","preface",0,5385,5385,"und",0,"Vorrede","filtered_html"
"node","preface",0,5386,5386,"und",0,"Vorrede","filtered_html"
"node","preface",0,5387,5387,"und",0,"Vorwort","filtered_html"
"node","preface",0,5388,5388,"und",0,"Vorrede","filtered_html"
"node","preface",0,5389,5389,"und",0,"Einleitung","filtered_html"
"node","preface",0,5390,5390,"und",0,"Vorrede","filtered_html"
"node","preface",0,5391,5391,"und",0,"Einleitung","filtered_html"
"node","preface",0,5392,5392,"und",0,"Vorrede: בהקדמה מתאר בוק את מטרות הספר וקהל היעד שלו.","filtered_html"
"node","preface",0,5393,5393,"und",0,"Statt einer Vorrede","filtered_html"
"node","preface",0,5394,5394,"und",0,"Preface","filtered_html"
"node","preface",0,5395,5395,"und",0,"<p>Vorbericht</p>
","filtered_html"
"node","preface",0,5396,5396,"und",0,"Einleitung","filtered_html"
"node","preface",0,5397,5397,"und",0,"פתיחה / Eingang","filtered_html"
"node","preface",0,5398,5398,"und",0,"Einleitung","filtered_html"
"node","preface",0,5399,5399,"und",0,"Vorbericht des Herausgebers","filtered_html"
"node","preface",0,5400,5400,"und",0,"Einleitung","filtered_html"
"node","preface",0,5401,5401,"und",0,"Vorrede","filtered_html"
"node","preface",0,5402,5402,"und",0,"Einleitung","filtered_html"
"node","preface",0,5403,5403,"und",0,"Nachricht","filtered_html"
"node","preface",0,5404,5404,"und",0,"Moses Mendelsohn an Isak Tr.--n","filtered_html"
"node","preface",0,5405,5405,"und",0,"Vorwort","filtered_html"
"node","preface",0,5406,5406,"und",0,"Vorerinnerung","filtered_html"
"node","preface",0,5407,5407,"und",0,"Vorrede","filtered_html"
"node","preface",0,5408,5408,"und",0,"Werthester Leser","filtered_html"
"node","preface",0,5409,5409,"und",0,"Vorrede","filtered_html"
"node","preface",0,5410,5410,"und",0,"Vorrede","filtered_html"
"node","preface",0,5411,5411,"und",0,"Vorbericht","filtered_html"
"node","preface",0,5414,5414,"und",0,"דברי המחבר","filtered_html"
"node","preface",0,5417,5417,"und",0,"הקדמה","filtered_html"
"node","preface",0,5418,5418,"und",0,"הקדמת אדר היקר","filtered_html"
"node","preface",0,5419,5419,"und",0,"הקדמה קטנה מן המביא דברי אלה לבית הדפוס","filtered_html"
"node","preface",0,5421,5421,"und",0,"ספורי ארץ הקדושה","filtered_html"
