"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_presented_as_translation_value
"node","book",0,1953,1953,"und",0,1
"node","book",0,1958,1958,"und",0,1
"node","book",0,1976,1976,"und",0,1
"node","book",0,1979,1979,"und",0,1
"node","book",0,1981,1981,"und",0,1
"node","book",0,1982,1982,"und",0,1
"node","book",0,1987,1987,"und",0,1
"node","book",0,1989,1989,"und",0,1
"node","book",0,1997,1997,"und",0,1
"node","book",0,1998,1998,"und",0,1
"node","book",0,2008,2008,"und",0,1
"node","book",0,2017,2017,"und",0,1
"node","book",0,2028,2028,"und",0,1
"node","book",0,2049,2049,"und",0,1
"node","book",0,2069,2069,"und",0,1
"node","book",0,2070,2070,"und",0,1
"node","book",0,2072,2072,"und",0,1
"node","book",0,2081,2081,"und",0,1
"node","book",0,2112,2112,"und",0,1
"node","book",0,2116,2116,"und",0,1
"node","book",0,2122,2122,"und",0,1
"node","book",0,2123,2123,"und",0,1
"node","book",0,2124,2124,"und",0,1
"node","book",0,2129,2129,"und",0,1
"node","book",0,2130,2130,"und",0,1
"node","book",0,2140,2140,"und",0,1
"node","book",0,2144,2144,"und",0,1
"node","book",0,2161,2161,"und",0,1
"node","book",0,2165,2165,"und",0,1
"node","book",0,2166,2166,"und",0,1
"node","book",0,2169,2169,"und",0,1
"node","book",0,2189,2189,"und",0,1
"node","book",0,2194,2194,"und",0,1
"node","book",0,2200,2200,"und",0,1
"node","book",0,2201,2201,"und",0,1
"node","book",0,2203,2203,"und",0,1
"node","book",0,2204,2204,"und",0,1
"node","book",0,2205,2205,"und",0,1
"node","book",0,2213,2213,"und",0,0
"node","book",0,2215,2215,"und",0,0
"node","book",0,2216,2216,"und",0,1
"node","book",0,2218,2218,"und",0,1
"node","book",0,2231,2231,"und",0,1
"node","book",0,2241,2241,"und",0,1
"node","book",0,2243,2243,"und",0,1
"node","book",0,2250,2250,"und",0,1
"node","book",0,2253,2253,"und",0,1
"node","book",0,2262,2262,"und",0,1
"node","book",0,2270,2270,"und",0,1
"node","book",0,2271,2271,"und",0,1
"node","book",0,2276,2276,"und",0,1
"node","book",0,2288,2288,"und",0,1
"node","book",0,2295,2295,"und",0,1
"node","book",0,2296,2296,"und",0,1
"node","book",0,2297,2297,"und",0,1
"node","book",0,2298,2298,"und",0,1
"node","book",0,2302,2302,"und",0,1
"node","book",0,2303,2303,"und",0,1
"node","book",0,2312,2312,"und",0,1
"node","book",0,2326,2326,"und",0,1
"node","book",0,2327,2327,"und",0,1
"node","book",0,2328,2328,"und",0,1
"node","book",0,2329,2329,"und",0,1
"node","book",0,2330,2330,"und",0,1
"node","book",0,2331,2331,"und",0,1
"node","book",0,2332,2332,"und",0,1
"node","book",0,2333,2333,"und",0,1
"node","book",0,2334,2334,"und",0,1
"node","book",0,2335,2335,"und",0,1
"node","book",0,2336,2336,"und",0,1
"node","book",0,2347,2347,"und",0,1
"node","book",0,2348,2348,"und",0,1
"node","book",0,2349,2349,"und",0,1
"node","book",0,2350,2350,"und",0,1
"node","book",0,2351,2351,"und",0,1
"node","book",0,2352,2352,"und",0,1
"node","book",0,2365,2365,"und",0,1
"node","book",0,2375,2375,"und",0,1
"node","book",0,2383,2383,"und",0,1
"node","book",0,2395,2395,"und",0,1
"node","book",0,2410,2410,"und",0,1
"node","book",0,2419,2419,"und",0,1
"node","book",0,2420,2420,"und",0,1
"node","book",0,2421,2421,"und",0,0
"node","book",0,2428,2428,"und",0,1
"node","book",0,2466,2466,"und",0,0
"node","book",0,2471,2471,"und",0,1
"node","book",0,2473,2473,"und",0,1
"node","book",0,2487,2487,"und",0,1
