"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_printing_press_references_value","field_printing_press_references_format"
"node","book",0,1974,1974,"und",0,"Verlagsanzeige am Ende des Buches","filtered_html"
"node","book",0,2098,2098,"und",0,"קטלוג ממוחשב","filtered_html"
"node","book",0,2122,2122,"und",0,"Bibliography of the Hebrew Book","filtered_html"
"node","book",0,2125,2125,"und",0,"פיינר, מהפכת הנאורות, עמ' 113","filtered_html"
"node","book",0,2126,2126,"und",0,"פלאי, כתב יושר, נספח 1 (דיון על תאריך פרסום הספר);
פרידלנדר, הסטירה, עמ' 66

סמט, ר' שאול ברלין, עמ' 432 (על סמך \"המאסף\" ועוד).","filtered_html"
"node","book",0,2190,2190,"und",0,"סנדלר, הביאור לתורה, עמ' 43.","filtered_html"
"node","book",0,2194,2194,"und",0,"וינוגרד","filtered_html"
"node","book",0,2235,2235,"und",0,"קטלוג ממוחשב","filtered_html"
"node","book",0,2249,2249,"und",0,"<p>וינוגרד</p>
","filtered_html"
"node","book",0,2287,2287,"und",0,"וינוגרד","filtered_html"
"node","book",0,2314,2314,"und",0,"פלאי, כתב יושר, נספח 1 (דיון על תאריך פרסום הספר);
פרידלנדר, הסטירה, עמ' 66

סמט, ר' שאול ברלין, עמ' 432 (על סמך \"המאסף\" ועוד).","filtered_html"
"node","book",0,2344,2344,"und",0,"Fishman, Jews of Shklov","filtered_html"
"node","book",0,2347,2347,"und",0,"סנדלר, הביאור, עמ 161","filtered_html"
"node","book",0,2348,2348,"und",0,"סנדלר, הביאור, עמ' 161","filtered_html"
"node","book",0,2350,2350,"und",0,"סנדלר, הביאור, עמ' 161","filtered_html"
"node","book",0,2351,2351,"und",0,"סנדלר, הביאור, עמ' 161","filtered_html"
"node","book",0,2354,2354,"und",0,"IUL","filtered_html"
"node","book",0,2391,2391,"und",0,"קטלוג ממוחשב","filtered_html"
"node","book",0,2463,2463,"und",0,"Kennecke (2001), S. 57","filtered_html"
