"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_proofreaders_notes_value","field_proofreaders_notes_format"
"node","book",0,2116,2116,"und",0,"בסוף הספר כתוב [חלק מן הטקסט אינו קריא או נמחק בעותק שלפניי]:
\"על העוסק במלאכת הקודש באמונה הזעטצר הב[חור? ____] מאיר ז\"ל מק\"ק פ\"פ דאדר ממשפחות ___
ועל הזעטצר הפועל במלאכת הקודש באמונה הב' שמו[אל] כהרר נפתלי הירץ יצ\"ו מיע___ץ.\"","filtered_html"
"node","book",0,2118,2118,"und",0,"יצחק בלינפנטי מוזכר בכותרת כמגיה.","filtered_html"
"node","book",0,2182,2182,"und",0,"לפי דברי רפאל הלוי, הוא עצמו עשה הגהות לספר (ראו אצבע בלשון הוצאה/בית דפוס).","filtered_html"
"node","book",0,2213,2213,"und",0,"כך מציין אייכל ב\"דבר אל הקורא\".","filtered_html"
"node","book",0,2239,2239,"und",0,"בסוף ספרו מציין וייזל כי הוא הגה את הספר, אך מתנצל על כי לא הכין לוח טעות כמקובל.","filtered_html"
"node","book",0,2254,2254,"und",0,"שמו של וואלף ווירמש, בנו של המחבר, מופיע בעמוד השער.","filtered_html"
"node","book",0,2289,2289,"und",0,"בעמ' האחרון: \"התנצלות המגיה - אמר המגיה כבר קדמוני הקודמים במליצתם בהתנצלות על דברי שגגתם אשר נמצא בספרים מכל מקומות מושבותם באמרם כמו שבזמני השעות לא יבצר מן הטובות הרעות כן כל מלאכה לא ישולל מן הטעות ובפרט במלאכת הדפוסים אשר שם נצבים וגם קמים צעירים לימים ויחנו באפס דמים ומחמת גודל המהירות בכדי לצאת מהרה לחירות יבואו לידי חסירות ויתירות ואף כי בכתב יושר דברי אמת נרשם תקנתא לא עבדי כי אם מעט מזעיר שם וגם זאת התנצלותי לצאת מידי חובתי ובשחק עדי אם שגיתי ומי האיש אשר במחזה יחזה איזה טעות בכ\"רך הנורא הזה בה' שמתי כסלי ומבטחי שלכף חובה לא ידון רוחי ויען כי קונטרסים שנים שכחה היו לתקנם יפה הצגתי לוח הטעות מנופה בי\"ג נפה.\"","filtered_html"
"node","book",0,2294,2294,"und",0,"ראו חלון לעיל.","filtered_html"
"node","book",0,2325,2325,"und",0,"בעמוד האחרון של הספר: \"התנצלות המגיה\". המגיה מדבר על הקושי בעבודתו, וכולל מעט מידע אישי.","filtered_html"
"node","book",0,2343,2343,"und",0,"אחרי לוח טעות ארוכה יחסית, ישנה \"התנצלות המדפיס\": \"בהיות שמחבר הספר הלזה אינו נכח אצלי, כי נשלחו מכתביו לידי ע\"י שליש, לא יכולתי לעמוד בכל מקום על ההגהה, ולזאת ישא נא הקורא בבקשי מאתו לתקן הגיאות על שולי הספר כאשר נרשמים בלוח הטעיות [כך] הזה.\"","filtered_html"
