"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_publication_place_other_tid
"node","book",0,1955,1955,"und",0,28
"node","book",0,1965,1965,"und",0,14
"node","book",0,1967,1967,"und",0,14
"node","book",0,1972,1972,"und",0,192
"node","book",0,1973,1973,"und",0,192
"node","book",0,1983,1983,"und",0,192
"node","book",0,1984,1984,"und",0,192
"node","book",0,1985,1985,"und",0,111
"node","book",0,1986,1986,"und",0,27
"node","book",0,1992,1992,"und",0,139
"node","book",0,2005,2005,"und",0,25
"node","book",0,2014,2014,"und",0,148
"node","book",0,2016,2016,"und",0,192
"node","book",0,2019,2019,"und",0,192
"node","book",0,2024,2024,"und",0,192
"node","book",0,2033,2033,"und",0,192
"node","book",0,2034,2034,"und",0,192
"node","book",0,2035,2035,"und",0,192
"node","book",0,2036,2036,"und",0,192
"node","book",0,2037,2037,"und",0,192
"node","book",0,2038,2038,"und",0,192
"node","book",0,2045,2045,"und",0,192
"node","book",0,2051,2051,"und",0,192
"node","book",0,2082,2082,"und",0,83
"node","book",0,2087,2087,"und",0,272
"node","book",0,2088,2088,"und",0,272
"node","book",0,2090,2090,"und",0,147
"node","book",0,2092,2092,"und",0,14
"node","book",0,2093,2093,"und",0,192
"node","book",0,2095,2095,"und",0,256
"node","book",0,2096,2096,"und",0,3
"node","book",0,2102,2102,"und",0,147
"node","book",0,2103,2103,"und",0,204
"node","book",0,2104,2104,"und",0,85
"node","book",0,2111,2111,"und",0,204
"node","book",0,2122,2122,"und",0,204
"node","book",0,2125,2125,"und",0,14
"node","book",0,2131,2131,"und",0,54
"node","book",0,2149,2149,"und",0,218
"node","book",0,2153,2153,"und",0,1
"node","book",0,2178,2178,"und",0,17
"node","book",0,2190,2190,"und",0,14
"node","book",0,2194,2194,"und",0,14
"node","book",0,2199,2199,"und",0,14
"node","book",0,2206,2206,"und",0,73
"node","book",0,2231,2231,"und",0,14
"node","book",0,2232,2232,"und",0,14
"node","book",0,2235,2235,"und",0,28
"node","book",0,2249,2249,"und",0,65
"node","book",0,2252,2252,"und",0,14
"node","book",0,2255,2255,"und",0,1
"node","book",0,2263,2263,"und",0,14
"node","book",0,2275,2275,"und",0,204
"node","book",0,2278,2278,"und",0,14
"node","book",0,2301,2301,"und",0,256
"node","book",0,2306,2306,"und",0,204
"node","book",0,2309,2309,"und",0,1
"node","book",0,2314,2314,"und",0,14
"node","book",0,2318,2318,"und",0,1
"node","book",0,2339,2339,"und",0,287
"node","book",0,2344,2344,"und",0,235
"node","book",0,2347,2347,"und",0,14
"node","book",0,2348,2348,"und",0,14
"node","book",0,2349,2349,"und",0,14
"node","book",0,2350,2350,"und",0,14
"node","book",0,2351,2351,"und",0,14
"node","book",0,2398,2398,"und",0,1
"node","book",0,2405,2405,"und",0,14
"node","book",0,2411,2411,"und",0,14
"node","book",0,2423,2423,"und",0,214
"node","book",0,2426,2426,"und",0,14
"node","book",0,2429,2429,"und",0,121
"node","book",0,2433,2433,"und",0,1
"node","book",0,2455,2455,"und",0,14
"node","book",0,2460,2460,"und",0,3
"node","book",0,2468,2468,"und",0,218
"node","book",0,2469,2469,"und",0,14
"node","book",0,2477,2477,"und",0,273
"node","book",0,2485,2485,"und",0,14
