"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_publication_year_in_other_value","field_publication_year_in_other_format"
"node","book",0,1955,1955,"und",0,"1804",NULL
"node","book",0,1965,1965,"und",0,"1808",NULL
"node","book",0,1967,1967,"und",0,"1805",NULL
"node","book",0,1972,1972,"und",0,"1806",NULL
"node","book",0,1973,1973,"und",0,"1774",NULL
"node","book",0,1974,1974,"und",0,"1810",NULL
"node","book",0,1983,1983,"und",0,"1807",NULL
"node","book",0,1984,1984,"und",0,"1806",NULL
"node","book",0,1985,1985,"und",0,"1810",NULL
"node","book",0,1986,1986,"und",0,"1810",NULL
"node","book",0,1987,1987,"und",0,"1800",NULL
"node","book",0,2005,2005,"und",0,"1799",NULL
"node","book",0,2014,2014,"und",0,"1773",NULL
"node","book",0,2016,2016,"und",0,"1810",NULL
"node","book",0,2019,2019,"und",0,"1767",NULL
"node","book",0,2020,2020,"und",0,"1808",NULL
"node","book",0,2030,2030,"und",0,"1807",NULL
"node","book",0,2033,2033,"und",0,"1772",NULL
"node","book",0,2035,2035,"und",0,"1774",NULL
"node","book",0,2036,2036,"und",0,"1783",NULL
"node","book",0,2037,2037,"und",0,"1768",NULL
"node","book",0,2038,2038,"und",0,"1765",NULL
"node","book",0,2045,2045,"und",0,"1806",NULL
"node","book",0,2051,2051,"und",0,"1767",NULL
"node","book",0,2082,2082,"und",0,"תקנ",NULL
"node","book",0,2087,2087,"und",0,"1796",NULL
"node","book",0,2088,2088,"und",0,"תקלח",NULL
"node","book",0,2090,2090,"und",0,"תקמו",NULL
"node","book",0,2092,2092,"und",0,"תקנד",NULL
"node","book",0,2093,2093,"und",0,"תקסז",NULL
"node","book",0,2095,2095,"und",0,"תקנח",NULL
"node","book",0,2096,2096,"und",0,"תקלב",NULL
"node","book",0,2098,2098,"und",0,"תקסה",NULL
"node","book",0,2102,2102,"und",0,"תקמח",NULL
"node","book",0,2103,2103,"und",0,"1763",NULL
"node","book",0,2104,2104,"und",0,"תקסו",NULL
"node","book",0,2111,2111,"und",0,"תקנו",NULL
"node","book",0,2123,2123,"und",0,"תקנט",NULL
"node","book",0,2124,2124,"und",0,"תקס",NULL
"node","book",0,2125,2125,"und",0,"1782",NULL
"node","book",0,2126,2126,"und",0,"תקנד",NULL
"node","book",0,2149,2149,"und",0,"תקסב",NULL
"node","book",0,2155,2155,"und",0,"תקלז",NULL
"node","book",0,2190,2190,"und",0,"1782",NULL
"node","book",0,2194,2194,"und",0,"תקמט",NULL
"node","book",0,2199,2199,"und",0,"תקכז",NULL
"node","book",0,2206,2206,"und",0,"תקכט",NULL
"node","book",0,2232,2232,"und",0,"תקנד",NULL
"node","book",0,2235,2235,"und",0,"תקס",NULL
"node","book",0,2249,2249,"und",0,"תקס",NULL
"node","book",0,2287,2287,"und",0,"תקמו",NULL
"node","book",0,2301,2301,"und",0,"1781",NULL
"node","book",0,2314,2314,"und",0,"תקנד",NULL
"node","book",0,2339,2339,"und",0,"תקכ",NULL
"node","book",0,2344,2344,"und",0,"1797",NULL
"node","book",0,2347,2347,"und",0,"תקמ",NULL
"node","book",0,2348,2348,"und",0,"1781",NULL
"node","book",0,2349,2349,"und",0,"1782",NULL
"node","book",0,2350,2350,"und",0,"1783",NULL
"node","book",0,2351,2351,"und",0,"1783",NULL
"node","book",0,2391,2391,"und",0,"תקכז",NULL
"node","book",0,2398,2398,"und",0,"תקל",NULL
"node","book",0,2411,2411,"und",0,"1790",NULL
"node","book",0,2423,2423,"und",0,"1791",NULL
"node","book",0,2433,2433,"und",0,"1767",NULL
"node","book",0,2438,2438,"und",0,"1811",NULL
"node","book",0,2463,2463,"und",0,"1781",NULL
"node","book",0,2464,2464,"und",0,"תקעא",NULL
"node","book",0,2473,2473,"und",0,"1788",NULL
"node","book",0,2477,2477,"und",0,"תקס",NULL
"node","book",0,2479,2479,"und",0,"תקסו",NULL
"node","book",0,2485,2485,"und",0,"תקמה",NULL
