"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_publisher_name_tid
"node","book",0,1952,1952,"und",0,411
"node","book",0,1953,1953,"und",0,419
"node","book",0,1954,1954,"und",0,425
"node","book",0,1956,1956,"und",0,430
"node","book",0,1958,1958,"und",0,433
"node","book",0,1959,1959,"und",0,437
"node","book",0,1960,1960,"und",0,440
"node","book",0,1960,1960,"und",1,441
"node","book",0,1960,1960,"und",2,442
"node","book",0,1961,1961,"und",0,446
"node","book",0,1962,1962,"und",0,447
"node","book",0,1963,1963,"und",0,449
"node","book",0,1964,1964,"und",0,458
"node","book",0,1965,1965,"und",0,462
"node","book",0,1966,1966,"und",0,463
"node","book",0,1967,1967,"und",0,464
"node","book",0,1969,1969,"und",0,465
"node","book",0,1970,1970,"und",0,468
"node","book",0,1971,1971,"und",0,469
"node","book",0,1972,1972,"und",0,470
"node","book",0,1973,1973,"und",0,471
"node","book",0,1974,1974,"und",0,472
"node","book",0,1975,1975,"und",0,474
"node","book",0,1976,1976,"und",0,433
"node","book",0,1977,1977,"und",0,479
"node","book",0,1978,1978,"und",0,483
"node","book",0,1979,1979,"und",0,484
"node","book",0,1980,1980,"und",0,487
"node","book",0,1981,1981,"und",0,488
"node","book",0,1982,1982,"und",0,433
"node","book",0,1986,1986,"und",0,493
"node","book",0,1987,1987,"und",0,494
"node","book",0,1988,1988,"und",0,496
"node","book",0,1990,1990,"und",0,498
"node","book",0,1992,1992,"und",0,502
"node","book",0,1994,1994,"und",0,505
"node","book",0,1995,1995,"und",0,509
"node","book",0,1996,1996,"und",0,511
"node","book",0,1997,1997,"und",0,512
"node","book",0,1998,1998,"und",0,513
"node","book",0,1999,1999,"und",0,514
"node","book",0,2000,2000,"und",0,515
"node","book",0,2001,2001,"und",0,517
"node","book",0,2003,2003,"und",0,521
"node","book",0,2004,2004,"und",0,440
"node","book",0,2004,2004,"und",1,441
"node","book",0,2004,2004,"und",2,442
"node","book",0,2006,2006,"und",0,462
"node","book",0,2008,2008,"und",0,433
"node","book",0,2009,2009,"und",0,433
"node","book",0,2010,2010,"und",0,487
"node","book",0,2011,2011,"und",0,531
"node","book",0,2013,2013,"und",0,534
"node","book",0,2014,2014,"und",0,536
"node","book",0,2016,2016,"und",0,537
"node","book",0,2017,2017,"und",0,430
"node","book",0,2018,2018,"und",0,539
"node","book",0,2020,2020,"und",0,545
"node","book",0,2022,2022,"und",0,546
"node","book",0,2023,2023,"und",0,549
"node","book",0,2024,2024,"und",0,552
"node","book",0,2026,2026,"und",0,554
"node","book",0,2027,2027,"und",0,430
"node","book",0,2028,2028,"und",0,496
"node","book",0,2029,2029,"und",0,556
"node","book",0,2030,2030,"und",0,557
"node","book",0,2033,2033,"und",0,471
"node","book",0,2034,2034,"und",0,471
"node","book",0,2035,2035,"und",0,471
"node","book",0,2036,2036,"und",0,471
"node","book",0,2037,2037,"und",0,471
"node","book",0,2039,2039,"und",0,558
"node","book",0,2040,2040,"und",0,559
"node","book",0,2041,2041,"und",0,493
"node","book",0,2042,2042,"und",0,560
"node","book",0,2043,2043,"und",0,561
"node","book",0,2044,2044,"und",0,430
"node","book",0,2045,2045,"und",0,562
"node","book",0,2046,2046,"und",0,563
"node","book",0,2047,2047,"und",0,488
"node","book",0,2048,2048,"und",0,488
"node","book",0,2049,2049,"und",0,571
"node","book",0,2052,2052,"und",0,572
"node","book",0,2053,2053,"und",0,493
"node","book",0,2054,2054,"und",0,574
"node","book",0,2055,2055,"und",0,575
"node","book",0,2056,2056,"und",0,430
"node","book",0,2057,2057,"und",0,505
"node","book",0,2058,2058,"und",0,577
"node","book",0,2060,2060,"und",0,578
"node","book",0,2061,2061,"und",0,579
"node","book",0,2062,2062,"und",0,581
"node","book",0,2064,2064,"und",0,582
"node","book",0,2065,2065,"und",0,583
"node","book",0,2066,2066,"und",0,584
"node","book",0,2067,2067,"und",0,585
"node","book",0,2069,2069,"und",0,587
"node","book",0,2070,2070,"und",0,588
"node","book",0,2071,2071,"und",0,464
"node","book",0,2072,2072,"und",0,589
"node","book",0,2073,2073,"und",0,419
"node","book",0,2074,2074,"und",0,430
"node","book",0,2076,2076,"und",0,430
"node","book",0,2077,2077,"und",0,593
"node","book",0,2079,2079,"und",0,596
"node","book",0,2081,2081,"und",0,599
"node","book",0,2083,2083,"und",0,593
"node","book",0,2084,2084,"und",0,593
"node","book",0,2085,2085,"und",0,593
"node","book",0,2086,2086,"und",0,554
"node","book",0,2090,2090,"und",0,605
"node","book",0,2091,2091,"und",0,607
"node","book",0,2091,2091,"und",1,608
"node","book",0,2091,2091,"und",2,609
"node","book",0,2094,2094,"und",0,610
"node","book",0,2096,2096,"und",0,611
"node","book",0,2097,2097,"und",0,593
"node","book",0,2100,2100,"und",0,612
"node","book",0,2104,2104,"und",0,614
"node","book",0,2105,2105,"und",0,615
"node","book",0,2106,2106,"und",0,616
"node","book",0,2107,2107,"und",0,618
"node","book",0,2108,2108,"und",0,593
"node","book",0,2109,2109,"und",0,621
"node","book",0,2110,2110,"und",0,430
"node","book",0,2112,2112,"und",0,615
"node","book",0,2113,2113,"und",0,430
"node","book",0,2114,2114,"und",0,618
"node","book",0,2116,2116,"und",0,430
"node","book",0,2117,2117,"und",0,625
"node","book",0,2118,2118,"und",0,611
"node","book",0,2119,2119,"und",0,607
"node","book",0,2119,2119,"und",1,608
"node","book",0,2119,2119,"und",2,609
"node","book",0,2120,2120,"und",0,611
"node","book",0,2121,2121,"und",0,511
"node","book",0,2127,2127,"und",0,430
"node","book",0,2128,2128,"und",0,430
"node","book",0,2130,2130,"und",0,632
"node","book",0,2131,2131,"und",0,554
"node","book",0,2133,2133,"und",0,633
"node","book",0,2134,2134,"und",0,637
"node","book",0,2135,2135,"und",0,487
"node","book",0,2136,2136,"und",0,487
"node","book",0,2137,2137,"und",0,430
"node","book",0,2142,2142,"und",0,430
"node","book",0,2143,2143,"und",0,641
"node","book",0,2144,2144,"und",0,430
"node","book",0,2145,2145,"und",0,430
"node","book",0,2146,2146,"und",0,430
"node","book",0,2147,2147,"und",0,430
"node","book",0,2148,2148,"und",0,430
"node","book",0,2149,2149,"und",0,645
"node","book",0,2150,2150,"und",0,430
"node","book",0,2152,2152,"und",0,646
"node","book",0,2154,2154,"und",0,647
"node","book",0,2156,2156,"und",0,650
"node","book",0,2159,2159,"und",0,596
"node","book",0,2161,2161,"und",0,430
"node","book",0,2162,2162,"und",0,593
"node","book",0,2164,2164,"und",0,652
"node","book",0,2165,2165,"und",0,653
"node","book",0,2166,2166,"und",0,554
"node","book",0,2167,2167,"und",0,654
"node","book",0,2168,2168,"und",0,517
"node","book",0,2169,2169,"und",0,430
"node","book",0,2170,2170,"und",0,656
"node","book",0,2171,2171,"und",0,430
"node","book",0,2172,2172,"und",0,658
"node","book",0,2173,2173,"und",0,659
"node","book",0,2174,2174,"und",0,487
"node","book",0,2175,2175,"und",0,430
"node","book",0,2176,2176,"und",0,633
