"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_secondary_sources_value","field_secondary_sources_format"
"node","book",0,1954,1954,"und",0,"Ritter 1861, S. 74-92.","filtered_html"
"node","book",0,1960,1960,"und",0,"Hamberger, Gelehrte Teutschland, vol. III, p. 344; vol. XI, p. 358.","filtered_html"
"node","book",0,1963,1963,"und",0,"NADB","filtered_html"
"node","book",0,1966,1966,"und",0,"Grab: Saul Ascher; Eichstädt: Bibliographie;","filtered_html"
"node","book",0,1968,1968,"und",0,"Eichstädt, Volkmar: Bibliographie zur Geschichte der Judenfrage. 1750 bis 1848, Hamburg 1938.","filtered_html"
"node","book",0,1971,1971,"und",0,"Balaban (1916), 215-219.","filtered_html"
"node","book",0,1976,1976,"und",0,"Ritter 1861, S. 66-69.","filtered_html"
"node","book",0,1978,1978,"und",0,"Jacobson: Jüdische Trauungen;","filtered_html"
"node","book",0,1979,1979,"und",0,"Gilman, Sander L.: Jewish Self-Hatred , Baltimore 1986, S.  98- 107.","filtered_html"
"node","book",0,1989,1989,"und",0,"Alexander, Isaak, Einheitsgedichte, eine Uebersetzung aus dem Hebräischen,
in: ADB 1790 , 92. Bd., 1.St., S. 212-212.","filtered_html"
"node","book",0,1993,1993,"und",0,"M. Brann, Geschichte der Gesellschaft der Brueder, Festschrift zurr Jahrhundert-Feier am 21. Maerz 1880, (Neudruck 1925).","filtered_html"
"node","book",0,1994,1994,"und",0,"Bourel, Dominique: Eine Generation später: Lazarus Bendavid (1762-1832), in: Albrecht, Michael/Engel, Eva/Hinske, Norbert (Hrsg.): Moses Mendelssohn und die Kreise seiner Wirksamkeit, Tübingen 1994, S. 363-380.","filtered_html"
"node","book",0,1997,1997,"und",0,"Feiner 1987, Pelli 1979; Ritter 1861;","filtered_html"
"node","book",0,1998,1998,"und",0,"NDB Bd. 2, S. 514; ADB Bd. 3, S. 234-235","filtered_html"
"node","book",0,1999,1999,"und",0,"Beer, Peter:  Über die Nothwendigkeit einer Sammlung von Lebensbeschreibungen gelehrter und sonst rühmlich sich auszeichnender Männer in Israel, in: Sulamith, III, 1, S. 249-252; Kestenberg-Gladstein (1969), S.","filtered_html"
"node","book",0,2004,2004,"und",0,"Koch, Max: Kuh (Ephraim Moses), in: Allgemeine Encyclopädie der Wissenschaften und Künste, hrsg. von Johann Samuel Ersch, Johann Gottfried Gruber, Leipzig 1818, Sect. II, Teil 40, S. 189-191.","filtered_html"
"node","book",0,2017,2017,"und",0,"היהודית בברלין' - ניתוח המיקראה המודרנית הראשונה לילדים יהודים\". בתוך: כמנהג אשכנז ופולין ספר יובל לחנא שמרוק. (עורכים) ישראל ברטל, חוה טורניאנסקי ועזרא מנדלסון. ירושלים: מרכז זלמן שזר לתולדות ישראל, 207-193.","filtered_html"
"node","book",0,2018,2018,"und",0,"ראו: מאמרים ומחקרים על הספר (בחלון זה)","filtered_html"
"node","book",0,2022,2022,"und",0,"Grab: Saul Ascher","filtered_html"
"node","book",0,2029,2029,"und",0,"Grab 1977","filtered_html"
"node","book",0,2042,2042,"und",0,"Brandeis, I.: Biographie des Dichters, in: M.  I.  Landau's hinterlassene vermischte Schriften. Nebst einer Biographie und dem Bildnis des Verfassers, Prag 1867, S. 197-200; Wurzbach, Constant von: Biographisches Lexikon des Kaiserthums Oesterreich, 1856-1923, S.","filtered_html"
"node","book",0,2043,2043,"und",0,"Dansk Biografisk Lexikon, vol. IV, S. 619-620.","filtered_html"
"node","book",0,2050,2050,"und",0,"Karp, Abraham J.: From the ends of the earth: Judaic treasures of the Library of Congress, New York 1991.; Göckingk, L.F.G.v.: Schreiben an den amerikanischen Präsidenten, in: Deutsches Museum, 1783, vol. I, p. 558-566.","filtered_html"
"node","book",0,2059,2059,"und",0,"Manfred Treml, \"Elkan Henle (1761-1833), ein Vorkämpfer für die Judenemanzipation\", in: Manfred Treml und Wolf Weigand (Hg.), Geschichte und Kultur der Juden in Bayern, 1988, pp. 59-62.","filtered_html"
"node","book",0,2062,2062,"und",0,"Ritter 1861, Kap. X.","filtered_html"
"node","book",0,2065,2065,"und",0,"Besprechung in Realzeitung, Wien 1783, S. 456-459. [vgl. Eichstädt, Volkmar: Bibliographie, S. 17]. Jüdischer Plutarch 1975 - S. 88-91, führt das Buch ebenfalls an. Louis Dubin soll Kopie haben, lt. Dirk Sadowski","filtered_html"
"node","book",0,2066,2066,"und",0,"Alexander: Schriften, 1998; Meyer: Geschichte der Juden in Regensburg, 1913.","filtered_html"
"node","book",0,2072,2072,"und",0,"Gutman, René: Le document fondateur du Judaïsme français : les décisions doctrinales du Grand Sanhédrin 1806-1807, Strasbourg 2000.","filtered_html"
"node","book",0,2074,2074,"und",0,"קרסל;","filtered_html"
"node","book",0,2076,2076,"und",0,"צינברג, קרסל, קלוזנר, DJKJLH, JL
Alain Ruiz, \"Auf dem Wege zur Emanzipation. Der ideologische Werdegang des Aufgeklaerten 'Gelehrten juedischer Nation' H.S. Pappenheimer (1766-1832) bis zur Franzoesischen Revolution\", in Walter Grab (ed.) Deutsche Aufklaerung und Judenemanzipation, Tel Avi 1979, pp. 183-222.","filtered_html"
"node","book",0,2079,2079,"und",0,"קסטנברג-גלדשטיין, יהודים בארצות בוהמיה:
Ruth Kestenberg-Gladstein, Neuere Geschichte der Juden in den böhmischen Ländern, I, Tübingen 1969
[[אצל קסטנברג יש הפניה למאמר שמזכיר את הספר הנדון:
Nathan Gruen, Die Entdeckung Amerikas und die Juden, Beitraege zur Geschichte der Juden in Prag, Jung Juda XIV, 1913, S. 280]]","filtered_html"
"node","book",0,2089,2089,"und",0,"ויינברג, הקדמה","filtered_html"
"node","book",0,2107,2107,"und",0,"קוגמן 2000","filtered_html"
"node","book",0,2108,2108,"und",0,"קוגמן 2000; קלוזנר 1930;","filtered_html"
"node","book",0,2126,2126,"und",0,"סמט, ר' שאול ברלין: משה סמט, \"ר' שאול ברלין וכתביו\", קרית ספר  מ\"ג (תשכ\"ח), עמ' 429 - 441.

פלאי, כתב יושר: 
Moshe Pelli, \"Saul Berlin's Ktav Yosher, The Beginning of Satire in Modern Hebrew Literature of the Haskalah in Germany\", YBLBI, XX (1975), pp. 109 – 127.

פרידלנדר, הסטירה:
יהודה פרידלנדר, \"שאול לוין-ברלין\", פרקים בסאטירה העברית, א', תל אביב בש\"ם, עמ' 61 - 119.

דוסצ'ינסקי, רבנות לונדון:
C. Duschinsky, The Rabbinate of the Great Synagogue, London, From 1756 - 1842, London 1921, repr. 1971.","filtered_html"
"node","book",0,2127,2127,"und",0,"דובין, טרייסט וברלין:
Lois C. Dubin, \"Trieste and Berlin: The Italian Role in the Cultural Politics of the Haskalah\", Toward Modernity, The European Jewish Model, ed. Jacob Katz, New Brunswick-Oxford 1987, pp. 189-224.","filtered_html"
"node","book",0,2128,2128,"und",0,"דובין, טרייסט וברלין:
Lois C. Dubin, \"Trieste and Berlin: The Italian Role in the Cultural Politics of the Haskalah\", Toward Modernity, The European Jewish Model, ed. Jacob Katz, New Brunswick-Oxford 1987, pp. 189-224.","filtered_html"
"node","book",0,2154,2154,"und",0,"דן מכמן, \"דוד פרידריכספלד - משכיל ולוחם אמאנציפאציה\", מחקרים על תולדות יהדות הולנד, 1 (תשל\"ה), עמ' 151 - 199.","filtered_html"
"node","book",0,2156,2156,"und",0,"דן מכמן, \"דוד פרידריכספלד - משכיל ולוחם אמאנציפאציה\", מחקרים על תולדות יהדות הולנד, 1 (תשל\"ה), עמ' 151 - 199.","filtered_html"
"node","book",0,2158,2158,"und",0,"עותק בספריית בר אילן","filtered_html"
"node","book",0,2161,2161,"und",0,"Ritter 1861, S. 61-62; Schulte 2002, S. 92-99","filtered_html"
"node","book",0,2162,2162,"und",0,"הספריה הלאומית","filtered_html"
"node","book",0,2166,2166,"und",0,"פיליפסון, ביוגרפיות:
Ph. Philippson, Biographische Skizzen, 1864-1866

Antje Marquardt, Das jüdische Wesen im Dessau von seinen Anfängen bis zum Beginn des 20. Jahrhunderts, Diplomarbeit im StudiengangWissenschaftlisches Bibliothekswesen an der Hochschule für Technik, Wirtschaft und Kultur Leipzig, Dessau 1994.","filtered_html"
"node","book",0,2171,2171,"und",0,"קרסל 1965, א', 378-379","filtered_html"
"node","book",0,2172,2172,"und",0,"עותק בתל אביב (מהלמן).","filtered_html"
"node","book",0,2175,2175,"und",0,"IUL","filtered_html"
"node","book",0,2177,2177,"und",0,"נעמי זהר, עוללות מבציר, השכלה-חסידות-מתנגדות ביצירות נשכחות, ירושלים תשמ\"ח","filtered_html"
"node","book",0,2190,2190,"und",0,"סנדלר, הביאור לתורה:
פרץ סנדלר, הביאור לתורה של משה מנדלסון וסיעתו, התהוותו והשפעתו, ירושלים תשמ\"ד (מהדורה שניה).","filtered_html"
"node","book",0,2191,2191,"und",0,"יוסף מכמן, יהדות הולנד:
Joseph Michman, Dutch Jewry During the Emancipation Period, 1787-1815, Amsterdam 1995.","filtered_html"
"node","book",0,2192,2192,"und",0,"Ruderman, David. 1987. “Science, Medicine and Jewish Culture in Early Modern Europe”. In: Spiegel Lectures in Europe Jewish History 7, (ed.) P. Lloyd Gartner. Tel Aviv University.","filtered_html"
"node","book",0,2200,2200,"und",0,"קרסל;","filtered_html"
"node","book",0,2209,2209,"und",0,"פיליפסון, ביוגרפיות.","filtered_html"
"node","book",0,2211,2211,"und",0,"קוגמן 2000;","filtered_html"
"node","book",0,2221,2221,"und",0,"לחובר, תולדות הספרות העברית החדשה, א'.

פאהן, פרקי השכלה, ב'.","filtered_html"
"node","book",0,2231,2231,"und",0,"צינברג, 61","filtered_html"
"node","book",0,2234,2234,"und",0,"ורסס, המחזה מלוכת שאול:
ורסס, שמואל, \"מחילופי לשון לחילופי משמעות: המחזה 'מלוכת שאול' בתרגומו ליידיש\", חוליות, 6 (סתיו 2000), עמ' 55 - 78

בן-ישי, ספר שירים:
א.ז. בן-ישי, \"ספר שירים אבוד של יוסף האפרתי\", בחינות 11 (תשי\"ז), עמ' 59 - 71.

שקד, מבוא:
גרשון שקד, \"מבוא\", בתוך: יוסף האפרתי, מלוכת שאול, ההדיר וצירף מבוא והערות גרשון שקד, ירושלים תשכ\"ט, עמ' 7 - 34.

שביט, בעלות השחר:
עוזי שביט, בעלות השחר, שירת ההשכלה: מפגש עם המודרניות, תל אביב 1996.","filtered_html"
"node","book",0,2241,2241,"und",0,"DJKJLH","filtered_html"
"node","book",0,2243,2243,"und",0,"אופק 1985 , DJKJLH","filtered_html"
"node","book",0,2245,2245,"und",0,"ורסס תש\"ן ; פלאי 1988","filtered_html"
"node","book",0,2246,2246,"und",0,"ורסס תש\"ן ; פלאי 1988","filtered_html"
"node","book",0,2247,2247,"und",0,"ורסס תש\"ן ; פלאי 1988","filtered_html"
"node","book",0,2249,2249,"und",0,"<p class=\"rteleft\" dir=\"rtl\">רפל, ביבליוגרפיה של ספרי לימוד: דב רפל, ביבליוגרפיה של ספרי לימוד........</p>
","filtered_html"
"node","book",0,2250,2250,"und",0,"אברהם יערי, ביבליוגרפיה של הגדות פסח, ירושלים תשכ\"א.
יצחק יודלוב, אוצר ההגדות, ביבליוגרפיה של הגדות פסח מראשית הדפוס העברי עד שנת תש\"ך, ירושלים תשנ\"ז.
Yosef Hayim Yerushalmi, Haggadah and History, Philadelphia 1975 (ירושלמי, הגדה והיסטוריה).","filtered_html"
"node","book",0,2252,2252,"und",0,"קלוזנר; קרסל; Rezler-Bersohn;","filtered_html"
"node","book",0,2254,2254,"und",0,"פיינר, מהפכת הנאורות","filtered_html"
"node","book",0,2255,2255,"und",0,"Ruderman, David. 1987. “Science, Medicine and Jewish Culture in Early Modern Europe”. In: Spiegel Lectures in Europe Jewish History 7, (ed.) P. Lloyd Gartner. Tel Aviv University","filtered_html"
"node","book",0,2265,2265,"und",0,"קלוזנר; קרסל","filtered_html"
"node","book",0,2267,2267,"und",0,"קסטנברג-גלדשטיין, היהודים בארצות בוהמיה.","filtered_html"
"node","book",0,2274,2274,"und",0,"Fishman 1987","filtered_html"
"node","book",0,2287,2287,"und",0,"PELLI, NAPHTALI, THE AGE OF HASKALAH, PP 113 - 130

ברויאר, נפתלי הרץ וייזל:
Eduard Breuer, Naphtali Herz Wessely and the Cultural Dislocations of an Eighteenth-Century Maskil,
in Feiner and Sorkin, New Perspectives, pp. 27 - 47.

בור, ז'אנר המוסר:
Harris Bor, The Transformation of the Musar Genre, in Feiner and Sorkin, New Perspectives, pp. 48 - 63.","filtered_html"
"node","book",0,2295,2295,"und",0,"ויינברג, רשימת מילים:
Werner Weinberg, \"A Word List for Teaching Eighteenth-Century Jews Some Fine Points of High German\", LBIYB XXIX, pp. 277 - 293.","filtered_html"
"node","book",0,2297,2297,"und",0,"ויינברג, רשימת מילים:
Werner Weinberg, \"A Word List for Teaching Eighteenth-Century Jews Some Fine Points of High German\", LBIYB XXIX, pp. 277 - 293.","filtered_html"
"node","book",0,2300,2300,"und",0,"פישמן, יהודי שקלוב","filtered_html"
"node","book",0,2303,2303,"und",0,"קסטנברג-גלדשטיין, יהודים בארצות בוהמיה, עמ' 162 והלאה.","filtered_html"
"node","book",0,2304,2304,"und",0,"לאומית R 8= 25 V 14310","filtered_html"
"node","book",0,2313,2313,"und",0,"פיינר, יהודה הורוויץ.","filtered_html"
"node","book",0,2314,2314,"und",0,"סמט, ר' שאול ברלין: משה סמט, \"ר' שאול ברלין וכתביו\", קרית ספר  מ\"ג (תשכ\"ח), עמ' 429 - 441.

פלאי, כתב יושר: 
Moshe Pelli, \"Saul Berlin's Ktav Yosher, The Beginning of Satire in Modern Hebrew Literature of the Haskalah in Germany\", YBLBI, XX (1975), pp. 109 – 127.

פרידלנדר, הסטירה:
יהודה פרידלנדר, \"שאול לוין-ברלין\", פרקים בסאטירה העברית, א', תל אביב בש\"ם, עמ' 61 - 119.

דוסצ'ינסקי, רבנות לונדון:
C. Duschinsky, The Rabbinate of the Great Synagogue, London, From 1756 - 1842, London 1921, repr. 1971.","filtered_html"
"node","book",0,2318,2318,"und",0,"עותק בבר אילן","filtered_html"
"node","book",0,2322,2322,"und",0,"קלוזנר; קרסל","filtered_html"
"node","book",0,2324,2324,"und",0,"Fishman, The Jews of Shklov, p. 73 ff","filtered_html"
"node","book",0,2336,2336,"und",0,"סורקין, יוסף וולף (David Sorkin, \"Preacher, Teacher, Publicist: Joseph Wolf\", in F. Malino & D. Sorkin, 	From East and West, Jews in a Changing Europe 1750 - 1870, pp. 107 - 125).
פיליפסון, ביוגרפיות (Ph. Philippson, Biographische Skizzen, 1864-1866).
קרסל א', עמ' 694.","filtered_html"
"node","book",0,2343,2343,"und",0,"סמט, ר' שאול ברלין:
משה סמט, \"ר' שאול ברלין וכתביו\", קרית ספר מ\"ג (תשכ\"ח), עמ' 429 - 441.

סמט, בשמים ראש:
משה סמט, \"'בשמים ראש' של ר' שאול ברלין, ביבליוגרפיה היסטוריוגרפיה ואידיאולוגיה, קרית ספר מ\"ח (תשל\"ג), עמ' 509 - 523

פלאי, הריפורמה הדתית:
משה פלאי, הריפורמה הדתית של הררב \"החרדי\" שאול ברלין, 
HUCA 43, 1971, 
עמ' א - כג.

פיינר, מהפכת הנאורות, עמ' 307 - 318.","filtered_html"
"node","book",0,2347,2347,"und",0,"פרץ סנדלר, הביאור לתורה של משה מנדלסון וסיעתו, התהוותו והשפעתו, ירושלים תש\"א.","filtered_html"
"node","book",0,2348,2348,"und",0,"פרץ סנדלר, הביאור לתורה של משה מנדלסון וסיעתו, התהוותו והשפעתו, ירושלים תש\"א.","filtered_html"
"node","book",0,2349,2349,"und",0,"פרץ סנדלר, הביאור לתורה של משה מנדלסון וסיעתו, התהוותו והשפעתו, ירושלים תש\"א.","filtered_html"
"node","book",0,2351,2351,"und",0,"פרץ סנדלר, הביאור לתורה של משה מנדלסון וסיעתו, התהוותו והשפעתו, ירושלים תש\"א.","filtered_html"
"node","book",0,2352,2352,"und",0,"Leopold Löwenstein, Zur Geschichte der Juden in Fürth, 3 Teile in 1 Band, Hildesheim-NY 1974. Teil 2, p. 138-9","filtered_html"
"node","book",0,2353,2353,"und",0,"R 8= 35 V 4235","filtered_html"
"node","book",0,2354,2354,"und",0,"מידע החוגו של אופנהיים ומורו וואלף בוסקוויץ נמצא אצל:

Silber, Michael. 1987. “The Historical Experience of German Jewry and Its Impact on Haskalah and Reform in Hungary”. In: Toward Modernity. New Brunswich, NJ: Transaction Book, 107-157.","filtered_html"
"node","book",0,2356,2356,"und",0,"Fishman 1987;","filtered_html"
"node","book",0,2361,2361,"und",0,"זהר, עוללות מבציר","filtered_html"
"node","book",0,2362,2362,"und",0,"צינברג, תולדות ספרות ישראל, ג'","filtered_html"
"node","book",0,2364,2364,"und",0,"חנא שמרוק, \"משה מרקוזה מסלונים ומקור ספרו 'עזר ישראל', ספרות יידיש בפולין, ירושלים תשמ\"א, עמ' 184-203.
ושם הפניות למחקרים נוספים.","filtered_html"
"node","book",0,2366,2366,"und",0,"סמט, ר' שאול ברלין:

משה סמט, \"ר' שאול ברלין וכתביו\", קרית ספר  מ\"ג (תשכ\"ח), עמ' 429 - 441.","filtered_html"
"node","book",0,2367,2367,"und",0,"הלאומית העברית S64A1632","filtered_html"
"node","book",0,2378,2378,"und",0,"Fishman 1987","filtered_html"
"node","book",0,2383,2383,"und",0,"סנדלר, הביאור לתורה:
פרץ סנדלר, הביאור לתורה של משה מנדלסון וסיעתו, התהוותו והשפעתו, ירושלים תשמ\"ד, מהדורה שניה.
ויינברג, תרגומו של מנדלסון:
Werner Weinberg, \"Language Questions Relating to Moses Mendelssohn's Pentateuch Translation (In Commemoration of the 200th Anniversary of the Biur), HUCA 55 (1984), pp. 197 - 242.","filtered_html"
"node","book",0,2384,2384,"und",0,"צויפ, ספרי דקדוק:
Irene E. Zwiep, \"Imagined Speech Communities: Western Ashkenazi Multilingualism as Reflected in Eighteenth-Century Grammars of Hebrew\", in Shlomo Berger et al, eds., Speaking Jewish – Jewish Speak, Multilingualism in Western Ashkenazic Culture, Leuven 2003 (Studia Rosenthaliana 36), pp. 77 – 117, esp. 105 – 111.","filtered_html"
"node","book",0,2385,2385,"und",0,"קסטנברג-גלדשטיין, יהודים בארצות בוהמיה.

פיינר, מהפכת הנאורות.","filtered_html"
"node","book",0,2395,2395,"und",0,"הרצברג, הנאורות הצרפתית:
Arthur Hertzberg, The French Enlightenment and the Jews, NY & London 1968.","filtered_html"
"node","book",0,2398,2398,"und",0,"עותק בבר אילן","filtered_html"
"node","book",0,2404,2404,"und",0,"דן מכמן, \"דוד פרידריכספלד - משכיל ולוחם אמאנציפאציה\", מחקרים על תולדות יהדות הולנד, 1 (תשל\"ה), עמ' 151 - 199.","filtered_html"
"node","book",0,2411,2411,"und",0,"בן-מנחם, נפתלי. תשכ\"ט. 'קול שחל, שירי אפרים לוצאטו, אזמיר [ברלין] תק\"ן'. קרית ספר, 562-561.","filtered_html"
"node","book",0,2419,2419,"und",0,"Fishman 1987","filtered_html"
"node","book",0,2421,2421,"und",0,"קלונזנר 1930; קרסל 1965; קוגמן 2000","filtered_html"
"node","book",0,2431,2431,"und",0,"ורסס, השכלה ושבתאות:
שמואל ורסס, השכלה ושבתאות, תולדותיו של מאבק, ירושלים תשמ\"ח.

קסטנברג-גלדשטיין, מי היה מחבר...:
רות קסטנברג-גלדשטיין, מי היה מחבר ה\"שיחה בין שנת תק\"ס ובין שנת תקס\"א\"?, קרית ספר מ (תשכ\"ה), עמ' 569 - 570.

קסטנברג-גלדשטיין, היהודים בארצות בוהמיה.","filtered_html"
"node","book",0,2461,2461,"und",0,"M. Steinschneider, Die Handschriften-Verzeichnisse der Koeniglichen Bibliothek zu Berlin ... hebraeischen Handschriften, Berlin, 1878-1897, no. 255/5.","filtered_html"
"node","book",0,2463,2463,"und",0,"Kennecke (2001)","filtered_html"
"node","book",0,2465,2465,"und",0,"פיינר, מהפכת הנאורות, עמ' 368 והלאה.","filtered_html"
"node","book",0,2466,2466,"und",0,"פיינר, מהפכת הנאורות, עמ 275, 282-288.","filtered_html"
"node","book",0,2470,2470,"und",0,"הלאומית העברית S 70 A 66","filtered_html"
"node","book",0,2477,2477,"und",0,"עותק בבר אילן","filtered_html"
