"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_total_number_of_editions_value","field_total_number_of_editions_format"
"node","book",0,1952,1952,"und",0,"2",NULL
"node","book",0,1954,1954,"und",0,"1",NULL
"node","book",0,1956,1956,"und",0,"2",NULL
"node","book",0,1960,1960,"und",0,"1",NULL
"node","book",0,1963,1963,"und",0,"1",NULL
"node","book",0,1976,1976,"und",0,"1",NULL
"node","book",0,1978,1978,"und",0,"1",NULL
"node","book",0,1989,1989,"und",0,"1",NULL
"node","book",0,1994,1994,"und",0,"2",NULL
"node","book",0,1997,1997,"und",0,"5",NULL
"node","book",0,2003,2003,"und",0,"1",NULL
"node","book",0,2007,2007,"und",0,"3",NULL
"node","book",0,2011,2011,"und",0,"1",NULL
"node","book",0,2013,2013,"und",0,"1",NULL
"node","book",0,2028,2028,"und",0,"1",NULL
"node","book",0,2029,2029,"und",0,"1",NULL
"node","book",0,2046,2046,"und",0,"1",NULL
"node","book",0,2049,2049,"und",0,"1",NULL
"node","book",0,2056,2056,"und",0,"1",NULL
"node","book",0,2068,2068,"und",0,"2",NULL
"node","book",0,2071,2071,"und",0,"1",NULL
"node","book",0,2072,2072,"und",0,"1",NULL
"node","book",0,2074,2074,"und",0,"4",NULL
"node","book",0,2076,2076,"und",0,"13",NULL
"node","book",0,2078,2078,"und",0,"1",NULL
"node","book",0,2082,2082,"und",0,"ישנן מהדורות מאוחרות יותר",NULL
"node","book",0,2107,2107,"und",0,"21",NULL
"node","book",0,2108,2108,"und",0,"12",NULL
"node","book",0,2110,2110,"und",0,"1",NULL
"node","book",0,2116,2116,"und",0,"4",NULL
"node","book",0,2126,2126,"und",0,"1",NULL
"node","book",0,2127,2127,"und",0,"3",NULL
"node","book",0,2128,2128,"und",0,"3",NULL
"node","book",0,2150,2150,"und",0,"1",NULL
"node","book",0,2154,2154,"und",0,"1",NULL
"node","book",0,2156,2156,"und",0,"1",NULL
"node","book",0,2166,2166,"und",0,"1",NULL
"node","book",0,2171,2171,"und",0,"1",NULL
"node","book",0,2175,2175,"und",0,"1",NULL
"node","book",0,2179,2179,"und",0,"11",NULL
"node","book",0,2191,2191,"und",0,"1",NULL
"node","book",0,2192,2192,"und",0,"1",NULL
"node","book",0,2194,2194,"und",0,"3",NULL
"node","book",0,2202,2202,"und",0,"1",NULL
"node","book",0,2210,2210,"und",0,"1",NULL
"node","book",0,2211,2211,"und",0,"1",NULL
"node","book",0,2234,2234,"und",0,"9 (בעברית)",NULL
"node","book",0,2242,2242,"und",0,"7 לפחות",NULL
"node","book",0,2243,2243,"und",0,"1",NULL
"node","book",0,2245,2245,"und",0,"1",NULL
"node","book",0,2246,2246,"und",0,"1",NULL
"node","book",0,2255,2255,"und",0,"2",NULL
"node","book",0,2267,2267,"und",0,"1",NULL
"node","book",0,2277,2277,"und",0,"1",NULL
"node","book",0,2287,2287,"und",0,"9",NULL
"node","book",0,2290,2290,"und",0,"2",NULL
"node","book",0,2295,2295,"und",0,"8",NULL
"node","book",0,2303,2303,"und",0,"2",NULL
"node","book",0,2312,2312,"und",0,"2",NULL
"node","book",0,2314,2314,"und",0,"1",NULL
"node","book",0,2322,2322,"und",0,"1",NULL
"node","book",0,2336,2336,"und",0,"3",NULL
"node","book",0,2337,2337,"und",0,"20",NULL
"node","book",0,2343,2343,"und",0,"1",NULL
"node","book",0,2345,2345,"und",0,"1",NULL
"node","book",0,2347,2347,"und",0,"20 לפחות",NULL
"node","book",0,2354,2354,"und",0,"1",NULL
"node","book",0,2356,2356,"und",0,"2",NULL
"node","book",0,2361,2361,"und",0,"3",NULL
"node","book",0,2363,2363,"und",0,"8 (יש לבדוק אם המהדורות של המאה ה-20 של ספר זה הן מהדורות נוספות של ספר זה עם פרשנותו של זמושץ, או שמדובר במהדורות של אבן תיבון עם פרשנות אחרת)",NULL
"node","book",0,2365,2365,"und",0,"3",NULL
"node","book",0,2366,2366,"und",0,"1",NULL
"node","book",0,2374,2374,"und",0,"2",NULL
"node","book",0,2376,2376,"und",0,"3",NULL
"node","book",0,2378,2378,"und",0,"2",NULL
"node","book",0,2404,2404,"und",0,"1",NULL
"node","book",0,2417,2417,"und",0,"1",NULL
"node","book",0,2418,2418,"und",0,"1",NULL
"node","book",0,2421,2421,"und",0,"4",NULL
"node","book",0,2422,2422,"und",0,"2",NULL
"node","book",0,2425,2425,"und",0,"1",NULL
"node","book",0,2466,2466,"und",0,"1",NULL
"node","book",0,2470,2470,"und",0,"2",NULL
"node","book",0,2474,2474,"und",0,"10",NULL
"node","book",0,2475,2475,"und",0,"10",NULL
"node","book",0,2476,2476,"und",0,"10",NULL
"node","book",0,2478,2478,"und",0,"18",NULL
