"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_translation_type_value"
"node","book",0,1958,1958,"und",0,"translation of contemporary text, or of adjacent period"
"node","book",0,1963,1963,"und",0,"translation of contemporary text, or of adjacent period"
"node","book",0,1976,1976,"und",0,"translation of old text"
"node","book",0,1989,1989,"und",0,"translation of old text"
"node","book",0,1997,1997,"und",0,"translation of old text"
"node","book",0,1998,1998,"und",0,"translation of contemporary text, or of adjacent period"
"node","book",0,2028,2028,"und",0,"translation of old text"
"node","book",0,2049,2049,"und",0,"translation of contemporary text, or of adjacent period"
"node","book",0,2069,2069,"und",0,"translation of contemporary text, or of adjacent period"
"node","book",0,2072,2072,"und",0,"translation of contemporary text, or of adjacent period"
"node","book",0,2116,2116,"und",0,"translation of old text"
"node","book",0,2122,2122,"und",0,"translation of contemporary text, or of adjacent period"
"node","book",0,2144,2144,"und",0,"translation of old text"
"node","book",0,2166,2166,"und",0,"translation of old text"
"node","book",0,2169,2169,"und",0,"translation of old text"
"node","book",0,2194,2194,"und",0,"translation of contemporary text, or of adjacent period"
"node","book",0,2231,2231,"und",0,"translation of contemporary text, or of adjacent period"
"node","book",0,2241,2241,"und",0,"translation of contemporary text, or of adjacent period"
"node","book",0,2250,2250,"und",0,"translation of old text"
"node","book",0,2262,2262,"und",0,"translation of old text"
"node","book",0,2270,2270,"und",0,"translation of contemporary text, or of adjacent period"
"node","book",0,2271,2271,"und",0,"translation of old text"
"node","book",0,2286,2286,"und",0,"translation of old text"
"node","book",0,2288,2288,"und",0,"translation of old text"
"node","book",0,2295,2295,"und",0,"translation of old text"
"node","book",0,2296,2296,"und",0,"translation of old text"
"node","book",0,2298,2298,"und",0,"translation of old text"
"node","book",0,2303,2303,"und",0,"translation of old text"
"node","book",0,2331,2331,"und",0,"translation of old text"
"node","book",0,2332,2332,"und",0,"translation of old text"
"node","book",0,2334,2334,"und",0,"translation of old text"
"node","book",0,2336,2336,"und",0,"translation of old text"
"node","book",0,2347,2347,"und",0,"translation of old text"
"node","book",0,2352,2352,"und",0,"translation of old text"
"node","book",0,2365,2365,"und",0,"translation of contemporary text, or of adjacent period"
"node","book",0,2383,2383,"und",0,"translation of old text"
"node","book",0,2395,2395,"und",0,"translation of contemporary text, or of adjacent period"
"node","book",0,2419,2419,"und",0,"translation of contemporary text, or of adjacent period"
"node","book",0,2421,2421,"und",0,"translation of contemporary text, or of adjacent period"
