"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_viaf_id_value","field_viaf_id_format"
"node","person",0,6,6,"und",0,"297651133",NULL
"node","person",0,7,7,"und",0,"313278890",NULL
"node","person",0,9,9,"und",0,"311844602",NULL
"node","person",0,11,11,"und",0,"309708467",NULL
"node","person",0,13,13,"und",0,"313382282",NULL
"node","person",0,14,14,"und",0,"309507694",NULL
"node","person",0,15,15,"und",0,"311971929",NULL
"node","person",0,16,16,"und",0,"311971929",NULL
"node","person",0,17,17,"und",0,"313370557",NULL
"node","person",0,18,18,"und",0,"313402371",NULL
"node","person",0,21,21,"und",0,"67310902",NULL
"node","person",0,22,22,"und",0,"100444700",NULL
"node","person",0,26,26,"und",0,"291400705",NULL
"node","person",0,27,27,"und",0,"306236205",NULL
"node","person",0,28,28,"und",0,"312063522",NULL
"node","person",0,31,31,"und",0,"306201221",NULL
"node","person",0,33,33,"und",0,"311912994",NULL
"node","person",0,35,35,"und",0,"308258638",NULL
"node","person",0,36,36,"und",0,"311947704",NULL
"node","person",0,37,37,"und",0,"310281113",NULL
"node","person",0,39,39,"und",0,"288941904",NULL
"node","person",0,40,40,"und",0,"288941904",NULL
"node","person",0,41,41,"und",0,"197598422",NULL
"node","person",0,44,44,"und",0,"309599334",NULL
"node","person",0,45,45,"und",0,"312505979",NULL
"node","person",0,49,49,"und",0,"298683660",NULL
"node","person",0,54,54,"und",0,"302403142",NULL
"node","person",0,55,55,"und",0,"313360256",NULL
"node","person",0,56,56,"und",0,"302403142",NULL
"node","person",0,57,57,"und",0,"215702936",NULL
"node","person",0,58,58,"und",0,"61680557",NULL
"node","person",0,59,59,"und",0,"282974572",NULL
"node","person",0,61,61,"und",0,"312358065",NULL
"node","person",0,63,63,"und",0,"309642773",NULL
"node","person",0,64,64,"und",0,"306145329",NULL
"node","person",0,66,66,"und",0,"88853650",NULL
"node","person",0,67,67,"und",0,"56964546",NULL
"node","person",0,69,69,"und",0,"309627612",NULL
"node","person",0,71,71,"und",0,"313196281",NULL
"node","person",0,72,72,"und",0,"297148089",NULL
"node","person",0,75,75,"und",0,"53997089",NULL
"node","person",0,76,76,"und",0,"40148037",NULL
"node","person",0,77,77,"und",0,"298769272",NULL
"node","person",0,78,78,"und",0,"312286978",NULL
"node","person",0,79,79,"und",0,"313316902",NULL
"node","person",0,80,80,"und",0,"10193208",NULL
"node","person",0,81,81,"und",0,"190948952",NULL
"node","person",0,83,83,"und",0,"247339464",NULL
"node","person",0,85,85,"und",0,"46904538",NULL
"node","person",0,86,86,"und",0,"160108574",NULL
"node","person",0,87,87,"und",0,"215837299",NULL
"node","person",0,89,89,"und",0,"312758131",NULL
"node","person",0,90,90,"und",0,"311313257",NULL
"node","person",0,93,93,"und",0,"310444771",NULL
"node","person",0,95,95,"und",0,"284946145",NULL
"node","person",0,97,97,"und",0,"299136890",NULL
"node","person",0,98,98,"und",0,"313385791",NULL
"node","person",0,103,103,"und",0,"52831181",NULL
"node","person",0,106,106,"und",0,"42576263",NULL
"node","person",0,109,109,"und",0,"312332815",NULL
"node","person",0,110,110,"und",0,"313409595",NULL
"node","person",0,111,111,"und",0,"313411240",NULL
"node","person",0,112,112,"und",0,"298299160",NULL
"node","person",0,113,113,"und",0,"313022131",NULL
"node","person",0,117,117,"und",0,"313263432",NULL
"node","person",0,118,118,"und",0,"310605104",NULL
"node","person",0,119,119,"und",0,"3225048",NULL
"node","person",0,121,121,"und",0,"298583259",NULL
"node","person",0,122,122,"und",0,"310491270",NULL
"node","person",0,123,123,"und",0,"309620573",NULL
"node","person",0,125,125,"und",0,"311094757",NULL
"node","person",0,126,126,"und",0,"73926249",NULL
"node","person",0,127,127,"und",0,"295374324",NULL
"node","person",0,128,128,"und",0,"295374324",NULL
