"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_width_value","field_width_format"
"node","book",0,1953,1953,"und",0,"10.1",NULL
"node","book",0,1954,1954,"und",0,"11.3",NULL
"node","book",0,1958,1958,"und",0,"11",NULL
"node","book",0,1960,1960,"und",0,"11",NULL
"node","book",0,1963,1963,"und",0,"9.6",NULL
"node","book",0,1964,1964,"und",0,"12",NULL
"node","book",0,1966,1966,"und",0,"9",NULL
"node","book",0,1969,1969,"und",0,"12",NULL
"node","book",0,1974,1974,"und",0,"11",NULL
"node","book",0,1975,1975,"und",0,"9.8",NULL
"node","book",0,1977,1977,"und",0,"9.8",NULL
"node","book",0,1978,1978,"und",0,"12",NULL
"node","book",0,1979,1979,"und",0,"9",NULL
"node","book",0,1981,1981,"und",0,"12.5",NULL
"node","book",0,1982,1982,"und",0,"10.4",NULL
"node","book",0,1987,1987,"und",0,"14.5",NULL
"node","book",0,1988,1988,"und",0,"18",NULL
"node","book",0,1991,1991,"und",0,"9.9",NULL
"node","book",0,1992,1992,"und",0,"14",NULL
"node","book",0,1996,1996,"und",0,"18",NULL
"node","book",0,1997,1997,"und",0,"10",NULL
"node","book",0,1999,1999,"und",0,"12",NULL
"node","book",0,2002,2002,"und",0,"10.5",NULL
"node","book",0,2004,2004,"und",0,"6.5",NULL
"node","book",0,2009,2009,"und",0,"9.9",NULL
"node","book",0,2011,2011,"und",0,"10.5",NULL
"node","book",0,2012,2012,"und",0,"9",NULL
"node","book",0,2013,2013,"und",0,"11",NULL
"node","book",0,2017,2017,"und",0,"11.5",NULL
"node","book",0,2022,2022,"und",0,"9.5",NULL
"node","book",0,2023,2023,"und",0,"9.5",NULL
"node","book",0,2026,2026,"und",0,"10",NULL
"node","book",0,2028,2028,"und",0,"10",NULL
"node","book",0,2029,2029,"und",0,"12",NULL
"node","book",0,2030,2030,"und",0,"20.5",NULL
"node","book",0,2031,2031,"und",0,"14",NULL
"node","book",0,2032,2032,"und",0,"10",NULL
"node","book",0,2039,2039,"und",0,"11.8",NULL
"node","book",0,2040,2040,"und",0,"12",NULL
"node","book",0,2041,2041,"und",0,"12",NULL
"node","book",0,2043,2043,"und",0,"11",NULL
"node","book",0,2052,2052,"und",0,"11.7",NULL
"node","book",0,2053,2053,"und",0,"12",NULL
"node","book",0,2054,2054,"und",0,"15",NULL
"node","book",0,2055,2055,"und",0,"12",NULL
"node","book",0,2056,2056,"und",0,"11",NULL
"node","book",0,2058,2058,"und",0,"12",NULL
"node","book",0,2060,2060,"und",0,"10.6",NULL
"node","book",0,2061,2061,"und",0,"9",NULL
"node","book",0,2062,2062,"und",0,"8",NULL
"node","book",0,2063,2063,"und",0,"11.6",NULL
"node","book",0,2064,2064,"und",0,"10.5",NULL
"node","book",0,2066,2066,"und",0,"9.5",NULL
"node","book",0,2067,2067,"und",0,"9.4",NULL
"node","book",0,2068,2068,"und",0,"10",NULL
"node","book",0,2069,2069,"und",0,"9",NULL
"node","book",0,2071,2071,"und",0,"11",NULL
"node","book",0,2073,2073,"und",0,"9",NULL
"node","book",0,2075,2075,"und",0,"10.5",NULL
"node","book",0,2076,2076,"und",0,"9.5",NULL
"node","book",0,2079,2079,"und",0,"10",NULL
"node","book",0,2080,2080,"und",0,"10",NULL
"node","book",0,2081,2081,"und",0,"10",NULL
"node","book",0,2082,2082,"und",0,"10",NULL
"node","book",0,2083,2083,"und",0,"12.5",NULL
"node","book",0,2084,2084,"und",0,"12.5",NULL
"node","book",0,2085,2085,"und",0,"12.5",NULL
"node","book",0,2086,2086,"und",0,"13",NULL
"node","book",0,2089,2089,"und",0,"10",NULL
"node","book",0,2091,2091,"und",0,"12",NULL
"node","book",0,2098,2098,"und",0,"18.5",NULL
"node","book",0,2100,2100,"und",0,"9",NULL
"node","book",0,2105,2105,"und",0,"17",NULL
"node","book",0,2106,2106,"und",0,"10",NULL
"node","book",0,2110,2110,"und",0,"10.5",NULL
"node","book",0,2112,2112,"und",0,"10",NULL
"node","book",0,2113,2113,"und",0,"16",NULL
