"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_bar_ilan_library_id_value","field_bar_ilan_library_id_format"
"node","book",0,2047,2047,"und",0,"A02  MAI (MAI)",NULL
"node","book",0,2048,2048,"und",0,"A092 MAI(MAI)",NULL
"node","book",0,2079,2079,"und",0,"R A991 פרי.אר תקנ\"ג",NULL
"node","book",0,2083,2083,"und",0,"B43 בן-זאב.או תקס\"ז",NULL
"node","book",0,2084,2084,"und",0,"B43 בן-זאב.או תקס\"ז",NULL
"node","book",0,2085,2085,"und",0,"B43 בן-זאב.או תקס\"ז",NULL
"node","book",0,2086,2086,"und",0,"A803 בונ.או תקע\"ב",NULL
"node","book",0,2109,2109,"und",0,"זעור 0206525",NULL
"node","book",0,2114,2114,"und",0,"C2 נימ.בת תקס\"ה",NULL
"node","book",0,2116,2116,"und",0,"R/ A311.4 תקמ\"ו",NULL
"node","book",0,2125,2125,"und",0,"C2 ויז.דב תקמ\"ב",NULL
"node","book",0,2128,2128,"und",0,"C2 ויז.דב תקמ\"ב",NULL
"node","book",0,2133,2133,"und",0,"B46 חבי.דר תקס\"ו",NULL
"node","book",0,2150,2150,"und",0,"C2 רומ",NULL
"node","book",0,2155,2155,"und",0," A410.3 מרג.בי תקמ\"ו - נדירים",NULL
"node","book",0,2158,2158,"und",0,"T437 זאב.פש תקל\"ז      S",NULL
"node","book",0,2166,2166,"und",0,"A421 משה.שמ תק\"ע",NULL
"node","book",0,2185,2185,"und",0,"R/ C2",NULL
"node","book",0,2198,2198,"und",0,"B46 חבי.דר תקס\"ו",NULL
"node","book",0,2201,2201,"und",0,"R- T407=3 תקמ\"ט",NULL
"node","book",0,2203,2203,"und",0,"R- T407=3 תקמ\"ט",NULL
"node","book",0,2204,2204,"und",0,"R-T407=3 תקמ\"ט",NULL
"node","book",0,2205,2205,"und",0,"R-T407=3 תקמ\"ט",NULL
"node","book",0,2213,2213,"und",0,"A176 מורה תקנ\"א",NULL
"node","book",0,2214,2214,"und",0,"A176 מורה תקנ\"א",NULL
"node","book",0,2215,2215,"und",0,"A176 מורה תקנ\"א",NULL
"node","book",0,2220,2220,"und",0,"A410.3 הור.חי תקמ\"ז R",NULL
"node","book",0,2235,2235,"und",0,"R A789.7 בן-זא.מל  תק\"ס",NULL
"node","book",0,2242,2242,"und",0,"S    (64)D4 רומ.מש תקנ\"ב",NULL
"node","book",0,2245,2245,"und",0,"סטנ.מש תקמ\"טC2",NULL
"node","book",0,2248,2248,"und",0,"A124 נבו.יל תקמ\"ט",NULL
"node","book",0,2256,2256,"und",0,"כותרת הספר פגומה-  B450.9 מרג.אג תקנ\"ו - מיוחדים S",NULL
"node","book",0,2260,2260,"und",0,"A95 מרג.או תקמ\"ג MIC",NULL
"node","book",0,2267,2267,"und",0,"B450.9 אבי.דב תקמ\"ג",NULL
"node","book",0,2272,2272,"und",0,"B450.9 אלי.בח תקכ\"ז ( S)",NULL
"node","book",0,2280,2280,"und",0,"C2 סטנ.חז תקל\"ה",NULL
"node","book",0,2283,2283,"und",0,"תקנו A174",NULL
"node","book",0,2287,2287,"und",0,"S/ A410.3 ויז.ספ תקמ\"ו",NULL
"node","book",0,2290,2290,"und",0,"T131/2'  סטנ.שר תקמ\"ז",NULL
"node","book",0,2291,2291,"und",0,"T131/2'  סטנ.שר תקמ\"ז",NULL
"node","book",0,2302,2302,"und",0,"T93 ויז.רו תק\"ם",NULL
"node","book",0,2303,2303,"und",0,"R A511 לנד.חק תקנ\"ח",NULL
"node","book",0,2309,2309,"und",0,"A175 אבן-עז.יס תק\"ל",NULL
"node","book",0,2311,2311,"und",0,"A952.93 היש.יס תר\"ו",NULL
"node","book",0,2318,2318,"und",0,"B450.9 אבן-אז.מא  תק\"ל      R",NULL
"node","book",0,2333,2333,"und",0,"תקסה T17",NULL
"node","book",0,2335,2335,"und",0,"T17 תקס\"ו",NULL
"node","book",0,2336,2336,"und",0,"S T380.7 = 3,  תקס\"ה",NULL
"node","book",0,2337,2337,"und",0,"B450.9 קסל.מס תקמ\"ח",NULL
"node","book",0,2343,2343,"und",0,"מיקרופילם: 6 JTS VRB",NULL
"node","book",0,2355,2355,"und",0,"A12 הור.עמ תקכ\"ו - S",NULL
"node","book",0,2357,2357,"und",0,"A19 חור.עמ תקס\"ג",NULL
"node","book",0,2361,2361,"und",0,"A980.86 בוכ.צח תקס\"ה",NULL
"node","book",0,2366,2366,"und",0,"A572 ברל.בש תקנ\"ג  S",NULL
"node","book",0,2370,2370,"und",0,"R/B416 שלמ.שע תקכ\"ו",NULL
"node","book",0,2371,2371,"und",0,"B450.9 הכי.שפ תק\"ן",NULL
"node","book",0,2372,2372,"und",0,"B450.9 סטנ.שפ תקל\"ג",NULL
"node","book",0,2373,2373,"und",0,"T417 סטנ.תה תקנ\"ד",NULL
"node","book",0,2380,2380,"und",0,"B45 אלי.עי תקס\"ג",NULL
"node","book",0,2393,2393,"und",0,"A95 מרג.או תקמ\"ג MIC",NULL
"node","book",0,2395,2395,"und",0,"S A127 מנד.פד תקמ\"ז",NULL
"node","book",0,2398,2398,"und",0,"R   B450.9  אבן-עז.מא   תק\"ל",NULL
"node","book",0,2400,2400,"und",0,"אבן-עז.צח תקכ\"ט   מיוחדים",NULL
"node","book",0,2419,2419,"und",0,"A951 ברו.קנ תקנ\"א",NULL
"node","book",0,2444,2444,"und",0,"L1204 נדירים",NULL
"node","book",0,2477,2477,"und",0,"שלמ.תק תקמ\"__T114.1",NULL
