"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_copy_of_book_used_value","field_copy_of_book_used_format"
"node","book",0,1952,1952,"und",0,"Bayerische Staatsbibliothek: Ph.pr. 20 t; Fiche Ph.pr. 20 t","filtered_html"
"node","book",0,1953,1953,"und",0,"SL: JNUL: R8 = 35 V4487","filtered_html"
"node","book",0,1954,1954,"und",0,"SBBPK: Ez 6310<a>","filtered_html"
"node","book",0,1958,1958,"und",0,"SBBPK: Mv 8283","filtered_html"
"node","book",0,1959,1959,"und",0,"עותק בתל אביב - צילום","filtered_html"
"node","book",0,1960,1960,"und",0,"UB Kile: Ka 9256","filtered_html"
"node","book",0,1961,1961,"und",0,"עותק בספריית מהלמן, אונ' תל אביב (עותק צילום - על כן לא נרשמו מידות הספר: מהדורת צילום: 1968 פריס)","filtered_html"
"node","book",0,1962,1962,"und",0,"עותק דיגיטלי באתר של ספריית פרנקפורט.","filtered_html"
"node","book",0,1963,1963,"und",0,"SBBPK: Nh 4984","filtered_html"
"node","book",0,1964,1964,"und",0,"892.418 פרי (וול ) אוסף יפה","filtered_html"
"node","book",0,1966,1966,"und",0,"Universitätsbibliothek Bonn: Ka 333","filtered_html"
"node","book",0,1969,1969,"und",0,"SBBPK: X 2161","filtered_html"
"node","book",0,1974,1974,"und",0,"JNUL","filtered_html"
"node","book",0,1975,1975,"und",0,"JNUL: S 57 B821","filtered_html"
"node","book",0,1976,1976,"und",0,"UB Kile: Ca 4487","filtered_html"
"node","book",0,1977,1977,"und",0,"SL: JNUL: S63 B3938","filtered_html"
"node","book",0,1978,1978,"und",0,"National library Warszawa: XVIII.266adl.","filtered_html"
"node","book",0,1979,1979,"und",0,"SUB Göttingen: 8 H POLON 86/14","filtered_html"
"node","book",0,1981,1981,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,1982,1982,"und",0,"SL: JNUL: S 55 B781","filtered_html"
"node","book",0,1987,1987,"und",0,"S 59 B 48","filtered_html"
"node","book",0,1988,1988,"und",0,"SBBKP: Bm 160","filtered_html"
"node","book",0,1990,1990,"und",0,"UB Tübingen: Fo XVIII 154","filtered_html"
"node","book",0,1991,1991,"und",0,"JNUL: S56 B 1052","filtered_html"
"node","book",0,1992,1992,"und",0,"SBBPK: Fd 4764","filtered_html"
"node","book",0,1993,1993,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,1994,1994,"und",0,"Neudruck: Jerusalem 1994.","filtered_html"
"node","book",0,1995,1995,"und",0,"לאומית: L 2248

(עותק מצולם ולא המקור)","filtered_html"
"node","book",0,1996,1996,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,1997,1997,"und",0,"JNUL","filtered_html"
"node","book",0,1999,1999,"und",0,"Uni Frankfurt/Main: Jud. 9698","filtered_html"
"node","book",0,2000,2000,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2001,2001,"und",0,"עותק בתל אביב (מהלמן)","filtered_html"
