"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_hebrew_name_value","field_hebrew_name_format"
"node","person",0,2,2,"und",0,"איסטרייכער",NULL
"node","person",0,3,3,"und",0,"ווארבורג",NULL
"node","person",0,4,4,"und",0,"בריינערסדארף",NULL
"node","person",0,9,9,"und",0,"Abraham Moses",NULL
"node","person",0,15,15,"und",0,"אלכסנדר, לוי",NULL
"node","person",0,19,19,"und",0,"נאטהאן אדאם, פרייהערר פאן ארנשטיין",NULL
"node","person",0,21,21,"und",0,"בענעדיקט ארנשטיין",NULL
"node","person",0,22,22,"und",0,"יאזעף ארנשטיין",NULL
"node","person",0,23,23,"und",0,"מאיר ארנשטיין",NULL
"node","person",0,24,24,"und",0,"נאטהאן אדאם, פרייהערר פאן",NULL
"node","person",0,25,25,"und",0,"וואלף אי' ארנשטיין",NULL
"node","person",0,36,36,"und",0,"אהרן דוב בער",NULL
"node","person",0,37,37,"und",0,"מאזעס בעער",NULL
"node","person",0,39,39,"und",0,"בלינפנטי, יצחק",NULL
"node","person",0,41,41,"und",0,"Bellerman",NULL
"node","person",0,49,49,"und",0,"בנעט, מרדכי (רב)",NULL
"node","person",0,50,50,"und",0,"בער בן קלמן",NULL
"node","person",0,53,53,"und",0,"Berend, S. L.",NULL
"node","person",0,54,54,"und",0,"ברלין, שאול",NULL
"node","person",0,55,55,"und",0,"ברלין, הירש (אב\"ד דק\"ק ברלין והמדינה)",NULL
"node","person",0,61,61,"und",0,"בלוך (הרופא), מרדכי אליעזר",NULL
"node","person",0,63,63,"und",0,"Boas, Simon",NULL
"node","person",0,65,65,"und",0,"הירש באנדי",NULL
"node","person",0,66,66,"und",0,"איזאק באנדי",NULL
"node","person",0,68,68,"und",0,"מאזעס באנדי",NULL
"node","person",0,69,69,"und",0,"בונדי, שמעון",NULL
"node","person",0,72,72,"und",0,"ברסלאו, מנדל",NULL
"node","person",0,77,77,"und",0,"קארלוטא ארנשטאיין",NULL
"node","person",0,84,84,"und",0,"קאהן, נתן",NULL
"node","person",0,87,87,"und",0,"דוד פרידריך מעגרלין",NULL
"node","person",0,88,88,"und",0,"דוד יעקב ריז",NULL
"node","person",0,89,89,"und",0,"David Levi, נציג בי\"ס יהודי בטרייסט",NULL
"node","person",0,92,92,"und",0,"דוד, מאיר מיכל",NULL
"node","person",0,98,98,"und",0,"Diehl",NULL
"node","person",0,99,99,"und",0,"Direktion der Kaufmännischen Ressource",NULL
"node","person",0,100,100,"und",0,"Dohm",NULL
"node","person",0,104,104,"und",0,"דובנא, שלמה",NULL
"node","person",0,106,106,"und",0,"Elbthal",NULL
"node","person",0,107,107,"und",0,"יפה, אליה בר\"ד (בנו של יפה, דניאל)",NULL
"node","person",0,110,110,"und",0,"Engel",NULL
"node","person",0,111,111,"und",0,"רב אפרים",NULL
"node","person",0,116,116,"und",0,"אפרים, פייטל",NULL
"node","person",0,117,117,"und",0,"Eschwege",NULL
"node","person",0,118,118,"und",0,"בערנהארד, עדלער פאן עסקעלעס",NULL
"node","person",0,119,119,"und",0,"אשקלות, בער",NULL
"node","person",0,122,122,"und",0,"אייכל, יצחק",NULL
"node","person",0,123,123,"und",0,"אייכל, איזק",NULL
"node","person",0,127,127,"und",0,"פרנקו-מנדס, דוד",NULL
"node","person",0,129,129,"und",0,"Fränkel",NULL
"node","person",0,130,130,"und",0,"פרנקל, דוד",NULL
"node","person",0,132,132,"und",0,"Fränkel, Michael",NULL
"node","person",0,133,133,"und",0,"Fränkel, Moses S.",NULL
"node","person",0,134,134,"und",0,"פראנץ (השני)",NULL
"node","person",0,136,136,"und",0,"פרידלנדר, אברהם",NULL
"node","person",0,140,140,"und",0,"פרידלענדר, דוד",NULL
"node","person",0,142,142,"und",0,"Friedländer, H. N.",NULL
"node","person",0,147,147,"und",0,"פרידלנדר, מאיר",NULL
"node","person",0,151,151,"und",0,"Friedländer, Rebekka Meyer",NULL
"node","person",0,156,156,"und",0,"פרידלנדר, זנוויל שמואל",NULL
"node","person",0,161,161,"und",0,"פרידלענדר, וואלף",NULL
"node","person",0,164,164,"und",0,"Friedrich Salomon Stöltzner",NULL
"node","person",0,165,165,"und",0,"פרידריך וילהלם השלישי",NULL
"node","person",0,166,166,"und",0,"פרידריכספלד, דוד",NULL
"node","person",0,169,169,"und",0,"פירשט",NULL
"node","person",0,173,173,"und",0,"גאנס, אברהם",NULL
"node","person",0,174,174,"und",0,"Gans, Salomon",NULL
"node","person",0,176,176,"und",0,"Geisenheimer",NULL
"node","person",0,178,178,"und",0,"Gesellschaft der Freunde",NULL
"node","person",0,179,179,"und",0,"חברת דורשי לשון עבר",NULL
"node","person",0,183,183,"und",0,"Giuseppe Lazzaro Morpurgo, נציג בי\"ס יהודי בטרייסט",NULL
"node","person",0,189,189,"und",0,"Gregoire, Henri",NULL
"node","person",0,191,191,"und",0,"גוגנהיים, יוסף",NULL
"node","person",0,192,192,"und",0,"Gumpel, L.",NULL
"node","person",0,197,197,"und",0,"Halle, Joel Samuel von",NULL
"node","person",0,203,203,"und",0,"Heimann",NULL
"node","person",0,206,206,"und",0,"היינמן, ירמיה",NULL
"node","person",0,210,210,"und",0,"Herford, Joel",NULL
"node","person",0,212,212,"und",0,"הרץ, מרכוס",NULL
"node","person",0,214,214,"und",0,"Herzbruck",NULL
"node","person",0,215,215,"und",0,"Herzenskron, Joachim",NULL
"node","person",0,218,218,"und",0,"Hirsch, D. Z.",NULL
"node","person",0,221,221,"und",0,"Hirsch, Joseph",NULL
"node","person",0,227,227,"und",0,"(עדלער פאן היניגסבערג, ק\"ק ראטה, טאב' אונד זיגעל געפעללען דירעקציאנס אדיונקט) אראן העניג",NULL
"node","person",0,228,228,"und",0,"ענאך, עדלער פאן העניגסבערג (עדלער פאן העניגסבערג)",NULL
"node","person",0,229,229,"und",0,"איזראעל העניג",NULL
"node","person",0,230,230,"und",0,"יאאכים, עדלער פאן העניגסבערג",NULL
"node","person",0,231,231,"und",0,"מאקס, עדלער פאן העניגסבערג",NULL
"node","person",0,234,234,"und",0,"הוים, קרל היינריך פון",NULL
"node","person",0,235,235,"und",0,"הוים, קרל היינריך פון",NULL
"node","person",0,236,236,"und",0,"געארג הראשאנצקיא (ק' ק' בוכדרוקקער)",NULL
"node","person",0,237,237,"und",0,"הופנגל",NULL
"node","person",0,241,241,"und",0,"Isaia Norsa, נציג בי\"ס יהודי בטרייסט",NULL
"node","person",0,244,244,"und",0,"Itzig",NULL
"node","person",0,245,245,"und",0,"Itzig",NULL
"node","person",0,246,246,"und",0,"יפה, דניאל",NULL
"node","person",0,247,247,"und",0,"יפה, דניאל",NULL
"node","person",0,248,248,"und",0,"יפה, דניאל",NULL
"node","person",0,250,250,"und",0,"איציג, יצחק דניאל",NULL
"node","person",0,252,252,"und",0,"Itzig, Jacob",NULL
"node","person",0,254,254,"und",0,"Jacob, Abraham",NULL
"node","person",0,255,255,"und",0,"יאקאבזאהן, איזראעל",NULL
"node","person",0,256,256,"und",0,"ישראל יעקב (יאקובסון) [נשיא הקונסיסטורה בווסטפליה]",NULL
"node","person",0,257,257,"und",0,"Jacobys Buchhandlung",NULL
"node","person",0,258,258,"und",0,"יעקב דניאל",NULL
"node","person",0,259,259,"und",0,"Jakobson, Israel",NULL
"node","person",0,261,261,"und",0,"ייטלש, ברוך",NULL
"node","person",0,263,263,"und",0,"בעניאמין ייטעלעס",NULL
"node","person",0,264,264,"und",0,"ייטלש, יגנץ",NULL
"node","person",0,266,266,"und",0,"ייטלש, יהודה",NULL
"node","person",0,268,268,"und",0,"סאמועל ייטעלעס",NULL
"node","person",0,270,270,"und",0,"ייטלש (רופא), יונה",NULL
"node","person",0,272,272,"und",0,"יאזעף (השני)",NULL
"node","person",0,273,273,"und",0,"יוסף השני",NULL
"node","person",0,274,274,"und",0,"יוסף השני",NULL
"node","person",0,276,276,"und",0,"יוזל מוהר",NULL
"node","person",0,277,277,"und",0,"Joseph, Victor",NULL
"node","person",0,278,278,"und",0,"Jospeh Baruch Haim",NULL
"node","person",0,281,281,"und",0,"מיכעל קאסקעל",NULL
"node","person",0,282,282,"und",0,"מיכעל קאסקעל",NULL
"node","person",0,284,284,"und",0,"יאקאב קוילא (עסטר' ק' ק' ראטה, אונד ק' ווירטעמבערג' האפבאנקיער)",NULL
"node","person",0,285,285,"und",0,"מאדאם קויללא",NULL
"node","person",0,286,286,"und",0,"מאיר קויללא",NULL
"node","person",0,287,287,"und",0,"נאטהאן וואלף קוילא (ק' ווירטעמב' האפפאקטאר)",NULL
"node","person",0,288,288,"und",0,"זלמן בן מוה\"רר יאקב קויללא",NULL
"node","person",0,289,289,"und",0,"סאלאמאן הירש קויללא",NULL
"node","person",0,290,290,"und",0,"וואלף קוילא",NULL
"node","person",0,291,291,"und",0,"וואלף קויללא",NULL
"node","person",0,299,299,"und",0,"Konsistorium der Israeliten",NULL
"node","person",0,300,300,"und",0,"מאזעס מ' קאפפעל",NULL
"node","person",0,311,311,"und",0,"Leopold Friedrrich Franz",NULL
"node","person",0,312,312,"und",0,"לעאפאלד (השני)",NULL
"node","person",0,313,313,"und",0,"ליפמן הירץ",NULL
"node","person",0,314,314,"und",0,"Lepoc, Jonas",NULL
"node","person",0,324,324,"und",0,"Levy",NULL
"node","person",0,330,330,"und",0,"Levysohn, Hartog",NULL
"node","person",0,331,331,"und",0,"(ק' ק' האפפאקטאר) אראן ליעבמאן",NULL
"node","person",0,332,332,"und",0,"לינדויא, ברוך",NULL
"node","person",0,333,333,"und",0,"לינדא, ברוך",NULL
"node","person",0,336,336,"und",0,"לאבעטהאל, אביגדור (לעהרער אן דער ק' ווילהעלמס=שולע)",NULL
"node","person",0,337,337,"und",0,"Löser, Wolff",NULL
"node","person",0,338,338,"und",0,"ברי\"ל, יואל",NULL
"node","person",0,343,343,"und",0,"Löwenstein, N. J.",NULL
"node","person",0,345,345,"und",0,"Lübeschütz",NULL
"node","person",0,352,352,"und",0,"Marcus, Benedikt",NULL
"node","person",0,353,353,"und",0,"Marcus, Tobias",NULL
"node","person",0,354,354,"und",0,"מרקוזע, מרדכי",NULL
"node","person",0,356,356,"und",0,"Marks, J.",NULL
"node","person",0,361,361,"und",0,"Mendel, Joachim",NULL
"node","person",0,363,363,"und",0,"יוסף בר\"מ דעסוי",NULL
"node","person",0,364,364,"und",0,"מנדלסון, משה",NULL
"node","person",0,369,369,"und",0,"רינטל, זלמן",NULL
"node","person",0,375,375,"und",0,"יעקב צבי (פו\"מ מדינה)",NULL
"node","person",0,376,376,"und",0,"צבי (פו\"מ מדינה), יעקב",NULL
"node","person",0,377,377,"und",0,"Müller",NULL
"node","person",0,378,378,"und",0,"Museum des Herrn Werkmeister",NULL
"node","person",0,379,379,"und",0,"נפתלי נאכאד",NULL
"node","person",0,381,381,"und",0,"נוימן, ישראל משה",NULL
"node","person",0,383,383,"und",0,"אוברניק, מאיר",NULL
"node","person",0,388,388,"und",0,"זיגמונד אפפענהיים",NULL
"node","person",0,390,390,"und",0,"דעמאאזעללע וועראניקא אפפענהיים",NULL
"node","person",0,392,392,"und",0,"אטטענסאסער, וואלף",NULL
"node","person",0,397,397,"und",0,"Pfeifer",NULL
"node","person",0,400,400,"und",0,"Pieck",NULL
"node","person",0,404,404,"und",0,"רמלר, קרל ווילהלם",NULL
"node","person",0,405,405,"und",0,"Rawitz",NULL
"node","person",0,406,406,"und",0,"Redaktion der \"Sulamith\"",NULL
"node","person",0,407,407,"und",0,"Reiß, B.",NULL
"node","person",0,409,409,"und",0,"ריז, נתן",NULL
"node","person",0,416,416,"und",0,"Salomon, E.",NULL
"node","person",0,419,419,"und",0,"Samuel Levin Isaac",NULL
"node","person",0,422,422,"und",0,"סטנוב, יצחק",NULL
"node","person",0,426,426,"und",0,"Schaller, Geoffroy-Jacoues (מחבר השיר בלטינית)",NULL
"node","person",0,428,428,"und",0,"ליברמן שלעזינגר",NULL
"node","person",0,429,429,"und",0,"שלעזינגר, ליברמן",NULL
"node","person",0,440,440,"und",0,"Seeger",NULL
"node","person",0,444,444,"und",0,"Silberstein, Philip",NULL
"node","person",0,450,450,"und",0,"Sommershausen",NULL
"node","person",0,451,451,"und",0,"Soußmann",NULL
"node","person",0,452,452,"und",0,"שפלדינג",NULL
"node","person",0,455,455,"und",0,"Stanislaus II. Poniatowski",NULL
"node","person",0,456,456,"und",0,"Susmann, Meier",NULL
"node","person",0,457,457,"und",0,"תמה, מרדכי",NULL
"node","person",0,465,465,"und",0,"Waisenhaus in Berlin und Halle",NULL
"node","person",0,474,474,"und",0,"אברהם וויל",NULL
"node","person",0,475,475,"und",0,"שארלאטטע ווערטהיים",NULL
"node","person",0,477,477,"und",0,"ווערטהיימשטיין, הירש פון",NULL
"node","person",0,478,478,"und",0,"יאזעף עדלער פאן ווערטהיימשטיין",NULL
"node","person",0,479,479,"und",0,"לאצאר, עדלער פאן ווערטהיימשטיין",NULL
"node","person",0,480,480,"und",0,"וייזל, נפתלי הרץ",NULL
"node","person",0,484,484,"und",0,"וויללהעלם, עדלער פאן ווערטהיימשטיין",NULL
"node","person",0,486,486,"und",0,"Wittersheim d. Ä.",NULL
"node","person",0,490,490,"und",0,"וולפסון, אהרון",NULL
"node","person",0,493,493,"und",0,"וורמס, וולף",NULL
"node","person",0,498,498,"und",0,"Zacharias",NULL
"node","person",0,501,501,"und",0,"Zirndorffer, Isaac",NULL
"node","person",0,503,503,"und",0,"א' ליפפמאן",NULL
"node","person",0,504,504,"und",0,"אארי' ליבמן מהו' וואלף (זצ\"ל מברכין)",NULL
"node","person",0,505,505,"und",0,"אב\"ד ור\"מ דק\"ק ל\"ב בנימין",NULL
"node","person",0,506,506,"und",0,"אב\"ד ור\"מ דק\"ק פפ\"דא שאול",NULL
"node","person",0,507,507,"und",0,"אבהרם בכ\"ה איסרל זלדין",NULL
"node","person",0,508,508,"und",0,"אביגדור",NULL
"node","person",0,509,509,"und",0,"אביגדור ברעסלוי (רב)",NULL
"node","person",0,510,510,"und",0,"אביגדור תאומים",NULL
"node","person",0,511,511,"und",0,"אבלי הארוויטץ",NULL
"node","person",0,512,512,"und",0,"אבראהאם אי' ברילל",NULL
"node","person",0,513,513,"und",0,"אבראהאם בלאך",NULL
"node","person",0,514,514,"und",0,"אברהם (אב\"ד ור\"מ קהילת ראטרדם [צריך להוסיף שם זה לרשימה])",NULL
"node","person",0,515,515,"und",0,"אברהם",NULL
"node","person",0,516,516,"und",0,"אברהם (אב\"ד)",NULL
"node","person",0,518,518,"und",0,"אברהם אדערפעלד",NULL
"node","person",0,519,519,"und",0,"אלחנן (אב\"ד ור\"מ בערנבורג), אברהם",NULL
"node","person",0,520,520,"und",0,"אברהם אפנער",NULL
"node","person",0,521,521,"und",0,"אברהם ב\"ר אשר",NULL
"node","person",0,522,522,"und",0,"אברהם ב\"ר צבי הירש (אב\"ד ור\"מ)",NULL
"node","person",0,523,523,"und",0,"אברהם ב\"ר צבי הירש (אב\"ד ור\"מ)",NULL
"node","person",0,524,524,"und",0,"אברהם באנו",NULL
"node","person",0,525,525,"und",0,"אברהם בהגאון מוה' גדלי'",NULL
"node","person",0,526,526,"und",0,"בומבורג (רב), אברהם",NULL
"node","person",0,527,527,"und",0,"אברהם בורגפרעפיך",NULL
"node","person",0,528,528,"und",0,"אברהם בידשאף",NULL
"node","person",0,530,530,"und",0,"אברהם בן אריה ליב",NULL
"node","person",0,534,534,"und",0,"אברהם בר\"בג",NULL
"node","person",0,535,535,"und",0,"אברהם בר\"ה",NULL
"node","person",0,536,536,"und",0,"אברהם בר\"ה בר\"נ",NULL
"node","person",0,537,537,"und",0,"אברהם בר\"ה ר\"נ",NULL
"node","person",0,538,538,"und",0,"אברהם בר\"י (פ\"מ של המלך י''ץ)",NULL
"node","person",0,539,539,"und",0,"אברהם בר\"י פרץ",NULL
"node","person",0,540,540,"und",0,"אברהם בר\"ל ה\"ש",NULL
"node","person",0,541,541,"und",0,"אברהם בר\"מ פ\"ד",NULL
"node","person",0,542,542,"und",0,"אברהם בר\"מ פ\"ר",NULL
"node","person",0,543,543,"und",0,"אברהם בר\"נ",NULL
"node","person",0,544,544,"und",0,"אברהם בר\"נ ה\"ס",NULL
"node","person",0,545,545,"und",0,"אברהם בר\"נ ה\"ש",NULL
"node","person",0,546,546,"und",0,"אברהם בר\"נ ה\"ש",NULL
"node","person",0,547,547,"und",0,"אברהם בר\"נ ה\"ש",NULL
"node","person",0,548,548,"und",0,"אברהם בר\"פ כ\"ץ",NULL
"node","person",0,549,549,"und",0,"אברהם בר\"פ כ\"ץ",NULL
"node","person",0,550,550,"und",0,"אברהם ברנ\"ז",NULL
"node","person",0,551,551,"und",0,"אברהם ברעזכין (בחורי חמד)",NULL
"node","person",0,552,552,"und",0,"אברהם גאטטשטיין",NULL
"node","person",0,553,553,"und",0,"אברהם גאנץ",NULL
"node","person",0,554,554,"und",0,"אברהם דאנציגר",NULL
"node","person",0,555,555,"und",0,"אברהם היינערסדארף",NULL
"node","person",0,556,556,"und",0,"אברהם הייצפעלד",NULL
"node","person",0,557,557,"und",0,"אברהם וויינשענק",NULL
"node","person",0,558,558,"und",0,"אברהם יחזקיה בש\"ן",NULL
"node","person",0,559,559,"und",0,"אברהם יקותיאל (זלח\"י כץ)",NULL
"node","person",0,560,560,"und",0,"אברהם מלנצברג",NULL
"node","person",0,561,561,"und",0,"אברהם מרדכי (אב\"ד זאלקוי)",NULL
"node","person",0,562,562,"und",0,"אברהם מרדכי (חו\"בק זאלקוי)",NULL
"node","person",0,563,563,"und",0,"אברהם מרדכי (אב\"ד זאלקוי)",NULL
"node","person",0,564,564,"und",0,"אברהם מרדכי דאלקוי",NULL
"node","person",0,565,565,"und",0,"אברהם סג\"ל מחעלמא",NULL
"node","person",0,566,566,"und",0,"אברהם פאלענטין",NULL
"node","person",0,567,567,"und",0,"אברהם פאפר",NULL
"node","person",0,568,568,"und",0,"אברהם פרידלענדר",NULL
"node","person",0,569,569,"und",0,"אברהם פרץ",NULL
"node","person",0,570,570,"und",0,"אברהם צבי",NULL
"node","person",0,571,571,"und",0,"אברהם צבי",NULL
"node","person",0,572,572,"und",0,"אברהם צילץ",NULL
"node","person",0,573,573,"und",0,"אברהם קויפמן וואהל",NULL
"node","person",0,574,574,"und",0,"אברהם קצנאלין בוגין (אב\"ד בריסק דליטא)",NULL
"node","person",0,575,575,"und",0,"אברהם שטיינמאן",NULL
"node","person",0,576,576,"und",0,"אברהם שלאחוב",NULL
"node","person",0,577,577,"und",0,"אברהם שמינים פיריירה",NULL
"node","person",0,578,578,"und",0,"אברהםבן פו\"מ יעקב צבי",NULL
"node","person",0,579,579,"und",0,"אברם בעכר",NULL
"node","person",0,580,580,"und",0,"אדאם טשארטאריסקי",NULL
"node","person",0,581,581,"und",0,"אהרן אפנהיים בל\"ב",NULL
"node","person",0,582,582,"und",0,"אהרן ב\"ר משה מגזע צבי ראב\"ד בק\"ק ברלין (רב)",NULL
"node","person",0,583,583,"und",0,"אהרן באהן",NULL
"node","person",0,584,584,"und",0,"אהרן בן יוסף אהרן הלוי הורוויץ (רב ודיין (הסכמת רבני יושבי על מדין))",NULL
"node","person",0,585,585,"und",0,"אהרן בן יוסף אהרן הלוי הורוויץ",NULL
"node","person",0,586,586,"und",0,"יאס, אהרן בער",NULL
"node","person",0,587,587,"und",0,"אהרן בר\"ס בר\"נ",NULL
"node","person",0,588,588,"und",0,"אהרן ברא\"כ מפ\"ד",NULL
"node","person",0,589,589,"und",0,"אהרן גאלדשמיד",NULL
"node","person",0,590,590,"und",0,"אהרן דעסויא",NULL
"node","person",0,591,591,"und",0,"אהרן הלוי הורוויץ",NULL
"node","person",0,592,592,"und",0,"אהרן הלוי העליר (דיין בפרנקפורט ע\"נ אודר)",NULL
"node","person",0,593,593,"und",0,"אהרן ווייס",NULL
"node","person",0,594,594,"und",0,"אהרן זלמן מרגליות",NULL
"node","person",0,595,595,"und",0,"אהרן יורש",NULL
"node","person",0,596,596,"und",0,"אהרן ליפמאן",NULL
"node","person",0,597,597,"und",0,"אהרן סג\"ל דרעטניץ",NULL
"node","person",0,598,598,"und",0,"אהרן פרענקל",NULL
"node","person",0,599,599,"und",0,"אהרן צבי",NULL
"node","person",0,600,600,"und",0,"אהרן ריינא",NULL
"node","person",0,601,601,"und",0,"אהרן שטראסבורג",NULL
"node","person",0,602,602,"und",0,"אהרן שמעון בר\"מ",NULL
"node","person",0,603,603,"und",0,"אהרן שפיץ (אב\"ד פרוסטיץ)",NULL
"node","person",0,604,604,"und",0,"אופנהיים, מענדל",NULL
"node","person",0,605,605,"und",0,"אורי מורפורגי",NULL
"node","person",0,607,607,"und",0,"אי' ברונשטיין",NULL
"node","person",0,608,608,"und",0,"אי' לעוו האפמאן",NULL
"node","person",0,609,609,"und",0,"איגר, מאיר",NULL
"node","person",0,610,610,"und",0,"איזאק בעער",NULL
"node","person",0,611,611,"und",0,"איזאק ווערטהיימער",NULL
"node","person",0,612,612,"und",0,"איזאק יאנאס",NULL
"node","person",0,613,613,"und",0,"איזאק עסטרייכער",NULL
"node","person",0,614,614,"und",0,"(כירורגוס) איזאק פראנקענשטיין",NULL
"node","person",0,615,615,"und",0,"איזאק פרייאזאך (געמיינדע פארשטעהער)",NULL
"node","person",0,616,616,"und",0,"איזק העלפט",NULL
"node","person",0,617,617,"und",0,"איזראעל צאפפערט",NULL
"node","person",0,618,618,"und",0,"איזראעל קעניגסבערגער",NULL
"node","person",0,619,619,"und",0,"אייזאק האצפעלד",NULL
"node","person",0,620,620,"und",0,"אייזק בר\"נ",NULL
"node","person",0,621,621,"und",0,"אייזק בר\"נ ה\"ש",NULL
"node","person",0,622,622,"und",0,"דעסויא (גובה), אייזק",NULL
"node","person",0,623,623,"und",0,"אייזק דעסויא (גובה)",NULL
"node","person",0,624,624,"und",0,"אייזק ה\"ש",NULL
"node","person",0,625,625,"und",0,"אייזק זאקסעל",NULL
"node","person",0,626,626,"und",0,"אייזק כהנא פיוואני (אביו של פיבני, יוסף בן איזק, כהנא)",NULL
"node","person",0,627,627,"und",0,"אייזק מרדכי איידלין",NULL
"node","person",0,628,628,"und",0,"אייזק פאצדאם",NULL
"node","person",0,629,629,"und",0,"אייזק צהנא פיוואני",NULL
"node","person",0,630,630,"und",0,"איסר בנה' סיני כ\"ץ מק\"ק זאלשיץ",NULL
"node","person",0,631,631,"und",0,"איסר ה\"ב",NULL
"node","person",0,632,632,"und",0,"איסר קאטבוס",NULL
"node","person",0,633,633,"und",0,"איסר קאטנוס",NULL
"node","person",0,634,634,"und",0,"איסרל, ישראל",NULL
"node","person",0,635,635,"und",0,"איסרלי איגלהיימר",NULL
"node","person",0,636,636,"und",0,"איסרלי היילברונר, פ\"ומ",NULL
"node","person",0,637,637,"und",0,"איצק  צילך בק\"ב",NULL
"node","person",0,638,638,"und",0,"איצק אולמאן",NULL
"node","person",0,639,639,"und",0,"איצק בן משה שלעזינגער",NULL
"node","person",0,640,640,"und",0,"איצק בן שמשון ווערטהיים",NULL
"node","person",0,641,641,"und",0,"איצק בר\"י ווערטהיימר",NULL
"node","person",0,642,642,"und",0,"איצק בר\"ל זאקס",NULL
"node","person",0,643,643,"und",0,"איצק בר\"מ ווערטהיימר",NULL
"node","person",0,644,644,"und",0,"איצק העלפט",NULL
"node","person",0,645,645,"und",0,"איצק העסי",NULL
"node","person",0,646,646,"und",0,"איצק לאפפע",NULL
"node","person",0,647,647,"und",0,"איצק ליב סג\"ל",NULL
"node","person",0,648,648,"und",0,"איצק ניימעדל",NULL
"node","person",0,649,649,"und",0,"איצק סאבאטקא",NULL
"node","person",0,650,650,"und",0,"איצק עלקש",NULL
"node","person",0,651,651,"und",0,"איצק פ\"ד",NULL
"node","person",0,652,652,"und",0,"פליס (רופא), איצק",NULL
"node","person",0,653,653,"und",0,"איצק ראוויטש",NULL
"node","person",0,654,654,"und",0,"אלחנן ברי\"ל",NULL
"node","person",0,655,655,"und",0,"אלי לעוורדן (אב\"ד בק\"ק גרינגען וראטרדאם)",NULL
"node","person",0,656,656,"und",0,"אלי פ\"ל",NULL
"node","person",0,657,657,"und",0,"אלי' (חופ\"ק לאנצבורג)",NULL
"node","person",0,658,658,"und",0,"אלי' אורשל",NULL
"node","person",0,659,659,"und",0,"אלי' ב\"ר דניאל יפה",NULL
"node","person",0,660,660,"und",0,"אלי' במהר\"ר מן",NULL
