"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_huji_library_id_value","field_huji_library_id_format"
"node","book",0,1953,1953,"und",0,"R 8= 35 V 4487",NULL
"node","book",0,1954,1954,"und",0,"2032692",NULL
"node","book",0,1956,1956,"und",0,"FI 668 (NEGATIVE)",NULL
"node","book",0,1960,1960,"und",0,"2011028",NULL
"node","book",0,1961,1961,"und",0,"R 8= 35 V 4470(8)",NULL
"node","book",0,1962,1962,"und",0,"S 57 B 374",NULL
"node","book",0,1963,1963,"und",0,"1917962",NULL
"node","book",0,1974,1974,"und",0,"S 45 B296",NULL
"node","book",0,1975,1975,"und",0,"S 57 B821",NULL
"node","book",0,1976,1976,"und",0,"2211033",NULL
"node","book",0,1977,1977,"und",0,"S 63 B3983",NULL
"node","book",0,1981,1981,"und",0,"S 61 B 433",NULL
"node","book",0,1982,1982,"und",0,"S 55 B781",NULL
"node","book",0,1987,1987,"und",0,"S 59 B 48",NULL
"node","book",0,1991,1991,"und",0,"S56 B 1052",NULL
"node","book",0,1994,1994,"und",0,"1165272",NULL
"node","book",0,1995,1995,"und",0,"L 2248",NULL
"node","book",0,1996,1996,"und",0,"R 8= 89 A 566",NULL
"node","book",0,2000,2000,"und",0,"COH 376",NULL
"node","book",0,2001,2001,"und",0,"S 26 V 120",NULL
"node","book",0,2002,2002,"und",0,"S 93 B 6081",NULL
"node","book",0,2004,2004,"und",0,"2059794",NULL
"node","book",0,2007,2007,"und",0,"S 56 B 1051",NULL
"node","book",0,2008,2008,"und",0,"S60B809",NULL
"node","book",0,2009,2009,"und",0,"R 0 35 V 3291",NULL
"node","book",0,2010,2010,"und",0,"FI 692",NULL
"node","book",0,2011,2011,"und",0,"2217057",NULL
"node","book",0,2012,2012,"und",0,"S 38 B1723",NULL
"node","book",0,2015,2015,"und",0,"L 2277",NULL
"node","book",0,2017,2017,"und",0,"S 2004 B 1441",NULL
"node","book",0,2022,2022,"und",0,"1912017",NULL
"node","book",0,2025,2025,"und",0,"R/8=31V1493; אוסף שלום: 5336.14 (עותק מצולם)",NULL
"node","book",0,2027,2027,"und",0,"S 54 B 1005",NULL
"node","book",0,2030,2030,"und",0,"R 2+= 75 A 394",NULL
"node","book",0,2031,2031,"und",0,"S 31 V 1275",NULL
"node","book",0,2032,2032,"und",0,"R 8= 75 A 1216",NULL
"node","book",0,2039,2039,"und",0,"S 98 B744",NULL
"node","book",0,2040,2040,"und",0,"S 2006 B5389",NULL
"node","book",0,2041,2041,"und",0,"S 97 B 5531",NULL
"node","book",0,2044,2044,"und",0,"S 31 V 1485",NULL
"node","book",0,2052,2052,"und",0,"S 40 B671",NULL
"node","book",0,2053,2053,"und",0,"S 57 B 1927",NULL
"node","book",0,2055,2055,"und",0,"S 57 A 1918",NULL
"node","book",0,2056,2056,"und",0,"S 23V6525",NULL
"node","book",0,2057,2057,"und",0,"MIC 666",NULL
"node","book",0,2058,2058,"und",0,"22 V2080",NULL
"node","book",0,2060,2060,"und",0,"S 56 B63",NULL
"node","book",0,2061,2061,"und",0,"S 22 V 14296",NULL
"node","book",0,2063,2063,"und",0,"S 59 B1167",NULL
"node","book",0,2064,2064,"und",0,"S 60 B584",NULL
"node","book",0,2067,2067,"und",0,"S 64 B 133",NULL
"node","book",0,2069,2069,"und",0,"S 0 92 B 4690",NULL
"node","book",0,2074,2074,"und",0,"26V504",NULL
"node","book",0,2075,2075,"und",0,"R 8= 31 V 1493",NULL
"node","book",0,2077,2077,"und",0,"SR31V4005",NULL
"node","book",0,2078,2078,"und",0,"R /8= 22 V 12082",NULL
"node","book",0,2079,2079,"und",0,"S 71 A 3816",NULL
"node","book",0,2080,2080,"und",0,"R 8= 23 V 859",NULL
"node","book",0,2082,2082,"und",0,"R 8=44 A 496",NULL
"node","book",0,2083,2083,"und",0,"13901 V 25",NULL
"node","book",0,2084,2084,"und",0,"13901 V 25",NULL
"node","book",0,2085,2085,"und",0,"13901 V 25",NULL
"node","book",0,2086,2086,"und",0,"S 25 V 13879",NULL
"node","book",0,2091,2091,"und",0,"R 8= 35 V 3487",NULL
"node","book",0,2094,2094,"und",0,"R FR 567",NULL
"node","book",0,2097,2097,"und",0,"S 59 A 3774",NULL
"node","book",0,2098,2098,"und",0,"R 4= 75 A 396",NULL
