"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_language_of_footnotes_tid
"node","book",0,1954,1954,"und",0,415
"node","book",0,1956,1956,"und",0,415
"node","book",0,1958,1958,"und",0,415
"node","book",0,1960,1960,"und",0,415
"node","book",0,1961,1961,"und",0,416
"node","book",0,1962,1962,"und",0,416
"node","book",0,1963,1963,"und",0,415
"node","book",0,1964,1964,"und",0,415
"node","book",0,1964,1964,"und",1,439
"node","book",0,1966,1966,"und",0,415
"node","book",0,1969,1969,"und",0,415
"node","book",0,1970,1970,"und",0,415
"node","book",0,1971,1971,"und",0,415
"node","book",0,1974,1974,"und",0,415
"node","book",0,1976,1976,"und",0,415
"node","book",0,1977,1977,"und",0,415
"node","book",0,1979,1979,"und",0,415
"node","book",0,1980,1980,"und",0,415
"node","book",0,1981,1981,"und",0,415
"node","book",0,1988,1988,"und",0,415
"node","book",0,1988,1988,"und",1,495
"node","book",0,1988,1988,"und",2,439
"node","book",0,1992,1992,"und",0,415
"node","book",0,1994,1994,"und",0,415
"node","book",0,1996,1996,"und",0,415
"node","book",0,1997,1997,"und",0,415
"node","book",0,1998,1998,"und",0,415
"node","book",0,1998,1998,"und",1,418
"node","book",0,1999,1999,"und",0,415
"node","book",0,2000,2000,"und",0,415
"node","book",0,2002,2002,"und",0,415
"node","book",0,2004,2004,"und",0,415
"node","book",0,2007,2007,"und",0,415
"node","book",0,2008,2008,"und",0,415
"node","book",0,2009,2009,"und",0,415
"node","book",0,2010,2010,"und",0,415
"node","book",0,2012,2012,"und",0,415
"node","book",0,2013,2013,"und",0,415
"node","book",0,2018,2018,"und",0,436
"node","book",0,2022,2022,"und",0,415
"node","book",0,2022,2022,"und",1,418
"node","book",0,2022,2022,"und",2,416
"node","book",0,2023,2023,"und",0,415
"node","book",0,2026,2026,"und",0,415
"node","book",0,2028,2028,"und",0,415
"node","book",0,2031,2031,"und",0,415
"node","book",0,2031,2031,"und",1,439
"node","book",0,2032,2032,"und",0,415
"node","book",0,2041,2041,"und",0,415
"node","book",0,2042,2042,"und",0,415
"node","book",0,2046,2046,"und",0,415
"node","book",0,2048,2048,"und",0,415
"node","book",0,2049,2049,"und",0,415
"node","book",0,2053,2053,"und",0,415
"node","book",0,2058,2058,"und",0,415
"node","book",0,2059,2059,"und",0,415
"node","book",0,2060,2060,"und",0,415
"node","book",0,2061,2061,"und",0,415
"node","book",0,2062,2062,"und",0,415
"node","book",0,2064,2064,"und",0,415
"node","book",0,2070,2070,"und",0,415
"node","book",0,2071,2071,"und",0,415
"node","book",0,2072,2072,"und",0,415
"node","book",0,2073,2073,"und",0,415
"node","book",0,2073,2073,"und",1,418
"node","book",0,2074,2074,"und",0,415
"node","book",0,2074,2074,"und",1,439
"node","book",0,2076,2076,"und",0,439
"node","book",0,2077,2077,"und",0,439
"node","book",0,2079,2079,"und",0,439
"node","book",0,2083,2083,"und",0,439
"node","book",0,2086,2086,"und",0,415
"node","book",0,2086,2086,"und",1,439
"node","book",0,2094,2094,"und",0,439
"node","book",0,2097,2097,"und",0,439
"node","book",0,2106,2106,"und",0,439
"node","book",0,2107,2107,"und",0,439
"node","book",0,2108,2108,"und",0,439
"node","book",0,2110,2110,"und",0,439
"node","book",0,2115,2115,"und",0,439
"node","book",0,2116,2116,"und",0,519
"node","book",0,2117,2117,"und",0,439
"node","book",0,2118,2118,"und",0,439
"node","book",0,2121,2121,"und",0,439
"node","book",0,2123,2123,"und",0,439
"node","book",0,2124,2124,"und",0,439
"node","book",0,2126,2126,"und",0,439
"node","book",0,2127,2127,"und",0,439
"node","book",0,2128,2128,"und",0,439
"node","book",0,2129,2129,"und",0,439
"node","book",0,2131,2131,"und",0,439
"node","book",0,2133,2133,"und",0,439
"node","book",0,2135,2135,"und",0,415
"node","book",0,2136,2136,"und",0,415
"node","book",0,2139,2139,"und",0,519
"node","book",0,2143,2143,"und",0,439
"node","book",0,2144,2144,"und",0,519
"node","book",0,2150,2150,"und",0,439
"node","book",0,2155,2155,"und",0,439
"node","book",0,2156,2156,"und",0,439
"node","book",0,2157,2157,"und",0,439
"node","book",0,2161,2161,"und",0,592
"node","book",0,2161,2161,"und",1,439
"node","book",0,2162,2162,"und",0,439
"node","book",0,2165,2165,"und",0,439
"node","book",0,2166,2166,"und",0,519
"node","book",0,2169,2169,"und",0,439
"node","book",0,2171,2171,"und",0,519
"node","book",0,2174,2174,"und",0,415
"node","book",0,2174,2174,"und",1,439
"node","book",0,2181,2181,"und",0,439
"node","book",0,2189,2189,"und",0,519
"node","book",0,2192,2192,"und",0,439
"node","book",0,2194,2194,"und",0,439
"node","book",0,2196,2196,"und",0,439
"node","book",0,2203,2203,"und",0,439
"node","book",0,2205,2205,"und",0,439
"node","book",0,2209,2209,"und",0,415
"node","book",0,2211,2211,"und",0,519
"node","book",0,2211,2211,"und",1,439
"node","book",0,2222,2222,"und",0,519
"node","book",0,2222,2222,"und",1,439
"node","book",0,2223,2223,"und",0,519
"node","book",0,2223,2223,"und",1,439
"node","book",0,2224,2224,"und",0,519
"node","book",0,2224,2224,"und",1,439
"node","book",0,2225,2225,"und",0,519
"node","book",0,2225,2225,"und",1,439
"node","book",0,2226,2226,"und",0,519
"node","book",0,2226,2226,"und",1,439
"node","book",0,2227,2227,"und",0,519
"node","book",0,2227,2227,"und",1,439
"node","book",0,2228,2228,"und",0,519
"node","book",0,2228,2228,"und",1,439
"node","book",0,2229,2229,"und",0,519
"node","book",0,2229,2229,"und",1,439
"node","book",0,2230,2230,"und",0,415
"node","book",0,2230,2230,"und",1,439
"node","book",0,2231,2231,"und",0,415
"node","book",0,2231,2231,"und",1,439
"node","book",0,2233,2233,"und",0,415
"node","book",0,2234,2234,"und",0,439
"node","book",0,2237,2237,"und",0,439
"node","book",0,2242,2242,"und",0,439
"node","book",0,2243,2243,"und",0,519
"node","book",0,2260,2260,"und",0,439
"node","book",0,2275,2275,"und",0,439
"node","book",0,2287,2287,"und",0,439
"node","book",0,2293,2293,"und",0,439
"node","book",0,2299,2299,"und",0,439
"node","book",0,2309,2309,"und",0,439
"node","book",0,2312,2312,"und",0,418
"node","book",0,2317,2317,"und",0,439
"node","book",0,2322,2322,"und",0,439
"node","book",0,2323,2323,"und",0,439
"node","book",0,2337,2337,"und",0,439
"node","book",0,2338,2338,"und",0,439
"node","book",0,2365,2365,"und",0,439
"node","book",0,2368,2368,"und",0,439
"node","book",0,2374,2374,"und",0,519
"node","book",0,2374,2374,"und",1,439
"node","book",0,2375,2375,"und",0,519
"node","book",0,2375,2375,"und",1,439
"node","book",0,2379,2379,"und",0,415
"node","book",0,2379,2379,"und",1,519
"node","book",0,2379,2379,"und",2,439
"node","book",0,2382,2382,"und",0,448
"node","book",0,2382,2382,"und",1,439
"node","book",0,2384,2384,"und",0,519
"node","book",0,2385,2385,"und",0,439
"node","book",0,2395,2395,"und",0,439
"node","book",0,2399,2399,"und",0,439
"node","book",0,2402,2402,"und",0,415
"node","book",0,2404,2404,"und",0,439
"node","book",0,2405,2405,"und",0,439
"node","book",0,2407,2407,"und",0,439
"node","book",0,2410,2410,"und",0,439
"node","book",0,2414,2414,"und",0,439
"node","book",0,2421,2421,"und",0,439
"node","book",0,2422,2422,"und",0,439
"node","book",0,2424,2424,"und",0,439
"node","book",0,2425,2425,"und",0,439
"node","book",0,2427,2427,"und",0,439
"node","book",0,2428,2428,"und",0,519
"node","book",0,2431,2431,"und",0,519
"node","book",0,2431,2431,"und",1,439
"node","book",0,2432,2432,"und",0,439
"node","book",0,2440,2440,"und",0,415
"node","book",0,2440,2440,"und",1,439
"node","book",0,2448,2448,"und",0,415
"node","book",0,2451,2451,"und",0,439
"node","book",0,2453,2453,"und",0,439
"node","book",0,2454,2454,"und",0,439
"node","book",0,2455,2455,"und",0,439
"node","book",0,2456,2456,"und",0,439
"node","book",0,2457,2457,"und",0,439
"node","book",0,2465,2465,"und",0,439
"node","book",0,2470,2470,"und",0,439
"node","book",0,2473,2473,"und",0,415
"node","book",0,2473,2473,"und",1,519
"node","book",0,2473,2473,"und",2,439
"node","book",0,2474,2474,"und",0,519
