"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_mentionee_description_tid
"node","mention",0,2834,2834,"und",0,798
"node","mention",0,2835,2835,"und",0,799
"node","mention",0,2836,2836,"und",0,800
"node","mention",0,2837,2837,"und",0,801
"node","mention",0,2838,2838,"und",0,799
"node","mention",0,2839,2839,"und",0,802
"node","mention",0,2840,2840,"und",0,802
"node","mention",0,2841,2841,"und",0,800
"node","mention",0,2842,2842,"und",0,799
"node","mention",0,2843,2843,"und",0,799
"node","mention",0,2844,2844,"und",0,803
"node","mention",0,2845,2845,"und",0,803
"node","mention",0,2846,2846,"und",0,803
"node","mention",0,2847,2847,"und",0,803
"node","mention",0,2848,2848,"und",0,803
"node","mention",0,2849,2849,"und",0,803
"node","mention",0,2850,2850,"und",0,803
"node","mention",0,2851,2851,"und",0,803
"node","mention",0,2852,2852,"und",0,803
"node","mention",0,2853,2853,"und",0,803
"node","mention",0,2854,2854,"und",0,803
"node","mention",0,2855,2855,"und",0,803
"node","mention",0,2856,2856,"und",0,803
"node","mention",0,2857,2857,"und",0,803
"node","mention",0,2858,2858,"und",0,803
"node","mention",0,2859,2859,"und",0,803
"node","mention",0,2860,2860,"und",0,803
"node","mention",0,2861,2861,"und",0,803
"node","mention",0,2862,2862,"und",0,803
"node","mention",0,2863,2863,"und",0,803
"node","mention",0,2864,2864,"und",0,803
"node","mention",0,2865,2865,"und",0,803
"node","mention",0,2866,2866,"und",0,803
"node","mention",0,2867,2867,"und",0,803
"node","mention",0,2868,2868,"und",0,803
"node","mention",0,2869,2869,"und",0,803
"node","mention",0,2870,2870,"und",0,803
"node","mention",0,2871,2871,"und",0,803
"node","mention",0,2872,2872,"und",0,803
"node","mention",0,2873,2873,"und",0,803
"node","mention",0,2874,2874,"und",0,803
"node","mention",0,2875,2875,"und",0,803
"node","mention",0,2876,2876,"und",0,803
"node","mention",0,2877,2877,"und",0,803
"node","mention",0,2878,2878,"und",0,803
"node","mention",0,2879,2879,"und",0,803
"node","mention",0,2880,2880,"und",0,803
"node","mention",0,2881,2881,"und",0,803
"node","mention",0,2882,2882,"und",0,803
"node","mention",0,2883,2883,"und",0,803
"node","mention",0,2884,2884,"und",0,803
"node","mention",0,2885,2885,"und",0,803
"node","mention",0,2886,2886,"und",0,803
"node","mention",0,2887,2887,"und",0,803
"node","mention",0,2888,2888,"und",0,803
"node","mention",0,2889,2889,"und",0,803
"node","mention",0,2890,2890,"und",0,803
"node","mention",0,2891,2891,"und",0,803
"node","mention",0,2892,2892,"und",0,803
"node","mention",0,2893,2893,"und",0,803
"node","mention",0,2894,2894,"und",0,803
"node","mention",0,2895,2895,"und",0,803
"node","mention",0,2896,2896,"und",0,803
"node","mention",0,2897,2897,"und",0,803
"node","mention",0,2898,2898,"und",0,803
"node","mention",0,2899,2899,"und",0,803
"node","mention",0,2900,2900,"und",0,803
"node","mention",0,2901,2901,"und",0,803
"node","mention",0,2902,2902,"und",0,803
"node","mention",0,2903,2903,"und",0,803
"node","mention",0,2904,2904,"und",0,803
"node","mention",0,2905,2905,"und",0,803
"node","mention",0,2906,2906,"und",0,803
"node","mention",0,2907,2907,"und",0,803
"node","mention",0,2908,2908,"und",0,803
"node","mention",0,2909,2909,"und",0,803
"node","mention",0,2910,2910,"und",0,803
"node","mention",0,2911,2911,"und",0,803
"node","mention",0,2912,2912,"und",0,803
"node","mention",0,2913,2913,"und",0,803
