"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_motto_value","field_motto_format"
"node","book",0,1954,1954,"und",0,"Es wird eine Zeit kommen, da man in Europa nicht mehr fragen wird, wer Jude oder Christ sey; denn auch der Jude wird nach Europäischen Gesetzen leben und zum Besten des Staates beytragen. Nur eine barbarische Verfassung hat ihn daran hindern, oder seine Fähigkeit schädlich machen mögen.
Herder.

L'homme [lui-même] est une quantité indéterminable. Il est (si j'ose me servir de l'expression) une matiere ductile par la filiere de l'habitude. Il prend tous les plis, toutes les formes qu'on veut, sans se détruire; on donne par l'habitude à ses forces, à sa nature, à son être primitif une extension qui paraissait impossible d'abord; & ce qui est plus singulier, aussi-tôt qu'il s'y est fait, il trouve que cela lui est tout naturel, que cela a existé de tout temps & ne pouvait être autrement, que c'est son état physique. Il est tout à son aise dans cet état, où par une suite de siècles on l'a mis, & l'ouvrage d'une longue succession de philosophes est oublié. Il ignore le bienfaiteur & le bienfait, comme il ignore & le Méchant & le Mal qu'il lui a causé, & qu'il croit bonnement être de sa nature.

Dialogues sur le commerce des bleds [par l'abbé Galiani, revus par Grimm et Diderot] pag. 229.","filtered_html"
"node","book",0,1959,1959,"und",0,"Who steals my purse, steals trash; 'tis something, nothing;/ Twas mine; 'tis his, and has been slave to thousands;/ But he that filches from me my good name,/ Robs me of that which not enriches him,/ And makes me poor indeed.
Shakspeare [sic]","filtered_html"
"node","book",0,1960,1960,"und",0,"La superstition met le monde entier en flammes; la philosophie les eteint.
Dictionnaire philosophique, par Voltaire. Article Superstition.","filtered_html"
"node","book",0,1961,1961,"und",0,"Veniam pro laude peto. Ovid.","filtered_html"
"node","book",0,1963,1963,"und",0,"moresque hominum cultusque sonumque 
Tristium. L. 3. Eleg. 8
Cernimus, et qui sim, qui fuerimque","filtered_html"
"node","book",0,1966,1966,"und",0,"- quid sit pulchrum, quid turpe, quid utile, quid non. Horat.","filtered_html"
"node","book",0,1978,1978,"und",0,"Wir müssen da nicht weise seyn wolen, Wo wir nichts als Glücklich waren. Lessing.","filtered_html"
"node","book",0,1988,1988,"und",0,"Johannes 5, 46, 47","filtered_html"
"node","book",0,1994,1994,"und",0,"Der Aberglauben schlimmster ist, den seinen für den erträglichsten zu halten ...
Nathan d. Weise A. 4. a. 4.","filtered_html"
"node","book",0,2001,2001,"und",0,"Vhoever [sic] thinks a faultless piece to see,/ Thinks what ne'er was, nor is, nor e'er shall be. / Pope. Essay on Critic","filtered_html"
