"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_new_edition_type_in_text_tid
"node","book",0,2077,2077,"und",0,318
"node","book",0,2077,2077,"und",1,319
"node","book",0,2082,2082,"und",0,318
"node","book",0,2105,2105,"und",0,314
"node","book",0,2144,2144,"und",0,315
"node","book",0,2162,2162,"und",0,318
"node","book",0,2162,2162,"und",1,319
"node","book",0,2166,2166,"und",0,314
"node","book",0,2169,2169,"und",0,314
"node","book",0,2169,2169,"und",1,315
"node","book",0,2193,2193,"und",0,319
"node","book",0,2203,2203,"und",0,314
"node","book",0,2203,2203,"und",1,315
"node","book",0,2213,2213,"und",0,314
"node","book",0,2214,2214,"und",0,314
"node","book",0,2214,2214,"und",1,316
"node","book",0,2239,2239,"und",0,314
"node","book",0,2250,2250,"und",0,314
"node","book",0,2253,2253,"und",0,314
"node","book",0,2262,2262,"und",0,314
"node","book",0,2267,2267,"und",0,319
"node","book",0,2271,2271,"und",0,314
"node","book",0,2272,2272,"und",0,319
"node","book",0,2283,2283,"und",0,318
"node","book",0,2286,2286,"und",0,313
"node","book",0,2286,2286,"und",1,314
"node","book",0,2288,2288,"und",0,313
"node","book",0,2288,2288,"und",1,314
"node","book",0,2289,2289,"und",0,313
"node","book",0,2289,2289,"und",1,317
"node","book",0,2295,2295,"und",0,314
"node","book",0,2295,2295,"und",1,316
"node","book",0,2295,2295,"und",2,317
"node","book",0,2296,2296,"und",0,314
"node","book",0,2296,2296,"und",1,316
"node","book",0,2296,2296,"und",2,317
"node","book",0,2297,2297,"und",0,314
"node","book",0,2297,2297,"und",1,316
"node","book",0,2297,2297,"und",2,317
"node","book",0,2298,2298,"und",0,314
"node","book",0,2298,2298,"und",1,316
"node","book",0,2298,2298,"und",2,317
"node","book",0,2302,2302,"und",0,314
"node","book",0,2302,2302,"und",1,315
"node","book",0,2318,2318,"und",0,314
"node","book",0,2326,2326,"und",0,314
"node","book",0,2326,2326,"und",1,319
"node","book",0,2327,2327,"und",0,314
"node","book",0,2331,2331,"und",0,314
"node","book",0,2332,2332,"und",0,314
"node","book",0,2334,2334,"und",0,314
"node","book",0,2335,2335,"und",0,314
"node","book",0,2344,2344,"und",0,315
"node","book",0,2345,2345,"und",0,314
"node","book",0,2345,2345,"und",1,315
"node","book",0,2347,2347,"und",0,314
"node","book",0,2352,2352,"und",0,314
"node","book",0,2360,2360,"und",0,319
"node","book",0,2363,2363,"und",0,314
"node","book",0,2370,2370,"und",0,318
"node","book",0,2383,2383,"und",0,314
"node","book",0,2428,2428,"und",0,314
"node","book",0,2441,2441,"und",0,313
"node","book",0,2441,2441,"und",1,317
"node","book",0,2441,2441,"und",2,319
"node","book",0,2462,2462,"und",0,314
