"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_old_text_value","field_old_text_format"
"node","book",0,2133,2133,"und",0,"דרכי נעם",NULL
"node","book",0,2134,2134,"und",0,"משלי עם תרגום אשכנזי ובאור מאת איצק אייכל, חבר לחברת שוחרי הטוב והתושיה",NULL
"node","book",0,2164,2164,"und",0,"אגרת חי בן מקיץ",NULL
"node","book",0,2198,2198,"und",0,"מבוא הלשון",NULL
"node","book",0,2222,2222,"und",0,"מחזור / שיר הכבוד / שירי ייחוד",NULL
"node","book",0,2223,2223,"und",0,"מחזור",NULL
"node","book",0,2224,2224,"und",0,"מחזור / שיר הכבוד / שירי ייחוד",NULL
"node","book",0,2225,2225,"und",0,"מחזור / שיר הכבוד / שירי ייחוד",NULL
"node","book",0,2226,2226,"und",0,"מחזור / שיר הכבוד / שירי ייחוד",NULL
"node","book",0,2227,2227,"und",0,"מחזור",NULL
"node","book",0,2228,2228,"und",0,"כתר מלכות / מחזור / שיר הכבוד / שירי ייחוד",NULL
"node","book",0,2229,2229,"und",0,"מחזור",NULL
"node","book",0,2245,2245,"und",0,"משלי אסף",NULL
"node","book",0,2246,2246,"und",0,"משלי אסף",NULL
"node","book",0,2247,2247,"und",0,"משלי אסף",NULL
"node","book",0,2248,2248,"und",0,"נבואת הילד",NULL
"node","book",0,2309,2309,"und",0,"יסוד מורא וסוד תורה",NULL
"node","book",0,2311,2311,"und",0,"ספר יסוד עולם",NULL
"node","book",0,2316,2316,"und",0,"כתר מלכות",NULL
"node","book",0,2366,2366,"und",0,"בשמים ראש",NULL
"node","book",0,2393,2393,"und",0,"פירוש על שיר השירים",NULL
"node","book",0,2397,2397,"und",0,"פרקי אבות",NULL
"node","book",0,2411,2411,"und",0,"ואלה בני הנעורים",NULL
"node","book",0,2414,2414,"und",0,"ספר הזהר",NULL
