"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_old_text_author_target_id
"node","book",0,2133,2133,"und",0,2132
"node","book",0,2134,2134,"und",0,1949
"node","book",0,2164,2164,"und",0,2163
"node","book",0,2198,2198,"und",0,2197
"node","book",0,2245,2245,"und",0,2244
"node","book",0,2246,2246,"und",0,2244
"node","book",0,2247,2247,"und",0,2244
"node","book",0,2258,2258,"und",0,2257
"node","book",0,2309,2309,"und",0,2308
"node","book",0,2311,2311,"und",0,2310
"node","book",0,2316,2316,"und",0,2315
"node","book",0,2366,2366,"und",0,1064
"node","book",0,2393,2393,"und",0,2392
"node","book",0,2411,2411,"und",0,347
