"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_original_language_tid
"node","book",0,1963,1963,"und",0,416
"node","book",0,1989,1989,"und",0,439
"node","book",0,1997,1997,"und",0,439
"node","book",0,1998,1998,"und",0,416
"node","book",0,2028,2028,"und",0,439
"node","book",0,2049,2049,"und",0,416
"node","book",0,2072,2072,"und",0,416
"node","book",0,2116,2116,"und",0,439
"node","book",0,2144,2144,"und",0,439
"node","book",0,2166,2166,"und",0,439
"node","book",0,2194,2194,"und",0,415
"node","book",0,2231,2231,"und",0,415
"node","book",0,2241,2241,"und",0,415
"node","book",0,2270,2270,"und",0,606
"node","book",0,2295,2295,"und",0,439
"node","book",0,2296,2296,"und",0,439
"node","book",0,2298,2298,"und",0,439
"node","book",0,2336,2336,"und",0,439
"node","book",0,2365,2365,"und",0,416
"node","book",0,2383,2383,"und",0,439
"node","book",0,2395,2395,"und",0,415
"node","book",0,2419,2419,"und",0,436
