"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_original_publication_year_value","field_original_publication_year_format"
"node","book",0,1958,1958,"und",0,"1728",NULL
"node","book",0,1963,1963,"und",0,"1797",NULL
"node","book",0,1998,1998,"und",0,"1806",NULL
"node","book",0,2049,2049,"und",0,"1789",NULL
"node","book",0,2072,2072,"und",0,"1806",NULL
"node","book",0,2166,2166,"und",0,"הטקסט נכתב במאה ה- 12, תקופת חייו של הרמב\"ם.",NULL
"node","book",0,2194,2194,"und",0,"לפי וייזל, הטקסט שהוא תרגם  הודפס ב- Eichhorns Allgemeine Bibliothek der biblischen Litteratur. 2ten Bandes 4tes Stück, \"בחלק שלא יצא עדיין לאור\" (עמ' ח').",NULL
"node","book",0,2231,2231,"und",0,"1788",NULL
"node","book",0,2241,2241,"und",0,"1781",NULL
"node","book",0,2365,2365,"und",0,"תקנא",NULL
"node","book",0,2421,2421,"und",0,"1778",NULL
