"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_original_title_value","field_original_title_format"
"node","book",0,1963,1963,"und",0,"Le Prisonnier en Espagne, ou Coup d'œil philosophique et sentimental sur les Provinces de Catalogne et de Grenade",NULL
"node","book",0,1976,1976,"und",0,"קהלת מוסר",NULL
"node","book",0,1989,1989,"und",0,"Hebräische Bibel",NULL
"node","book",0,1997,1997,"und",0,"Gebete",NULL
"node","book",0,1998,1998,"und",0,"[Decret Napoleons des Großen vom 30. Mai 1806]",NULL
"node","book",0,2028,2028,"und",0,"Nahum",NULL
"node","book",0,2116,2116,"und",0,"תפילות ישראל",NULL
"node","book",0,2144,2144,"und",0,"הפטרה לשחרית יום הכפורים (ישעיה ק' נ\"ז פ' י\"ד ביז ק' נ\"ט)",NULL
"node","book",0,2166,2166,"und",0,"שמונה פרקים לר\"מב\"ם",NULL
"node","book",0,2169,2169,"und",0,"יונה",NULL
"node","book",0,2231,2231,"und",0,"An die Herausgeber des Sammlers",NULL
"node","book",0,2250,2250,"und",0,"סדר הגדה על פסח",NULL
"node","book",0,2262,2262,"und",0,"ספר איוב",NULL
"node","book",0,2271,2271,"und",0,"ספר דניאל",NULL
"node","book",0,2288,2288,"und",0,"האתיקה הניקומכית",NULL
"node","book",0,2295,2295,"und",0,"תהלים",NULL
"node","book",0,2303,2303,"und",0,"ספר המצות לרמבם",NULL
"node","book",0,2347,2347,"und",0,"ספר בראשית",NULL
"node","book",0,2352,2352,"und",0,"בקשת הממין",NULL
"node","book",0,2383,2383,"und",0,"תורה",NULL
"node","book",0,2395,2395,"und",0,"פעדאן",NULL
