"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_other_books_names_value","field_other_books_names_format"
"node","book",0,2123,2123,"und",0,"כרוך יחד עם דברי ריבות - חלק ב'","filtered_html"
"node","book",0,2124,2124,"und",0,"נכרך עם דברי ריבות - חלק א'","filtered_html"
"node","book",0,2133,2133,"und",0,"<p>יחד עם \"מבוא הלשון\" של הינדהים</p>
","filtered_html"
"node","book",0,2144,2144,"und",0,"ככל הנראה, הספר נכרך במקור יחד עם ספר \"יונה\" עם תרגום ובאור מאת ברי\"ל","filtered_html"
"node","book",0,2164,2164,"und",0,"ספר כתר מלכות","filtered_html"
"node","book",0,2169,2169,"und",0,"הספר נכרך במקור יחד עם \"הפטרה לשחרית יום הכפורים\", בתרגומו של דוד פרידלנדר.","filtered_html"
"node","book",0,2179,2179,"und",0,"נכרך במקור עם הספר \"תלמוד לשון עברי\" של בן-זאב","filtered_html"
"node","book",0,2181,2181,"und",0,"נכרך יחד עם \"עמודי הלשון\" של ברי\"ל","filtered_html"
"node","book",0,2184,2184,"und",0,"נכרך יחד עם \"דיא שטאלצע ושתי איין קאמיש שוישפיל אין ריימן אין איינם אויפ'צוגע פ'אן ג - ר\", בספר שכותורתו \"לוסטשפיל צור אונטרהאלטונג ביים פורים-פ'עסטע\", ערשטעס בענדכ'ן, ברעסלויא... תקנ\"ו","filtered_html"
"node","book",0,2196,2196,"und",0,"מנחה חדשה - חיבור זה אמור לשמש מבוא לפרויקט זה, כדברי המחבר בעמוד השער","filtered_html"
"node","book",0,2198,2198,"und",0,"יחד עם \"דרכי נעם\" של הינדהים","filtered_html"
"node","book",0,2260,2260,"und",0,"הספר כרוך יחד עם הספר \"פירוש על שיר השירים\" שמרגליות הביא לדפוס ופירש אותו","filtered_html"
"node","book",0,2276,2276,"und",0,"עם ספר הברית - חלק ב'","filtered_html"
"node","book",0,2279,2279,"und",0,"עם באור מלות ההגיון למנדלסון, מהדורת 1795 המבוארת על ידי סטנוב","filtered_html"
"node","book",0,2290,2290,"und",0,"(חלק ראשון וחלק שני כרוכים יחד)","filtered_html"
"node","book",0,2291,2291,"und",0,"(חלק ראשון וחלק שני כרוכים יחד)","filtered_html"
"node","book",0,2316,2316,"und",0,"חי בן מקיץ","filtered_html"
"node","book",0,2356,2356,"und",0,"נכרך עם <strong>ספר תפארת אדם</strong>","filtered_html"
"node","book",0,2378,2378,"und",0,"נכרך עם <strong>ספר עמודי השמים</strong>","filtered_html"
"node","book",0,2393,2393,"und",0,"הספר כרוך עם ספרו של מרגליות\"ספר אור עולם\". תאריך ההוצאה הרשום עליו הוא בגימטריה: \"בו מחמדים פרי מגדים\", דהיינו - 1777. חוקרים החליטו כי מדובר בטעות, שכן \"ספר אור עולם\" הכרוך איתו הוא משנת 1783.  לדעתי, ישנה אפשרות כי הספר יצא לאור קודם לכן, אך לא נשמר, ועם הוצאתו לאור של \"ספר אור עולם\" הוא החליט להוציאו שוב","filtered_html"
"node","book",0,2414,2414,"und",0,"נכרך עם \"ספר אגרת הקדש\"","filtered_html"
"node","book",0,2418,2418,"und",0,"נכרך עם קורות שנות קדם - מחברת ראשונה, ספר ראשון","filtered_html"
"node","book",0,2451,2451,"und",0,"נכרך עם חלק א' של אותו ספר (שיוצא כאן במהדורה חוזרת)","filtered_html"
"node","book",0,2474,2474,"und",0,"שלושת כרכי \"תורת לשון עברית\" כרוכים יחד","filtered_html"
"node","book",0,2475,2475,"und",0,"שלושת כרכי \"תורת לשון עברית\" כרוכים יחד","filtered_html"
"node","book",0,2476,2476,"und",0,"שלושת הכרכים של \"תורת לשון עברית\" כרוכים יחד","filtered_html"
"node","book",0,2478,2478,"und",0,"נכרך עם ספר נוסף של בן-זאב ששמו: לוח הפעלים","filtered_html"
