"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_preface_writer_target_id
"node","preface",0,5373,5373,"und",0,14
"node","preface",0,5374,5374,"und",0,1947
"node","preface",0,5375,5375,"und",0,348
"node","preface",0,5376,5376,"und",0,224
"node","preface",0,5377,5377,"und",0,233
"node","preface",0,5378,5378,"und",0,58
"node","preface",0,5379,5379,"und",0,45
"node","preface",0,5380,5380,"und",0,45
"node","preface",0,5381,5381,"und",0,1947
"node","preface",0,5382,5382,"und",0,11
"node","preface",0,5383,5383,"und",0,480
"node","preface",0,5384,5384,"und",0,149
"node","preface",0,5385,5385,"und",0,45
"node","preface",0,5386,5386,"und",0,1949
"node","preface",0,5388,5388,"und",0,38
"node","preface",0,5391,5391,"und",0,303
"node","preface",0,5392,5392,"und",0,64
"node","preface",0,5393,5393,"und",0,491
"node","preface",0,5394,5394,"und",0,462
"node","preface",0,5395,5395,"und",0,1577
"node","preface",0,5396,5396,"und",0,380
"node","preface",0,5397,5397,"und",0,298
"node","preface",0,5398,5398,"und",0,14
"node","preface",0,5399,5399,"und",0,371
"node","preface",0,5400,5400,"und",0,348
"node","preface",0,5401,5401,"und",0,348
"node","preface",0,5402,5402,"und",0,348
"node","preface",0,5403,5403,"und",0,45
"node","preface",0,5404,5404,"und",0,690
"node","preface",0,5405,5405,"und",0,690
"node","preface",0,5406,5406,"und",0,209
"node","preface",0,5407,5407,"und",0,93
"node","preface",0,5408,5408,"und",0,14
"node","preface",0,5409,5409,"und",0,14
"node","preface",0,5410,5410,"und",0,431
"node","preface",0,5411,5411,"und",0,226
"node","preface",0,5412,5412,"und",0,490
"node","preface",0,5413,5413,"und",0,140
"node","preface",0,5414,5414,"und",0,395
"node","preface",0,5416,5416,"und",0,5415
"node","preface",0,5417,5417,"und",0,316
"node","preface",0,5418,5418,"und",0,423
"node","preface",0,5419,5419,"und",0,305
"node","preface",0,5421,5421,"und",0,104
"node","preface",0,5422,5422,"und",0,43
"node","preface",0,5423,5423,"und",0,43
"node","preface",0,5424,5424,"und",0,67
"node","preface",0,5425,5425,"und",0,69
"node","preface",0,5426,5426,"und",0,243
"node","preface",0,5427,5427,"und",0,226
"node","preface",0,5428,5428,"und",0,942
"node","preface",0,5430,5430,"und",0,43
"node","preface",0,5431,5431,"und",0,43
"node","preface",0,5432,5432,"und",0,410
"node","preface",0,5433,5433,"und",0,690
"node","preface",0,5435,5435,"und",0,140
"node","preface",0,5436,5436,"und",0,127
"node","preface",0,5437,5437,"und",0,480
"node","preface",0,5438,5438,"und",0,480
"node","preface",0,5439,5439,"und",0,394
"node","preface",0,5440,5440,"und",0,38
"node","preface",0,5441,5441,"und",0,43
"node","preface",0,5442,5442,"und",0,439
"node","preface",0,5443,5443,"und",0,1947
"node","preface",0,5444,5444,"und",0,531
"node","preface",0,5445,5445,"und",0,1947
"node","preface",0,5447,5447,"und",0,201
"node","preface",0,5448,5448,"und",0,413
"node","preface",0,5451,5451,"und",0,166
"node","preface",0,5453,5453,"und",0,297
"node","preface",0,5454,5454,"und",0,43
"node","preface",0,5455,5455,"und",0,43
"node","preface",0,5456,5456,"und",0,417
"node","preface",0,5457,5457,"und",0,395
"node","preface",0,5458,5458,"und",0,338
"node","preface",0,5459,5459,"und",0,94
"node","preface",0,5460,5460,"und",0,395
"node","preface",0,5461,5461,"und",0,38
"node","preface",0,5463,5463,"und",0,5462
"node","preface",0,5465,5465,"und",0,43
"node","preface",0,5466,5466,"und",0,490
"node","preface",0,5467,5467,"und",0,105
"node","preface",0,5469,5469,"und",0,5468
"node","preface",0,5470,5470,"und",0,5468
"node","preface",0,5471,5471,"und",0,323
"node","preface",0,5473,5473,"und",0,5472
"node","preface",0,5474,5474,"und",0,43
"node","preface",0,5476,5476,"und",0,490
"node","preface",0,5477,5477,"und",0,491
"node","preface",0,5478,5478,"und",0,423
"node","preface",0,5479,5479,"und",0,690
"node","preface",0,5481,5481,"und",0,5480
"node","preface",0,5482,5482,"und",0,491
"node","preface",0,5483,5483,"und",0,338
"node","preface",0,5484,5484,"und",0,490
"node","preface",0,5485,5485,"und",0,517
"node","preface",0,5486,5486,"und",0,606
"node","preface",0,5487,5487,"und",0,398
"node","preface",0,5488,5488,"und",0,398
"node","preface",0,5489,5489,"und",0,64
"node","preface",0,5490,5490,"und",0,122
"node","preface",0,5491,5491,"und",0,348
"node","preface",0,5492,5492,"und",0,422
"node","preface",0,5493,5493,"und",0,76
"node","preface",0,5494,5494,"und",0,423
"node","preface",0,5495,5495,"und",0,105
"node","preface",0,5496,5496,"und",0,201
"node","preface",0,5497,5497,"und",0,201
"node","preface",0,5498,5498,"und",0,201
"node","preface",0,5499,5499,"und",0,690
"node","preface",0,5500,5500,"und",0,458
"node","preface",0,5501,5501,"und",0,43
"node","preface",0,5502,5502,"und",0,480
"node","preface",0,5503,5503,"und",0,362
"node","preface",0,5504,5504,"und",0,413
"node","preface",0,5505,5505,"und",0,83
"node","preface",0,5506,5506,"und",0,1188
"node","preface",0,5507,5507,"und",0,422
"node","preface",0,5509,5509,"und",0,5508
"node","preface",0,5510,5510,"und",0,423
"node","preface",0,5511,5511,"und",0,690
"node","preface",0,5512,5512,"und",0,339
