"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_presented_new_edition_value
"node","book",0,2017,2017,"und",0,0
"node","book",0,2077,2077,"und",0,1
"node","book",0,2079,2079,"und",0,1
"node","book",0,2082,2082,"und",0,1
"node","book",0,2105,2105,"und",0,1
"node","book",0,2133,2133,"und",0,1
"node","book",0,2134,2134,"und",0,1
"node","book",0,2137,2137,"und",0,1
"node","book",0,2144,2144,"und",0,1
"node","book",0,2145,2145,"und",0,1
"node","book",0,2146,2146,"und",0,1
"node","book",0,2147,2147,"und",0,1
"node","book",0,2148,2148,"und",0,1
"node","book",0,2158,2158,"und",0,1
"node","book",0,2162,2162,"und",0,1
"node","book",0,2164,2164,"und",0,1
"node","book",0,2165,2165,"und",0,1
"node","book",0,2166,2166,"und",0,1
"node","book",0,2169,2169,"und",0,1
"node","book",0,2185,2185,"und",0,1
"node","book",0,2193,2193,"und",0,1
"node","book",0,2198,2198,"und",0,1
"node","book",0,2199,2199,"und",0,1
"node","book",0,2200,2200,"und",0,1
"node","book",0,2201,2201,"und",0,1
"node","book",0,2202,2202,"und",0,1
"node","book",0,2203,2203,"und",0,1
"node","book",0,2204,2204,"und",0,1
"node","book",0,2205,2205,"und",0,1
"node","book",0,2213,2213,"und",0,1
"node","book",0,2214,2214,"und",0,1
"node","book",0,2215,2215,"und",0,1
"node","book",0,2219,2219,"und",0,1
"node","book",0,2222,2222,"und",0,1
"node","book",0,2223,2223,"und",0,1
"node","book",0,2224,2224,"und",0,1
"node","book",0,2225,2225,"und",0,1
"node","book",0,2226,2226,"und",0,1
"node","book",0,2227,2227,"und",0,1
"node","book",0,2228,2228,"und",0,1
"node","book",0,2229,2229,"und",0,1
"node","book",0,2239,2239,"und",0,1
"node","book",0,2245,2245,"und",0,1
"node","book",0,2246,2246,"und",0,1
"node","book",0,2247,2247,"und",0,1
"node","book",0,2248,2248,"und",0,1
"node","book",0,2250,2250,"und",0,1
"node","book",0,2252,2252,"und",0,1
"node","book",0,2253,2253,"und",0,1
"node","book",0,2258,2258,"und",0,1
"node","book",0,2262,2262,"und",0,1
"node","book",0,2263,2263,"und",0,1
"node","book",0,2264,2264,"und",0,1
"node","book",0,2267,2267,"und",0,1
"node","book",0,2271,2271,"und",0,1
"node","book",0,2272,2272,"und",0,1
"node","book",0,2277,2277,"und",0,1
"node","book",0,2282,2282,"und",0,1
"node","book",0,2283,2283,"und",0,1
"node","book",0,2286,2286,"und",0,1
"node","book",0,2288,2288,"und",0,1
"node","book",0,2289,2289,"und",0,1
"node","book",0,2294,2294,"und",0,1
"node","book",0,2295,2295,"und",0,1
"node","book",0,2296,2296,"und",0,1
"node","book",0,2297,2297,"und",0,1
"node","book",0,2298,2298,"und",0,1
"node","book",0,2302,2302,"und",0,1
"node","book",0,2303,2303,"und",0,1
"node","book",0,2309,2309,"und",0,1
"node","book",0,2311,2311,"und",0,1
"node","book",0,2316,2316,"und",0,1
"node","book",0,2317,2317,"und",0,1
"node","book",0,2323,2323,"und",0,1
"node","book",0,2325,2325,"und",0,1
"node","book",0,2326,2326,"und",0,1
"node","book",0,2327,2327,"und",0,1
"node","book",0,2328,2328,"und",0,1
"node","book",0,2329,2329,"und",0,1
"node","book",0,2330,2330,"und",0,1
"node","book",0,2331,2331,"und",0,1
"node","book",0,2332,2332,"und",0,1
"node","book",0,2333,2333,"und",0,1
"node","book",0,2334,2334,"und",0,1
"node","book",0,2335,2335,"und",0,1
"node","book",0,2336,2336,"und",0,1
"node","book",0,2341,2341,"und",0,1
"node","book",0,2344,2344,"und",0,1
"node","book",0,2345,2345,"und",0,1
"node","book",0,2347,2347,"und",0,1
"node","book",0,2348,2348,"und",0,1
"node","book",0,2349,2349,"und",0,1
"node","book",0,2350,2350,"und",0,1
"node","book",0,2351,2351,"und",0,1
"node","book",0,2352,2352,"und",0,1
"node","book",0,2360,2360,"und",0,1
"node","book",0,2363,2363,"und",0,1
"node","book",0,2366,2366,"und",0,1
"node","book",0,2369,2369,"und",0,1
"node","book",0,2370,2370,"und",0,1
"node","book",0,2373,2373,"und",0,1
"node","book",0,2383,2383,"und",0,1
"node","book",0,2393,2393,"und",0,1
"node","book",0,2397,2397,"und",0,1
"node","book",0,2398,2398,"und",0,1
"node","book",0,2400,2400,"und",0,1
"node","book",0,2402,2402,"und",0,1
"node","book",0,2411,2411,"und",0,1
"node","book",0,2414,2414,"und",0,1
"node","book",0,2428,2428,"und",0,1
"node","book",0,2441,2441,"und",0,1
"node","book",0,2462,2462,"und",0,1
"node","book",0,2466,2466,"und",0,0
"node","book",0,2473,2473,"und",0,0
"node","book",0,2485,2485,"und",0,1
