"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_price_value","field_price_format"
"node","book",0,1960,1960,"und",0,"19 Groschen?",NULL
"node","book",0,1961,1961,"und",0,"36 sols",NULL
"node","book",0,1974,1974,"und",0,"18 Gr.",NULL
"node","book",0,2004,2004,"und",0,"1 Reichstaler, 6 Groschen",NULL
"node","book",0,2006,2006,"und",0,"3 Reichsthaler",NULL
"node","book",0,2034,2034,"und",0,"1773",NULL
"node","book",0,2074,2074,"und",0,"7 גראשן",NULL
"node","book",0,2145,2145,"und",0,"12 גרושן",NULL
"node","book",0,2146,2146,"und",0,"11 גרושן",NULL
"node","book",0,2147,2147,"und",0,"9 גרושן",NULL
"node","book",0,2148,2148,"und",0,"11 גרושן",NULL
"node","book",0,2150,2150,"und",0,"9 גראשן, על פי רשימת ספרי דפוס \"חינוך נערים\" משנת תקנ\"ט",NULL
"node","book",0,2165,2165,"und",0,"בעמוד השער:  Ladenpreiss 1 Rthlr",NULL
"node","book",0,2172,2172,"und",0,"מחיר הספר 18 גראשן על פי רשימת ספרי דפוס \"חינוך נערים\" משנת תקנ\"ט ח\"כ",NULL
"node","book",0,2188,2188,"und",0,"4 גראשן על פי רשימת ספרי חינוך נערים משנת תקנ\"ט ח\"כ",NULL
"node","book",0,2193,2193,"und",0,"4 גראשן לפי רשימת ספרים של דפוס \"חברת נערים משנת תקנ\"ט ח\"כ",NULL
"node","book",0,2201,2201,"und",0,"ראו מידע במגלת רות",NULL
"node","book",0,2202,2202,"und",0,"א' ר\"ט (מצויין בדברי החותמים)",NULL
"node","book",0,2203,2203,"und",0,"ראו הערה במגלת רות",NULL
"node","book",0,2204,2204,"und",0,"במודעה בסוף הספר: \"לכל הבא אל החתום כי מחיר כל חמשת הספרים לא יעברו סכום א' ר\"ט ט\"ז גדולים, דהיינו ח' גדולים בעד כל מגלה ומגלה\"",NULL
"node","book",0,2215,2215,"und",0,"א' ר\"ט ו\"ג פ\"ק לכל חלק [המחיר מופיע הן בשער הן בעמוד האחרון]",NULL
"node","book",0,2219,2219,"und",0,"ג' ר\"ט ח\"ג (רשום בשער הספר)",NULL
"node","book",0,2237,2237,"und",0,"ב' ר\"ט (ראו הקדמה \"מודעא\"). בעמוד האחרון למטה רשום: הקונים הגשים לקנות יכו במקחם בסך י'ב ג'",NULL
"node","book",0,2246,2246,"und",0,"א' ריט (תחת \"הסכמת הגאונים..., עמ' [1]",NULL
"node","book",0,2250,2250,"und",0,"8 גראשן",NULL
"node","book",0,2253,2253,"und",0,"30 קרייצער פער העפ'ט, מחיר לאקסעמפלאר:",NULL
"node","book",0,2262,2262,"und",0,"'...במקח א' ר\"ט נייר פשוט, ועל נייר טוב במקח א' ר\"ט ח\"ג' - הקדמת המחבר, עמ' [1]",NULL
"node","book",0,2263,2263,"und",0,"12 גראשן",NULL
"node","book",0,2267,2267,"und",0,"לא רשום מחיר. אך בסוף ההקדמה נאמר: \"כל מי שחשקה נפשו בספר הזה ללמוד בו ואין לו לשלם מחירו הנהוג כגון בני עניים בבתי המדרשי' יקחנו בזול...\"",NULL
"node","book",0,2277,2277,"und",0,"3 ר\"ט",NULL
"node","book",0,2280,2280,"und",0,"4 גראשן לפי רשימת ספרי דפוס \"חינוך נערים משנת תקנ\"ט ח\"כ",NULL
"node","book",0,2282,2282,"und",0,"ב' ר\"ט ח\"ג (על גבי השער)",NULL
"node","book",0,2285,2285,"und",0,"שלושה זהובים פולי\"ש",NULL
"node","book",0,2290,2290,"und",0,"2 ר\"ט",NULL
"node","book",0,2292,2292,"und",0,"12 גראשן על פי רשימת ספרי \"דפוס חינוך נערים\" משנת תקנ\"ט- ח\"כ",NULL
"node","book",0,2311,2311,"und",0,"\"שני רייכש טאליר\" (רשום מתחת ל\"הקדמת המביא לבית הדפוס\")",NULL
"node","book",0,2312,2312,"und",0,"פרטי מכירה מופיעים בעמוד ד",NULL
"node","book",0,2321,2321,"und",0,"בהסכמה כתוב: לא פחות ממחיר זהב אחד לחלק אחד... וכל המוסיף למחבר ברכה...",NULL
"node","book",0,2322,2322,"und",0,"10 בוגן (בערך). מצויין ב\"מודעה\" שבסוף (לפני הופעת הפרקים מתוך ספר רפואת העם)",NULL
"node","book",0,2349,2349,"und",0,"[4], ריח ד'",NULL
"node","book",0,2364,2364,"und",0,"4 גילדין פוליש מיט פופצעהן גראשין",NULL
"node","book",0,2379,2379,"und",0,"48 Kr.? (רשום בעמוד האחרון בספר)",NULL
"node","book",0,2421,2421,"und",0,"18 גראשן",NULL
"node","book",0,2422,2422,"und",0,"במאסף תק\"ע, פד'  מצויין מחיר הספר:\"מקח ספר הזה עם לוח המראות הוא על נייר טוב ויפה כ' גדולים ועל נייר בינוני ט\"ז גדולים\".",NULL
"node","book",0,2424,2424,"und",0,"ג' בש",NULL
"node","book",0,2427,2427,"und",0,"חינם",NULL
"node","book",0,2441,2441,"und",0,"הקונים... יזכו במעט [?] מחירם על גליון טוב בעד א' ר\"ט",NULL
"node","book",0,2454,2454,"und",0,"ט\"ז פגים",NULL
"node","book",0,2456,2456,"und",0,"ט\"ז פגים",NULL
"node","book",0,2478,2478,"und",0,"בהקדמה לספר נוסף של בן-זאב בשם לוח הפעלים, טוען המחבר כי שילם ארבעים בוגין על הלוח הספר",NULL
