"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_printed_originally_value
"node","book",0,2123,2123,"und",0,1
"node","book",0,2124,2124,"und",0,1
"node","book",0,2133,2133,"und",0,1
"node","book",0,2144,2144,"und",0,1
"node","book",0,2145,2145,"und",0,1
"node","book",0,2146,2146,"und",0,1
"node","book",0,2147,2147,"und",0,1
"node","book",0,2148,2148,"und",0,1
"node","book",0,2164,2164,"und",0,1
"node","book",0,2169,2169,"und",0,1
"node","book",0,2179,2179,"und",0,1
"node","book",0,2181,2181,"und",0,1
"node","book",0,2184,2184,"und",0,1
"node","book",0,2196,2196,"und",0,1
"node","book",0,2198,2198,"und",0,1
"node","book",0,2242,2242,"und",0,1
"node","book",0,2260,2260,"und",0,1
"node","book",0,2276,2276,"und",0,1
"node","book",0,2279,2279,"und",0,1
"node","book",0,2286,2286,"und",0,1
"node","book",0,2288,2288,"und",0,1
"node","book",0,2290,2290,"und",0,1
"node","book",0,2291,2291,"und",0,1
"node","book",0,2316,2316,"und",0,1
"node","book",0,2318,2318,"und",0,1
"node","book",0,2356,2356,"und",0,1
"node","book",0,2378,2378,"und",0,1
"node","book",0,2393,2393,"und",0,1
"node","book",0,2414,2414,"und",0,1
"node","book",0,2417,2417,"und",0,1
"node","book",0,2418,2418,"und",0,1
"node","book",0,2451,2451,"und",0,1
"node","book",0,2474,2474,"und",0,1
"node","book",0,2475,2475,"und",0,1
"node","book",0,2476,2476,"und",0,1
"node","book",0,2478,2478,"und",0,1
