"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_role_tid
"node","production",0,4706,4706,"und",0,402
"node","production",0,4707,4707,"und",0,403
"node","production",0,4708,4708,"und",0,402
"node","production",0,4708,4708,"und",1,405
"node","production",0,4709,4709,"und",0,402
"node","production",0,4710,4710,"und",0,402
"node","production",0,4711,4711,"und",0,402
"node","production",0,4712,4712,"und",0,402
"node","production",0,4713,4713,"und",0,402
"node","production",0,4714,4714,"und",0,402
"node","production",0,4715,4715,"und",0,402
"node","production",0,4716,4716,"und",0,402
"node","production",0,4717,4717,"und",0,403
"node","production",0,4718,4718,"und",0,402
"node","production",0,4719,4719,"und",0,402
"node","production",0,4720,4720,"und",0,402
"node","production",0,4721,4721,"und",0,402
"node","production",0,4722,4722,"und",0,402
"node","production",0,4723,4723,"und",0,402
"node","production",0,4724,4724,"und",0,405
"node","production",0,4725,4725,"und",0,402
"node","production",0,4726,4726,"und",0,402
"node","production",0,4727,4727,"und",0,403
"node","production",0,4728,4728,"und",0,402
"node","production",0,4729,4729,"und",0,402
"node","production",0,4730,4730,"und",0,402
"node","production",0,4731,4731,"und",0,402
"node","production",0,4731,4731,"und",1,403
"node","production",0,4732,4732,"und",0,402
"node","production",0,4733,4733,"und",0,402
"node","production",0,4733,4733,"und",1,403
"node","production",0,4734,4734,"und",0,402
"node","production",0,4735,4735,"und",0,402
"node","production",0,4736,4736,"und",0,403
"node","production",0,4737,4737,"und",0,403
"node","production",0,4738,4738,"und",0,403
"node","production",0,4739,4739,"und",0,403
"node","production",0,4740,4740,"und",0,402
"node","production",0,4741,4741,"und",0,403
"node","production",0,4742,4742,"und",0,402
"node","production",0,4743,4743,"und",0,402
"node","production",0,4744,4744,"und",0,402
"node","production",0,4745,4745,"und",0,402
"node","production",0,4746,4746,"und",0,403
"node","production",0,4747,4747,"und",0,402
"node","production",0,4748,4748,"und",0,402
"node","production",0,4749,4749,"und",0,402
"node","production",0,4750,4750,"und",0,402
"node","production",0,4751,4751,"und",0,402
"node","production",0,4752,4752,"und",0,402
"node","production",0,4753,4753,"und",0,402
"node","production",0,4754,4754,"und",0,809
"node","production",0,4755,4755,"und",0,402
"node","production",0,4756,4756,"und",0,405
"node","production",0,4756,4756,"und",1,406
"node","production",0,4756,4756,"und",2,403
"node","production",0,4757,4757,"und",0,405
"node","production",0,4758,4758,"und",0,402
"node","production",0,4759,4759,"und",0,402
"node","production",0,4759,4759,"und",1,405
"node","production",0,4760,4760,"und",0,402
"node","production",0,4761,4761,"und",0,402
"node","production",0,4761,4761,"und",1,405
"node","production",0,4762,4762,"und",0,405
"node","production",0,4763,4763,"und",0,402
"node","production",0,4764,4764,"und",0,402
"node","production",0,4765,4765,"und",0,402
"node","production",0,4765,4765,"und",1,405
"node","production",0,4766,4766,"und",0,405
"node","production",0,4767,4767,"und",0,402
"node","production",0,4768,4768,"und",0,402
"node","production",0,4769,4769,"und",0,402
"node","production",0,4770,4770,"und",0,403
"node","production",0,4770,4770,"und",1,406
"node","production",0,4771,4771,"und",0,403
"node","production",0,4771,4771,"und",1,406
"node","production",0,4772,4772,"und",0,402
"node","production",0,4773,4773,"und",0,402
"node","production",0,4774,4774,"und",0,402
"node","production",0,4775,4775,"und",0,402
"node","production",0,4776,4776,"und",0,402
"node","production",0,4776,4776,"und",1,406
"node","production",0,4777,4777,"und",0,402
"node","production",0,4778,4778,"und",0,402
"node","production",0,4779,4779,"und",0,402
"node","production",0,4780,4780,"und",0,404
"node","production",0,4781,4781,"und",0,809
"node","production",0,4782,4782,"und",0,402
"node","production",0,4783,4783,"und",0,402
"node","production",0,4784,4784,"und",0,402
"node","production",0,4785,4785,"und",0,402
"node","production",0,4786,4786,"und",0,402
"node","production",0,4786,4786,"und",1,405
"node","production",0,4787,4787,"und",0,402
"node","production",0,4788,4788,"und",0,402
"node","production",0,4789,4789,"und",0,402
"node","production",0,4790,4790,"und",0,402
"node","production",0,4791,4791,"und",0,402
"node","production",0,4791,4791,"und",1,405
"node","production",0,4792,4792,"und",0,402
"node","production",0,4793,4793,"und",0,402
"node","production",0,4794,4794,"und",0,402
"node","production",0,4795,4795,"und",0,402
"node","production",0,4796,4796,"und",0,402
"node","production",0,4797,4797,"und",0,402
"node","production",0,4798,4798,"und",0,403
"node","production",0,4799,4799,"und",0,402
"node","production",0,4799,4799,"und",1,403
"node","production",0,4800,4800,"und",0,403
"node","production",0,4801,4801,"und",0,403
"node","production",0,4802,4802,"und",0,403
"node","production",0,4803,4803,"und",0,403
"node","production",0,4804,4804,"und",0,404
"node","production",0,4805,4805,"und",0,402
"node","production",0,4806,4806,"und",0,809
"node","production",0,4807,4807,"und",0,402
"node","production",0,4808,4808,"und",0,402
"node","production",0,4809,4809,"und",0,402
"node","production",0,4810,4810,"und",0,402
"node","production",0,4811,4811,"und",0,402
"node","production",0,4812,4812,"und",0,402
"node","production",0,4813,4813,"und",0,402
"node","production",0,4814,4814,"und",0,402
"node","production",0,4815,4815,"und",0,405
"node","production",0,4816,4816,"und",0,402
"node","production",0,4817,4817,"und",0,405
"node","production",0,4818,4818,"und",0,403
"node","production",0,4819,4819,"und",0,402
"node","production",0,4820,4820,"und",0,402
"node","production",0,4821,4821,"und",0,402
"node","production",0,4822,4822,"und",0,402
"node","production",0,4823,4823,"und",0,402
"node","production",0,4823,4823,"und",1,405
"node","production",0,4824,4824,"und",0,402
"node","production",0,4825,4825,"und",0,402
"node","production",0,4826,4826,"und",0,403
"node","production",0,4827,4827,"und",0,402
"node","production",0,4828,4828,"und",0,402
"node","production",0,4829,4829,"und",0,402
"node","production",0,4830,4830,"und",0,402
"node","production",0,4831,4831,"und",0,402
"node","production",0,4832,4832,"und",0,402
"node","production",0,4833,4833,"und",0,402
"node","production",0,4834,4834,"und",0,402
"node","production",0,4835,4835,"und",0,402
"node","production",0,4837,4837,"und",0,402
"node","production",0,4838,4838,"und",0,402
"node","production",0,4839,4839,"und",0,402
"node","production",0,4840,4840,"und",0,402
"node","production",0,4841,4841,"und",0,403
"node","production",0,4842,4842,"und",0,402
"node","production",0,4842,4842,"und",1,405
"node","production",0,4845,4845,"und",0,402
"node","production",0,4846,4846,"und",0,402
"node","production",0,4847,4847,"und",0,402
"node","production",0,4848,4848,"und",0,404
"node","production",0,4849,4849,"und",0,402
"node","production",0,4850,4850,"und",0,404
"node","production",0,4851,4851,"und",0,809
"node","production",0,4852,4852,"und",0,809
"node","production",0,4853,4853,"und",0,404
"node","production",0,4854,4854,"und",0,402
"node","production",0,4855,4855,"und",0,402
"node","production",0,4856,4856,"und",0,402
"node","production",0,4857,4857,"und",0,402
"node","production",0,4858,4858,"und",0,402
"node","production",0,4859,4859,"und",0,404
"node","production",0,4860,4860,"und",0,809
"node","production",0,4861,4861,"und",0,809
"node","production",0,4862,4862,"und",0,402
"node","production",0,4863,4863,"und",0,809
"node","production",0,4864,4864,"und",0,809
"node","production",0,4865,4865,"und",0,402
"node","production",0,4866,4866,"und",0,402
"node","production",0,4867,4867,"und",0,402
"node","production",0,4868,4868,"und",0,402
"node","production",0,4869,4869,"und",0,402
"node","production",0,4870,4870,"und",0,402
"node","production",0,4871,4871,"und",0,402
"node","production",0,4872,4872,"und",0,403
"node","production",0,4873,4873,"und",0,402
"node","production",0,4874,4874,"und",0,402
"node","production",0,4875,4875,"und",0,402
"node","production",0,4876,4876,"und",0,809
"node","production",0,4877,4877,"und",0,402
"node","production",0,4878,4878,"und",0,402
"node","production",0,4879,4879,"und",0,406
"node","production",0,4880,4880,"und",0,405
"node","production",0,4881,4881,"und",0,402
"node","production",0,4882,4882,"und",0,402
"node","production",0,4883,4883,"und",0,402
"node","production",0,4884,4884,"und",0,402
"node","production",0,4885,4885,"und",0,402
"node","production",0,4886,4886,"und",0,402
"node","production",0,4887,4887,"und",0,809
"node","production",0,4888,4888,"und",0,402
"node","production",0,4889,4889,"und",0,402
"node","production",0,4890,4890,"und",0,809
"node","production",0,4891,4891,"und",0,403
"node","production",0,4891,4891,"und",1,406
"node","production",0,4892,4892,"und",0,402
"node","production",0,4893,4893,"und",0,402
"node","production",0,4894,4894,"und",0,402
"node","production",0,4895,4895,"und",0,402
"node","production",0,4896,4896,"und",0,402
"node","production",0,4897,4897,"und",0,403
"node","production",0,4897,4897,"und",1,404
"node","production",0,4898,4898,"und",0,403
"node","production",0,4899,4899,"und",0,809
"node","production",0,4900,4900,"und",0,809
"node","production",0,4901,4901,"und",0,402
"node","production",0,4902,4902,"und",0,402
"node","production",0,4903,4903,"und",0,402
"node","production",0,4904,4904,"und",0,402
"node","production",0,4905,4905,"und",0,403
"node","production",0,4906,4906,"und",0,405
"node","production",0,4908,4908,"und",0,403
"node","production",0,4910,4910,"und",0,406
"node","production",0,4910,4910,"und",1,405
"node","production",0,4911,4911,"und",0,403
"node","production",0,4911,4911,"und",1,406
"node","production",0,4912,4912,"und",0,404
"node","production",0,4912,4912,"und",1,405
"node","production",0,4913,4913,"und",0,402
"node","production",0,4914,4914,"und",0,402
"node","production",0,4915,4915,"und",0,406
"node","production",0,4916,4916,"und",0,402
"node","production",0,4917,4917,"und",0,402
"node","production",0,4918,4918,"und",0,809
"node","production",0,4919,4919,"und",0,402
"node","production",0,4920,4920,"und",0,402
"node","production",0,4921,4921,"und",0,405
"node","production",0,4922,4922,"und",0,402
"node","production",0,4923,4923,"und",0,404
"node","production",0,4924,4924,"und",0,403
"node","production",0,4925,4925,"und",0,403
"node","production",0,4926,4926,"und",0,403
"node","production",0,4927,4927,"und",0,403
"node","production",0,4928,4928,"und",0,403
"node","production",0,4929,4929,"und",0,403
"node","production",0,4930,4930,"und",0,403
"node","production",0,4931,4931,"und",0,403
"node","production",0,4932,4932,"und",0,403
"node","production",0,4933,4933,"und",0,403
"node","production",0,4934,4934,"und",0,403
"node","production",0,4935,4935,"und",0,403
"node","production",0,4936,4936,"und",0,403
"node","production",0,4937,4937,"und",0,403
"node","production",0,4938,4938,"und",0,403
"node","production",0,4939,4939,"und",0,403
"node","production",0,4940,4940,"und",0,403
"node","production",0,4941,4941,"und",0,403
"node","production",0,4942,4942,"und",0,403
"node","production",0,4943,4943,"und",0,403
"node","production",0,4944,4944,"und",0,403
"node","production",0,4945,4945,"und",0,403
"node","production",0,4946,4946,"und",0,403
"node","production",0,4947,4947,"und",0,403
"node","production",0,4948,4948,"und",0,403
"node","production",0,4949,4949,"und",0,403
"node","production",0,4950,4950,"und",0,403
"node","production",0,4951,4951,"und",0,403
"node","production",0,4952,4952,"und",0,403
"node","production",0,4953,4953,"und",0,403
"node","production",0,4954,4954,"und",0,403
"node","production",0,4955,4955,"und",0,403
"node","production",0,4956,4956,"und",0,403
"node","production",0,4957,4957,"und",0,402
"node","production",0,4958,4958,"und",0,402
"node","production",0,4959,4959,"und",0,402
"node","production",0,4960,4960,"und",0,402
"node","production",0,4961,4961,"und",0,402
"node","production",0,4962,4962,"und",0,402
"node","production",0,4963,4963,"und",0,402
"node","production",0,4964,4964,"und",0,402
"node","production",0,4965,4965,"und",0,402
"node","production",0,4966,4966,"und",0,402
"node","production",0,4967,4967,"und",0,402
"node","production",0,4968,4968,"und",0,406
"node","production",0,4969,4969,"und",0,402
"node","production",0,4970,4970,"und",0,402
"node","production",0,4971,4971,"und",0,402
"node","production",0,4972,4972,"und",0,809
"node","production",0,4973,4973,"und",0,403
"node","production",0,4974,4974,"und",0,403
"node","production",0,4974,4974,"und",1,406
"node","production",0,4975,4975,"und",0,402
"node","production",0,4976,4976,"und",0,809
"node","production",0,4977,4977,"und",0,403
"node","production",0,4977,4977,"und",1,406
"node","production",0,4978,4978,"und",0,402
"node","production",0,4979,4979,"und",0,404
"node","production",0,4980,4980,"und",0,402
"node","production",0,4981,4981,"und",0,402
"node","production",0,4982,4982,"und",0,402
"node","production",0,4983,4983,"und",0,402
"node","production",0,4984,4984,"und",0,402
"node","production",0,4985,4985,"und",0,402
"node","production",0,4986,4986,"und",0,402
"node","production",0,4987,4987,"und",0,402
"node","production",0,4988,4988,"und",0,402
"node","production",0,4989,4989,"und",0,402
"node","production",0,4990,4990,"und",0,402
"node","production",0,4991,4991,"und",0,402
"node","production",0,4992,4992,"und",0,402
"node","production",0,4993,4993,"und",0,402
"node","production",0,4994,4994,"und",0,405
"node","production",0,4995,4995,"und",0,402
"node","production",0,4996,4996,"und",0,402
"node","production",0,4997,4997,"und",0,402
"node","production",0,4998,4998,"und",0,402
"node","production",0,4999,4999,"und",0,402
"node","production",0,5000,5000,"und",0,402
"node","production",0,5001,5001,"und",0,402
"node","production",0,5002,5002,"und",0,402
"node","production",0,5003,5003,"und",0,405
"node","production",0,5004,5004,"und",0,402
"node","production",0,5005,5005,"und",0,402
"node","production",0,5006,5006,"und",0,402
"node","production",0,5007,5007,"und",0,402
"node","production",0,5008,5008,"und",0,405
"node","production",0,5009,5009,"und",0,403
"node","production",0,5010,5010,"und",0,403
"node","production",0,5010,5010,"und",1,406
"node","production",0,5011,5011,"und",0,402
"node","production",0,5012,5012,"und",0,403
"node","production",0,5013,5013,"und",0,406
"node","production",0,5014,5014,"und",0,406
"node","production",0,5015,5015,"und",0,403
"node","production",0,5015,5015,"und",1,406
"node","production",0,5016,5016,"und",0,403
"node","production",0,5017,5017,"und",0,406
"node","production",0,5018,5018,"und",0,406
"node","production",0,5019,5019,"und",0,404
"node","production",0,5020,5020,"und",0,402
"node","production",0,5021,5021,"und",0,402
"node","production",0,5022,5022,"und",0,402
"node","production",0,5023,5023,"und",0,402
"node","production",0,5024,5024,"und",0,404
"node","production",0,5025,5025,"und",0,402
"node","production",0,5026,5026,"und",0,402
"node","production",0,5027,5027,"und",0,406
"node","production",0,5028,5028,"und",0,405
"node","production",0,5029,5029,"und",0,406
"node","production",0,5029,5029,"und",1,405
"node","production",0,5030,5030,"und",0,406
"node","production",0,5030,5030,"und",1,405
"node","production",0,5031,5031,"und",0,402
"node","production",0,5032,5032,"und",0,402
"node","production",0,5033,5033,"und",0,403
"node","production",0,5034,5034,"und",0,404
"node","production",0,5035,5035,"und",0,402
"node","production",0,5036,5036,"und",0,402
"node","production",0,5037,5037,"und",0,403
"node","production",0,5037,5037,"und",1,406
"node","production",0,5037,5037,"und",2,405
"node","production",0,5038,5038,"und",0,403
"node","production",0,5038,5038,"und",1,406
"node","production",0,5038,5038,"und",2,405
"node","production",0,5039,5039,"und",0,405
"node","production",0,5040,5040,"und",0,403
"node","production",0,5040,5040,"und",1,406
"node","production",0,5040,5040,"und",2,405
"node","production",0,5041,5041,"und",0,403
"node","production",0,5041,5041,"und",1,406
"node","production",0,5041,5041,"und",2,405
"node","production",0,5042,5042,"und",0,405
"node","production",0,5043,5043,"und",0,403
"node","production",0,5043,5043,"und",1,405
"node","production",0,5044,5044,"und",0,405
"node","production",0,5045,5045,"und",0,403
"node","production",0,5045,5045,"und",1,406
"node","production",0,5045,5045,"und",2,405
"node","production",0,5046,5046,"und",0,405
"node","production",0,5047,5047,"und",0,403
"node","production",0,5047,5047,"und",1,406
"node","production",0,5047,5047,"und",2,405
"node","production",0,5048,5048,"und",0,405
"node","production",0,5049,5049,"und",0,403
