"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_secondary_textual_models_tid
"node","book",0,1954,1954,"und",0,375
"node","book",0,1956,1956,"und",0,380
"node","book",0,1958,1958,"und",0,377
"node","book",0,1958,1958,"und",1,379
"node","book",0,1959,1959,"und",0,359
"node","book",0,1960,1960,"und",0,377
"node","book",0,1960,1960,"und",1,378
"node","book",0,1964,1964,"und",0,376
"node","book",0,1966,1966,"und",0,377
"node","book",0,1966,1966,"und",1,378
"node","book",0,1969,1969,"und",0,377
"node","book",0,1969,1969,"und",1,378
"node","book",0,1970,1970,"und",0,343
"node","book",0,1970,1970,"und",1,344
"node","book",0,1974,1974,"und",0,351
"node","book",0,1974,1974,"und",1,358
"node","book",0,1975,1975,"und",0,341
"node","book",0,1976,1976,"und",0,366
"node","book",0,1976,1976,"und",1,370
"node","book",0,1976,1976,"und",2,372
"node","book",0,1978,1978,"und",0,351
"node","book",0,1978,1978,"und",1,352
"node","book",0,1982,1982,"und",0,351
"node","book",0,1988,1988,"und",0,380
"node","book",0,1988,1988,"und",1,384
"node","book",0,1990,1990,"und",0,347
"node","book",0,1991,1991,"und",0,325
"node","book",0,1991,1991,"und",1,387
"node","book",0,1992,1992,"und",0,377
"node","book",0,1992,1992,"und",1,378
"node","book",0,1993,1993,"und",0,336
"node","book",0,1994,1994,"und",0,377
"node","book",0,1994,1994,"und",1,378
"node","book",0,1997,1997,"und",0,360
"node","book",0,1997,1997,"und",1,363
"node","book",0,1997,1997,"und",2,366
"node","book",0,1997,1997,"und",3,370
"node","book",0,1997,1997,"und",4,372
"node","book",0,1999,1999,"und",0,380
"node","book",0,1999,1999,"und",1,384
"node","book",0,2001,2001,"und",0,387
"node","book",0,2004,2004,"und",0,343
"node","book",0,2004,2004,"und",1,345
"node","book",0,2006,2006,"und",0,330
"node","book",0,2006,2006,"und",1,387
"node","book",0,2006,2006,"und",2,388
"node","book",0,2006,2006,"und",3,389
"node","book",0,2009,2009,"und",0,359
"node","book",0,2010,2010,"und",0,332
"node","book",0,2013,2013,"und",0,324
"node","book",0,2015,2015,"und",0,351
"node","book",0,2015,2015,"und",1,355
"node","book",0,2017,2017,"und",0,328
"node","book",0,2027,2027,"und",0,366
"node","book",0,2027,2027,"und",1,370
"node","book",0,2028,2028,"und",0,366
"node","book",0,2031,2031,"und",0,336
"node","book",0,2039,2039,"und",0,337
"node","book",0,2042,2042,"und",0,351
"node","book",0,2042,2042,"und",1,355
"node","book",0,2042,2042,"und",2,385
"node","book",0,2043,2043,"und",0,385
"node","book",0,2046,2046,"und",0,325
"node","book",0,2046,2046,"und",1,326
"node","book",0,2052,2052,"und",0,359
"node","book",0,2053,2053,"und",0,332
"node","book",0,2053,2053,"und",1,333
"node","book",0,2056,2056,"und",0,385
"node","book",0,2057,2057,"und",0,343
"node","book",0,2058,2058,"und",0,359
"node","book",0,2058,2058,"und",1,377
"node","book",0,2063,2063,"und",0,332
"node","book",0,2063,2063,"und",1,334
"node","book",0,2066,2066,"und",0,342
"node","book",0,2066,2066,"und",1,377
"node","book",0,2066,2066,"und",2,378
"node","book",0,2067,2067,"und",0,377
"node","book",0,2067,2067,"und",1,378
"node","book",0,2074,2074,"und",0,325
"node","book",0,2074,2074,"und",1,326
"node","book",0,2074,2074,"und",2,327
"node","book",0,2076,2076,"und",0,353
"node","book",0,2076,2076,"und",1,364
"node","book",0,2078,2078,"und",0,360
"node","book",0,2078,2078,"und",1,364
"node","book",0,2080,2080,"und",0,386
"node","book",0,2081,2081,"und",0,387
"node","book",0,2082,2082,"und",0,390
"node","book",0,2094,2094,"und",0,351
"node","book",0,2097,2097,"und",0,331
"node","book",0,2099,2099,"und",0,359
"node","book",0,2100,2100,"und",0,342
"node","book",0,2100,2100,"und",1,387
"node","book",0,2100,2100,"und",2,389
"node","book",0,2107,2107,"und",0,320
"node","book",0,2107,2107,"und",1,323
"node","book",0,2107,2107,"und",2,325
"node","book",0,2107,2107,"und",3,326
"node","book",0,2107,2107,"und",4,351
"node","book",0,2107,2107,"und",5,358
"node","book",0,2107,2107,"und",6,366
"node","book",0,2107,2107,"und",7,370
"node","book",0,2108,2108,"und",0,320
"node","book",0,2108,2108,"und",1,323
"node","book",0,2108,2108,"und",2,351
"node","book",0,2108,2108,"und",3,357
"node","book",0,2108,2108,"und",4,360
"node","book",0,2108,2108,"und",5,361
"node","book",0,2108,2108,"und",6,362
"node","book",0,2108,2108,"und",7,363
"node","book",0,2108,2108,"und",8,364
"node","book",0,2110,2110,"und",0,331
"node","book",0,2110,2110,"und",1,342
"node","book",0,2110,2110,"und",2,366
"node","book",0,2112,2112,"und",0,387
"node","book",0,2114,2114,"und",0,351
"node","book",0,2114,2114,"und",1,357
"node","book",0,2116,2116,"und",0,366
"node","book",0,2116,2116,"und",1,367
"node","book",0,2116,2116,"und",2,370
"node","book",0,2116,2116,"und",3,372
"node","book",0,2117,2117,"und",0,351
"node","book",0,2117,2117,"und",1,355
"node","book",0,2118,2118,"und",0,325
"node","book",0,2118,2118,"und",1,327
"node","book",0,2118,2118,"und",2,347
"node","book",0,2118,2118,"und",3,351
"node","book",0,2118,2118,"und",4,352
"node","book",0,2120,2120,"und",0,336
"node","book",0,2121,2121,"und",0,341
"node","book",0,2122,2122,"und",0,385
"node","book",0,2125,2125,"und",0,332
"node","book",0,2125,2125,"und",1,341
"node","book",0,2126,2126,"und",0,331
"node","book",0,2127,2127,"und",0,332
"node","book",0,2127,2127,"und",1,334
"node","book",0,2127,2127,"und",2,351
"node","book",0,2127,2127,"und",3,359
"node","book",0,2128,2128,"und",0,359
"node","book",0,2131,2131,"und",0,343
"node","book",0,2131,2131,"und",1,344
"node","book",0,2134,2134,"und",0,387
"node","book",0,2135,2135,"und",0,342
"node","book",0,2136,2136,"und",0,342
"node","book",0,2139,2139,"und",0,320
"node","book",0,2139,2139,"und",1,323
"node","book",0,2139,2139,"und",2,366
"node","book",0,2139,2139,"und",3,370
"node","book",0,2139,2139,"und",4,380
"node","book",0,2140,2140,"und",0,331
"node","book",0,2149,2149,"und",0,336
"node","book",0,2149,2149,"und",1,338
"node","book",0,2150,2150,"und",0,347
"node","book",0,2150,2150,"und",1,351
"node","book",0,2151,2151,"und",0,351
"node","book",0,2151,2151,"und",1,355
"node","book",0,2152,2152,"und",0,351
"node","book",0,2152,2152,"und",1,358
"node","book",0,2153,2153,"und",0,351
"node","book",0,2153,2153,"und",1,366
"node","book",0,2153,2153,"und",2,370
"node","book",0,2155,2155,"und",0,351
"node","book",0,2157,2157,"und",0,376
"node","book",0,2157,2157,"und",1,386
"node","book",0,2159,2159,"und",0,366
"node","book",0,2159,2159,"und",1,368
"node","book",0,2159,2159,"und",2,380
"node","book",0,2161,2161,"und",0,359
"node","book",0,2162,2162,"und",0,336
"node","book",0,2166,2166,"und",0,324
"node","book",0,2170,2170,"und",0,351
"node","book",0,2170,2170,"und",1,357
"node","book",0,2170,2170,"und",2,360
"node","book",0,2171,2171,"und",0,331
"node","book",0,2171,2171,"und",1,351
"node","book",0,2171,2171,"und",2,357
"node","book",0,2171,2171,"und",3,380
"node","book",0,2171,2171,"und",4,384
"node","book",0,2172,2172,"und",0,351
"node","book",0,2175,2175,"und",0,377
"node","book",0,2175,2175,"und",1,380
"node","book",0,2175,2175,"und",2,381
"node","book",0,2175,2175,"und",3,382
"node","book",0,2184,2184,"und",0,347
"node","book",0,2184,2184,"und",1,349
"node","book",0,2185,2185,"und",0,351
"node","book",0,2185,2185,"und",1,357
"node","book",0,2186,2186,"und",0,351
"node","book",0,2186,2186,"und",1,355
"node","book",0,2188,2188,"und",0,351
"node","book",0,2188,2188,"und",1,355
"node","book",0,2191,2191,"und",0,377
"node","book",0,2191,2191,"und",1,378
"node","book",0,2192,2192,"und",0,380
"node","book",0,2192,2192,"und",1,381
"node","book",0,2192,2192,"und",2,382
"node","book",0,2192,2192,"und",3,383
"node","book",0,2192,2192,"und",4,384
"node","book",0,2195,2195,"und",0,351
"node","book",0,2201,2201,"und",0,324
"node","book",0,2202,2202,"und",0,320
"node","book",0,2204,2204,"und",0,324
"node","book",0,2205,2205,"und",0,324
"node","book",0,2206,2206,"und",0,376
"node","book",0,2210,2210,"und",0,325
"node","book",0,2210,2210,"und",1,327
"node","book",0,2211,2211,"und",0,320
"node","book",0,2211,2211,"und",1,323
"node","book",0,2211,2211,"und",2,336
"node","book",0,2211,2211,"und",3,351
"node","book",0,2211,2211,"und",4,352
"node","book",0,2211,2211,"und",5,357
"node","book",0,2211,2211,"und",6,366
"node","book",0,2211,2211,"und",7,370
"node","book",0,2211,2211,"und",8,376
"node","book",0,2211,2211,"und",9,386
"node","book",0,2216,2216,"und",0,351
"node","book",0,2231,2231,"und",0,341
"node","book",0,2231,2231,"und",1,380
"node","book",0,2235,2235,"und",0,351
"node","book",0,2235,2235,"und",1,357
"node","book",0,2236,2236,"und",0,351
"node","book",0,2236,2236,"und",1,355
"node","book",0,2237,2237,"und",0,329
"node","book",0,2237,2237,"und",1,376
"node","book",0,2238,2238,"und",0,351
"node","book",0,2238,2238,"und",1,355
"node","book",0,2241,2241,"und",0,320
"node","book",0,2242,2242,"und",0,351
"node","book",0,2245,2245,"und",0,351
"node","book",0,2245,2245,"und",1,357
"node","book",0,2245,2245,"und",2,381
"node","book",0,2245,2245,"und",3,384
"node","book",0,2246,2246,"und",0,376
"node","book",0,2246,2246,"und",1,380
"node","book",0,2246,2246,"und",2,381
"node","book",0,2246,2246,"und",3,384
"node","book",0,2247,2247,"und",0,351
"node","book",0,2247,2247,"und",1,357
"node","book",0,2247,2247,"und",2,380
"node","book",0,2247,2247,"und",3,381
"node","book",0,2247,2247,"und",4,384
"node","book",0,2248,2248,"und",0,351
"node","book",0,2248,2248,"und",1,357
