"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_series_part_value
"node","book",0,1970,1970,"und",0,1
"node","book",0,2007,2007,"und",0,1
"node","book",0,2047,2047,"und",0,1
"node","book",0,2048,2048,"und",0,1
"node","book",0,2070,2070,"und",0,1
"node","book",0,2081,2081,"und",0,1
"node","book",0,2083,2083,"und",0,1
"node","book",0,2084,2084,"und",0,1
"node","book",0,2085,2085,"und",0,1
"node","book",0,2107,2107,"und",0,1
"node","book",0,2108,2108,"und",0,1
"node","book",0,2112,2112,"und",0,1
"node","book",0,2116,2116,"und",0,1
"node","book",0,2119,2119,"und",0,1
"node","book",0,2120,2120,"und",0,1
"node","book",0,2123,2123,"und",0,1
"node","book",0,2124,2124,"und",0,1
"node","book",0,2125,2125,"und",0,1
"node","book",0,2126,2126,"und",0,1
"node","book",0,2127,2127,"und",0,1
"node","book",0,2128,2128,"und",0,1
"node","book",0,2135,2135,"und",0,1
"node","book",0,2136,2136,"und",0,1
"node","book",0,2144,2144,"und",0,0
"node","book",0,2145,2145,"und",0,1
"node","book",0,2146,2146,"und",0,1
"node","book",0,2147,2147,"und",0,1
"node","book",0,2148,2148,"und",0,1
"node","book",0,2156,2156,"und",0,0
"node","book",0,2172,2172,"und",0,1
"node","book",0,2173,2173,"und",0,1
"node","book",0,2182,2182,"und",0,1
"node","book",0,2183,2183,"und",0,1
"node","book",0,2201,2201,"und",0,1
"node","book",0,2203,2203,"und",0,1
"node","book",0,2204,2204,"und",0,1
"node","book",0,2205,2205,"und",0,1
"node","book",0,2209,2209,"und",0,1
"node","book",0,2210,2210,"und",0,1
"node","book",0,2211,2211,"und",0,1
"node","book",0,2213,2213,"und",0,1
"node","book",0,2214,2214,"und",0,1
"node","book",0,2215,2215,"und",0,1
"node","book",0,2222,2222,"und",0,1
"node","book",0,2223,2223,"und",0,1
"node","book",0,2224,2224,"und",0,1
"node","book",0,2225,2225,"und",0,1
"node","book",0,2226,2226,"und",0,1
"node","book",0,2228,2228,"und",0,1
"node","book",0,2229,2229,"und",0,1
"node","book",0,2241,2241,"und",0,1
"node","book",0,2243,2243,"und",0,1
"node","book",0,2245,2245,"und",0,1
"node","book",0,2246,2246,"und",0,1
"node","book",0,2247,2247,"und",0,1
"node","book",0,2261,2261,"und",0,1
"node","book",0,2267,2267,"und",0,0
"node","book",0,2268,2268,"und",0,1
"node","book",0,2269,2269,"und",0,1
"node","book",0,2276,2276,"und",0,1
"node","book",0,2286,2286,"und",0,1
"node","book",0,2288,2288,"und",0,1
"node","book",0,2290,2290,"und",0,1
"node","book",0,2291,2291,"und",0,1
"node","book",0,2295,2295,"und",0,1
"node","book",0,2296,2296,"und",0,1
"node","book",0,2297,2297,"und",0,1
"node","book",0,2298,2298,"und",0,1
"node","book",0,2299,2299,"und",0,1
"node","book",0,2319,2319,"und",0,1
"node","book",0,2326,2326,"und",0,1
"node","book",0,2327,2327,"und",0,1
"node","book",0,2328,2328,"und",0,1
"node","book",0,2329,2329,"und",0,1
"node","book",0,2330,2330,"und",0,1
"node","book",0,2331,2331,"und",0,1
"node","book",0,2332,2332,"und",0,1
"node","book",0,2333,2333,"und",0,1
"node","book",0,2334,2334,"und",0,1
"node","book",0,2335,2335,"und",0,1
"node","book",0,2341,2341,"und",0,1
"node","book",0,2342,2342,"und",0,1
"node","book",0,2347,2347,"und",0,1
"node","book",0,2348,2348,"und",0,1
"node","book",0,2349,2349,"und",0,1
"node","book",0,2350,2350,"und",0,1
"node","book",0,2351,2351,"und",0,1
"node","book",0,2387,2387,"und",0,1
"node","book",0,2388,2388,"und",0,1
"node","book",0,2389,2389,"und",0,1
"node","book",0,2390,2390,"und",0,1
"node","book",0,2401,2401,"und",0,1
"node","book",0,2416,2416,"und",0,1
"node","book",0,2417,2417,"und",0,1
"node","book",0,2418,2418,"und",0,1
"node","book",0,2421,2421,"und",0,1
"node","book",0,2422,2422,"und",0,1
"node","book",0,2453,2453,"und",0,1
"node","book",0,2454,2454,"und",0,1
"node","book",0,2455,2455,"und",0,1
"node","book",0,2456,2456,"und",0,1
"node","book",0,2457,2457,"und",0,1
"node","book",0,2474,2474,"und",0,1
"node","book",0,2475,2475,"und",0,1
"node","book",0,2476,2476,"und",0,1
