"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_sources_exist_value
"node","book",0,1952,1952,"und",0,1
"node","book",0,1954,1954,"und",0,1
"node","book",0,1956,1956,"und",0,1
"node","book",0,1976,1976,"und",0,1
"node","book",0,1982,1982,"und",0,1
"node","book",0,1988,1988,"und",0,1
"node","book",0,1994,1994,"und",0,1
"node","book",0,1997,1997,"und",0,1
"node","book",0,1998,1998,"und",0,1
"node","book",0,1999,1999,"und",0,1
"node","book",0,2000,2000,"und",0,1
"node","book",0,2008,2008,"und",0,1
"node","book",0,2013,2013,"und",0,1
"node","book",0,2022,2022,"und",0,1
"node","book",0,2025,2025,"und",0,1
"node","book",0,2026,2026,"und",0,1
"node","book",0,2050,2050,"und",0,1
"node","book",0,2068,2068,"und",0,1
"node","book",0,2073,2073,"und",0,1
"node","book",0,2075,2075,"und",0,1
"node","book",0,2078,2078,"und",0,1
"node","book",0,2079,2079,"und",0,1
"node","book",0,2086,2086,"und",0,1
"node","book",0,2107,2107,"und",0,1
"node","book",0,2108,2108,"und",0,1
"node","book",0,2109,2109,"und",0,1
"node","book",0,2116,2116,"und",0,1
"node","book",0,2121,2121,"und",0,1
"node","book",0,2125,2125,"und",0,1
"node","book",0,2126,2126,"und",0,1
"node","book",0,2135,2135,"und",0,1
"node","book",0,2136,2136,"und",0,1
"node","book",0,2142,2142,"und",0,1
"node","book",0,2156,2156,"und",0,1
"node","book",0,2161,2161,"und",0,1
"node","book",0,2162,2162,"und",0,1
"node","book",0,2165,2165,"und",0,1
"node","book",0,2169,2169,"und",0,1
"node","book",0,2171,2171,"und",0,1
"node","book",0,2174,2174,"und",0,1
"node","book",0,2175,2175,"und",0,1
"node","book",0,2190,2190,"und",0,1
"node","book",0,2191,2191,"und",0,1
"node","book",0,2193,2193,"und",0,1
"node","book",0,2195,2195,"und",0,1
"node","book",0,2201,2201,"und",0,1
"node","book",0,2209,2209,"und",0,1
"node","book",0,2211,2211,"und",0,1
"node","book",0,2234,2234,"und",0,1
"node","book",0,2249,2249,"und",0,1
"node","book",0,2255,2255,"und",0,1
"node","book",0,2271,2271,"und",0,1
"node","book",0,2273,2273,"und",0,1
"node","book",0,2274,2274,"und",0,1
"node","book",0,2299,2299,"und",0,1
"node","book",0,2300,2300,"und",0,1
"node","book",0,2303,2303,"und",0,1
"node","book",0,2304,2304,"und",0,1
"node","book",0,2312,2312,"und",0,1
"node","book",0,2314,2314,"und",0,1
"node","book",0,2319,2319,"und",0,1
"node","book",0,2324,2324,"und",0,1
"node","book",0,2333,2333,"und",0,1
"node","book",0,2337,2337,"und",0,1
"node","book",0,2343,2343,"und",0,1
"node","book",0,2344,2344,"und",0,1
"node","book",0,2354,2354,"und",0,1
"node","book",0,2359,2359,"und",0,1
"node","book",0,2367,2367,"und",0,1
"node","book",0,2375,2375,"und",0,1
"node","book",0,2379,2379,"und",0,1
"node","book",0,2382,2382,"und",0,1
"node","book",0,2383,2383,"und",0,1
"node","book",0,2384,2384,"und",0,1
"node","book",0,2385,2385,"und",0,1
"node","book",0,2395,2395,"und",0,1
"node","book",0,2399,2399,"und",0,1
"node","book",0,2404,2404,"und",0,1
"node","book",0,2431,2431,"und",0,1
"node","book",0,2453,2453,"und",0,1
"node","book",0,2454,2454,"und",0,1
"node","book",0,2455,2455,"und",0,1
"node","book",0,2457,2457,"und",0,1
"node","book",0,2462,2462,"und",0,1
"node","book",0,2463,2463,"und",0,1
"node","book",0,2465,2465,"und",0,1
"node","book",0,2470,2470,"und",0,1
"node","book",0,2478,2478,"und",0,1
