"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_sources_not_mentioned_value
"node","book",0,2022,2022,"und",0,1
"node","book",0,2066,2066,"und",0,1
"node","book",0,2073,2073,"und",0,1
"node","book",0,2076,2076,"und",0,1
"node","book",0,2082,2082,"und",0,1
"node","book",0,2126,2126,"und",0,1
"node","book",0,2136,2136,"und",0,1
"node","book",0,2150,2150,"und",0,1
"node","book",0,2195,2195,"und",0,1
"node","book",0,2204,2204,"und",0,1
"node","book",0,2207,2207,"und",0,1
"node","book",0,2234,2234,"und",0,1
"node","book",0,2243,2243,"und",0,1
"node","book",0,2265,2265,"und",0,1
"node","book",0,2287,2287,"und",0,1
"node","book",0,2314,2314,"und",0,1
"node","book",0,2354,2354,"und",0,1
"node","book",0,2395,2395,"und",0,1
"node","book",0,2399,2399,"und",0,1
"node","book",0,2404,2404,"und",0,1
"node","book",0,2422,2422,"und",0,1
"node","book",0,2425,2425,"und",0,1
"node","book",0,2453,2453,"und",0,1
"node","book",0,2456,2456,"und",0,1
"node","book",0,2457,2457,"und",0,1
