"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_sources_not_mentioned_list_value","field_sources_not_mentioned_list_format"
"node","book",0,2022,2022,"und",0,"Immanuel Kant: Kritik der reinen Vernunft.","filtered_html"
"node","book",0,2066,2066,"und",0,"Saadja: Emunot we-deot.

Moses Maimonides: Führer der Unschlüssigen.","filtered_html"
"node","book",0,2076,2076,"und",0,"Edward Young, Night Thoughts","filtered_html"
"node","book",0,2150,2150,"und",0,"מטסטסיו

רמח\"ל: לישרים תהלה.","filtered_html"
"node","book",0,2234,2234,"und",0,"רמח\"ל: לישרים תהלה.

Shakespeare, שקספיר:מקבת.","filtered_html"
"node","book",0,2243,2243,"und",0,"לפונטיין","filtered_html"
"node","book",0,2265,2265,"und",0,"Edward Young: Night Thoughts","filtered_html"
"node","book",0,2287,2287,"und",0,"John Locke, לוק.

Hermann Samuel Reimarus, ריימרוס: Vernunftlehre.","filtered_html"
"node","book",0,2314,2314,"und",0,"Voltaire, וולטר","filtered_html"
"node","book",0,2354,2354,"und",0,"ברוך לינדא: ראשית לימודים","filtered_html"
"node","book",0,2395,2395,"und",0,"מנדלסון מרבה לצטט את \"כתבי דברי הימים\", אם כי אין הוא מפרש את מקורותיו.","filtered_html"
"node","book",0,2399,2399,"und",0,"וייזל, נפתלי הירץ, Wessely, Hartwig: שירי תפארת","filtered_html"
"node","book",0,2404,2404,"und",0,"J. G. Herder, הרדר: Abhandlung ueber den Ursprung der Sprache","filtered_html"
"node","book",0,2422,2422,"und",0,"מושענבראק (החוקר ההולנדי)","filtered_html"
"node","book",0,2425,2425,"und",0,"Alexander Pope, אלכסנדר פופ","filtered_html"
"node","book",0,2453,2453,"und",0,"קלופשטוק: Messiade.

Herder, הרדר: Vom Geist der Hebräischen Poesie.","filtered_html"
"node","book",0,2456,2456,"und",0,"קלופשטוק: Messiade.

Herder, הרדר: Vom Geist der Hebräischen Poesie.","filtered_html"
"node","book",0,2457,2457,"und",0,"קלופשטוק: Messiade.

Herder, הרדר: Vom Geist der Hebräischen Poesie.","filtered_html"
