"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_sources_not_mentioned_ref_value","field_sources_not_mentioned_ref_format"
"node","book",0,2066,2066,"und",0,"Alexander: Schriften, 1998, S. 38.","filtered_html"
"node","book",0,2076,2076,"und",0,"קלוזנר 1930, 257; קלוזנר (1930, 259)מציין מקורות נוספים להשפעה על פפנהיים בסיפרו זה: ג'ון לוק ועמנואל קאנט","filtered_html"
"node","book",0,2126,2126,"und",0,"פרידלנדר, הסטירה, עמ' 77.","filtered_html"
"node","book",0,2136,2136,"und",0,"Zitat eines \"Meisters in der Erziehungskunst\" auf S. 160-162.","filtered_html"
"node","book",0,2150,2150,"und",0,"לחובר, א'; קלוזנר, א', 310

שמותיהן של הדמויות במחזה הינם בחלקם תרגום מאיטלקית: נוגה היא ונוס, חשק - קופידון, עושר - פורטונה, חוסן - קונסטאנסיה. השאר שמות עבריים: צדק, תפארת, תקוה, שלום.","filtered_html"
"node","book",0,2195,2195,"und",0,"סוף ההקדמה כותב המחבר: \"יסלח לי הקורא, כי לא שמתי לפניו שמות המחקרים אשר ממבועיהם שתיתי, ומגנם לקטתי איזה משפטי השכל אשר עליהם הוסדו המופתים הנמצאים במכתב הזה. יען אמרתי דברי נוספות כאלה לא יועילו ליודעי מעיני החכמה...\"","filtered_html"
"node","book",0,2204,2204,"und",0,"<p>מביא מידע מתוך \"ספרי מסעות\" המתארים כיצד נוהגים בהודו באישה אלמנה, ומשווה עם הייבום כפי שדורשו התורה.</p>
","filtered_html"
"node","book",0,2207,2207,"und",0,"לטענת נותן ההסכמה, פירושיו של המחבר למילים \"מיוסדים על אדני הקודש אשר בית ישראל נשען עליהם והם פירושי תנ\"כ למאורי הגולה רש\"י והראב\"ע והרד\"ק ז\"ל אשר המחבר הנ\"ל בקי בהן\".","filtered_html"
"node","book",0,2234,2234,"und",0,"שקד, מבוא, עמ' 17 - 21.

ראו דיון בדבר ה\"השפעות\" השונות על האפרתי בעת כתיבת המחזה בתוך: שקד, מבוא, עמ' 17 והלאה (כולל סיכום של דיונים קודמים ע\"י חוקרים אחרים). שקד  מציין שם מקורות השראה אפשריים נוספים, כגון שילר, גתה. (בעקבות דיונים מעין אלה, שביט, בעלות השחר, עמ' 45, מציין כי היצירה מצטיירת כ\"אנציקלופדיה של השפעות\").","filtered_html"
"node","book",0,2287,2287,"und",0,"בור, ז'אנר המוסר, עמ' 58, 60.

לפי בור, <ins>ז'אנר המוסר</ins>, תפיסותיו של לוק בנוגע ל- 
mind
ולתפיסת הרעיונות מוצאות ביטוי בספר המידות לוייזל.
הוא גם מצביע על הקבלה מסוימת בין ספרו של וייזל לבין ספרו של ריימרוס:
Wessely begins his ''Sefer Hamidot'' on similar lines to Reimarus…, by stressing that, unlike animals, man is a social being who does not concern himself simply with the pleasures of the moment but with future goods, and the desire to attain ever greater perfection.","filtered_html"
"node","book",0,2314,2314,"und",0,"פרידלנדר, הסטירה, עמ' 77.

פרידלנדר, הסטירה, עמ' 77, כותב: \"אין בידי ראיות של ממש על מידת בקיאותו של שאול לוין-ברלין בכתבי וולטר, ואיני יודע אם קראם במקור, אולם יש בהחלט מקום להערה זהירה כי יש בסאטירה של שאול לוין-ברלין לא מעט מאמצעי ההבעה הסאטיריים המאפיינים את כתיבתו של וולטר בכתבי הפלסתר שלו\". 

רפאל מהלר מכנה את שאול ברלין: \"וולטר היהודי היושב על כסא הרבנות\" (פרידלנדר, הסטירה, עמ' 77).","filtered_html"
"node","book",0,2354,2354,"und",0,"ראו הרחבה באצבע בחלונית זו","filtered_html"
"node","book",0,2399,2399,"und",0,"המחבר מסביר את יתרון השימוש במליצה וההמחזה, כשהוא משתמש ברעיונות המופיעים ב<ins>שירי תפארת</ins> של וייזל. כך למשל: \"דבר הוא נודע ליודעים חין(?) וערך המליצה, משכילי ומביני מדע; שכל דבר אשר יפעול בנו באמצעית [כך] החושים, יותר חזקה מפעולת הדבר שיפעול בנו באמצעית העיון\" (עמ' [4]).","filtered_html"
"node","book",0,2404,2404,"und",0,"מכמן, דוד פרידריכספלד, עמ' 162, רואה בדבריו על הערצת הלשון הדים לרעיונותיו של הרדר.","filtered_html"
"node","book",0,2422,2422,"und",0,"דף ד'","filtered_html"
"node","book",0,2425,2425,"und",0,"קלויזנר, א', עמ' 310.","filtered_html"
"node","book",0,2453,2453,"und",0,"קלויזנר, א', עמ' 137 - 138
שאנן, א', עמ' 64 והלאה

קלויזנר, בהתבססו על מייזל (Wolf Aloys Meisl, Leben und Wirken Naphtali Hartwig Wesselys, Breslau 1841), משער ש\"וויזל נתעורר לכתוב אפופיאה כזו על-ידי הרדר. ואמנם, דבריו של הרדר בנידון זה כאילו קוראים לוויזל לחבר חיבור מעין 'שירי תפארת'. בחיבורו הגדול 'על רוח השירה העברית'...שיצא בשנות 1782 - 1783, כשנתיים קודם שניגש וויזל לכתיבתם של 'שירי תפארת' - אומר הרדר כדברים הללו: 'תמהני, שלמרות מה שכבר יש בלשוננו כמה וכמה שירי-גיבורים בעלי תוכן עברי, עדיין אין לנו אפופיאה על משה...' \"

מקור נוסף שקלויזנר מציין הוא ה\"מסיאד\" של קלופשטוק, ומוסיף כי \"בכלל נתרבו בדור-ההשכלה בגרמניה היצירות המיוסדות על נושאים מן התנ\"ך... ביחוד נתרבו אז היצירות העוסקות באבות התנ\"כיים\".","filtered_html"
"node","book",0,2456,2456,"und",0,"קלויזנר, א', עמ' 137 - 138","filtered_html"
"node","book",0,2457,2457,"und",0,"קלויזנר, א', עמ' 137 - 138","filtered_html"
