"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_subscribers_notes_value","field_subscribers_notes_format"
"node","book",0,1991,1991,"und",0,"בהקדמה לקס מזכיר סובסקריבנטים שאת שמותיהם התכוון לפרסם בכרך שני (לא ברור אם יש כזה)
ס.ל.","filtered_html"
"node","book",0,2002,2002,"und",0,"רשימת חותמים הכוללת בשמות לא יהודים רבים. גם שם שני שמות של נשים:
Dem. Henriette Hirschen, in Schoenebeck;
Dem. Wilhelmine Schaefer, in Schoenebeck","filtered_html"
"node","book",0,2079,2079,"und",0,"רשימת חתומים - 3 עמ' - יש להעתיק !!

לפני רשימת השמות, מסביר המביא לדפוס כי הוא לא הסכים \"לעכב מלאכת הדפוס עד כנוס כל החתומים וגם לא רשמתי פה רק אלה שמות אשרר שלחו את ידם טרם כלות הספר והבאים אחריהם אם שמם פה נעלמים אל ירע בעיניהם\".

לדברי קסטנברג-גלדשטיין, יהודים בארצות בוהמיה, עמ' 161, רשימת החותמים תושבי פראג מצביעה על העניין שגילו יהודי הקהילה בספר מעין זה. לטענתה, לא רק יהודים המוכרים לנו מתולדות ההשכלה, אלא גם אישים שהיו פעילים בתחום הכלכלה והפוליטיקה. לדבריה (עמ' 161):
\"Das bedeutet, daß Baruch Jeitteles und Israel Landau, die Wortführer der Prager Aufklärung in den neunziger Jahren, nich isoliert waren, sondern sich auf eine Peripherie von aktiv Interessierten, meist aus den gehobenen Schichten, stützen konnten.\"","filtered_html"
"node","book",0,2116,2116,"und",0,"<ins>Subscribers</ins>:


(Berlin) אבר ליב חלומניץ

(Kassel) אברהם

(Prague) אברהם דושניס

(Königsberg) אברהם דרעזדן

(Amsterdam)אברהם ירושלמי

(Berlin) אברהם צילץ

(Vienna) אברהם ראנשבורג

(פו\"מ, Berlin) אברהם שטעליץ

(Berlin) אברהם שלאחוב

(Berlin) אברם ב\"ר משולם

(Berlin) אהרון האללי

(Prague) אהרן בער קוטנפלוין

(Berlin) אהרן צבי

(Berlin) אולמן (אולמא), משה בר\"י

ungenannte, אונדגנאנטי (Vienna)

(Königsberg) אופנהיים, זיסקינד ובניו

(Königsberg) איגר, חיים

(Königsberg) איגר, קאפל

(Bleicherode) איזק איממנראדי

(Bleicherode) איזק בלייכראדי

(Berlin) איזק פ\"ד

(Berlin) אייזק בר\"נ ה\"ש

(Berlin) אייזק דעסויא

(Berlin) איסור ניקלשבורג

(Potsdam) איצק א\"ה

(Berlin) איצק בר\"מ מליסא

(Potsdam) איצק ה\"ס

(Halberstadt) איצק מעלהויזן

קרעפעלד (פו\"מ), איצק

(Berlin) אלחנן ברי\"ל

(Berlin) אלי' צבי

(Königsberg) אליה קארנויא

(Amsterdam) אמרספורט, בנימין

(Berlin) אנשיל עשווא

(Vienna) אנשל יעסניץ

(Berlin) אסתר אשת ר\"ל כהן

(Hamburg) אפטרויד, ליב

(Hamburg) אפפנהיים,אלי'

(Berlin) אפרים וויימאר

(Berlin) אפרים פרידלאנד

(Vienna) ארנשטיין, בילקה

(Vienna) ארנשטיין, דוד

Arnstein, Natan von, ארנשטיין, נתן (Vienna)

Arnstein, Franziska (Fanny) von, ארנשטיין, פעגלכה (Vienna)

(Nancy) ארשל, בער

(Amsterdam) אשר בר\"א בר\"פ

(Breslau) בארטנשטיין, הירש

(Prague) בארייט, דוד

(Amsterdam) בארקי, לוי

(Berlin) בונם ברא\"ד

(Berlin) בורכארד, אסתר

(Berlin) בורכארד, האנכי

(Berlin) בילכה בת ר' דניאל

(Berlin) הירץ בינג

(Amsterdam) בינג, משה רייז

(Amsterdam) בינגר, זלמן

(Amsterdam) חיים בינגר

(Amsterdam) בינגר, ישיע

(Berlin) בנימן וואלף

(Berlin) בעהם, משה

(Berlin) בענדיט נייאבורג

(Königsberg) בענדיט צעמפלבורג

(Prague) בענדיט קוטנפלוין

(Berlin) בער דעסויא

(Königsberg) בער המבורג

(Dessau) בער כ\"ץ

(Dessau) בער מ\"ס

(Amsterdam) בער קליף בניימעגן

(Königsberg) בערמן ב\"ר זעליגמן מק\"ב

(Königsberg) בערנהארד, מאיר

(Berlin) בערנהארד, משה

(Prague) בראנדאייס, נפתלי

(Vienna) ברוך ווייסוויילר

(Strasbourg) ברוך מעדלסהיים

(Breslau) ברוך פ\"פ

(Berlin) ברוך קעסלין

Löwe, Joel, ברי\"ל, יואל (Berlin)

(Breslau) גאטטינר, אברהם

(Breslau) גאטטינר, יעקב

(Berlin) גאלדי בר\"ב בורג

(Berlin) גבריאל גבר

(Amsterdam) געטטינגן, משה

(Hamburg) געטשליק בר\"ש ה\"ש

(Vienna) געץ פראנקפורט

(Königsberg) גראף, יאקב

(Stralsund) גרשון ל\"ב

(Königsberg) דבורה פרידברג

(Königsberg) דוד בר\"א משאטלאנד

(Königsberg) דוד בר\"י

(Königsberg) דוד בר\"ל וועלויא

(Königsberg) דוד בר\"ש האללי

(Königsberg) דוד צעמפלבורג

(Berlin) דוד ק\"ב

(Hamburg) דייארן, זלמן

(Vienna) דעווידלס, שמואל

(Berlin) דעסויא, זלמן

(Berlin) דעסערי, יעקב

(Frankfurt am Main) האדנה, וואלף

(Hamburg) האהן, בער

(Frankfurt am Main) האז, זנוויל

(Frankfurt am Main) האז, ליב

(Frankfurt am Main) האז, לימא

(Hamm) האס (פו\"מ המדינה), אנשיל

(Königsberg) היילבוט, אפרים

(Königsberg) הינדא האללי

(Hamburg) (הירץ (האחים

(Strasbourg) מעדלסהיים (פו\"מ), הירץ

(Berlin) הירץ קליף

(Königsberg) הירש מינדן בק\"ב

(Bleicherode) הירש מעלהויזן

(Stralsund) הירש פ\"מ

(Copenhagen) הירש פרידלאנד

(Halberstadt) הירש קעסלין בה\"ש

הירש קרעפעלד

(Berlin) הירש ראטנויא

(Hamburg) הלבוט, איצק

(Berlin) המבר, געללה

(Amsterdam) הנובר, נחמה 

(Berlin) איצק העלפט

(Berlin) געטשליק העלפט

(Berlin) העלפט, יטכה

(Braunschweig) העלפט, נתן

(Prague) הענך קוטנפלוין

(Hamburg) העקשר, אברהם

(Frankfurt am Main) וואלך, איזק

(Hechingen) וואלף

(Prague) וואלף איידלין מלין

(Königsberg) וואלף באמבערג בק\"ב

(Krossen an der Oder) וואלף בר\"י

(Frankfurt am Main) וואלף ברייטנבאך

(Berlin) וואלף האללי

(Dessau) וואלף מ\"ס

(Dessau) וואלף סג\"ל

(Berlin) וואלף שטרעליץ

(Hamburg) וואלף, זלמן

(Breslau) (Dr. med.) ווארבורג

(Berlin) וויזל, יואל

(Frankfurt am Main) ווייל, ליב

Wiener, Moses, ווינר (לעהרר אן דער נארמאל שולי), משה (Prague)

(Vienna) דוד ווערטהיים

(Vienna) ווערטהיים, זלמן

(Vienna) יוזיל ווערטהיים

Wessely, Moses, וייזל, משה (Hamburg)

(Berlin) זאקס, יואל

(Halberstadt) זיסל אסטראדע בה\"ש

(Berlin) זלמם ק\"ב

(Lissa) זלמן ב\"ר דוד

(Berlin) זלמן וויצנהויזן

(Potsdam) זלמן ליסא בפ\"ד

(Stralsund) זנוויל בר דוד

(Bleicherode) זעליג ב\"ר

(דאקטאר, Königsberg) זעליגא

(Königsberg) זעליגמן בר\"י בק\"ב

חיים אנראט

(Berlin) חיים בר\"א בר\"פ

(Prag) חיים ברעזניץ

(Vienna) חיים לייטרסדארף

(Strasbourg) חיים מארבורג

(Königsberg) חיים מפרידלאנד

(בחורי חמד, Prag) חיים משה מאשלש

(Vienna) חיים קוטנפלוין

(Berlin) חלפן, דניאל בר'ש

(Berlin) חלפן, וואלף בר\"ש

(Berlin) חלפן, ליב בר\"ש

(Strasbourg) חלפן, משה

(גובה, Berlin) חלפן, מ' בר''ש

(Berlin) חלפן, שמואל בר\"ש

(Berlin) חלפן, שפרינצכה

(Berlin) טויסק, ברוך

(Berlin) טויסק, ליב

(פו\"מ, Berlin) טויסק, ליפמן

(Krossen an der Oder) טעבלי בר\"י מקראסן

(Prag) אהרן בער יאס

(Prag) יאס, שמעון

(דאקטער, Königsberg) יאעל בק\"ב

(Berlin) יאקב בר\"א קעסלין

(Sulechów) יאקב בר\"ה

(Berlin) יאקב ברא\"ד

(Berlin) יאקב בר\"ד

(Hamburg) יאקב ל\"ב

(Königsberg) יהודה ליב באמבערג

(Berlin) יואל האללי

(Berlin) יוזל שווא

(Frankfurt) יוזפא מ\"ז

(Berlin) יוזפא מינדן

(Berlin) יוזפא שווארצבורג

(Breslau) יונה ביראווי

(Vilnius) יוסף בר אליה

(Berlin) יוסף בר\"י בר\"א

(Berlin) יוסף נייאבורג

(Königsberg) יוסף נייאמארק בק\"ב

(הרופא, Berlin) יוסף פליס

יוקלי געלדרן

(Berlin) יחזקאל פרענצלויא

(Vienna) יטול הילדסהיים

(Berlin) יידל ק\"ב

(הרופא, Prag) ייטולס, יונה

(Berlin) יעקב בר\"מ ה\"ש

(Frankfurt am Main) יעקב ווירמס

(Dessau) יעקב מיץ

(Frankfurt am Main) יעקב מערגנדהיים

(Berlin) יפה, בונם בן פו\"מ דניאל

Itzig (Oberlandesältester), Daniel (Jaffe), יפה, דניאל (Berlin)

(Breslau) יפה, זעליג

(Prag) יקותיאל אין איגר

(Berlin) ירמי' בר\"י

(Dessau) ירמיה קאנטר

(Potsdam) ישראל בר\"ל

(Vienna) ישראל קוטנפלוין

(Strasbourg) כהן, אברהם

(Potsdam) כהן, איצק

(Berlin) כהן, יוטל בת ר\"ל

(Berlin) כהן, ליב

(Berlin) כהן, מייכה בר\"ל

(Strelitz) כהן, נתן

(פו\"מ, Frankfurt /Oder) כץ, ליב

(Amsterdam) לוי, אברהם

(Berlin) לוי, ירמי

(Berlin) לוי, משה

(Prag) לוי, שמואל

(Greifswald) ליב

(הרופא, Vienna) ליב

(Berlin) ליב ב\"ר פתחיה

(Berlin) ליב ברעסלויא

(Dessau) ליב גרעבציג

(Berlin) ליב דעסויא

(Königsberg) ליב וועלויא

(Frankfurt am Main) ליב חר\"זץ

(Vienna) ליב לייטרסדארף

(Berlin) ליב ליסא

(Vienna) ליב נייאמעגן

(Kassel) ליב פופרט

ליב קרעפעלד

(Königsberg) ליב שטאטהאגן

(Strelitz) ליזר

(Berlin) ליזר בישיטץ

(Prag) ליזר דושניס

(Berlin) ליזר קראטשין

(Vienna) ליזר ראדניץ

(Königsberg) ליזר שאטלאנד

(Berlin) ליפמן לאנדסקראן

(Strasbourg) ליפמן מעדלסהיים

(Königsberg) ליפשיץ, זעליג

(Königsberg) לעוואנטיץ, יעקב

(Breslau) לעמאס, הערצל

(Frankfurt am Main) לעמלי באמבערג

(Berlin) לעקיש וורבורג

(Königsberg) מאדל האמבורג

(Königsberg) מאיר גורי

(Königsberg) מאיר היידלבערג

(Berlin) מאיר ווארבורג

(Prag) מאיר וועליוא

(Prag) מאיר טושקא

(Breslau) מאיר עלס

(Breslau) מאיר פירדא

(Dessau) מאיר פיורדא

(Vienna) מאיר קוטנפלוין

(Prag) מאיר ראקניץ

(Hagenau) מאך, אברהם

(Breslau) מארקוס, וואלף

(Strasbourg) מוציך, מאיר

(Berlin) מיילכה אשת ר\"ל בר\"ג

(Vienna) מיינדל דאברישקין

(Braunschweig) מיכל ה\"ש

(Stralsund) מכאל ל\"ב

(Stralsund) מל, אהרן בר\"מ

Mendelssohn, Moses, מנדלסון, משה (Berlin)

(Königsberg) מענדל בר\"א בק\"ב

(Königsberg) מענדל בר\"ש ברלין

(Königsberg) מענדל ברעסלוי בק\"ב

(Dessau) מענדל דסעסויא

(Stralsund) מענדל מייסלינג

(Prag) מענדל פראטיווין

(Amsterdam) מערצבאך, יעקב

(Königsberg) מרדכי בר\"א

(Vienna) מרדכי וויסבאדן

(Königsberg) מרדכי וועלי בק\"ב

(Strasbourg) מרדכי מעדלסהיים
 
(Königsberg) מרדכי צעמפלבורג

(Potsdam) מרדכי ראטנויא

(Anklam) משה

(Dresden) משה ב\"ר מאיר

(Halle) משה בעוורינג

(Königsberg) משה בר\"ז

(Potsdam) משה בר\"ל

(Strelitz) משה בר\"ל גלויגא

(Berlin) משה דאנציג

משה העכים

(Berlin) משה זלאטווי

(Berlin) משה ליב

(Stralsund) משה מייסלינג

(Königsberg) משה מעמל

(Breslau) משה פלעס

(Königsberg) משה פרידבורג

(Vienna) משה קוטנפלוין

קרעפעלד (פו\"מ), משה

(Königsberg) נחום ק\"ב

(Königsberg) נטע בר\"י

(Breslau) נטע רייכנבאך

(Vienna) נס, איצק

(Potsdam) נתן בר\"ל

(Greifswald) נתן ל\"ב

(Dessau) נתן מ\"ס

(Strasbourg) נתנאל בוסוויילר

(Berlin) נתנאלבר\"מ ה\"ב

(Königsberg) סג\"ל, אשר

(Potsdam) סג\"ל, בענדיט

(Strasbourg) סג\"ל, וואלף

(Strasbourg) סג\"ל, יוסף גרינשטאט

(Strasbourg) סג\"ל, ליב הנובר

(Potsdam) סג\"ל, ראובן

(Königsberg) סענדר שאטלאנד

(Berlin) עדל פאן האללי

(Breslau) עזריאל בר\"מ

(Berlin) עלקיש, יצחק

(Vienna) עשקלעס, בערש

(Potsdam) פאגל

(Berlin) פאהן, אלעזר

(פו\"מ , Berlin) ליפמן פאהן

(Amsterdam) פאלק, אברהם בר\"מ

(Amstersam) פאלק, זנוויל

(Frankfurt am Main) פאלק, יאקב בר\"מ

(Breslau) פאנאפקי, מענדל

(Hamburg) פאפפנהיים, אנשיל

(Stralsund) פויזנר, אבריל

(Stralsund) פויזנר, שמואל

(Köslin) פייבל ב\"ר משולם

(Königsberg) פייבש וויצנהויזן

(Frankfurt am Main) פייס עמדן

(Vienna) פיסלינג, יאכד

(Berlin) פירשט, בנימין

(The Hague) פליס, בער

(Königsberg) פנחס ב\"ר שמשון

(Berlin) פענקל, יחיאל

(Prague) פפאפר כ\"ץ, אברהם

(Berlin) פרומד אשת ר' הירש בר\"ן

(Königsberg) פרידלנדר, בערמן

(Berlin) אברהם פרידלענדר

(Königsberg) פרידלענדר, גאלדכה

Friedländer, David, פרידלענדר, דוד (Berlin)

(Königsberg) פרידלענדר, הינדא

Friedländer, Wolf, פרידלענדר, וואלף (Königsberg)

(Königsberg) פרידלענדר, זנוויל

(Königsberg) פרידלענדר, פינחס

(Breslau) פריינד, מלכה

(Berlin) פרעגר, איזק

(Amsterdam) פרעגר, דוד

(Prague) פרענקל, ברוך

(פרנס פרימוס, Prague) גבריאל פרענקל","filtered_html"
"node","book",0,2165,2165,"und",0,"רשימה ארוכה של חותמים מראש, בעיקר מברסלאו וכן מהמבורג ואלטונא.","filtered_html"
"node","book",0,2200,2200,"und",0,"רשימת חותמים מראש מופיעה בראש אוסף הכרכים של חמש מגלות","filtered_html"
"node","book",0,2201,2201,"und",0,"רשימת חותמים מראש כללית לחמשת הכרכים (ראו הערות בחלון \"חוקר ומקורותיו\").","filtered_html"
"node","book",0,2203,2203,"und",0,"רשימת חותמים בתחילת כל הכרכים.","filtered_html"
"node","book",0,2204,2204,"und",0,"<p class=\"rteleft\" dir=\"rtl\">רשימת חותמים מראש כללית לחמשת הכרכים (ראו חלון \"חוקר ומקורותיו\", הערות).</p>
","filtered_html"
"node","book",0,2205,2205,"und",0,"רשימת חותמים מראש מופיעה בראש אוסף הכרכים של \"חמש מגלות\" (ראו הערות בחלון \"חוקר ומקורותיו\").","filtered_html"
"node","book",0,2211,2211,"und",0,"רשימת חותמים ארוכה מופיעה בראש הספר 
(תוכנס בעתיד על ידי אורית)

בהקדמה ציין המחבר כי הוא קיבל מכתבים \"מאנשים נכבדים ממקומות שונות\", שחתמו על ספריו. הוא מציין אחד מהם בשמו: יעקב ב\"י ברוינשוייג המכונה הערר פרעזידענט יאקאבסזאהן, שאף בא לבקרו בבית סיפרו (הקדמת המחבר, עמ' 8).","filtered_html"
"node","book",0,2214,2214,"und",0,"אין רשימה בחלק זה של הספר, אך סטנוב מודיע: \"שמות הנדיבים אשר באו על החתום ואשר עוד יבואו יודפסו לשם ולתפארת בסוף החלק השלישי אם יגזור הש\"ית בחיים\". ואכן בסוף החלק השלישי מופיעה רשימת החותמים.","filtered_html"
"node","book",0,2224,2224,"und",0,"אין רשימת חותמים, אבל בעמוד האחרון של \"הסכמות וחרמות\" שבפתח הספר, מופיעים הדברים הבאים:
\"ויתר ההסכמו' מגאוני הזמן נר\"ו זא וויא דיא נאמן דער העררן סובסקריבענטן זאללן דען נעכסט פאלגענדן כרכים פאראנגעדרוקט ווערדן אי\"ה\".","filtered_html"
"node","book",0,2230,2230,"und",0,"ישנה רשימת חותמים ארוכה


List of subscribers:


Bamburger, S.A. (Frankfurt am Main)

Baruch, J. (Frankfurt am Main)

Baruch, S.J. (Frankfurt am Main)

Baschwitz, B.M. (Rödelheim)

Becker, E. (Rödelheim)

Beer, J.H. (Berlin)

Bendavid, Lazarus, בנדוד, לצרוס (Berlin)

Benkard (Pfarrer, Frankfurt am Main)

Berend, Samuel Bacher (Potsdam)

Beschütz, A.Ph. (Berlin)

Beyfus, S.L. (Frankfurt am Main)

