"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_tel_aviv_library_id_value","field_tel_aviv_library_id_format"
"node","book",0,1959,1959,"und",0,"933.5(42) ALE",NULL
"node","book",0,1961,1961,"und",0,"933.5(44) HOU - Mehlman",NULL
"node","book",0,1964,1964,"und",0,"אוסף יפה  892.418 פרי (וול)",NULL
"node","book",0,2001,2001,"und",0,"492.45=3 ROM (Mehlman)",NULL
"node","book",0,2018,2018,"und",0,"933.5 (42) VAN",NULL
"node","book",0,2076,2076,"und",0,"Univ. Tel Aviv, Slg. Jaffe: 892.48 פפנ",NULL
"node","book",0,2080,2080,"und",0,"מהלמן 296.3116 סטנ",NULL
"node","book",0,2083,2083,"und",0,"CR   492.42 בן-ז",NULL
"node","book",0,2084,2084,"und",0,"CR  492.42 בן-ז",NULL
"node","book",0,2085,2085,"und",0,"CR  492.42 בן-ז",NULL
"node","book",0,2091,2091,"und",0,"(חלק עברי בלבד) מהלמן:ויל (תפל) 296.3197",NULL
"node","book",0,2094,2094,"und",0,"לוצ 892.412  - אוסף יפה",NULL
"node","book",0,2106,2106,"und",0,"492.45 לוי CT",NULL
"node","book",0,2110,2110,"und",0,"Univ. Tel Aviv, Slg. Jaffe ריז892.412",NULL
"node","book",0,2119,2119,"und",0,"492.44ויז-CT",NULL
"node","book",0,2120,2120,"und",0,"492.44ויז-CT",NULL
"node","book",0,2123,2123,"und",0,"מהלמן: 296.19 סטנ",NULL
"node","book",0,2130,2130,"und",0,"דוד 181.4",NULL
"node","book",0,2152,2152,"und",0,"892.418 הלו (אוסף יפה)",NULL
"node","book",0,2154,2154,"und",0,"(492) 296.351 תפל (יצח), אוסף יפה",NULL
"node","book",0,2158,2158,"und",0,"CT     224.37 תנך (זאב)",NULL
"node","book",0,2164,2164,"und",0,"מהלמן 892.4113 שלמ",NULL
"node","book",0,2165,2165,"und",0,"ספר (בן-ז) 229.4    CT",NULL
"node","book",0,2171,2171,"und",0,"892.42 ברז",NULL
"node","book",0,2172,2172,"und",0,"492.44פפנ",NULL
"node","book",0,2173,2173,"und",0,"492.44פפנ",NULL
"node","book",0,2176,2176,"und",0,"מהלמן: 892.418 פול",NULL
"node","book",0,2178,2178,"und",0,"221.14פדר - מהלמן",NULL
"node","book",0,2185,2185,"und",0,"לוצ  812.412 - אוסף יפה",NULL
"node","book",0,2189,2189,"und",0,"943.603יוס(לעב)-מהלמן",NULL
"node","book",0,2196,2196,"und",0,"221.1 בן-ז  - CT",NULL
"node","book",0,2200,2200,"und",0,"224.87=3 תנך (וול)",NULL
"node","book",0,2202,2202,"und",0,"CR סוראסקי  296.41 סטנ",NULL
"node","book",0,2207,2207,"und",0,"492.433אור-מהלמן",NULL
"node","book",0,2218,2218,"und",0,"879.1שלר",NULL
"node","book",0,2219,2219,"und",0,"מהלמן 892.4116עמנ",NULL
"node","book",0,2220,2220,"und",0,"296.127 הור - CT",NULL
"node","book",0,2230,2230,"und",0,"892.412 מהלמן: כהן",NULL
"node","book",0,2234,2234,"und",0,"892.42 האפ (אוסף יפה)",NULL
"node","book",0,2237,2237,"und",0,"CR  892.48 סטנ",NULL
"node","book",0,2243,2243,"und",0,"892.412 כהן",NULL
"node","book",0,2245,2245,"und",0,"892.48 סטנ (359242)",NULL
"node","book",0,2252,2252,"und",0,"Univ. Tel Aviv, Slg. Mehlmann: תפל  296.31531",NULL
"node","book",0,2261,2261,"und",0,"מהלמן 296.41 יהו",NULL
"node","book",0,2263,2263,"und",0,"מהלמן סטנ296.655  ,CT Special Material  296.655 סטנ",NULL
"node","book",0,2265,2265,"und",0,"Univ. Tel Aviv, Slg. Mehlmann: פדר296.41",NULL
"node","book",0,2268,2268,"und",0,"492.45 שוב",NULL
"node","book",0,2269,2269,"und",0,"492.45 שוב",NULL
"node","book",0,2270,2270,"und",0,"מהלמן: MR - 933.5(492) מרק",NULL
"node","book",0,2275,2275,"und",0,"(4371)933.5 ייט - מהלמן",NULL
"node","book",0,2279,2279,"und",0,"מהלמן 296.158 משה.כרוך עם באור מלות ההגיון למנדלסון, 1795",NULL
"node","book",0,2280,2280,"und",0,"892.48 סטנ",NULL
"node","book",0,2282,2282,"und",0,"מהלמן   296.174 יהו",NULL
"node","book",0,2285,2285,"und",0,"מהלמן 296.41 סטנ ",NULL
"node","book",0,2286,2286,"und",0,"מהלמן 171 ארי",NULL
"node","book",0,2288,2288,"und",0,"מהלמן 171 ארי",NULL
"node","book",0,2292,2292,"und",0,"מהלמן (כרטסת ידנית) 492.45 סטנ",NULL
"node","book",0,2293,2293,"und",0,"892.412 בוכ",NULL
"node","book",0,2305,2305,"und",0,"אוסף יפה 296.317 יהו",NULL
"node","book",0,2313,2313,"und",0,"296.313 הור - אוסף יפה",NULL
"node","book",0,2316,2316,"und",0,"מהלמן: 892.4113 אבן",NULL
"node","book",0,2319,2319,"und",0,"CT פול 492.45-9249",NULL
"node","book",0,2320,2320,"und",0,"224.07גום - מהלמן",NULL
"node","book",0,2352,2352,"und",0,"892.411ידע",NULL
"node","book",0,2355,2355,"und",0,"296.18הור",NULL
"node","book",0,2362,2362,"und",0,"296.41 הור",NULL
"node","book",0,2363,2363,"und",0,"296.158 אבן",NULL
"node","book",0,2372,2372,"und",0,"מהלמן (כרטסת ידנית) 492.43בו (כרוך עם ספר הגדרים של בונאפוס)",NULL
"node","book",0,2376,2376,"und",0,"T278 טיכ.אמ תשנ\"ו",NULL
"node","book",0,2381,2381,"und",0,"296.081 ננס MR מהלמן",NULL
"node","book",0,2400,2400,"und",0,"אבן 492.45",NULL
"node","book",0,2402,2402,"und",0,"892.418ויז(מיל)- עותק פגום",NULL
"node","book",0,2407,2407,"und",0,"892.418 נפו (בן-ז) - אוסף יפה",NULL
"node","book",0,2411,2411,"und",0,"מהלמן 892.412 לוצ",NULL
"node","book",0,2418,2418,"und",0,"930 פיש",NULL
"node","book",0,2421,2421,"und",0,"מרכזית CT לינ  892.481",NULL
"node","book",0,2422,2422,"und",0,"892.481 לינ",NULL
"node","book",0,2425,2425,"und",0,"רומ  JA 892.412",NULL
"node","book",0,2432,2432,"und",0,"מהלמן 892.42 זיל",NULL
"node","book",0,2433,2433,"und",0,"אוסף יפה  892.418 כרי (ויז",NULL
"node","book",0,2438,2438,"und",0,"MR Rare book collection  892.418 נפו (שיר)",NULL
"node","book",0,2441,2441,"und",0,"אוסף יפה. 892.412 בוכ",NULL
"node","book",0,2446,2446,"und",0," 892.418 פרי (הרט)  אוסף מהלמן",NULL
"node","book",0,2451,2451,"und",0,"812.412בוכ",NULL
"node","book",0,2456,2456,"und",0,"892.412 ויז (אוסף מלמן)",NULL
"node","book",0,2457,2457,"und",0,"892.412 ויז (אוסף מלמן)",NULL
