"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_textual_models_notes_value","field_textual_models_notes_format"
"node","book",0,1962,1962,"und",0,"קריאה להגנת זכויות היהודים.","filtered_html"
"node","book",0,1964,1964,"und",0,"טקסט פטריוטי","filtered_html"
"node","book",0,1974,1974,"und",0,"Wenige Gedichte.","filtered_html"
"node","book",0,1993,1993,"und",0,"המודל:
הבעת עמדה אישית","filtered_html"
"node","book",0,1996,1996,"und",0,"שיר פטריוטי","filtered_html"
"node","book",0,2002,2002,"und",0,"לוי עצמו מגדיר את ספרו כ-
Lehrbuechlein
מטרתו: 

[ich] werde bestreben… die Erläuterung des Jüdisch-deutschen … faßlich … darzustellen, daß der Wißbegierige dieselbe in weniger als zwey Monaten von selbst, ohne weitern Unterricht, erlernen kann…","filtered_html"
"node","book",0,2010,2010,"und",0,"טקסט אפולוגטי נגד התקפות על היהדות/ היהודים שנעשו בתקופה.","filtered_html"
"node","book",0,2032,2032,"und",0,"הטקסט הינו דרשה. בראש הטקסט כתוב: \"תוכן הדרוש\".

חלק מתפילה קהילתית לכבוד המלך.","filtered_html"
"node","book",0,2041,2041,"und",0,"המודל המתאים יותר כאן הוא \"הגיגים\", אבל כיוון שאינו קיים הכי קרוב הוא מניפסט","filtered_html"
"node","book",0,2053,2053,"und",0,"הטקסט כתוב בצורת מכתב.","filtered_html"
"node","book",0,2056,2056,"und",0,"נאום הספד זה נישא, לפי הכותרת, בפני חברי הקהילה היהודית של ברלין, לאחר מותו של פרידריך הגדול.","filtered_html"
"node","book",0,2059,2059,"und",0,"מודל: הבעת דעה","filtered_html"
"node","book",0,2061,2061,"und",0,"הספר נכתב כהגנה על הענקת זכויות אזרח ליהודים.","filtered_html"
"node","book",0,2070,2070,"und",0,"Sammlung verschiedener Schriften","filtered_html"
"node","book",0,2075,2075,"und",0,"בהמשך לשיר הקינה,  ישנו גם טקסט שמסביר ענייני דקדוק בנוגע לשיר.
לפני השיר, מסביר  דובנא את משקלו. שמו של עמדן באכרוסטיכון.","filtered_html"
"node","book",0,2078,2078,"und",0,"בהקדמה מתאר המחבר את סיפרו כעוסק ביצר הרע והמסית - בדמות געל בת מלך רעל, למול היצר הטוב וידיעת החכמה - בעלה ירובעל.","filtered_html"
"node","book",0,2080,2080,"und",0,"סטנוב מנתח דקדוק של מילים בעברית, ומציג סיפורים מוסריים שונים, למשל, סיפור על כפרי ששמע פעם ראשונה בחייו עוגב, והחליט לחטוב עץ כדי לייצר לו כלי נגינה אבל לא הצליח לנגן היטב, אך גם לא הצליח יותר לעבוד בעבודות הכפר כמקודם (דף לד'-לה').","filtered_html"
"node","book",0,2097,2097,"und",0,"עיקר החיבור מציג שיחה דמיונית בין הרב יחזקאל לנדאו ומשה מנדלסון הנפגשים בעולם הבא.","filtered_html"
"node","book",0,2098,2098,"und",0,"דרשה ותפילה פטריוטיות.","filtered_html"
"node","book",0,2109,2109,"und",0,"<p>החלק השני של הספר: שו\"ת</p>
","filtered_html"
"node","book",0,2114,2114,"und",0,"חלק מן הדברים שאומרות הדמויות במחזה מובאים בצורת שירים מליציים","filtered_html"
"node","book",0,2121,2121,"und",0,"אני לא בטוחה שכך יש להגדיר את המודל הטקסטואלי -מניפסט - אך זוהי ההגדרה הקרובה ביותר. הטקסט הוא למעשה גילוי דעת של מחברו, הנוגע לסיטואציה אקטואלית-פוליטית בעלת השפעה על מצב היהודים בקהילות הללו.","filtered_html"
"node","book",0,2122,2122,"und",0,"דברי יוסף השני מנוסחים כמעין נאום, אם כי אין וודאות שמדובר בנאום פומבי. אלה מעין דברי סיכום על מאמציו כשליט, תוך פניה לאל אשר הפקיד בידו את השלטון.","filtered_html"
"node","book",0,2123,2123,"und",0,"בסגנון הוויכוח שב<strong>כוזרי</strong>","filtered_html"
"node","book",0,2124,2124,"und",0,"בסגנון הוויכוח שב\"כוזרי\"","filtered_html"
"node","book",0,2129,2129,"und",0,"מדובר בדרשה שנישאה בביתה הכנסת.
כמו כן, מדובר בטקסט פטריוטי (ראו אצבע של נושאים להלן)","filtered_html"
"node","book",0,2131,2131,"und",0,"האוטוביוגרפיה הינה קצרה למדי וחלקית, ומשמשת מקור להרהורים. היא מהווה רק חלק קטן מהספר.","filtered_html"
"node","book",0,2133,2133,"und",0,"<p>מטרת הספר להדפיס מחדש את סיפרו של משה חביב ושל עזרי', וגם ללמד את דרכי השירה ומאפייניה</p>
","filtered_html"
"node","book",0,2140,2140,"und",0,"הטקסט עוסק ברוביזון, ומוצג בצורת שיחה בין אב לילדיו","filtered_html"
"node","book",0,2143,2143,"und",0,"מדובר במילון קצר המציג מילים המופיעות אצל ברטנורה ולקוחים משפות שונות. לצד כל מילה מופיעה המקבילה ב\"לשון המשנה\", באיטלקית ו\"דייטש\" או \"אשכנזית\" - דהיינו בגרמנית באותיות עבריות. כמו כן, מצוין המקום המדויק במשנה בו מופיעה המילה.","filtered_html"
"node","book",0,2144,2144,"und",0,"אמנם הטקסט בספר זה לקוח מן הנביאים, אולם הוא נבחר בשל היותו חלק מן התפילה ביום הכיפורים, והמתרגם בהקדמתו ממקם אותו בהקשר זה (ועל כן מצוין כאן \"ליטורגיה\" כמודל טקסטואלי\").","filtered_html"
"node","book",0,2149,2149,"und",0,"הספר מוקדש לתיאור היסטורי ביוגרפי של כותבי הפיוטים, ומסודר אלפבייתית על פי שמותיהם.","filtered_html"
"node","book",0,2150,2150,"und",0,"הטקסט הוא מחזה אלגורי.","filtered_html"
"node","book",0,2151,2151,"und",0,"שיר פטריוטי.","filtered_html"
"node","book",0,2152,2152,"und",0,"שיר פטריוטי.","filtered_html"
"node","book",0,2153,2153,"und",0,"תפילות ואודה לכבוד המלך, טקסטים פטריוטים.","filtered_html"
"node","book",0,2155,2155,"und",0,"מרגליות שילב שירים קצרים לאורך הטקסט. למשל, בדף כא', כו' ועוד.","filtered_html"
"node","book",0,2157,2157,"und",0,"הדיון מתנהל במסגרת דיאלוג בין שני אחרים, ושזור בסיפור המסגרת הבא: אדם אחד היו לו שני בנים: ידעיה ושמעיה. הם אהבו לקרוא ספרי תכונה. ידעיה מציע כי הם יפנו לפילוסוף המפורסם של תקופתם (לפי פיינר, \"הדרקון הכרוך על הכוורת\", זהו רמז למשה מנדלסון). שמעיה לא מעוניין בכך. הדיון הוא בין מי שתומך בידיעה (ידעיה) לבין מי שמצדד בקבלה (שמעיה) - ומרגליות מעדיף את הראשון (ראו פיינר, \"הדרקות הכרוך על הכוורת\").
בדף יג' מופיעה חידה.","filtered_html"
"node","book",0,2159,2159,"und",0,"את הספר פותח פירוש על מסכת כלאים, פרק ה', משנה ה'.","filtered_html"
"node","book",0,2162,2162,"und",0,"הספר כולל שני חלקים:
1) שיר מאת אביגדור לוי עם הערות מרובות, למעשה טקסט עיוני בפני עצמו.
2) המשך ההתכתבות בין המחבר לבין משה מנדלסון.","filtered_html"
"node","book",0,2168,2168,"und",0,"הספר כולל קטעים מספר תהלים, ראו חלון \"חוקר ומקורותיו\" סעיף \"הערות\"","filtered_html"
"node","book",0,2170,2170,"und",0,"בראש הספר שיר מליצי הפונה למחבר שיר השירים - שלמה המלך","filtered_html"
"node","book",0,2171,2171,"und",0,"המחבר משלב בטקסט משלים: משל גור האריות (עמ' [28-31]); משל  היין והחומץ (עמ' [55-56]. מתוך <strong>תענית</strong>, דף ז'); משל המצפן  (עמ' [68-71]).","filtered_html"
"node","book",0,2172,2172,"und",0,"ישנו שיר מאת המחבר בפתח הספר.","filtered_html"
"node","book",0,2178,2178,"und",0,"הספר יוצא בצורה מופגנת נגד אהרן וולפסון, הוא \"אהרן בן זאב הכי קרא שמו בן זאב? טרוף יטרף ילדי העברים בלימודיו הנשחתים\". דברי המחבר מכוונים נגד \"הכת החדשה\" (בדברי הפתיחה).
את חרבו השלישית מכוון נגד \"איש מבית לוי יצחק שמו\", הוא יצחק סטנוב.","filtered_html"
"node","book",0,2181,2181,"und",0,"המודל הטקסטואלי של טקסט זה הכי קרוב ללקסיקון. מדובר בלוחות פעלים.","filtered_html"
"node","book",0,2182,2182,"und",0,"הופעת טבלאות וחישובים רבים.","filtered_html"
"node","book",0,2184,2184,"und",0,"וולפסון בהקדמתו במחין בין המחזה שלו לבין סוגים קודמים של מחזות לפורים, חסרי התועלת. הוא מציין כי מחזה זה מיועד \"צור בלוסטיגונג אן אונזרם פורים פ'עסטע, אן דער שטעללע דער זאנסט גוועהנליכ'ן זינלאזן אונד צוועקווידריגן הארלעקינאדן\".","filtered_html"
"node","book",0,2185,2185,"und",0,"מחזה אלגורי.  האנשה של מדות אנושיות ומוסריות.","filtered_html"
"node","book",0,2198,2198,"und",0,"המביא לדפוס מתמקד בעיניני דקדוק, כפי שהצהיר במבוא (ראו חלון \"מבנה הספר\" סעיף \"מבוא\").","filtered_html"
"node","book",0,2210,2210,"und",0,"שני החלקים הראשונים של הספר עוסקים בדיקדוק העברית.","filtered_html"
"node","book",0,2211,2211,"und",0,"חידה - עמ' קמח'","filtered_html"
"node","book",0,2216,2216,"und",0,"שיר פטריוטי, תפילה, בעברית ובתרגום לגרמנית.","filtered_html"
"node","book",0,2218,2218,"und",0,"ז'אנר השיר: אודה","filtered_html"
"node","book",0,2221,2221,"und",0,"לחובר ופאהן לפניו מאפיינים את השיר \"מחזה שדי\" כ\"מעין חקוי לחזיונות דנטי בקומדיה האלהית שלו\".","filtered_html"
"node","book",0,2224,2224,"und",0,"הידנהים זוכה לתשבוחות מן המסכים ארי' ליב ברעסלא על כך שהוא הוציא טעויות ושיבושים, ומגיש נוסח מתוקן ומשובח.","filtered_html"
"node","book",0,2225,2225,"und",0,"ישנם גם שירי יחוד ושיר הכבוד, ובעמוד האחרון \"תפלה לשליח ציבור\"","filtered_html"
"node","book",0,2226,2226,"und",0,"עוד מופיעים שיר הכבוד, שירי ייחוד ושיר השירים","filtered_html"
"node","book",0,2228,2228,"und",0,"הטקסט כולל שירי ייחוד ליום א' וד', שיר כבוד ותפילת כתר מלכות לאבן גבירול","filtered_html"
"node","book",0,2230,2230,"und",0,"החלק הראשון הוא בסגנון אפוס מקראי ועוסק באברהם  אבינו
החלק השני עוסק  בחיי דוד המלך - ונכתב בסגנון ספר תהילים
החלק השלישי  עוסק במעשה נבות היזרעאלי, ונכתב בסגנון מחזה","filtered_html"
"node","book",0,2235,2235,"und",0,"הספר הוא \"קובץ 'תפילות' ו'סליחות' כביכול, שהן חיקויים...לתפילות וסליחות מקובלות באומה ויש בלשונן הרבה דברי היתול והלצה\". קלוזנר, היסטוריה, א', 187.","filtered_html"
"node","book",0,2237,2237,"und",0,"הספר כולל מכתבים בין סטנוב לבנו שינמן, בקורת ספרים שהתפרסמה בהמאסף, ופתרון חידות שהופיעו בהמאסף.","filtered_html"
"node","book",0,2242,2242,"und",0,"הקטגוריה המתאימה להגדרת הספר היא: ספרות מסע.
הספר מסתיים בשיר קצר.","filtered_html"
"node","book",0,2245,2245,"und",0,"בראש הספר מופיע שיר מליצי המהלל את סטנוב ואת סיפרו","filtered_html"
"node","book",0,2248,2248,"und",0,"צריך להוסיף כאן מודל טקסטואלי נוסף: \"נבואה\".
בסופו מופיע שיר מליצי","filtered_html"
"node","book",0,2249,2249,"und",0,"<p class=\"rteleft\" dir=\"rtl\">הלקסיקון מגיע רק עד האות \"ג\".</p>
","filtered_html"
"node","book",0,2251,2251,"und",0,"מדובר בלוחות בנינים, שנועדו לתלמידים הלומדים לשון עברית","filtered_html"
"node","book",0,2259,2259,"und",0,"זהו כתב הגנה עצמי, שבמסגרתו מתאר המחבר את הביוגרפיה האישית שלו","filtered_html"
"node","book",0,2260,2260,"und",0,"בעמוד האחרון לספר - שיר מליצי","filtered_html"
"node","book",0,2270,2270,"und",0,"נאומים שנישאו במהלך דיון ציבורי בדבר מעמדם החוקי של היהודים, לאחר הקמת הרפובליקה הבטאווית בהולנד.  
3 עמודים אחרונים (מעמ' עא/א): \"לוח <strong>פירוש המלות הזרות</strong> מלה\"ק ובלתי נודעים הנמצאים בחבור זה, בלשון אשכנז ולפעמים גם בלשון צרפת\".
המתרגם מביא גם שני קטעים נוספים (חוקה?):

1) \"<strong>דתי האומה באטאווע</strong>\". \"העם באטאווע, התחברו להיות לעם אחד אשר לא יתחלק, השכילו, שההפסד בנהוגי אומה הוא, אשר לא יכירו בחברתיה, דת אמתי מהרות אנושי בטבע. לכן המה מבררים שדתות הנזכרים בזה, יהיו השורש אמתי, אשר עליהם יסדו דתי נהוגי מדינתם ועליהם ינטה הקו, לתקן תועלת תושביה ונהוגי אומה. ואז רשימה של 72 \"יסודי דת\".

2) \"<strong>דתי המדינה</strong>\".","filtered_html"
"node","book",0,2279,2279,"und",0,"הספר הוא דיון פילוסופי במהות השלמות. לא הייתי בטוחה כיצד לשייכו כאן.
בסוף פרק תשיעי ואחרון מופיע שיר קצר.","filtered_html"
"node","book",0,2280,2280,"und",0,"המודל הספרותי הוא מקאמה, לפי ברכה בן-שמאי, ברכה. 2002. <strong>אידיאלים ומגמות של תנועת ההשכלה במאה ה-18 כפי שמשתקפים ב\"ספר החזיון\" של יצחק סאטנוב.</strong> עבודת גמר לתואר \"מוסמך\". אוניברסיטת תל-אביב.
מודל משני הוא משל (אילה צריכה לתקן ולתת אפשרות לערוך הבחנה בין מודל ראשי ומשני כאן).","filtered_html"
"node","book",0,2282,2282,"und",0,"שיר מליצי קצר חותם את הספר","filtered_html"
"node","book",0,2285,2285,"und",0,"בסיפור המסגרת מופיע שר בשם יעקב העמוני שמגיע לעושר רב, וחי חיי נהנתנות ופריצות מינית, אותם מעודד  שר אחר ששמו נועם. בסופו של דבר הוא לוקה במחלה קשה, שמקורה בחולי נפשי. יועציו יועצים לו לפנות לאדם חכם בשם יאיר המדברי, והוא כותב לו אגרת ומבקש את עזרתו. שאר הספר כולל את אגרת התשובה של יאיר המדברי, העוסקת במבנה הנפש, בצרכיה וכד'. בין השאר משולב ידע מדעי, מוזכרים מכשירים מדעיים כגון, המיקרוסקופ  (דף לו').","filtered_html"
"node","book",0,2286,2286,"und",0,"מהדורה חדשה של תרגום ספר המדות לאריסטו.","filtered_html"
"node","book",0,2289,2289,"und",0,"על המודל בו בחר בעת עריכת הספר כותב אליהו מפינטשוב בהקדמתו:
\"ולמען המשיך את הלבבות אל זה הספר הצגתי הכל בדרך שאילת תלמוד ורב באמרי שפר זה שואל וזה משיב זה אומר וזה מקשיב ...\"","filtered_html"
"node","book",0,2292,2292,"und",0,"סטנוב מציג מילים עבריות ועוסק במקורן ובמשמעותן","filtered_html"
"node","book",0,2294,2294,"und",0,"לפי 
Fishman, The Jews of Shklov, p. 69
שניתח את מהדורתו המאוחרת יותר שערך נפתלי הרץ שולמן, זהו:
a moralistic treatise in rhymed meter praising the marvels of God and His creation.","filtered_html"
"node","book",0,2296,2296,"und",0,"מודל הספר הינו זה של הביאור. אך נוסף גם פירוש קדום יותר, של ספורנו.","filtered_html"
"node","book",0,2300,2300,"und",0,"לפי פישמן,
exegetical treatise on the first three verses of Leviticus 19","filtered_html"
"node","book",0,2302,2302,"und",0,"חסר מודל עיקרי. ספרים חיצוניים.","filtered_html"
"node","book",0,2304,2304,"und",0,"זהו ספר דקדוק עברי","filtered_html"
"node","book",0,2309,2309,"und",0,"מודל מתאים לא קיים כאן - צריך לחשוב על הוספה של מודל נוסף \"דרשנות/ הבעת דעה/הרצאה מלומדת\"??
מחבר הטקסט מביע את דעתו ביחס לאמונה באל, חשיבות חוכמות חיצוניות, מצוות וכד'","filtered_html"
"node","book",0,2312,2312,"und",0,"בסוף ההקדמה (דף ט') מופיע שיר בין 6 שורות, הפונה אל מבקרי הספר. בסיומו רשם המחבר את ההערה הבאה:
\"בכל חרוזה ארבע עשרה תנועות\".

בעמ' האחרון של הספר (אחרי קכח') מופיע מליצה נוספת בת 8 שורות הפונה לקורא ומשבחת את הספר העוסק בחשבון בשפה העברית.","filtered_html"
"node","book",0,2313,2313,"und",0,"מטרת החיבור היא \"להסביר על דרך 'החקירה' את רמזי הפזמון מן ההגדה 'חד גדיא'\". פיינר, יהודה הורוויץ, עמ' 120.","filtered_html"
"node","book",0,2314,2314,"und",0,"חוקרים רבים רואים בספר זה \"הסטירה העברית הראשונה בספרות העברית החדשה\" (קלוזנר, א', עמ' 358 ואחרים).","filtered_html"
"node","book",0,2322,2322,"und",0,"כל האגרות ממוענות לאברך \"מהו'... שי'\".","filtered_html"
"node","book",0,2324,2324,"und",0,"המחבר לוקח פסוקים מן התורה ומוסיף עליהם רבות.
כדברי נותני ההסכמה: \"המחבר ראשי יונקותיו קטף מדברי חז\"ש במדרשים ומדברי גדולי המפרשים רק שלעת מצא בדבריהם הערה כחודה של מחט הרחיב בה מענהו כפתחו של אולם באמרי נועם ומליצות צחות ומשלים וחידות להמשיך לב הקורא.\" 
הספר מורכב מדיאלוגים בין הדמויות.
בדיאלוגים ישנם משלים, סיפורים, ויכוחים פילוסופים ותיאולוגיים ועוד. (דוגמא לסיפור ארוך המסופר מפיו של לוי על מלך הודו: עמ' כז/ב.)
בין התוספות: \"מכתב מיעקב ליוסף\", שמביאים האחים בבואם למצרים. המכתב כתוב בחרוזים.
לדברי פישמן (יהודי שקלוב), עמ' 73-74, כתיבת מחזה היתה תופעה כה נדירה עד כי המחבר התקשה למצוא מילה מתאימה לחיבורו. הוא תארו כ\"מחברת הלצית על דרך הויכוח\".","filtered_html"
"node","book",0,2330,2330,"und",0,"יהודה בן זאב, כותב ההקדמה והמבוא, רואה בפרויקט מנחה חדשה המשך ישיר למפעל שהחל בו משה מנדלסון עם תרגום התורה וס' תהילים.
ישנו שיר מאת בן זאב לרגל הדפסת הספר.","filtered_html"
"node","book",0,2336,2336,"und",0,"לפי פיינר (היציאה מברלין, 417), פרויקט זה \"נועד להיות מפעל המשך ל'ביאור' המנדלסוני\".","filtered_html"
"node","book",0,2337,2337,"und",0,"מדובר בספר לימוד מובהק. המחבר מבקש מן הקורא/התלמיד/המורה להתקדם בלימוד השפה לפי הסדר שהוא קבע: \"החבור הזה הוסד על שמירת סדר המוקדם והמאוחר. ולא ימצא בו זכרון איזה כלל הצריך אל הקדמת איזה ידיעה אשר איננה מבוארת מקודם לכן במקום הראוי לה...\" (בתוך \"האבן השלישית\" בהקדמה). 
וכן: \"המסלות האלה מסודרות באופן שכל אחת מהן היא הקדמה אל המסלה שאחריה... לכן כל הקרב להשתמש בזה החבור גבר במסלתו ילך ואל יצא מאחת מהן אל מה שאחריה עד אשר יכונו לפניו כל דרכי המסלה הקודמת לה\" (\"האבן השביעית\") 
מכיוון שהספר מיועד לקהל צעיר, המחבר בחר במודע בשפה קלה: \"בעבור שכוונתי בזה הספר להיותו לתועלת ילדי בני ישראל, לכן כתבתי את כל האמור בו בלשון קלה ומבוארת... גם בהעתקתי דברים מספרי המדקדקים ככתבם וכלשונם, בחרתי בדברי מי שמבאר הענין היטב בלשון קלה להבין לתלמידים... ואולם כל הדבר הנמצא במאמרם אשר העתקתי וקשה להבין למתחילי', כתבתי באורו במקומו בין שני חצאי עגול...\" (\"האבן הרביעית\" בהקדמה)
שיקולים פדגוגיים שיחקו תפקיד בסינון החומר מתוך ספרי המדקדקים שכתבו לפניו: \"והנה המדקדקים האחרונים האריכו עד מאד במשפטי הנקוד וחדשו כללים רבים, ואמנם אנכי לא יצאתי בזה בעקבותיהם ולא הבאתי את כל דבריהם במסלת הנקוד. רק הוצאתי מהם הכללים אשר בלעדם לא ירים איש את ידו לבנות הפעלים והשמות... אותם הכללים שעיקרם הוא לתקון הקריאה בלבד...המה לא יבואו במסלות האלה, אחרי ראותי שאין זכרם מסכים עם כוונת עניננו בזה מאמר, כי כל עוד שלא ידעו המתחילים דרכי נטית הפעלים והשמות אי אפשר להם לעמוד על יסודות הכללים ההם ולא יהיו נשמרים בלבבם כראוי, וקרוב הדבר להיותם סבה לבלבול דעת התלמידים אשר לא נסו ללכת באלה\". מי שחפץ בכך, כותב המחבר, יוכל לגשת בעצמו אל אותם ספרים (ה\"מצויים ביד כל אדם\", כדבריו), כשהוא מצויד ביסודות שירכוש בספר הזה. (\"האבן התשיעית\" בהקדמה)","filtered_html"
"node","book",0,2338,2338,"und",0,"לאחר הקדמת המחבר מופיע שיר מליצי בשם \"שיר למעלות ולתפארת הלשון\", שמפאר את הלשון העברית","filtered_html"
"node","book",0,2343,2343,"und",0,"כפי שפיינר מציין, ברלין כתב את ספרו \"בקודים ובסגנון המקובלים בספרות ההלכתית, כדי להראות שהרב כהן [נגדו יצא] נכשל לאורך כל הדרך [בספרו תורת יקותיאל] בשימושו בטכניקות הלמדניות, ותלמיד חכם רציני ימצא בו רק דברי הבל, טעויות אין ספור ומסקנות מגוחכות...\" (פיינר, מהפכת הנאורות, עמ' 308)","filtered_html"
"node","book",0,2345,2345,"und",0,"ההקדמה השניה לספר, \"הקדמות ומושכלות ראשונות מחכמת המדידה\", הופכת את הספר למעין ספר לימוד. כלולים בה יסודות הגיאומטריה ועוד. ההקדמה מבקשת להעביר לקורא מונחים בסיסיים לשם לימוד המדע <ins>בעברית</ins>. לדוגמא: \"מלת כמות נאמר על דבר שיש לו מכין או מדה או משקל, ובל\"א (גראסע)\" (שורה ראשונה בהקדמה זו). המונחים המקצועיים מתחום המדע מוצגים לעיתים בשלוש שפות: עברית, לטינית וגרמנית.","filtered_html"
"node","book",0,2348,2348,"und",0,"שיר מאת וייזל לכבוד הפרויקט והעוסקים בו.","filtered_html"
"node","book",0,2357,2357,"und",0,"\"ראש אמנה\" - החלק הראשון של הספר, הוא פרשנות נרחבת לשיר המופיע בתחילתו","filtered_html"
"node","book",0,2358,2358,"und",0,"מדובר בטקסט דרשני, הכולל הדרכה לדרשנים","filtered_html"
"node","book",0,2359,2359,"und",0,"המודל: הבעת דעה.","filtered_html"
"node","book",0,2361,2361,"und",0,"נראה כי חלק מן המכתבים כתב המחבר עבור עצמו, ואחרים עבור אחרים . עדות על כך באיגרת פ\"ג (ראו זהר, עוללות מבציר, עמ' 20).

לפי זהר, עוללות מבציר (למשל, עמ' 27), אגרותיו של בוכנר מגלים קווים ז'ורנאליסטים מובהקים, בתקופה שבה עתונות עברית אינה קיימת עדיין. לטענתה, \"בכל השייך לתכנים הוא סולל באגרותיו דרך לכתיבה עתונאית במזרח אירופה, שהיתה כידוע החלוצה בתחום העתונות העברית.\"","filtered_html"
"node","book",0,2362,2362,"und",0,"לפי צינברג, \"נקבצו בו 365 פתגמי מוסר בפרוזה מחורזת.\" \"","filtered_html"
"node","book",0,2366,2366,"und",0,"על השימוש המכוון בסוגה רבנית כדי לערער על הסמכות הרבנית ראו דעתו של פלאי, הריפורמה הדתית.","filtered_html"
"node","book",0,2368,2368,"und",0,"בעמוד השער מופיע מעל הכותרת בעברית: 
Catechismus Integer Iudaeorum","filtered_html"
"node","book",0,2374,2374,"und",0,"מרבית הספר מוקדש לפרשנות של <strong>קהלת</strong>","filtered_html"
