"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_title_in_latin_characters_value","field_title_in_latin_characters_format"
"node","book",0,1964,1964,"und",0,"Balsam für die Wunde: Ein Gespräch zwischen einem? Preußischen Patrioten und dem Knöchler über des Ableben Seiner Majestät Friedrich Wilhelm II König von Preußen und der Thronfolge Seines würdisten und mächtigsten Sohnes
Friedrich Wilhelm III von Rabbi Levi Wohl Sohn des Ober=Rabbiners in Groß=Glogau

Tseri le-yagon, hegyon, ʿal mot adonenu ... Fridrikh Ṿilhelim ha-sheni",NULL
"node","book",0,1972,1972,"und",0,"Cantique adresse a Napoleon le Grand, empereur des Francois et roi d'Italie, par Moïse Milliaud, Député de département de Vaucluse à l’Assemblée des Citoyens françois professant le culte de Moïse

Mizmor shir le-Napoleʾon ha-gadol ha-ḳesar",NULL
"node","book",0,1995,1995,"und",0,"Ḳol sason

Freudenruf bey der gluecklichen Ankunft unseres Allerdurchlauchtigsten, Großmächtigsten und Allergnädigsten Koenigs Friedrich Wilhelm II am 2. November 1793 in aller Unterthänigkeit angestimmt von der Israelitischen Gemeinde zu Breslau",NULL
"node","book",0,1996,1996,"und",0,"Shir ʿoz

Freudiges Loblied unserm allergnädigsten König Christian dem Siebenten und dessen Thronerben gewidmet, oder, Ode auf die frohe Gegenwart: womit Seine Königliche Hoheit unser allgemein geliebter Kronprinz Friedrich die Synagogue in Friedrichsstadt Anno 1799 zu beehren geruhete, Durch Gottes Macht ward mir diese Wissenschaft zu Theil. von R. Joseph Jasmann, Joel Levi Sohn. Rabbiner in Friedrichstadt",NULL
"node","book",0,2006,2006,"und",0,"Israelitischer Kinderfreund [Ankündigung] / L'Ami des enfans d'Israël / Modaʿ le-yalde bene Yisraʾel",NULL
"node","book",0,2015,2015,"und",0,"Misped

Klagelied, welches am Dienstage, den 8ten Nisan, im Jahre der Welt 5526, (das ist, den 18 März 1766) als am Tage der Beysetzung des in Gott ruhenden Allerdurchlauchtigsten Königs und Herrn, Herrn Friedrichs des Fünften, Königs zu Dännemark, Norwegen u. u. u. glorwürdigsten Andenkens, die Juden in Altona, Hochdeutschen Nation, abgesungen haben",NULL
"node","book",0,2032,2032,"und",0,"Masʼat todah

Predigt des Herrn Oberabbiners Rabbi Salomon Kohn, gehalten bey Gelegenheit der Friedensfeier der jüdischen Gemeine[!] in Fürth, den 10ten Nov. 1809. Ins Deutsche übertragen von D. Ottensoßer und H. H. Schwabacher",NULL
"node","book",0,2044,2044,"und",0,"Shir yedidut

Rosenlied der Korahiten: Bey der hohen Vermählungs-Feyer der Königlichen Prinzen mit den Prinzessinnen v. Meklenb. Strelitz. Gesungen in der Synagoge zu Berlin December 1793",NULL
"node","book",0,2055,2055,"und",0,"Ḳol bokhim

Trauer-Gedicht auf den Tod Ihrer Majestät der hochverewigten regierenden Königin Luise Auguste Wilhelmine Amalia, Gemahlin Seiner Majestät Friedrich Wilhelm des Dritten, regierenden Königs von Preuβen",NULL
"node","book",0,2056,2056,"und",0,"Misped

Trauerrede über das Ableben des weisesten Monarchen Sr. Königl. Majestät unsers Allerdurchl. Großmächtigsten und Allergnädigsten Fürsten und Herrn Friedrich des Zweiten glorreichen Andenkens, welche den 17ten Ellul des 5546 Jahres (den 10. Sept. 1786) von der Israelitischen Gemeinde zu Berlin gehalten worden ist",NULL
