"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_topic_tid
"node","book",0,1953,1953,"und",0,421
"node","book",0,1953,1953,"und",1,422
"node","book",0,1954,1954,"und",0,421
"node","book",0,1954,1954,"und",1,428
"node","book",0,1956,1956,"und",0,431
"node","book",0,1958,1958,"und",0,434
"node","book",0,1958,1958,"und",1,435
"node","book",0,1959,1959,"und",0,421
"node","book",0,1960,1960,"und",0,443
"node","book",0,1960,1960,"und",1,444
"node","book",0,1960,1960,"und",2,421
"node","book",0,1960,1960,"und",3,445
"node","book",0,1960,1960,"und",4,428
"node","book",0,1961,1961,"und",0,421
"node","book",0,1961,1961,"und",1,428
"node","book",0,1962,1962,"und",0,421
"node","book",0,1962,1962,"und",1,428
"node","book",0,1963,1963,"und",0,450
"node","book",0,1963,1963,"und",1,451
"node","book",0,1963,1963,"und",2,421
"node","book",0,1963,1963,"und",3,452
"node","book",0,1963,1963,"und",4,453
"node","book",0,1964,1964,"und",0,459
"node","book",0,1964,1964,"und",1,460
"node","book",0,1964,1964,"und",2,461
"node","book",0,1966,1966,"und",0,444
"node","book",0,1966,1966,"und",1,421
"node","book",0,1969,1969,"und",0,450
"node","book",0,1969,1969,"und",1,466
"node","book",0,1969,1969,"und",2,434
"node","book",0,1970,1970,"und",0,450
"node","book",0,1970,1970,"und",1,428
"node","book",0,1974,1974,"und",0,473
"node","book",0,1974,1974,"und",1,428
"node","book",0,1975,1975,"und",0,476
"node","book",0,1975,1975,"und",1,473
"node","book",0,1975,1975,"und",2,477
"node","book",0,1975,1975,"und",3,478
"node","book",0,1976,1976,"und",0,453
"node","book",0,1977,1977,"und",0,480
"node","book",0,1977,1977,"und",1,481
"node","book",0,1979,1979,"und",0,485
"node","book",0,1979,1979,"und",1,486
"node","book",0,1979,1979,"und",2,428
"node","book",0,1981,1981,"und",0,489
"node","book",0,1981,1981,"und",1,490
"node","book",0,1981,1981,"und",2,491
"node","book",0,1982,1982,"und",0,492
"node","book",0,1987,1987,"und",0,460
"node","book",0,1990,1990,"und",0,444
"node","book",0,1991,1991,"und",0,489
"node","book",0,1991,1991,"und",1,473
"node","book",0,1991,1991,"und",2,453
"node","book",0,1991,1991,"und",3,478
"node","book",0,1992,1992,"und",0,503
"node","book",0,1993,1993,"und",0,421
"node","book",0,1993,1993,"und",1,459
"node","book",0,1993,1993,"und",2,504
"node","book",0,1994,1994,"und",0,451
"node","book",0,1994,1994,"und",1,506
"node","book",0,1994,1994,"und",2,507
"node","book",0,1994,1994,"und",3,508
"node","book",0,1994,1994,"und",4,453
"node","book",0,1994,1994,"und",5,504
"node","book",0,1995,1995,"und",0,460
"node","book",0,1995,1995,"und",1,461
"node","book",0,1997,1997,"und",0,473
"node","book",0,2000,2000,"und",0,516
"node","book",0,2000,2000,"und",1,434
"node","book",0,2000,2000,"und",2,478
"node","book",0,2001,2001,"und",0,459
"node","book",0,2001,2001,"und",1,518
"node","book",0,2002,2002,"und",0,518
"node","book",0,2002,2002,"und",1,520
"node","book",0,2004,2004,"und",0,524
"node","book",0,2007,2007,"und",0,489
"node","book",0,2007,2007,"und",1,527
"node","book",0,2007,2007,"und",2,453
"node","book",0,2007,2007,"und",3,528
"node","book",0,2007,2007,"und",4,478
"node","book",0,2007,2007,"und",5,481
"node","book",0,2007,2007,"und",6,529
"node","book",0,2008,2008,"und",0,489
"node","book",0,2008,2008,"und",1,530
"node","book",0,2008,2008,"und",2,492
"node","book",0,2009,2009,"und",0,421
"node","book",0,2010,2010,"und",0,506
"node","book",0,2010,2010,"und",1,421
"node","book",0,2010,2010,"und",2,478
"node","book",0,2012,2012,"und",0,532
"node","book",0,2012,2012,"und",1,421
"node","book",0,2012,2012,"und",2,533
"node","book",0,2013,2013,"und",0,535
"node","book",0,2013,2013,"und",1,486
"node","book",0,2013,2013,"und",2,445
"node","book",0,2013,2013,"und",3,428
"node","book",0,2013,2013,"und",4,481
"node","book",0,2013,2013,"und",5,520
"node","book",0,2015,2015,"und",0,460
"node","book",0,2017,2017,"und",0,431
"node","book",0,2017,2017,"und",1,481
"node","book",0,2018,2018,"und",0,516
"node","book",0,2018,2018,"und",1,421
"node","book",0,2018,2018,"und",2,541
"node","book",0,2018,2018,"und",3,542
"node","book",0,2018,2018,"und",4,543
"node","book",0,2018,2018,"und",5,533
"node","book",0,2018,2018,"und",6,428
"node","book",0,2018,2018,"und",7,544
"node","book",0,2022,2022,"und",0,421
"node","book",0,2022,2022,"und",1,473
"node","book",0,2022,2022,"und",2,445
"node","book",0,2022,2022,"und",3,428
"node","book",0,2022,2022,"und",4,547
"node","book",0,2022,2022,"und",5,548
"node","book",0,2023,2023,"und",0,550
"node","book",0,2023,2023,"und",1,551
"node","book",0,2023,2023,"und",2,434
"node","book",0,2023,2023,"und",3,478
"node","book",0,2025,2025,"und",0,459
"node","book",0,2025,2025,"und",1,491
"node","book",0,2025,2025,"und",2,553
"node","book",0,2026,2026,"und",0,516
"node","book",0,2027,2027,"und",0,460
"node","book",0,2030,2030,"und",0,460
"node","book",0,2031,2031,"und",0,459
"node","book",0,2031,2031,"und",1,460
"node","book",0,2031,2031,"und",2,518
"node","book",0,2032,2032,"und",0,551
"node","book",0,2032,2032,"und",1,460
"node","book",0,2039,2039,"und",0,532
"node","book",0,2039,2039,"und",1,421
"node","book",0,2040,2040,"und",0,532
"node","book",0,2040,2040,"und",1,421
"node","book",0,2041,2041,"und",0,460
"node","book",0,2041,2041,"und",1,478
"node","book",0,2042,2042,"und",0,453
"node","book",0,2044,2044,"und",0,460
"node","book",0,2046,2046,"und",0,444
"node","book",0,2046,2046,"und",1,421
"node","book",0,2046,2046,"und",2,428
"node","book",0,2047,2047,"und",0,491
"node","book",0,2047,2047,"und",1,565
"node","book",0,2047,2047,"und",2,566
"node","book",0,2047,2047,"und",3,486
"node","book",0,2047,2047,"und",4,567
"node","book",0,2047,2047,"und",5,478
"node","book",0,2047,2047,"und",6,568
"node","book",0,2047,2047,"und",7,569
"node","book",0,2047,2047,"und",8,547
"node","book",0,2052,2052,"und",0,573
"node","book",0,2053,2053,"und",0,516
"node","book",0,2053,2053,"und",1,421
"node","book",0,2053,2053,"und",2,478
"node","book",0,2053,2053,"und",3,504
"node","book",0,2053,2053,"und",4,431
"node","book",0,2053,2053,"und",5,547
"node","book",0,2055,2055,"und",0,553
"node","book",0,2055,2055,"und",1,460
"node","book",0,2056,2056,"und",0,490
"node","book",0,2056,2056,"und",1,453
"node","book",0,2056,2056,"und",2,553
"node","book",0,2056,2056,"und",3,460
"node","book",0,2057,2057,"und",0,576
"node","book",0,2057,2057,"und",1,551
"node","book",0,2058,2058,"und",0,489
"node","book",0,2059,2059,"und",0,421
"node","book",0,2060,2060,"und",0,421
"node","book",0,2061,2061,"und",0,421
"node","book",0,2061,2061,"und",1,580
"node","book",0,2061,2061,"und",2,460
"node","book",0,2061,2061,"und",3,542
"node","book",0,2061,2061,"und",4,533
"node","book",0,2061,2061,"und",5,428
"node","book",0,2062,2062,"und",0,421
"node","book",0,2062,2062,"und",1,431
"node","book",0,2063,2063,"und",0,421
"node","book",0,2064,2064,"und",0,489
"node","book",0,2064,2064,"und",1,573
"node","book",0,2064,2064,"und",2,481
"node","book",0,2067,2067,"und",0,586
"node","book",0,2070,2070,"und",0,481
"node","book",0,2072,2072,"und",0,421
"node","book",0,2074,2074,"und",0,453
"node","book",0,2075,2075,"und",0,459
"node","book",0,2075,2075,"und",1,491
"node","book",0,2075,2075,"und",2,553
"node","book",0,2076,2076,"und",0,489
"node","book",0,2076,2076,"und",1,453
"node","book",0,2077,2077,"und",0,551
"node","book",0,2077,2077,"und",1,491
"node","book",0,2077,2077,"und",2,434
"node","book",0,2077,2077,"und",3,486
"node","book",0,2078,2078,"und",0,594
"node","book",0,2078,2078,"und",1,580
"node","book",0,2078,2078,"und",2,595
"node","book",0,2078,2078,"und",3,453
"node","book",0,2078,2078,"und",4,478
"node","book",0,2079,2079,"und",0,507
"node","book",0,2079,2079,"und",1,597
"node","book",0,2080,2080,"und",0,459
"node","book",0,2080,2080,"und",1,453
"node","book",0,2080,2080,"und",2,431
"node","book",0,2081,2081,"und",0,453
"node","book",0,2081,2081,"und",1,524
"node","book",0,2081,2081,"und",2,520
"node","book",0,2082,2082,"und",0,600
"node","book",0,2083,2083,"und",0,602
