nid,vid,"type","language","title",uid,status,created,changed,comment,promote,sticky,tnid,translate
1,1,"page_element","en","Introduction",1,1,1428490114,1428490114,0,0,0,0,0
2,2,"person","und","(Dr. med.) איסטרייכער",1,1,1428490114,1428490114,0,1,0,0,0
3,3,"person","und","(Dr. med.) ווארבורג",1,1,1428490114,1428490114,0,1,0,0,0
4,4,"person","und","(Dr.) בריינערסדארף",1,1,1428490114,1428490114,0,1,0,0,0
5,5,"person","und","(Feder)-Guttmann, Tuvia - פדר, טוביה",1,1,1428490114,1428490114,0,1,0,0,0
6,6,"person","und","Aaron, Joseph Philipp - אהרן, יוסף",1,1,1428490114,1428490114,0,1,0,0,0
7,7,"person","und","Abraham Isaak",1,1,1428490114,1428490114,0,1,0,0,0
8,8,"person","und","Abraham Joel Emanuel",1,1,1428490114,1428490114,0,1,0,0,0
9,9,"person","und","Abraham Moses",1,1,1428490114,1428490114,0,1,0,0,0
10,10,"person","und","Abrahamsen, Moses Levin",1,1,1428490114,1428490114,0,1,0,0,0
11,11,"person","und","Ackord, Elias - אקורד, אליהו",1,1,1428490114,1428490114,0,1,0,0,0
12,12,"person","und","Adolphi (Pastor)",1,1,1428490114,1428490114,0,1,0,0,0
13,13,"person","und","Alexander, Abraham",1,1,1428490114,1428490114,0,1,0,0,0
14,14,"person","und","Alexander, Isaak - אלכסנדר, יצחק",1,1,1428490114,1428490114,0,1,0,0,0
15,15,"person","und","Alexander, Levy",1,1,1428490114,1428490114,0,1,0,0,0
16,16,"person","und","Alexander, Levy - אלכסנדר, לוי",1,1,1428490114,1428490114,0,1,0,0,0
17,17,"person","und","Anonym",1,1,1428490114,1428490114,0,1,0,0,0
18,18,"person","und","Anonymous",1,1,1428490114,1428490114,0,1,0,0,0
19,19,"person","und","Arnstein (Freiherr von), Nathan Adam",1,1,1428490114,1428490114,0,1,0,0,0
20,20,"person","und","Arnstein, Benedict David - ארנשטיין, בנדיקט דוד",1,1,1428490114,1428490114,0,1,0,0,0
21,21,"person","und","Arnstein, Benedikt",1,1,1428490114,1428490114,0,1,0,0,0
22,22,"person","und","Arnstein, Josef",1,1,1428490114,1428490114,0,1,0,0,0
23,23,"person","und","Arnstein, Meier",1,1,1428490114,1428490114,0,1,0,0,0
24,24,"person","und","Arnstein, Nathan Adam (Freiherr von Arnstein)",1,1,1428490114,1428490114,0,1,0,0,0
25,25,"person","und","Arnstein, Wolf I.",1,1,1428490114,1428490114,0,1,0,0,0
26,26,"person","und","Asch, Abraham - אש, אברהם",1,1,1428490114,1428490114,0,1,0,0,0
27,27,"person","und","Ascher, Judas - אשר, יהודה",1,1,1428490114,1428490114,0,1,0,0,0
28,28,"person","und","Ascher, Saul - אשר, שאול",1,1,1428490114,1428490114,0,1,0,0,0
29,29,"person","und","Bamberger, Wolff",1,1,1428490114,1428490114,0,1,0,0,0
30,30,"person","und","Baras, Simon - בר\"ז, שמעון",1,1,1428490114,1428490114,0,1,0,0,0
31,31,"person","und","Bartenstein, Joseph",1,1,1428490114,1428490114,0,1,0,0,0
32,32,"person","und","Baruch Schick of Shklov - שיק, ברוך משקלוב",1,1,1428490114,1428490114,0,1,0,0,0
33,33,"person","und","Baschwitz - בשוויץ, ברוך",1,1,1428490114,1428490114,0,1,0,0,0
34,34,"person","und","Baschwitz, Zebi (Hirsch) ben Meir - בשביץ, צבי הירש בן מאיר",1,1,1428490114,1428490114,0,1,0,0,0
35,35,"person","und","Beer-Bing, Jesaia - בער, ישי",1,1,1428490114,1428490114,0,1,0,0,0
36,36,"person","und","Beer, Aaron",1,1,1428490114,1428490114,0,1,0,0,0
37,37,"person","und","Beer, Moses",1,1,1428490114,1428490114,0,1,0,0,0
38,38,"person","und","Beer, Peter - בער, פרץ",1,1,1428490114,1428490114,0,1,0,0,0
39,39,"person","und","Belinfante, Isaac",1,1,1428490114,1428490114,0,1,0,0,0
40,40,"person","und","Belinfante, Isaac - בלינפנטי, יצחק",1,1,1428490114,1428490114,0,1,0,0,0
41,41,"person","und","Bellerman, Johann Joachim",1,1,1428490114,1428490114,0,1,0,0,0
42,42,"person","und","Below (Münzdirektor)",1,1,1428490114,1428490114,0,1,0,0,0
43,43,"person","und","Ben Seew, Juda Löb - בן-זאב, יהודה ליב",1,1,1428490114,1428490114,0,1,0,0,0
44,44,"person","und","Ben-Jacob, Meir - בן-יעקב, מאיר",1,1,1428490114,1428490114,0,1,0,0,0
45,45,"person","und","Bendavid, Lazarus - בנדוד, לצרוס",1,1,1428490114,1428490114,0,1,0,0,0
46,46,"person","und","Bendix, Hirsch Nathan",1,1,1428490114,1428490114,0,1,0,0,0
47,47,"person","und","Bendix, Jeremias",1,1,1428490114,1428490114,0,1,0,0,0
48,48,"person","und","Bendix, Levin Nathan",1,1,1428490114,1428490114,0,1,0,0,0
49,49,"person","und","Benet, Mordechai",1,1,1428490114,1428490114,0,1,0,0,0
50,50,"person","und","Berend Callmann",1,1,1428490114,1428490114,0,1,0,0,0
51,51,"person","und","Berend Ellerich",1,1,1428490114,1428490114,0,1,0,0,0
52,52,"person","und","Berend Mendel",1,1,1428490114,1428490114,0,1,0,0,0
53,53,"person","und","Berend, S. L. (Landesältester)",1,1,1428490114,1428490114,0,1,0,0,0
54,54,"person","und","Berlin Saul",1,1,1428490114,1428490114,0,1,0,0,0
55,55,"person","und","Berlin, Hirsch",1,1,1428490114,1428490114,0,1,0,0,0
56,56,"person","und","Berlin, Saul - ברלין, שאול",1,1,1428490114,1428490114,0,1,0,0,0
57,57,"person","und","Berr, Isaac Berr - בר, יצחק בר",1,1,1428490114,1428490114,0,1,0,0,0
58,58,"person","und","Berr, Michel - בר, מיכאל",1,1,1428490114,1428490114,0,1,0,0,0
59,59,"person","und","Bing, Beer Abraham - בינג, אברהם בר",1,1,1428490114,1428490114,0,1,0,0,0
60,60,"person","und","Binge, Abraham",1,1,1428490114,1428490114,0,1,0,0,0
61,61,"person","und","Bloch, Marcus Elieser",1,1,1428490114,1428490114,0,1,0,0,0
62,62,"person","und","Boas Isaak",1,1,1428490114,1428490114,0,1,0,0,0
63,63,"person","und","Boas, Simon",1,1,1428490114,1428490114,0,1,0,0,0
