nid,vid,uid,"title","log",timestamp,status,comment,promote,sticky
1,1,1,"Introduction","",1428490114,1,0,0,0
2,2,1,"(Dr. med.) איסטרייכער","",1428490114,1,0,1,0
3,3,1,"(Dr. med.) ווארבורג","",1428490114,1,0,1,0
4,4,1,"(Dr.) בריינערסדארף","",1428490114,1,0,1,0
5,5,1,"(Feder)-Guttmann, Tuvia - פדר, טוביה","",1428490114,1,0,1,0
6,6,1,"Aaron, Joseph Philipp - אהרן, יוסף","",1428490114,1,0,1,0
7,7,1,"Abraham Isaak","",1428490114,1,0,1,0
8,8,1,"Abraham Joel Emanuel","",1428490114,1,0,1,0
9,9,1,"Abraham Moses","",1428490114,1,0,1,0
10,10,1,"Abrahamsen, Moses Levin","",1428490114,1,0,1,0
11,11,1,"Ackord, Elias - אקורד, אליהו","",1428490114,1,0,1,0
12,12,1,"Adolphi (Pastor)","",1428490114,1,0,1,0
13,13,1,"Alexander, Abraham","",1428490114,1,0,1,0
14,14,1,"Alexander, Isaak - אלכסנדר, יצחק","",1428490114,1,0,1,0
15,15,1,"Alexander, Levy","",1428490114,1,0,1,0
16,16,1,"Alexander, Levy - אלכסנדר, לוי","",1428490114,1,0,1,0
17,17,1,"Anonym","",1428490114,1,0,1,0
18,18,1,"Anonymous","",1428490114,1,0,1,0
19,19,1,"Arnstein (Freiherr von), Nathan Adam","",1428490114,1,0,1,0
20,20,1,"Arnstein, Benedict David - ארנשטיין, בנדיקט דוד","",1428490114,1,0,1,0
21,21,1,"Arnstein, Benedikt","",1428490114,1,0,1,0
22,22,1,"Arnstein, Josef","",1428490114,1,0,1,0
23,23,1,"Arnstein, Meier","",1428490114,1,0,1,0
24,24,1,"Arnstein, Nathan Adam (Freiherr von Arnstein)","",1428490114,1,0,1,0
25,25,1,"Arnstein, Wolf I.","",1428490114,1,0,1,0
26,26,1,"Asch, Abraham - אש, אברהם","",1428490114,1,0,1,0
27,27,1,"Ascher, Judas - אשר, יהודה","",1428490114,1,0,1,0
28,28,1,"Ascher, Saul - אשר, שאול","",1428490114,1,0,1,0
29,29,1,"Bamberger, Wolff","",1428490114,1,0,1,0
30,30,1,"Baras, Simon - בר\"ז, שמעון","",1428490114,1,0,1,0
31,31,1,"Bartenstein, Joseph","",1428490114,1,0,1,0
32,32,1,"Baruch Schick of Shklov - שיק, ברוך משקלוב","",1428490114,1,0,1,0
33,33,1,"Baschwitz - בשוויץ, ברוך","",1428490114,1,0,1,0
34,34,1,"Baschwitz, Zebi (Hirsch) ben Meir - בשביץ, צבי הירש בן מאיר","",1428490114,1,0,1,0
35,35,1,"Beer-Bing, Jesaia - בער, ישי","",1428490114,1,0,1,0
36,36,1,"Beer, Aaron","",1428490114,1,0,1,0
37,37,1,"Beer, Moses","",1428490114,1,0,1,0
38,38,1,"Beer, Peter - בער, פרץ","",1428490114,1,0,1,0
39,39,1,"Belinfante, Isaac","",1428490114,1,0,1,0
40,40,1,"Belinfante, Isaac - בלינפנטי, יצחק","",1428490114,1,0,1,0
41,41,1,"Bellerman, Johann Joachim","",1428490114,1,0,1,0
42,42,1,"Below (Münzdirektor)","",1428490114,1,0,1,0
43,43,1,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב","",1428490114,1,0,1,0
44,44,1,"Ben-Jacob, Meir - בן-יעקב, מאיר","",1428490114,1,0,1,0
45,45,1,"Bendavid, Lazarus - בנדוד, לצרוס","",1428490114,1,0,1,0
46,46,1,"Bendix, Hirsch Nathan","",1428490114,1,0,1,0
47,47,1,"Bendix, Jeremias","",1428490114,1,0,1,0
48,48,1,"Bendix, Levin Nathan","",1428490114,1,0,1,0
49,49,1,"Benet, Mordechai","",1428490114,1,0,1,0
50,50,1,"Berend Callmann","",1428490114,1,0,1,0
51,51,1,"Berend Ellerich","",1428490114,1,0,1,0
52,52,1,"Berend Mendel","",1428490114,1,0,1,0
53,53,1,"Berend, S. L. (Landesältester)","",1428490114,1,0,1,0
54,54,1,"Berlin Saul","",1428490114,1,0,1,0
55,55,1,"Berlin, Hirsch","",1428490114,1,0,1,0
56,56,1,"Berlin, Saul - ברלין, שאול","",1428490114,1,0,1,0
57,57,1,"Berr, Isaac Berr - בר, יצחק בר","",1428490114,1,0,1,0
58,58,1,"Berr, Michel - בר, מיכאל","",1428490114,1,0,1,0
59,59,1,"Bing, Beer Abraham - בינג, אברהם בר","",1428490114,1,0,1,0
60,60,1,"Binge, Abraham","",1428490114,1,0,1,0
61,61,1,"Bloch, Marcus Elieser","",1428490114,1,0,1,0
62,62,1,"Boas Isaak","",1428490114,1,0,1,0
63,63,1,"Boas, Simon","",1428490114,1,0,1,0
64,64,1,"Bock, Moses Hirsch - בוק, משה (בן) צבי","",1428490114,1,0,1,0
65,65,1,"Bondi, Hirsch","",1428490114,1,0,1,0
66,66,1,"Bondi, Isaac","",1428490114,1,0,1,0
