tid,vid,"name","description","format",weight
1,1,"Altona",NULL,"filtered_html",0
2,1,"Altstadt",NULL,"filtered_html",0
3,1,"Amsterdam",NULL,"filtered_html",0
4,1,"Anklam",NULL,"filtered_html",0
5,1,"Anspach",NULL,"filtered_html",0
6,1,"Arad",NULL,"filtered_html",0
7,1,"Arnswalde",NULL,"filtered_html",0
8,1,"Augsburg",NULL,"filtered_html",0
9,1,"Bamberg",NULL,"filtered_html",0
10,1,"Barcelona",NULL,"filtered_html",0
11,1,"Basel",NULL,"filtered_html",0
12,1,"Bayreuth",NULL,"filtered_html",0
13,1,"Berditchev",NULL,"filtered_html",0
14,1,"Berlin",NULL,"filtered_html",0
15,1,"Bern",NULL,"filtered_html",0
16,1,"Bernburg",NULL,"filtered_html",0
17,1,"Bialystok",NULL,"filtered_html",0
18,1,"Bidschow",NULL,"filtered_html",0
19,1,"Bielau",NULL,"filtered_html",0
20,1,"Bielefeld",NULL,"filtered_html",0
21,1,"Bielitz",NULL,"filtered_html",0
22,1,"Bleicherode",NULL,"filtered_html",0
23,1,"Böhmisch Leipa",NULL,"filtered_html",0
24,1,"Bonn",NULL,"filtered_html",0
25,1,"Bourdeaux",NULL,"filtered_html",0
26,1,"Brandenburg",NULL,"filtered_html",0
27,1,"Braunschweig",NULL,"filtered_html",0
28,1,"Breslau",NULL,"filtered_html",0
29,1,"Brest",NULL,"filtered_html",0
30,1,"Brieg",NULL,"filtered_html",0
31,1,"Brno",NULL,"filtered_html",0
32,1,"Brody",NULL,"filtered_html",0
33,1,"Brooklyn",NULL,"filtered_html",0
34,1,"Bruchsal",NULL,"filtered_html",0
35,1,"Brünn",NULL,"filtered_html",0
36,1,"Bubwitz",NULL,"filtered_html",0
37,1,"Buda",NULL,"filtered_html",0
38,1,"Budapest",NULL,"filtered_html",0
39,1,"Bunzlau",NULL,"filtered_html",0
40,1,"Burgkunstadt",NULL,"filtered_html",0
41,1,"Cambridge",NULL,"filtered_html",0
42,1,"Casale Monferrato",NULL,"filtered_html",0
43,1,"Celle",NULL,"filtered_html",0
44,1,"Cerny",NULL,"filtered_html",0
45,1,"Chelm",NULL,"filtered_html",0
46,1,"Chlumetz",NULL,"filtered_html",0
47,1,"Chur",NULL,"filtered_html",0
48,1,"Constantinople",NULL,"filtered_html",0
49,1,"Copenhagen",NULL,"filtered_html",0
50,1,"Damascus",NULL,"filtered_html",0
51,1,"Danzig",NULL,"filtered_html",0
52,1,"Dembitz",NULL,"filtered_html",0
53,1,"Den Haag",NULL,"filtered_html",0
54,1,"Dessau",NULL,"filtered_html",0
55,1,"Detmold",NULL,"filtered_html",0
56,1,"Dobromil",NULL,"filtered_html",0
57,1,"Dobruschka",NULL,"filtered_html",0
58,1,"Domosnitz",NULL,"filtered_html",0
59,1,"Dorpat",NULL,"filtered_html",0
60,1,"Dresden",NULL,"filtered_html",0
61,1,"Driesen",NULL,"filtered_html",0
62,1,"Drohobytsch",NULL,"filtered_html",0
63,1,"Dubno",NULL,"filtered_html",0
64,1,"Duisburg",NULL,"filtered_html",0
65,1,"Dyhernfurth",NULL,"filtered_html",0
66,1,"Eger",NULL,"filtered_html",0
67,1,"Eisenstadt",NULL,"filtered_html",0
68,1,"Elberfeld",NULL,"filtered_html",0
69,1,"Essen",NULL,"filtered_html",0
70,1,"Flatow",NULL,"filtered_html",0
71,1,"Florenz",NULL,"filtered_html",0
72,1,"Frankfurt am Main",NULL,"filtered_html",0
73,1,"Frankfurt/Oder",NULL,"filtered_html",0
74,1,"Friedland",NULL,"filtered_html",0
75,1,"Friedrichsfeld",NULL,"filtered_html",0
76,1,"Fürth",NULL,"filtered_html",0
77,1,"Glogau",NULL,"filtered_html",0
78,1,"Gorizia",NULL,"filtered_html",0
79,1,"Görz",NULL,"filtered_html",0
80,1,"Göttingen",NULL,"filtered_html",0
81,1,"Greifswald",NULL,"filtered_html",0
82,1,"Griechenland",NULL,"filtered_html",0
83,1,"Grodno",NULL,"filtered_html",0
84,1,"Hagenau",NULL,"filtered_html",0
85,1,"Halberstadt",NULL,"filtered_html",0
86,1,"Halle",NULL,"filtered_html",0
87,1,"Halle/Saale",NULL,"filtered_html",0
88,1,"Hamburg",NULL,"filtered_html",0
89,1,"Hamm",NULL,"filtered_html",0
90,1,"Hanau",NULL,"filtered_html",0
91,1,"Hannover",NULL,"filtered_html",0
92,1,"Hasenpoth",NULL,"filtered_html",0
93,1,"Hechingen",NULL,"filtered_html",0
94,1,"Helmstädt",NULL,"filtered_html",0
95,1,"Hildesheim",NULL,"filtered_html",0
96,1,"Hirschberg",NULL,"filtered_html",0
97,1,"Hohenems",NULL,"filtered_html",0
98,1,"Höritz",NULL,"filtered_html",0
99,1,"Horodok",NULL,"filtered_html",0
100,1,"Horschitz",NULL,"filtered_html",0
101,1,"Hungary",NULL,"filtered_html",0
102,1,"Jaroslaw",NULL,"filtered_html",0
103,1,"Jena",NULL,"filtered_html",0
104,1,"Jersualem",NULL,"filtered_html",0
105,1,"Jerusalem",NULL,"filtered_html",0
106,1,"Jeßnitz",NULL,"filtered_html",0
107,1,"Jewpatorija",NULL,"filtered_html",0
108,1,"Józefów",NULL,"filtered_html",0
109,1,"Kanischa",NULL,"filtered_html",0
110,1,"Karlsruhe",NULL,"filtered_html",0
111,1,"Kassel",NULL,"filtered_html",0
112,1,"Kempen",NULL,"filtered_html",0
113,1,"Kempten",NULL,"filtered_html",0
114,1,"Kiel",NULL,"filtered_html",0
115,1,"Koblenz",NULL,"filtered_html",0
116,1,"Kolin",NULL,"filtered_html",0
117,1,"Kolmar",NULL,"filtered_html",0
118,1,"Komarno",NULL,"filtered_html",0
119,1,"Komorn",NULL,"filtered_html",0
120,1,"Königgrätz",NULL,"filtered_html",0
121,1,"Königsberg",NULL,"filtered_html",0
122,1,"Königslutter",NULL,"filtered_html",0
123,1,"Kopys",NULL,"filtered_html",0
124,1,"Korets",NULL,"filtered_html",0
125,1,"Köslin",NULL,"filtered_html",0
126,1,"Köthen",NULL,"filtered_html",0
127,1,"Krakow",NULL,"filtered_html",0
128,1,"Kreisch",NULL,"filtered_html",0
129,1,"Krossen an der Oder",NULL,"filtered_html",0
130,1,"Kuriz",NULL,"filtered_html",0
131,1,"Kurland",NULL,"filtered_html",0
132,1,"Kuttenplan",NULL,"filtered_html",0
133,1,"Landau",NULL,"filtered_html",0
134,1,"Landsberg/Warthe",NULL,"filtered_html",0
135,1,"Landshut",NULL,"filtered_html",0
136,1,"Laszczow",NULL,"filtered_html",0
137,1,"Leiden",NULL,"filtered_html",0
138,1,"Leipnik",NULL,"filtered_html",0
139,1,"Leipzig",NULL,"filtered_html",0
140,1,"Lemberg",NULL,"filtered_html",0
141,1,"Lemgo",NULL,"filtered_html",0
142,1,"Leslau",NULL,"filtered_html",0
143,1,"Lieben",NULL,"filtered_html",0
144,1,"Liegnitz",NULL,"filtered_html",0
145,1,"Lille",NULL,"filtered_html",0
146,1,"Lissa",NULL,"filtered_html",0
147,1,"Livorno",NULL,"filtered_html",0
148,1,"London",NULL,"filtered_html",0
149,1,"Lübeck",NULL,"filtered_html",0
150,1,"Luneville",NULL,"filtered_html",0
151,1,"Lviv",NULL,"filtered_html",0
152,1,"Magdeburg",NULL,"filtered_html",0
153,1,"Mährisch Weißkirchen",NULL,"filtered_html",0
154,1,"Mainz",NULL,"filtered_html",0
155,1,"Mannheim",NULL,"filtered_html",0
156,1,"Mantua",NULL,"filtered_html",0
157,1,"Marienwerder",NULL,"filtered_html",0
158,1,"Mattersdorf",NULL,"filtered_html",0
159,1,"Medzeboz",NULL,"filtered_html",0
160,1,"Mesritsch",NULL,"filtered_html",0
161,1,"Metz",NULL,"filtered_html",0
162,1,"Mezhirov",NULL,"filtered_html",0
163,1,"Mikolajev",NULL,"filtered_html",0
