pid,"source","alias","language"
1,"user/1","users/admin","und"
2,"taxonomy/term/1","cities/altona","und"
3,"taxonomy/term/2","cities/altstadt","und"
4,"taxonomy/term/3","cities/amsterdam","und"
5,"taxonomy/term/4","cities/anklam","und"
6,"taxonomy/term/5","cities/anspach","und"
7,"taxonomy/term/6","cities/arad","und"
8,"taxonomy/term/7","cities/arnswalde","und"
9,"taxonomy/term/8","cities/augsburg","und"
10,"taxonomy/term/9","cities/bamberg","und"
11,"taxonomy/term/10","cities/barcelona","und"
12,"taxonomy/term/11","cities/basel","und"
13,"taxonomy/term/12","cities/bayreuth","und"
14,"taxonomy/term/13","cities/berditchev","und"
15,"taxonomy/term/14","cities/berlin","und"
16,"taxonomy/term/15","cities/bern","und"
17,"taxonomy/term/16","cities/bernburg","und"
18,"taxonomy/term/17","cities/bialystok","und"
19,"taxonomy/term/18","cities/bidschow","und"
20,"taxonomy/term/19","cities/bielau","und"
21,"taxonomy/term/20","cities/bielefeld","und"
22,"taxonomy/term/21","cities/bielitz","und"
23,"taxonomy/term/22","cities/bleicherode","und"
24,"taxonomy/term/23","cities/böhmisch-leipa","und"
25,"taxonomy/term/24","cities/bonn","und"
26,"taxonomy/term/25","cities/bourdeaux","und"
27,"taxonomy/term/26","cities/brandenburg","und"
28,"taxonomy/term/27","cities/braunschweig","und"
29,"taxonomy/term/28","cities/breslau","und"
30,"taxonomy/term/29","cities/brest","und"
31,"taxonomy/term/30","cities/brieg","und"
32,"taxonomy/term/31","cities/brno","und"
33,"taxonomy/term/32","cities/brody","und"
34,"taxonomy/term/33","cities/brooklyn","und"
35,"taxonomy/term/34","cities/bruchsal","und"
36,"taxonomy/term/35","cities/brünn","und"
37,"taxonomy/term/36","cities/bubwitz","und"
38,"taxonomy/term/37","cities/buda","und"
39,"taxonomy/term/38","cities/budapest","und"
40,"taxonomy/term/39","cities/bunzlau","und"
41,"taxonomy/term/40","cities/burgkunstadt","und"
42,"taxonomy/term/41","cities/cambridge","und"
43,"taxonomy/term/42","cities/casale-monferrato","und"
44,"taxonomy/term/43","cities/celle","und"
45,"taxonomy/term/44","cities/cerny","und"
46,"taxonomy/term/45","cities/chelm","und"
47,"taxonomy/term/46","cities/chlumetz","und"
48,"taxonomy/term/47","cities/chur","und"
49,"taxonomy/term/48","cities/constantinople","und"
50,"taxonomy/term/49","cities/copenhagen","und"
51,"taxonomy/term/50","cities/damascus","und"
52,"taxonomy/term/51","cities/danzig","und"
53,"taxonomy/term/52","cities/dembitz","und"
54,"taxonomy/term/53","cities/den-haag","und"
55,"taxonomy/term/54","cities/dessau","und"
56,"taxonomy/term/55","cities/detmold","und"
57,"taxonomy/term/56","cities/dobromil","und"
58,"taxonomy/term/57","cities/dobruschka","und"
59,"taxonomy/term/58","cities/domosnitz","und"
60,"taxonomy/term/59","cities/dorpat","und"
61,"taxonomy/term/60","cities/dresden","und"
62,"taxonomy/term/61","cities/driesen","und"
63,"taxonomy/term/62","cities/drohobytsch","und"
64,"taxonomy/term/63","cities/dubno","und"
65,"taxonomy/term/64","cities/duisburg","und"
66,"taxonomy/term/65","cities/dyhernfurth","und"
67,"taxonomy/term/66","cities/eger","und"
68,"taxonomy/term/67","cities/eisenstadt","und"
69,"taxonomy/term/68","cities/elberfeld","und"
70,"taxonomy/term/69","cities/essen","und"
71,"taxonomy/term/70","cities/flatow","und"
72,"taxonomy/term/71","cities/florenz","und"
73,"taxonomy/term/72","cities/frankfurt-am-main","und"
74,"taxonomy/term/73","cities/frankfurtoder","und"
75,"taxonomy/term/74","cities/friedland","und"
76,"taxonomy/term/75","cities/friedrichsfeld","und"
77,"taxonomy/term/76","cities/fürth","und"
78,"taxonomy/term/77","cities/glogau","und"
79,"taxonomy/term/78","cities/gorizia","und"
80,"taxonomy/term/79","cities/görz","und"
81,"taxonomy/term/80","cities/göttingen","und"
82,"taxonomy/term/81","cities/greifswald","und"
83,"taxonomy/term/82","cities/griechenland","und"
84,"taxonomy/term/83","cities/grodno","und"
85,"taxonomy/term/84","cities/hagenau","und"
86,"taxonomy/term/85","cities/halberstadt","und"
87,"taxonomy/term/86","cities/halle","und"
88,"taxonomy/term/87","cities/hallesaale","und"
89,"taxonomy/term/88","cities/hamburg","und"
90,"taxonomy/term/89","cities/hamm","und"
91,"taxonomy/term/90","cities/hanau","und"
92,"taxonomy/term/91","cities/hannover","und"
93,"taxonomy/term/92","cities/hasenpoth","und"
94,"taxonomy/term/93","cities/hechingen","und"
95,"taxonomy/term/94","cities/helmstädt","und"
96,"taxonomy/term/95","cities/hildesheim","und"
97,"taxonomy/term/96","cities/hirschberg","und"
98,"taxonomy/term/97","cities/hohenems","und"
99,"taxonomy/term/98","cities/höritz","und"
100,"taxonomy/term/99","cities/horodok","und"
101,"taxonomy/term/100","cities/horschitz","und"
102,"taxonomy/term/101","cities/hungary","und"
103,"taxonomy/term/102","cities/jaroslaw","und"
104,"taxonomy/term/103","cities/jena","und"
105,"taxonomy/term/104","cities/jersualem","und"
106,"taxonomy/term/105","cities/jerusalem","und"
107,"taxonomy/term/106","cities/jeßnitz","und"
108,"taxonomy/term/107","cities/jewpatorija","und"
109,"taxonomy/term/108","cities/józefów","und"
110,"taxonomy/term/109","cities/kanischa","und"
111,"taxonomy/term/110","cities/karlsruhe","und"
112,"taxonomy/term/111","cities/kassel","und"
113,"taxonomy/term/112","cities/kempen","und"
114,"taxonomy/term/113","cities/kempten","und"
115,"taxonomy/term/114","cities/kiel","und"
116,"taxonomy/term/115","cities/koblenz","und"
117,"taxonomy/term/116","cities/kolin","und"
118,"taxonomy/term/117","cities/kolmar","und"
119,"taxonomy/term/118","cities/komarno","und"
120,"taxonomy/term/119","cities/komorn","und"
121,"taxonomy/term/120","cities/königgrätz","und"
122,"taxonomy/term/121","cities/königsberg","und"
123,"taxonomy/term/122","cities/königslutter","und"
124,"taxonomy/term/123","cities/kopys","und"
125,"taxonomy/term/124","cities/korets","und"
126,"taxonomy/term/125","cities/köslin","und"
127,"taxonomy/term/126","cities/köthen","und"
128,"taxonomy/term/127","cities/krakow","und"
129,"taxonomy/term/128","cities/kreisch","und"
130,"taxonomy/term/129","cities/krossen-der-oder","und"
131,"taxonomy/term/130","cities/kuriz","und"
132,"taxonomy/term/131","cities/kurland","und"
133,"taxonomy/term/132","cities/kuttenplan","und"
134,"taxonomy/term/133","cities/landau","und"
135,"taxonomy/term/134","cities/landsbergwarthe","und"
136,"taxonomy/term/135","cities/landshut","und"
137,"taxonomy/term/136","cities/laszczow","und"
138,"taxonomy/term/137","cities/leiden","und"
139,"taxonomy/term/138","cities/leipnik","und"
140,"taxonomy/term/139","cities/leipzig","und"
141,"taxonomy/term/140","cities/lemberg","und"
142,"taxonomy/term/141","cities/lemgo","und"
143,"taxonomy/term/142","cities/leslau","und"
144,"taxonomy/term/143","cities/lieben","und"
145,"taxonomy/term/144","cities/liegnitz","und"
146,"taxonomy/term/145","cities/lille","und"
147,"taxonomy/term/146","cities/lissa","und"
148,"taxonomy/term/147","cities/livorno","und"
149,"taxonomy/term/148","cities/london","und"
150,"taxonomy/term/149","cities/lübeck","und"
151,"taxonomy/term/150","cities/luneville","und"
152,"taxonomy/term/151","cities/lviv","und"
153,"taxonomy/term/152","cities/magdeburg","und"
154,"taxonomy/term/153","cities/mährisch-weißkirchen","und"
155,"taxonomy/term/154","cities/mainz","und"
156,"taxonomy/term/155","cities/mannheim","und"
157,"taxonomy/term/156","cities/mantua","und"
158,"taxonomy/term/157","cities/marienwerder","und"
159,"taxonomy/term/158","cities/mattersdorf","und"
160,"taxonomy/term/159","cities/medzeboz","und"
161,"taxonomy/term/160","cities/mesritsch","und"
162,"taxonomy/term/161","cities/metz","und"
163,"taxonomy/term/162","cities/mezhirov","und"
164,"taxonomy/term/163","cities/mikolajev","und"
165,"taxonomy/term/164","cities/minkowce","und"
166,"taxonomy/term/165","cities/minsk","und"
167,"taxonomy/term/166","cities/mitau","und"
168,"taxonomy/term/167","cities/mohilev","und"
169,"taxonomy/term/168","cities/münden","und"
170,"taxonomy/term/169","cities/munich","und"
171,"taxonomy/term/170","cities/naarden","und"
172,"taxonomy/term/171","cities/nachod","und"
173,"taxonomy/term/172","cities/nancy","und"
174,"taxonomy/term/173","cities/netivot","und"
175,"taxonomy/term/174","cities/neubidschow","und"
176,"taxonomy/term/175","cities/neuhaus","und"
177,"taxonomy/term/176","cities/neustrelitz","und"
178,"taxonomy/term/177","cities/neuwied","und"
179,"taxonomy/term/178","cities/neuzedlisch","und"
180,"taxonomy/term/179","cities/new-york","und"
181,"taxonomy/term/180","cities/niederehnheim","und"
182,"taxonomy/term/181","cities/niederlande","und"
183,"taxonomy/term/182","cities/nikolsburg","und"
184,"taxonomy/term/183","cities/nimwegen","und"
185,"taxonomy/term/184","cities/nowy-dwor-mazowiecki","und"
186,"taxonomy/term/185","cities/nuremberg","und"
187,"taxonomy/term/186","cities/ofen","und"
188,"taxonomy/term/187","cities/offenbach","und"
189,"taxonomy/term/188","cities/oleksinets-novy","und"
190,"taxonomy/term/189","cities/opatow","und"
191,"taxonomy/term/190","cities/padua","und"
192,"taxonomy/term/191","cities/pardubitz","und"
193,"taxonomy/term/192","cities/paris","und"
194,"taxonomy/term/193","cities/pest","und"
195,"taxonomy/term/194","cities/pfalz","und"
196,"taxonomy/term/195","cities/pinczow","und"
197,"taxonomy/term/196","cities/piotrków","und"
