uuid,name,slug,wikidata_id,parent_place,merged_into
c8055655-82be-47d9-bf16-340ffcd4a994,Altona,altona,,,
f5437165-df05-45b7-b2fa-d7ff2c8ebec9,Amsterdam,amsterdam,,,
35460b7c-0ede-4ed5-96df-cd6529e2e1f2,Anklam,anklam,,,
e8862065-19f4-47fd-8762-e1c6082e6b80,Arad,arad,,,
56696be2-7272-4625-9077-b21d7c363d08,Augsburg,augsburg,,,
a2d5e34f-5279-401b-9a04-50c6551bce79,Bamberg,bamberg,,,
1e543f86-ba73-4154-b5b1-f7dd1ba1316e,Basel,basel,,,
36cfc7b5-a33f-4d99-8b90-00628390c1f3,Bayreuth,bayreuth,,,
ffcd6223-437b-4f70-99dd-da87cd7defb6,Berlin,berlin,,,
ec5ea056-b150-4d4c-bfdc-150e8daaf4cb,Bernburg,bernburg,,,
a3c04f4b-164c-4751-8e35-d2aaf6fa5539,Bialystok,bialystok,,,
529a5d09-c56b-4735-9e52-79d0463ef812,Bielau,bielau,,,
80db840e-2293-421b-9f9f-1d63ac6bb9b5,Bielefeld,bielefeld,,,
eba71452-103c-4010-bc12-776c9e842aa5,Bielitz,bielitz,,,
ba60af97-e8b5-4f2b-8e44-cc85a3ec2dc3,Bleicherode,bleicherode,,,
18420da1-e449-433e-b1b3-96ad8ad00548,Böhmisch Leipa,bohmisch-leipa,,,
5317b6b8-2125-4bbe-8ba3-db55ac84738c,Bonn,bonn,,,
a642cf75-eb91-4259-bb4d-68aa9183acae,Bourdeaux,bourdeaux,,,
63f39669-bd40-4d8f-89f6-3c0a357cce8a,Brandenburg,brandenburg,,,
6d5b6cf6-6dab-461d-ac61-ba2b62ffeb0b,Braunschweig,braunschweig,,,
79105c72-5e2a-4c65-aaf9-5f714fa8f593,Breslau,breslau,,,
437e4336-b851-4580-ab08-bfd8fb114f09,Brieg,brieg,,,
1828c335-e2c2-449b-bf57-51483aca628a,Brno,brno,,,
9c2132c0-2c5c-4e6c-8f30-174262db6444,Brody,brody,,,
4cc93f23-7ad1-43e6-849f-909c95b160b2,Brooklyn,brooklyn,,,
2e3d1b6a-8421-4ea7-8a4f-3f0e29277ec4,Bruchsal,bruchsal,,,
c49fcaa9-06b9-4986-9a56-17af3f5f001f,Brünn,brunn,,,
0d9f371b-ce09-46da-9a05-224f36f522bf,Buda,buda,,,
ec83fd01-b178-4f04-be3a-ef0b650d8f72,Cambridge,cambridge,,,
be0ea08b-055c-4469-bef3-483d31217d53,Celle,celle,,,
4b87e66d-6354-4d84-bdc3-fd4fe9514a78,Commentator,commentator,,,
e0796c1b-7cbb-498e-9aa7-6d3c0ea7e228,Copenhagen,copenhagen,,,
a59a153a-af5a-4f20-bb2b-0706fb30a15a,Damascus,damascus,,,
174ca665-9800-418d-987c-0cd274498efc,Danzig,danzig,,,
060ddab2-accf-410a-9afb-0153889c257a,Dembitz,dembitz,,,
32fdba55-f3f3-4471-bfb4-1b132da18490,Den Haag,den-haag,,,
15a45558-10ca-4412-bb5c-b85fcff05819,Dessau,dessau,,,
f2078b51-2c95-4bb1-93a9-c1a8332f29be,Detmold,detmold,,,
abcf1501-f095-48de-a78c-0a16e082ebf1,Dobromil,dobromil,,,
1c58dcc7-3745-478d-8c16-4c1255988aca,Dresden,dresden,,,
0805a017-7557-4c48-8420-7b0fbade04e9,Driesen,driesen,,,
d2432566-4e02-4436-baa2-3dd53634e86f,Drohobytsch,drohobytsch,,,
