orphan_uuid,orphan_name,model,entity_pk,entity_slug,field,snippet
7c5c5e10-66d9-4d21-85d9-dc0003ba5e92,Kiel,Book,6d04a11f-9960-42e3-b344-c0925e754ee5,actenstucke-zur-geschichte-der-erhebung-der-juden-zu-burgern-der-republik-batavien,references_notes,"AK: UB Rostock: CIc-1160.2 Katalog Uni Kiel Kopie bereits erhalten, gescannt auf CD"
7c5c5e10-66d9-4d21-85d9-dc0003ba5e92,Kiel,Book,1bccabf3-0c22-40aa-8b2d-eca337c0168e,apologie-der-menschenrechte-oder-philosophisch-kritische-beleuchtung-der-schrift,volumes_notes,UB Kiel: Ka 9256
45eaaa97-a334-4546-9c2c-cd1cd232a855,Polen,Book,b01c1274-e461-406f-a279-a7985f95316e,die-juden-oder-die-nothwendige-reformation-der-juden-in-der-republik-polen,name,nothwendige Reformation der Juden in der Republik Polen
45eaaa97-a334-4546-9c2c-cd1cd232a855,Polen,Book,b01c1274-e461-406f-a279-a7985f95316e,die-juden-oder-die-nothwendige-reformation-der-juden-in-der-republik-polen,dedications_notes,Ihrer Majestät dem Könige von Polen allerunterthänigst gewidmet vom Uebersetzer.
45eaaa97-a334-4546-9c2c-cd1cd232a855,Polen,Book,b01c1274-e461-406f-a279-a7985f95316e,die-juden-oder-die-nothwendige-reformation-der-juden-in-der-republik-polen,full_title,nothwendige Reformation der Juden in der Republik Polen: Aus dem Polnischen eines unbenanten Verfassers ü
426d0c2e-20cd-42bc-92a5-df10d5251dcf,Seesen,Book,b85a5b39-c584-41d5-a9ab-05559d9bdec0,discours-prononce-par-mr-israel-jacobson-lors-de-la-dedicace-du-temple-de-jacob-a-seesen,name,bson ... lors de la dédicace du Temple de Jacob à Seesen
426d0c2e-20cd-42bc-92a5-df10d5251dcf,Seesen,Book,b85a5b39-c584-41d5-a9ab-05559d9bdec0,discours-prononce-par-mr-israel-jacobson-lors-de-la-dedicace-du-temple-de-jacob-a-seesen,full_title,bson ... lors de la dédicace du Temple de Jacob à Seesen: Traduit de l'allemand par C. D.
426d0c2e-20cd-42bc-92a5-df10d5251dcf,Seesen,Book,b85a5b39-c584-41d5-a9ab-05559d9bdec0,discours-prononce-par-mr-israel-jacobson-lors-de-la-dedicace-du-temple-de-jacob-a-seesen,references_notes,"tel: Rede bei der Einweihung des Jacobstempels in Seesen am 20. Juli 1810 <frz.>, Städtische Bib. Braunsch"
b72c7ab3-3973-4203-aee8-baaf506010b3,Kempen,Book,057e2f0a-dfda-4c1c-a8d1-2020921a4070,ein-wort-zu-seiner-zeit-die-neuern-ansichten-des-pentateuchs-betreffend,structure_notes,"lvermacher, M.; Friedländer, I.; Fränkel, S. aus Kempen: Goldschmidt, B.; Türk, M. aus Lask: Goldblum, N"
b72c7ab3-3973-4203-aee8-baaf506010b3,Kempen,Book,057e2f0a-dfda-4c1c-a8d1-2020921a4070,ein-wort-zu-seiner-zeit-die-neuern-ansichten-des-pentateuchs-betreffend,mention_general_notes,"lvermacher, M.; Friedländer, I.; Fränkel, S. aus Kempen: Goldschmidt, B.; Türk, M. aus Lask: Goldblum, N"
3b3c554f-2cbf-4280-a7f6-38648faf154e,Münden,Book,ee813434-26a0-4000-a8d6-c627e1649a04,gebete-der-hochdeutschen-und-polnischen-juden,mention_general_notes,"en in Kurland, von Gohr, Erbherr auf Bechhoff und Münden in Kurland, von Roschkul Erbherr auf Bebben in Ku"
3392b057-fd36-441b-adb0-8829f4e5bc6f,Friedland,Book,cbd3d7cc-ad18-4ea0-9d80-35c01dc8b0c7,nahum-neu-ubersetzt-und-mit-anmerkungen-versehen,mention_general_notes,w: Ignatz Josephy Aus Lissa: Salomon Wiener aus Friedland: Abraham Friedländer aus Hundsfeld: Gustel Cohn
426d0c2e-20cd-42bc-92a5-df10d5251dcf,Seesen,Book,748092f7-e39b-44ea-9e1e-e2eeb0534066,rede-bei-der-einweihung-des-jakobs-tempels-zu-seesen,name,Rede bei der Einweihung des Jakobs-Tempels zu Seesen
426d0c2e-20cd-42bc-92a5-df10d5251dcf,Seesen,Book,748092f7-e39b-44ea-9e1e-e2eeb0534066,rede-bei-der-einweihung-des-jakobs-tempels-zu-seesen,full_title,Rede bei der Einweihung des Jakobs-Tempels zu Seesen
426d0c2e-20cd-42bc-92a5-df10d5251dcf,Seesen,Book,bd8d2377-c38d-408b-9ab0-ed1b5c70c68f,rede-bei-der-feier-der-geburt-eines-enkels-des-durchlauchtigsten-herzogs-von-braunschweig-luneburg,full_title,"Levy Helft, Zögling der Jacobssohnschen Schule in Seesen"
426d0c2e-20cd-42bc-92a5-df10d5251dcf,Seesen,Book,bd8d2377-c38d-408b-9ab0-ed1b5c70c68f,rede-bei-der-feier-der-geburt-eines-enkels-des-durchlauchtigsten-herzogs-von-braunschweig-luneburg,references_notes,"Levy Helft, Zögling der Jacobssohnschen Schule in Seesen בנוסח שעבדתי עליו שמו של לוי הלפט כלל לא מופיע."
e018e49c-7e20-4df5-882f-a5e909481802,Landau,Book,62ad577c-ad69-4dc1-b585-36c13699910d,rede-gehalten-am-jubelfeste-der-israelitischen-hauptschule-in-prag-den-10-mai-1812,full_title,". Nebst einigen, bei dieser Gelegenheit von M. I. Landau verfaßten, und von Schülern, theils deklamirten u"
e018e49c-7e20-4df5-882f-a5e909481802,Landau,Book,62ad577c-ad69-4dc1-b585-36c13699910d,rede-gehalten-am-jubelfeste-der-israelitischen-hauptschule-in-prag-den-10-mai-1812,secondary_sources,"randeis, I.: Biographie des Dichters, in: M. I. Landau's hinterlassene vermischte Schriften. Nebst einer"
7c5c5e10-66d9-4d21-85d9-dc0003ba5e92,Kiel,Book,92d52b9e-32de-4cc2-9418-2da169091ab0,rede-gehalten-in-der-versammlung-der-gesellschaft-zur-unterhaltung-einer-judischen-freyschule,copy_of_book_used,Universitätsbibliothek Kiel: 5 in Kf 3166
