uuid,name,slug,live
1095fce0-6c9d-4bea-b234-46a6ee91ea4e,Berditchev,berditchev,True
2dd757c0-3087-4d39-b3a8-baf576171625,Barcelona,barcelona,True
35460b7c-0ede-4ed5-96df-cd6529e2e1f2,Anklam,anklam,True
37b56bba-2e0d-46df-93fe-f156390bef1f,Arnswalde,arnswalde,True
74000ec5-1c51-4fee-82b8-a69f7275a0c6,Bern,bern,True
8e528f24-8830-4eb7-a485-016527e4cba2,Bidschow,bidschow,True
94d8280c-e2a9-4bc7-a350-902ec768fad8,Anspach,anspach,True
ba60af97-e8b5-4f2b-8e44-cc85a3ec2dc3,Bleicherode,bleicherode,True
c6376e77-0fd9-428f-b73d-97551d6baaec,Brest,brest,True
e8862065-19f4-47fd-8762-e1c6082e6b80,Arad,arad,True
00e778b3-164c-4ac3-a12d-fe88d1f15536,Prossnitz,prossnitz,True
0fa59145-0a7c-4c1b-9cbd-850539dd2658,Köthen,kothen,True
170ff151-a543-48a6-8d7c-fc0aa9c2c439,Neubidschow,neubidschow,True
17b6911a-1d99-4c16-8c92-fb99daa98bf1,Königgrätz,koniggratz,True
1be6e1e5-eaee-40ba-ac80-4b61c813bd82,Greifswald,greifswald,True
1d685538-6819-40c8-8e47-587b50d93923,Utrecht,utrecht,True
203ffed2-bd8d-4442-9f6c-18341bc943cf,Rszesz?w,rszeszw,True
22ec1700-1e86-4db5-a774-577c0f198e3f,Höritz,horitz,True
2b1515da-0971-4abe-8519-5d0409edc6b7,Siegen,siegen,True
2b5f536e-bdc7-4199-866d-c81933c9f9be,Rom,rom,True
2b78fceb-50e0-451f-ae77-5486f90222dc,Burgkunstadt,burgkunstadt,True
2c9b848f-7a4e-4ac5-bffc-00108a25bf56,Minsk,minsk,True
2d0b1578-3f61-40ef-8b79-a029db54f02e,Komorn,komorn,True
2e9c0148-f80b-4ea1-b419-e95a51b2ba29,Bunzlau,bunzlau,True
310df71a-b23b-416c-875a-2ede37ffeb4d,Hirschberg,hirschberg,True
3155cf6c-77f7-4bd1-a625-52085c70a478,Domosnitz,domosnitz,True
3392b057-fd36-441b-adb0-8829f4e5bc6f,Friedland,friedland,True
39ad95d7-cf5c-4db0-b536-a7ce5e23b2d7,Torino,torino,True
3a87ef5d-95b9-4d21-adf8-b027870020af,Nachod,nachod,True
3b3c554f-2cbf-4280-a7f6-38648faf154e,Münden,munden,True
40bb1dee-2299-4688-9f35-b54eb9073430,Piotrków,piotrkow,True
426d0c2e-20cd-42bc-92a5-df10d5251dcf,Seesen,seesen,True
4426641d-149a-46d6-b66c-830ec6b976f5,Kempten,kempten,True
45eaaa97-a334-4546-9c2c-cd1cd232a855,Polen,polen,True
471e4269-592c-4930-834c-57e66f841a85,Essen,essen,True
484746b0-4950-415f-ab10-af14f05f169e,Tschufut-Kale,tschufut-kale,True
4ab5aca1-f511-49e5-9aa6-e8be765f9153,Zülz,zulz,True
4b408e6d-c708-4947-9176-5b78b2a2dafa,Teplitz,teplitz,True
4bb03a34-6b88-420a-8772-e2c7721e9817,Landshut,landshut,True
4bc50447-487f-4d1a-9b41-c21fd4e15397,Constantinople,constantinople,True
4ca98ed2-b06b-41ef-ac08-ad2efc6fe588,Horodok,horodok,True
518ed70c-b627-4f43-bb30-db0ebd134ea0,Mezhirov,mezhirov,True
55210f57-b229-47e0-8833-638a0b445e5e,Lieben,lieben,True
59e8ff94-8c71-44cc-8d09-8890de39b7b2,Mährisch Weißkirchen,mahrisch-weisskirchen,True
5ce2f101-1ded-4e03-89b4-c476b209bf5d,Medzeboz,medzeboz,True
5f383918-1ef1-4a2d-829d-ba5072dd70d9,Neuwied,neuwied,True
