model,field,value,uuids
Person,german_name,"hoym, karl heinrich graf von (graf, minister)",86d0fec1-915a-49f2-8bcd-76eec875cc4d;701666e2-8dd8-4cc2-a608-5f3106d16c64
Person,german_name,"jacobson, israel",e56457ad-c4b3-45d4-8956-cc79b03177ca;30c063e4-e083-401b-aab5-dafd06c16e60
Person,german_name,joseph ii. (kaiser),293652f4-b217-48c7-b043-b666a44594de;432cbe39-df1d-4ec6-bd99-2eac04d57e2d
Person,german_name,"kaskel, michel",69fc0563-9299-404c-bbc9-fb236ba4231a;f26adbc5-8dcb-47a8-a03e-d1b6c85987fe
Person,german_name,"kaulla, wolf",e9131f27-7264-4c01-b068-02655963a5c3;885c9bb8-eaaa-447c-9949-0a82f357774e
Person,german_name,"moses, jacob",b2eb22e0-f3f6-4220-a6fe-9249fa6eb141;8c48a2dc-02cb-464f-9e18-f25bbd3db010
Person,german_name,אברהם,44c9ab95-2d68-4cb7-8e56-7b0c6a277368;cdd4bcaa-1136-49ac-aa1a-157edc693139;3f92ae0a-8edf-4b49-a547-6a5a4c958314
Person,german_name,"אברהם ב""ר צבי הירש",9b8f065f-c5ec-4618-b110-a73483e41b97;85678d60-b4fe-46e9-94ae-d63fe796fbd4
Person,german_name,"אברהם בר""נ ה""ש",39ed0dc3-1d27-4420-9b1b-98f544f512e3;b3625ca8-83c2-47fc-be32-58bb95f3b070;ae2bf34c-3328-47e9-8bcc-ab12ca27af72
Person,german_name,"אברהם בר""פ כ""ץ",e3be9a0a-4cd2-4727-a96c-14849870d462;d75a2618-e4a6-41f7-8a94-ee70bd0bbadf
Person,german_name,אברהם מרדכי,1de98862-ae14-4e99-bbb3-dc23b140d911;4c0bd184-5a89-4f7f-b7e5-259478528a61;13309ad7-d5f7-4d0c-b858-b005ad899d19
Person,german_name,אברהם צבי,12bf673a-7577-4102-9fe4-540e6fd14cdd;5b0882c1-8549-4650-b2b5-f4882f7fada0
Person,german_name,אייזק דעסויא,3a073a04-119c-4c73-b04f-db53bb759b17;ab22eee2-6b55-462d-9dc0-1b9c0fe678a8
Person,german_name,אלעזר קאליר,c7be9e4c-007d-49a1-8161-de5919ea636d;727ed808-a8d2-454b-957d-a01521722564
Person,german_name,ארי' ליב,5a985999-4765-445e-b7c0-21e1c5af9882;afe5d5dc-2e78-48c9-bf00-00b7fc06c630
Person,german_name,אריה ליב,2a01211e-e5ad-473f-a276-b10bc3116045;db24a1fd-1f30-410c-8b8e-8cc3033c7291;48cfa72d-3c62-469e-b057-70abd04fb23c
Person,german_name,"בונם בר""ד פ""ל",f47d54aa-34f1-4a08-9897-df7e7c5577d4;b771ba4c-397f-402f-9273-786654f369ff
